"UNL_DESC_RESPECT_LUCHA_3": "升级三秒压制据点后，你获得的所有声望额外增加 15%%。"
"UNL_UPGRADE_STORE": "升级商店"
"UNL_NOTORIETY_COPS_1": "恶名 - 警方"
"UNL_HOMIE_WEAPONS": "兄弟 - 武器"
"UNL_STRONGHOLD_04_CUSTOMIZATION": "根据地 - 三秒压制"
"UNL_DESC_VEHICLE_LUCHADOR": "摔跤手帮载具现已可在你的据点车库获取。"
"HOOD_NEW_BARANEC": "新巴拉内克"
"UNL_BLOODY_MESS": "技能 - 血肉横飞"
"UNL_DESC_UPGRADE_AMMO_RIFLE_1": "可携带多 25%% 的步枪弹药"
"TUT_TITLE_RESPECT": "声望"
"UNL_DESC_SAINTSBOOK": "在你的手机圣徒簿中查看暗杀目标、偷车清单与挑战。"
"UNL_DESC_INCOME_LUCHA_1": "你从卡弗岛区域获得的每小时城市收入额外增加 5%%"
"UNL_DESC_GANG_WEAPONS_SHOTGUN": "升级你的帮派成员以携带霰弹枪"
"UNL_NG_CUSTOMIZATION": "物品 - 钢埠警卫物品"
"UNL_NOTORIETY_MSTAR_1": "恶名 - 晨星帮"
"TUT_WHORED_D_TARGET_PRACTICE": "打靶练习"
"UNL_DESC_CLOTHING_KILLBANES_MASK": "杀霸的面具现已可穿戴"
"UNL_DAMAGE_MELEE_1": "近战 - 威力"
"UNL_DESC_DAMAGE_FIRE_4": "你不会受到任何火焰伤害"
"UNL_DLC_PREORDER04_CLOTHING": "物品 - 鲨咬帽"
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_2": "可携带多 50%% 的炸药弹药"
"UNL_DESC_CASH_MULTIPLIER_3": "收到的所有现金增加 15%%"
"TUT_STORE_INTRO_CLOTHES": "服装店可以让你自定义角色。购买服装可赚取声望。"
"UNL_STRONGHOLD_03_CUSTOMIZATION": "根据地 - 伯恩斯山核反应堆"
"UNL_DESC_DLC_ASSET02_ALERT": "你的据点衣橱与车库新增了可下载内容。"
"UNL_DESC_SPRINT_4": "冲刺距离延长 100%%"
"UNL_DESC_WEEKLY_CASH_FOR_HOS": "留住晨星帮的女孩们，每小时城市收入 $1,000"
"UNL_CASH_LIMIT_DECKER_2": "转账上限"
"UNL_CLOTHING_CARDINAL": "服装 - 枢机主教服"
"UNL_DESC_GANG_NPC_MASCOT": "你的帮派现在可以收纳吉祥物。"
"UNL_DESC_RESPECT_EURO_3": "升级火药据点后，你获得的所有声望额外增加 15%%"
"UNL_DESC_CYPHER_VEHICLE": "在相关技术授权给 STAG 之前，乌托尔拦截者才是最初的喷射摩托。 "
"UNL_DESC_CYBER_VEHICLES": "你的据点车库现在提供赛博空间汽车与摩托"
"UNL_DESC_VEHICLE_STAG_VTOL": "你的据点车库现在提供 STAG VTOL"
"UNL_NOTORIETY_DECKERS_1": "恶名 - 赛博帮"
"HOOD_ZOMBIE": "阿拉皮斯岛"
"UNL_INCOME_EURO_3": "区域每小时现金"
"UNL_DLC_ASSET01_OUTFITS03": "服装 - 战士公主"
"UNL_DESC_GANG_WEAPONS_RIFLE": "升级你的帮派成员以携带步枪"
"UNL_DBNO_EXTRA_TIME_2": "帮派 - 复活计时 2"
"UNL_DESC_UNLIMITED_AMMO_PISTOL": "无限手枪弹药"
"TUT_WHORED_Z_AGRIZOOPHOBIA": "田园恐惧症"
"TUT_WHORED_Z_OUTMATCHED": "实力悬殊"
"UNL_DESC_FRAUD": "你解锁了更多碰瓷索赔活动。\n在地图上查看地点。"
"UNL_AMMO_LUCHA_1": "武器库弹药"
"UNL_DESC_DLC_ASSET01_OUTFITS04": "终极太空公主服，手套、短裙与靴子一应俱全。"
"UNL_DESC_MUSCLES_2": "近战击退敌人时把他们甩得更远"
"UNL_DESC_UPGRADE_AMMO_GRENADE_1": "可携带多 25%% 的手雷"
"UNL_DESC_NOTORIETY_COPS_2": "你的警方恶名衰减速度加快"
"UNL_CRIB_NUKE": "据点 - 伯恩斯山核反应堆"
"UNL_DLC_PREORDER01_VEHICLES": "载具 - 元气投石机"
"TUT_WHORED_A_PESTS": "害虫"
"TUT_COLLECTION_STUNT_JUMP": "钢埠各处散布着特技跳跃点。所到之处留意寻找！"
"CS_TITLE_UNDISCLOSED_SYNDICATE_LOCATION": "未公开的辛迪加据点"
"UNL_VEHICLES_HAVE_NITROUS": "技能 - 氮气加速"
"UNL_COLLECTIBLE_FINDER": "收集品探测器"
"UNL_CRIB_SHAUNDIS_EX": "据点 - 肖恩蒂前男友的公寓"
"UNL_DLC_GAMEPLAY03_ALERT04": "奖励 - STAG"
"UNL_DLC_PREORDER02_ALERT": "Z 风格包"
"TUT_WHORED_Z_MURDER_BENDER": "杀戮狂欢"
"TUT_WHORED_MEGA_TRANNY": "大伯莎"
"UNL_DESC_WEEKLY_PAYMENTS_3": "每小时城市收入 $1,500"
"UNL_DESC_HOMIE_KINZIE": "金吉可在你的手机“PHONE”菜单中找到。她会在战斗中协助圣徒。"
"TUT_WHORED_HEADSHOT": "爆头"
"HOOD_NW_01": "伯恩斯山"
"UNL_GANG_VEHICLES_DECKER": "帮派 - 新载具"
"TUT_WHORED_ZOMBIE_UPRISING": "丧尸暴动"
"TUT_WHORED_SHRINKAGE": "尺寸不重要"
"TUT_TITLE_SECRET_LOCATIONS": "秘密地点"
"UNL_AUTO_COMPLETE_CTO_DISTRICT": "城市接管"
"UNL_DESC_NPC_CASH_DROP_2": "路人掉落的现金变为四倍"
"TUT_TITLE_DIV_INTRO_HOLDUP": "抢劫"
"TUT_COMBAT_WEAPONS_0": "{WEAPON_MENU_IMG} + {WEAPON_SELECT_IMG} 切换武器"
"UNL_DESC_CHARACTER_CUSTOMIZATION": "自定义角色"
"TUT_STORE_INTRO_JEWELRY": "珠宝店可以让你自定义角色。购买珠宝可赚取声望。"
"HOMIES_KINZIE_DESC": "从金吉那里获得后援。"
"UNL_FASTER_HOMIE_REVIVE_3": "复活 - 速度 3"
"UNL_UPGRADE_AMMO_GRENADE_1": "弹药 - 手雷"
"UNL_DESC_DLC_GAMEPLAY03_ALERT04": "与 STAG 任务选择相关的奖励已发放。请查看你的电话簿、据点武器库与车库。"
"UNL_DESC_RESPECT_BONUS_PURCHASE1": "所有声望额外增加 5%%"
"HOMIES_COP_NOTORIETY_DESC": "清除你当前的执法部门恶名。"
"HOMIES_ANGEL": "安吉尔"
"UNL_GANG_NPC_MSTAR": "帮派形象定制"
"UNL_DESC_VEHICLE_STAG_TANK": "你的据点车库现在提供一辆 STAG 坦克"
"UNL_GANG_CUSTOMIZATION": "帮派形象定制"
"UNL_CASH_BONUS_MODIFIER": "加成 - 现金"
"UNL_DESC_WEP_CHAINSAW": "在你的据点武器库装备电锯。"
"PLAYER_CHOICE_M19_OPTION2_TITLE": "[format][color:red]为市长摧毁僵尸病毒[/format]"
"TUT_WHORED_A_CONSCRIPTED": "被强征入伍"
"TUT_WHORED_D_NORMS_REVENGE": "诺姆的复仇"
"TUT_WHORED_GENKI_REVENGE": "超伦理真人秀狂欢"
"TUT_TITLE_M16_CHARGE_CYBERCANNON": "蓄力赛博炮"
"UNL_INCOME_MSTAR_3": "区域每小时现金"
"UNL_DESC_FASTER_RELOAD_3": "你装填所有武器的速度更快"
"UNL_CRIB_KINZIE": "据点 - 金吉"
"TUT_ACT_INTRO_ESCORT_TIGER": "开得又快又稳，让老虎开心并提升你的勇气。"
"UNL_DESC_WIPE_NOTORIETY_LAW_ENFORCEMENT": "呼叫伯特·雷诺兹市长清除执法部门恶名"
"UNL_RESPECT_BONUS_PURCHASE3": "加成 - 声望 3"
"UNL_INCOME_LUCHA_2": "区域每小时现金"
"UNL_CRIB_ZIMOS": "据点 - 齐莫斯的宅子"
"PLAYER_CHOICE_M22_OPTION2_TITLE": "[format][color:green]前往雕像[/format]"
"PLAYER_CHOICE_M09_OPTION1_TITLE": "[format][color:blue]将女孩们交给晨星帮[/format]"
"PLAYER_CHOICE_M06_OPTION2_TITLE": "[format][color:yellow]拆除炸弹[/format]"
"HOOD_DT_02": "洛伦广场"
"UNL_GANG_NPC_HO": "帮派形象定制"
"UNL_FASTER_RELOAD_1": "更快装填 1"
"UNL_DESC_TRAILBLAZING": "你解锁了更多烈火流星活动。\n在地图上查看地点。"
"UNL_DESC_HELIASSAULT": "你解锁了更多武直突击活动。\n在地图上查看地点。"
"UNL_INCOME_DECKER_2": "区域每小时现金"
"UNL_GANG_NPC_LUCHA": "帮派形象定制"
"UNL_DUAL_WIELD_PISTOLS": "双持 - 手枪"
"UNL_DESC_DAMAGE_MELEE_2": "你造成的近战伤害提升 30%%"
"UNL_DAMAGE_FIRE_1": "伤害 - 火焰"
"UNL_DRUGTRAFFICKING": "黑货押运"
"UNL_DLC_ASSET03_OUTFITS05": "服装 - 赛博帮士兵"
"UNL_DESC_DUAL_WIELD_SMGS": "双持冲锋枪"
"UNL_DESC_VEHICLE_DECKER": "赛博帮载具现已可在你的据点车库获取。"
"UNL_PLAYER_HEALTH_2": "生命 - 升级 2"
"UNL_DESC_HOMIE_VIOLA": "薇奥拉可在你的手机“PHONE”菜单中找到。她会在战斗中协助圣徒。"
"TUT_TITLE_RC_GUN_UPGRADE": "遥控枪升级"
"UNL_DESC_DLC_ASSET03_OUTFITS02": "摔跤手专家服装。"
"UNL_DLC_ASSET02_VEHICLES": "载具 - 夜刃载具"
"TUT_WHORED_Z_VEGAN": "素食者噩梦"
"TUT_WHORED_Z_HORS_D": "开胃小菜"
"TUT_WHORED_A_BATH_TOY": "洗澡玩具"
"TUT_WHORED_D_WELCOME": "真正的女孩"
"TUT_WHORED_ZOMBIESATV": "全地形车对丧尸"
"TUT_WHORED_DRUNKENBOXING": "醉拳"
"UNL_CASH_LIMIT_MSTAR_2": "转账上限"
"UNL_DESC_VEHICLE_CYBER_TANK": "你的据点车库现在提供赛博坦克"
"UNL_DESC_CLOTHING_NG": "钢埠警卫服装现已可购买"
"UNL_MUSCLES_2": "近战 - 肌肉 2"
"UNL_DESC_NOTORIETY_MSTAR_1": "你的晨星帮恶名衰减速度略微加快"
"UNL_DESC_DAMAGE_FALL_4": "你不会受到任何坠落伤害"
"UNL_DESC_DTL_FOLLOWER": "圣徒会出现在你拥有的街区中。看到他们时按下 {RECRUIT_DISMISS_IMG} 招募附近的圣徒跟随你。"
"TUT_WHORED_D_OLEG_REUNION": "奥列格家族团聚"
"PLAYER_CHOICE_M06_OPTION2_BODY": "奖励：永久现金加成"
"UNL_AMMO_EURO_2": "武器库弹药"
"TUT_WHORED_MINIZOMBIES": "迷你丧尸"
"PLAYER_CHOICE_M13_OPTION2_TITLE": "[format][color:Purple]让乔什留在圣徒帮[/format]"
"TUT_TITLE_ESCORT_HOING": "合作护花"
"UNL_VEHICLE_STAG_VTOL": "载具 - STAG VTOL"
"TUT_WHORED_D_FEVER_DREAM": "发烧梦"
"HOMIES_MAYOR_REYNOLDS": "雷诺兹市长"
"UNL_RESPECT_MSTAR_1": "声望加成"
"UNL_DESC_AMMO_DECKER_1": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DLC_ASSET03_OUTFITS01": "服装 - 摔跤手士兵"
"UNL_DESC_CLOTHING_CARDINAL": "枢机主教服现已可穿戴"
"UNL_DESC_RESPECT_LUCHA_2": "升级三秒压制据点后，你获得的所有声望额外增加 10%%"
"UNL_DESC_CASH_LIMIT_MSTAR_1": "占领超级销金窝据点后，你的城市收入转账上限提升。"
"UNL_DLC_ASSET02_ALERT": "夜刃包"
"UNL_CASH_FOR_RESPECT_1": "兑换 - 现金换声望"
"UNL_DESC_HOMIE_OLEG": "奥列格·基尔洛夫可在你的手机“PHONE”菜单中找到。他会在战斗中协助圣徒。"
"HASH_5F2E8897": "请重新连接 Xbox One 手柄并按下 {PAUSE_MENU_IMG} 继续"
"UNL_DESC_DLC_ASSET03_OUTFITS06": "赛博帮专家服装。"
"UNL_CASH_MULTIPLIER_3": "加成 - 现金增益 3"
"UNL_DESC_RESPECT_MSTAR_3": "升级超级销金窝据点后，你获得的所有声望额外增加 15%%"
"TUT_DLC_BLING_SHOTGUN": "闪耀霰弹枪能提升击杀敌人获得的声望。"
"TUT_STORE_INTRO_MECHANIC": "自定义载具会被保存，即使被摧毁也能从任意边缘工坊或据点车库取回。"
"DISTRICT_DOWNTOWN": "市中心"
"UNL_DESC_ESCORT": "你解锁了更多护花使者活动。\n在地图上查看地点。"
"UNL_DESC_INCOME_EURO_2": "你从市中心区域获得的每小时城市收入额外增加 10%%"
"UNL_SWAT_BACKUP": "兄弟 - 特警后援"
"UNL_WIPE_NOTORIETY_LAW_ENFORCEMENT": "恶名清除 - 执法"
"UNL_DESC_WIPE_NOTORIETY_GANG": "呼叫后清除全部帮派恶名"
"TUT_WHORED_Z_KIRBY": "柯比的脱单派对"
"UNL_DESC_DLC_ASSET02_VEHICLES": "猩红炮台的摩托与夜刃座驾。速度。力量。格调。"
"UNL_UPGRADE_AMMO_SPECIAL_2": "弹药 - 特殊 2"
"UNL_DESC_DBNO_EXTRA_TIME_2": "所有随从的失血倒地时间延长 20 秒"
"HOMIES_ZOMBIE_HORDE": "丧尸潮"
"UNL_DLC_PREORDER04_WEAPONS": "武器 - 鲨鱼机枪"
"TUT_TITLE_STRONGHOLD_CUSTOMIZATION": "根据地定制"
"UNL_STRONGHOLD_02_CUSTOMIZATION": "根据地 - 暗号"
"UNL_WEEKLY_PAYMENTS_3": "加成 - 每小时城市收入 3"
"TUT_TITLE_NAG_UPGRADE_STORE": "升级商店"
"DISTRICT_SOUTH_EAST": "东南区"
"UNL_VEHICLE_CYRUS_VTOL": "载具 - 赛勒斯·坦普尔的 VTOL"
"UNL_DESC_HOMIE_HEALTH_2": "所有随从生命值提升 20%%"
"UNL_DESC_VEHICLE_CUST_LOW_COST": "得益于马特·米勒的黑客技术，载具定制费用降低 50%%"
"UNL_CASH_LIMIT_LUCHA_3": "转账上限"
"UNL_HEALTH_REGEN_2": "生命 - 回复 2"
"UNL_NPC_CASH_DROP_2": "技能 - 拾荒 VIP"
"TUT_TITLE_RESPECT_METER": "声望计量条"
"ACHIEVE_SR3_GO_INTO_THE_LIGHT": "步入光明"
"WPN_DECKERSWORD_DESCRIPT": "赛博帮的标志性佩剑。"
"HOOD_YEARWOOD": "厄尔伍德"
"UNL_DESC_DISCOUNT_CLOTHING": "在服装店享受 15%% 折扣"
"UNL_WEP_SATCHEL_CHARGES": "武器 - 炸药包"
"UNL_CHARACTER_CUSTOMIZATION": "角色定制"
"TUT_TITLE_COLLECTION_STUNT_JUMP": "特技跳跃"
"USE_TRIGGER_LOBBY": "前往大厅"
"HOMIES_JOSH_DESC": "呼叫你的替补与你并肩作战。"
"UNL_DESC_TANKMAYHEM": "你解锁了更多坦克大破坏活动。\n在地图上查看地点。"
"HOMIES_HELI": "直升机"
"UNL_CLOTHING_GAS_MASK": "物品 - 防毒面具"
"UNL_RESPECT_BONUS_PURCHASE1": "加成 - 声望"
"UNL_DESC_DAMAGE_FALL_2": "从坠落中受到的伤害减少 30%%"
"UNL_INSTANT_RELOAD_RIFLE": "瞬间装填 - 步枪"
"TUT_WHORED_D_PORKCHOP": "猪排三明治"
"TUT_GAME_WIN": "终章任务现已可重玩以体验另一种结局。\n此外还有广袤的开放世界等你探索、接管与摧毁。\n出发去痛快玩吧！"
"UNL_FASTER_RELOAD_3": "更快装填 3"
"TUT_RC_GUN": "向载具发射遥控弹丸以夺取控制权。你与弹丸的距离有限，超出后便会失去控制。"
"ACHIEVE_SR3_HANGING_WITH_MR_PIERCE": "与皮尔斯先生混在一起"
"UNL_DAMAGE_FIRE_3": "伤害 - 火焰 3"
"TUT_DISMISS": "{0} 解散"
"SPECIAL_DRONE": "死神无人机"
"UNL_DESC_RESPECT_BONUS_PURCHASE3": "所有声望额外增加 15%%"
"UNL_UNLIMITED_AMMO_RIFLE": "弹药 - 步枪 4"
"TUT_TITLE_DLC_GENKI_GUN": "软体动物发射器"
"UNL_DESC_VEHICLE_MARS_ROVER": "你的据点车库现在提供火星车"
"WPN_GRENADE_DESCRIPT": "这是手雷；爆炸时会很疼。"
"UNL_DESC_INCOME_DECKER_2": "你从斯坦菲尔德区域获得的每小时城市收入额外增加 10%%"
"UNL_HEALTH_REGEN_4": "生命 - 回复 4"
"TUT_WHORED_Z_SURVIVAL_HORROR": "生存恐怖"
"TUT_WHORED_D_SR_DESIGN": "黑道圣徒设计会议"
"UNL_INCOME_MSTAR_1": "区域每小时现金"
"UNL_DESC_FASTER_RELOAD_1": "你装填所有武器的速度更快"
"UNL_CLOTHING_AVATAR": "服装 - 动作捕捉服"
"TUT_WHORED_Z_RITA": "丽塔"
"TUT_WHORED_D_ANKLE_BITERS": "咬脚怪"
"UNL_DLC_ASSET04_ALERT": "特种行动载具包"
"UNL_DESC_DLC_PREORDER03_WEAPONS": "发射大量手雷，制造最猛烈的爆炸。"
"UNL_DESC_PLAYER_HEALTH_2": "玩家生命值提升 50%%"
"UNL_RESPECT_BONUS_MODIFIER": "加成 - 声望"
"TUT_TITLE_RC_GUN": "遥控载具枪"
"TUT_TITLE_STORE_INTRO_MUSIC": "音乐店"
"UNL_DESC_DRUGTRAFFICKING": "你解锁了更多黑货押运活动。\n在地图上查看地点。"
"UNL_DUAL_WIELD_SMGS": "双持 - 冲锋枪"
"UNL_DESC_WEP_SONIC_WAVE_GUN": "在你的据点武器库装备音爆武器。"
"UNL_WIPE_NOTORIETY_POLICE": "恶名清除 - 警方"
"UNL_LUMP_SUM_OF_MONEY": "加成 - 整笔存款"
"UNL_FASTER_HOMIE_REVIVE_1": "复活 - 速度"
"UNL_UPGRADE_AMMO_GRENADE_3": "弹药 - 手雷 3"
"UNL_UPGRADE_AMMO_SHOTGUN_2": "弹药 - 霰弹枪 2"
"UNL_HOMIE_ZIMOS": "兄弟 - 齐莫斯"
"UNL_TRAILBLAZING": "烈火流星"
"UNL_MAYHEM": "大破坏"
"UNL_DESC_CYPHER_OUTFIT": "任何代表乌托尔的人都需要像那么回事。这套性感连体衣让刺杀重拾格调。"
"UNL_DESC_INSTANT_RELOAD_RIFLE": "瞬间装填你的步枪"
"TUT_WHORED_A_ICON": "偶像"
"TUT_RESPECT_METER": "赚取声望可提升你的等级并解锁升级购买。\n现在就通过手机 {PAUSE_MENU_IMG} 进入升级商店购买吧。"
"HOOD_DOWNERS_GROVE": "格罗夫区"
"UNL_DESC_DLC_GAMEPLAY03_ALERT02": "与赛博帮任务选择相关的奖励现已生效。"
"UNL_WEEKLY_PAYMENTS_1": "加成 - 每小时城市收入"
"HOMIES_SAINTS_BACKUP": "圣徒后援"
"TUT_WEAPON_UPGRADES": "武器可在武器店升级。现在就购买一把武器并升级它吧。"
"UNL_CASH_LIMIT_LUCHA_1": "转账上限"
"UNL_DESC_NOTORIETY_LUCHA_2": "你的摔跤手帮恶名衰减速度加快"
"UNL_DESC_RESPECT_MSTAR_1": "占领超级销金窝据点后，你获得的所有声望额外增加 5%%"
"UNL_DESC_CASH_LIMIT_LUCHA_2": "升级三秒压制据点后，你的城市收入转账上限提升。"
"UNL_DESC_FASTER_HOMIE_REVIVE_2": "随从复活速度提升 20%%"
"UNL_UNLIMITED_AMMO_SPECIAL": "弹药 - 特殊 4"
"HOMIES_NYTEBLAYDE": "夜刃"
"TUT_WHORED_MEGAWHORE": "狂潮精英"
"TUT_NAG_WEAPON_UPGRADES": "武器升级可在队友火力购买。"
"UNL_DESC_GANG_NPC_GIMP": "你的帮派现在可以收纳小跟班。"
"UNL_DESC_BLOODY_MESS": "你击杀的每个人都会血肉横飞"
"UNL_UNLIMITED_AMMO_SHOTGUN": "弹药 - 霰弹枪 4"
"UNL_HOMIE_NYTEBLAYDE": "兄弟 - 夜刃"
"UNL_RESPECT_LUCHA_2": "声望加成"
"UNL_PLAYER_HEALTH_4": "生命 - 升级 4"
"UNL_NPC_CASH_DROP": "技能 - 拾荒"
"UNL_RESPECT_MSTAR_3": "声望加成"
"UNL_DLC_ASSET03_OUTFITS03": "服装 - 晨星帮士兵"
"TUT_WHORED_QUESTIONMARKS": "存疑"
"UNL_DESC_CASH_LIMIT_MSTAR_3": "升级超级销金窝据点后，你的城市收入转账上限提升。"
"UNL_CASH_FOR_RESPECT_3": "兑换 - 现金换声望 3"
"TUT_FLASHPOINT": "在帮派行动中击杀每一个被标记的帮派成员，圣徒便能占领那片地盘。"
"UNL_CASH_LIMIT_EURO_2": "转账上限"
"UNL_DESC_DLC_ASSET03_OUTFITS04": "晨星帮专家服装。"
"UNL_CASH_MULTIPLIER_1": "加成 - 现金增益"
"UNL_DESC_HOMIE_TANK": "坦克兄弟可在你的手机“PHONE”菜单中找到。他会在战斗中给你送一辆坦克。"
"TUT_WHORED_MEGACAN": "巨型罐"
"UNL_DESC_UNLIMITED_AMMO_RIFLE": "无限步枪弹药"
"UNL_DESC_NOTORIETY_MSTAR_3": "你的晨星帮恶名衰减速度大幅加快"
"GARAGE_AIRPLANES_ONLY": "此处只能存放飞机"
"UNL_WEP_CHAINSAW": "武器 - 电锯"
"TUT_TITLE_TEMP_WEAPON": "临时武器"
"RIFLE_NG": "AR-55"
"HOMIES_ZOMBIE_GAT": "丧尸盖特"
"UNL_FRAUD": "碰瓷索赔"
"UNL_DLC_PREORDER03_OUTFITS": "服装 - 未来战士"
"UNL_DESC_VEHICLE_STAG_PROTOTYPE": "你的据点车库现在提供一辆原型坦克"
"UNL_AMMO_LUCHA_2": "武器库弹药"
"UNL_DESC_DLC_PREORDER01_OUTFITS": "穿上这套服装，每一天都能变成杀戮欢乐时光！"
"UNL_DESC_MUSCLES_1": "近战击退敌人时把他们稍稍甩远"
"UNL_DESC_UPGRADE_AMMO_GRENADE_2": "可携带多 50%% 的手雷"
"UNL_DESC_UPGRADE_AMMO_SHOTGUN_3": "可携带多 75%% 的霰弹枪弹药"
"HOOD_POINT_PRYOR": "普赖尔港"
"UNL_GANG_NPC_GIMP": "帮派形象定制"
"UNL_VEHICLE_LUCHADOR": "车库 - 新载具"
"UNL_DESC_DLC_ASSET03_ALERT": "你的据点衣橱新增了可下载内容。"
"UNL_DESC_COLLECTIBLE_FINDER": "收集品会在世界中高亮显示"
"UNL_DESC_VEHICLE_SPOTLIGHT": "你的据点车库现在提供这架直升机"
"UNL_DBNO_EXTRA_TIME_1": "帮派 - 复活计时"
"UNL_DESC_DAMAGE_EXPLOSIVE_3": "从爆炸受到的伤害减少 20%%"
"HOMIES_NYTEBLAYDE_DESC": "叫夜刃来与你并肩作战。"
"UNL_VEHICLE_CUSTOMIZATION": "载具定制"
"TUT_WHORED_Z_HANK_EAST": "汉克·伊斯"
"TUT_FINAL_ACT_LEVEL_COMPLETE": "该活动的下一次机会现已开放；查看你的地图 {MAP_MENU_IMG} 找到它。\n重复游玩此活动可获得金钱，但不再获得声望。"
"GARAGE_HELI_ONLY": "只有带停机坪的据点才能存放直升机"
"HOOD_NW_02": "灰木区"
"UNL_DESC_INCOME_MSTAR_3": "你从新科尔文区域获得的每小时城市收入额外增加 15%%"
"UNL_HOMIE_HP_INCREASE_3": "兄弟 - 生命提升 3"
"HOMIES_SHAUNDI": "肖恩蒂"
"UNL_GANG_NPC_DECKER": "帮派形象定制"
"UNL_DESC_VAMPIRE": "吸干你的人盾之血，在击杀他们的同时回复生命。"
"UNL_NOTORIETY_LUCHA_3": "恶名 - 摔跤手帮 3"
"TUT_WHORED_NUT_ASSAULT": "蛋蛋突袭"
"TUT_UPGRADE_STORE": "购买升级，让你、你的座驾与你的帮派变得更强、更硬、更致命。"
"TUT_TITLE_DIV_INTRO_STREAKING": "天体"
"UNL_DESC_GANG_NPC_MSTAR": "你的帮派现在可以收纳晨星帮成员。"
"UNL_CYPHER_OUTFIT": "套装 - 乌托尔刺客"
"UNL_NOTORIETY_MSTAR_2": "恶名 - 晨星帮 2"
"HUD_TRIGGER_DISABLED_COOP_USING": "同伴正在使用商店"
"HUD_LOCKON_SCANNING": "正在扫描目标"
"UNL_DESC_GANG_NPC_LUCHA": "你的帮派现在可以收纳摔跤手。"
"UNL_DLC_ASSET04_VEHICLES": "载具 - 圣徒军用载具"
"UNL_DLC_PREORDER03_ALERT": "爆炸战斗包"
"UNL_DAMAGE_MELEE_2": "近战 - 威力 2"
"UNL_DESC_FOLLOWER3": "招募三名圣徒随从。按下 {RECRUIT_DISMISS_IMG} 招募附近的圣徒。"
"TUT_WHORED_Z_MS_SEBERT": "塞伯特女士"
"UNL_DESC_UPGRADE_AMMO_RIFLE_2": "可携带多 50%% 的步枪弹药"
"PLAYER_CHOICE_M09_OPTION1_BODY": "奖励：整笔现金报酬"
"HUD_GARAGE_NEED_VEHICLES": "添加载具以进入车库"
"UNL_DESC_INCOME_LUCHA_2": "你从卡弗岛区域获得的每小时城市收入额外增加 10%%"
"TUT_CRUISE_CONTROL": "{CRUISE_CONTROL_B_IMG} 进入定速巡航 \n{BRAKE_REVERSE_IMG} / {ACCELERATE_IMG} 调整巡航速度 \n定速巡航会保持你的载具速度，让你专注于射击。"
"CS_TITLE_3_COUNT_CASINO": "三秒压制游乐场"
"UNL_CASH_LIMIT_DECKER_1": "转账上限"
"UNL_HOMIE_MAYOR_REYNOLDS": "兄弟 - 伯特·雷诺兹"
"UNL_DLC_GAMEPLAY02_ALERT": "吸血鬼包"
"UNL_DESC_VEHICLE_AIRCRAFT": "你的据点车库现在提供一批飞行器"
"UNL_DESC_UPGRADE_AMMO_PISTOL_3": "可携带多 75%% 的手枪弹药"
"UNL_DESC_STRONGHOLD_03_CUSTOMIZATION": "在伯恩斯山核反应堆据点定制这个根据地，获取丰厚加成。"
"UNL_TANKMAYHEM": "坦克大破坏"
"UNL_RESPECT_DECKER_3": "声望加成"
"UNL_DESC_CASH_LIMIT_EURO_3": "升级火药据点后，你的城市收入转账上限提升。"
"UNL_VEHICLE_DECKER": "车库 - 新载具"
"UNL_DESC_NPC_CASH_DROP": "路人掉落的现金变为两倍"
"TUT_RANK_UP": "{MAP_MENU_IMG} 进入升级商店 \n你刚刚升级了！\n升级商店现已上架新的升级项。"
"UNL_DESC_DAMAGE_FIRE_3": "从火焰受到的伤害减少 50%%"
"UNL_DESC_HIDDEN": "这项升级在你发现它之前处于隐藏状态"
"TUT_TITLE_ANNIHILATOR": "强化版火箭筒"
"TUT_TITLE_CRIB_GARAGE": "车库"
"HOOD_NE_02": "卡马诺广场"
"UNL_CRIB_3COUNT": "据点 - 三秒压制游乐场"
"TUT_WHORED_A_EYE_BEHOLDER": "见仁见智"
"HOMIES_TANK_DESC": "呼叫一辆坦克送达。"
"UNL_DESC_DAMAGE_BULLET_3": "从子弹受到的伤害减少 20%%"
"UNL_DESC_CRIB_SHAUNDIS_EX": "肖恩蒂前男友的公寓现在是圣徒据点。在这里可以存取武器库与衣服。"
"UNL_DLC_PREORDER01_WEAPONS": "武器 - 元气发射器"
"UNL_DAMAGE_FALL_2": "伤害 - 坠落 2"
"UNL_DESC_STRONGHOLD_04_CUSTOMIZATION": "在三秒压制据点定制这个根据地，获取丰厚加成。"
"UNL_NOTORIETY_COPS_2": "恶名 - 警方 2"
"UNL_DESC_UPGRADE_AMMO_SMG_3": "可携带多 75%% 的冲锋枪弹药"
"UNL_WEEKLY_CASH_FOR_HOS": "加成 - 女孩生意"
"TUT_WHORED_Z_ANGEL_DE": "死神安吉尔"
"TUT_WHORED_TANK": "坦克"
"UNL_DESC_CASH_LIMIT_DECKER_2": "升级伯恩斯山核反应堆据点后，你的城市收入转账上限提升。"
"UNL_DESC_SPRINT_3": "冲刺距离延长 75%%"
"UNL_DESC_HOMIE_REPAIR": "维修兄弟可在你的手机“PHONE”菜单中找到。他会修理你当前的载具。"
"UNL_HOMIE_TANK": "兄弟 - 坦克"
"UNL_DESC_CASH_MULTIPLIER_4": "收到的所有现金增加 25%%"
