"MENU_LEFT_MOUSE": "鼠标左键"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "THE A BUTTON"
"PLT_MENU_DISPLAY_PRESET": "预设"
"PC_DOF_RANGE": "景深焦段范围"
"PC_FOV_HINT": "摄像机视野"
"PC_HANDYCAM_HINT": "手持摄像抖动强度"
"BTN_BACK_TXT": "THE A BUTTON"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PC_W_DEFAULT": "默认"
"PC_WEATHER_HINT": "天气设置"
"PC_DOF_ZOOM": "变焦"
"PC_PAUSE_HINT": "暂停回放"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   机头下压"
"PLT_MENU_DISPLAY_1": "主屏"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "硬盘已满。\n请选择其他位置保存。"
"PC_VOICE_HINT": "开启/关闭全部语音"
"PC_ZT_CUT": "硬切"
"PC_EXPORT_LOCK": "导出锁定"
"PC_EXPORT_SETTINGS": "导出设置"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_SELECT_TARGET_HINT": "使用操作键选择目标"
"PC_DOF_OFF": "关"
"PC_AV_OPTIONS_HINT": "显示环境选项对话框"
"PC_PLAY_FAST_HINT": "快速回放录制内容"
"PCACTION_CONSUME_DOWN": "向下使用物品"
"PCACTION_RELOAD": "装填武器"
"PC_SM_FAST": "快速"
"PC_CAMERA_DONE": "完成"
"PLAYBACK_MODE_WARNING_TEXT": "这会停止当前录制，让你对其进行剪辑、保存并导出为视频。若要录制新的电影片段，你需要返回主菜单。要继续进入电影剪辑器吗？"
"PCACTION_FORWARD": "向前移动"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   向右移动"
"PC_PLAY_HINT": "回放录制内容"
"PC_EXPORTING_VIDEO": "正在导出视频"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PC_W_THUNDERSTORM": "雷雨"
"PC_FADE_HUD": "淡出 HUD"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "动作"
"PC_DOF_RANGE_HINT": "景深焦段范围"
"PC_COPY_NEXT": "复制下一个"
"PC_EXPORT_EXPLANATION": "停止剪辑并开始导出为视频？"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"PC_SLOWMO_HINT": "慢动作设置"
"RECORD_MODE_WARNING": "录制电影片段"
"PCACTION_RADIO_PREVIOUS": "上一个电台"
"PCACTION_WEAPON_3": "武器 3"
"PC_EDIT_PROPERTIES": "编辑属性"
"BTN_START_TXT": "THE A BUTTON"
"PCACTION_WEAPON_6": "武器 6"
"PLT_MENU_SHADOW_DETAIL": "    阴影细节"
"PC_OPTIONS_EXIT_HINT": "关闭选项对话框"
"BTN_BLACK_TXT": "THE A BUTTON"
"PRESS_ANY_KEY_TEXT": "按下任意新按键，或按 ESC 取消。"
"PCACTION_RADIAL_MENU": "环形菜单"
"PC_OPTIONS": "选项"
"PC_ZONE_TYPE": "区域类型"
"PC_CZ_EXIT_HINT": "关闭摄像机区域对话框"
"BTN_RTRIGGER_TXT": "THE A BUTTON"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   发射武器 2"
"PLT_TRILINEAR": "三线性"
"PC_LOAD_CHAR": "载入默认"
"PC_SM_NORMAL": "正常"
"PC_DOF_DIST_HINT": "景深距离"
"PCACTION_PAUSE": "暂停菜单"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   向左滚转"
"PC_VOICE": "语音"
"PC_SHOW_KEYS_HINT": "显示剪辑快捷键"
"PC_EDIT_EXPLANATION": "你即将剪辑一个非活动摄像机区域的摄像机。当前的摄像机位置将覆盖之前的位置。"
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "向右看"
"PC_TOD_MORNING": "早晨"
"PC_GS_BACKGROUND": "背景"
"PLT_MENU_DISPLAY_4": "第四屏"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "硬盘剩余空间不足，无法完成存档。"
"PC_MOVEMENT_SENSITIVITY_HINT": "摄像机移动灵敏度"
"PC_CONFIRM_EXIT": "确认退出"
"PCACTION_WEAPON_8": "武器 8"
"PCACTION_CROUCH": "蹲下"
"MAINMENU_SYSLINK": "局域网游戏"
"PC_HIDE_HUD": "隐藏 HUD"
"PRESS_ANY_KEY_CAPTION": "按下新按键"
"PCACTION_CONSUME_LEFT": "向左使用物品"
"PCACTION_WEAPON_2": "武器 2"
"PC_AV_EXIT_HINT": "关闭环境对话框"
"PC_EXIT_HINT": "退出剪辑编辑器"
"PC_DELETE_CZ": "删除"
"PCACTION_REVERSE": "刹车/倒车"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "小地图相对玩家朝向的旋转方式"
"PC_HANDYCAM": "手持摄像"
"PC_POSITION_CAMERA": "摆放摄像机"
"PC_SM_VERY_SLOW": "极慢"
"PC_CAMERA_DONE_HINT": "关闭对话框"
"PC_GREEN_SCREEN": "绿幕"
"DPAD_LEFT_TXT": "THE A BUTTON"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"MENU_HIGH": "高"
"PC_MOVEMENT_SENSITIVITY": "移动灵敏度"
"PC_CM_FOLLOW_LOOK": "跟随查看"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"PC_SOUNDFX": "音效"
"PAUSE_MENU_PLAYBACK_MODE": "编辑电影片段"
"HUD_DROP_ITEM_MESSAGE": "丢弃 %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "向左平移"
"PC_ADVANCED_MODE": "高级模式"
"PC_SHOW_HUD_HINT": "切换界面透明度"
"PC_CONFIRM_EXPORT": "确认导出"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "拾取 %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "方向键左/右"
"PC_DOF_HINT": "景深类型 - 影响距离与焦段范围"
"PC_AUDIO_TOGGLES": "音频"
"HUD_PICKUP_UNNAMED_OBJECT": "拾取"
"PCACTION_LOOK_LEFT": "向左看"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   向前行驶"
"PC_OUTPUT_ONLY_HINT": "导出时隐藏时间轴等信息"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "越高越好，但速度越慢"
"MENU_LOW": "低"
"PLT_MENU_SETUP_MIC": "设置麦克风"
"MENU_OPTIONS_CLIP_SELECT": "电影片段"
"PC_SM_SLOW": "慢速"
"PC_GS_PLAYER_HINT": "切换玩家渲染"
"PC_SELECT_TARGET": "选择目标"
"DPAD_TXT": "方向键"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"PC_EXPORT_HINT": "将片段导出为视频"
"PCACTION_GRAB_HUMAN": "抓取人质"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "全屏、窗口或无边框"
"PLT_MENU_TEXTURE_FILTER_MODE": "    过滤模式"
"MAINMENU_MACHINIMA_MODE": "编辑电影片段"
"PC_COPY_CURRENT_HINT": "基于当前区域创建新的摄像机区域"
"MENU_ULTRA": "极致"
"PCACTION_WEAPON_7": "武器 7"
"PC_LOAD_CHAR_HINT": "载入默认角色模型"
"PC_GS_VEHICLES_HINT": "切换载具渲染"
"PC_PROPS": "属性"
"PC_CAM_TILT_HINT": "摄像机俯仰"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "THE A BUTTON"

