// extra_dumps ref: activity - JP/CZ reference for keys in extra_activity_us.txt
"CHOPSHOP_VIEW_DETAILS": "JP: 詳細を見る || CZ: PODROBNOSTI"
"ACT_GUARDIAN_ANGEL_BEHIND_ATTACKER": "JP: 客の[format][color:red]背後[/format]から敵が迫っている || CZ: ÚTOČNÍK SE BLÍŽÍ. JE [format][color:red]ZA[/format] KLIENTOVÝMI ZÁDY"
"ACT_FRAUD_DONT_KILL": "JP: 人を殺すと毎回ペナルティーが科される || CZ: ZA KAŽDÉHO ZABITÉHO DOSTANEŠ POSTIH"
"ACT_ESCORT_TRIP_BROTHEL_MSG": "JP: [format][color:green]客[/format]を飽きさせるな\n[format][color:teal]サロン[/format]へ連れて行け || CZ: ZAVEZ [format][color:green]KLIENTA[/format] ZA EXTRA ZÁBAVOU DO [format][color:teal]BORDELU[/format]"
"ACT_VANDAL_HELICOPTER_MSG": "JP: ヘリ || CZ: HELIKOPTÉRY"
"ACT_TORCH_TIME_EARN_PARAMETERIZED_STRING": "JP: チェックポイントを通過すると残り時間が追加される || CZ: NA KONTROLNÍM BODU SE TI KE ZBÝVAJÍCÍMU ČASU PŘIDAJÍ BONUSOVÉ SEKUNDY."
"ACT_FRAUD_BONUS_LOCATION": "JP: ミニマップに表示されている地域でダイブするとボーナスを獲得できます || CZ: POKUD SE ZKÁCÍŠ NA MÍSTĚ VYZNAČENÉM NA MINIMAPĚ, ZÍSKÁŠ BONUS."
"ACT_ESCORT_FOOTAGE": "JP: 撮影 || CZ: ZÁBĚRY"
"ACT_VANDAL_COMBO_TOTAL": "JP: コンボ合計：%lsドル || CZ: KOMBO CELKEM: %ls"
"ACT_PIMPING_TRAP_SPRUNG_KILL_DECKERS": "JP: 罠だ！[format][color:red]デッカー[/format]を全員始末してから、[format][color:green]協力者[/format]たちをスカウトしろ || CZ: JE TO PAST! NEJDŘÍV ZABIJ VŠECHNY [format][color:red]DECKERY[/format] A PAK NAVERBUJ [format][color:green]INFORMÁTORY[/format]."
"ACT_HELI_ACTIVITY_BOMB_MESSAGE": "JP: 爆薬を仕掛けて[format][color:blue]建造物[/format]を破壊しろ || CZ: NASTAV NÁLOŽE NA ZNIČENÍ TÉHLE [format][color:blue]BUDOVY[/format]"
"GAMEPLAY_SMOKED": "JP: YOU'RE SMOKED！\nヤラレちまった！ || CZ: DOSTALI TĚ!"
"ACTIVITY_FAILURE_SUB_TEXT": "JP: 失敗 || CZ:  - NESPLNĚNO"
"ACT_TRAFFICKING_NAME": "JP: デリバリー || CZ: KŠEFTOVÁNÍ"
"CHOP_SPORT_FRONT_BUMPER": "JP: スポーツフロントバンパー || CZ: SPORTOVNÍ PŘEDNÍ NÁRAZNÍK"
"ACT_ESCORT_NEWS_WARNING_MSG": "JP: TV中継車に追いつかれると\n満足度メーターの上昇が止まる || CZ: POKUD SE PŘIBLÍŽÍŠ K NOVINÁŘSKÉ DODÁVCE, PŘESTANE SE UKAZATEL POTĚŠENÍ ZVYŠOVAT."
"CHOP_OFF_ROAD_1_BUMPERS": "JP: オフロードバンパー1 || CZ: TERÉNNÍ NÁRAZNÍKY 1"
"ACT_VANDAL_START_3_MSG": "JP: 連続で物を破壊すると\nコンボボーナスになる || CZ: POKUD VĚCI ZNIČÍŠ RYCHLE PO SOBĚ, ZÍSKÁŠ BONUS ZA KOMBO."
"ACT_RUNNING_MAN_WAGER_DESCRIPTION": "JP: 現在獲得している金額を賭けて、次のレベルで2倍かゼロかの勝負ができる。\n\n次のレベルを無事にクリアすれば、獲得金額は2倍になる。ただし失敗すれば、全額没収される。\n\n一か八かのチャンス！ || CZ: CHCEŠ SI VSADIT SVOU VÝHRU NA DALŠÍ ÚROVEŇ?\n\nKDYŽ JI DOKONČÍŠ, ZDVOJNÁSOBÍŠ SVŮJ ZISK! JEN TO NEPODĚLEJ, NEBO ODEJDEŠ S PRÁZDNOU.\n\nCO TY NA TO?"
"ACTIVITY_NAME_ESCORT": "JP: エスコート || CZ: ESKORTA"
"ACT_ZOMBIE_FAIL": "JP: ゾンビの撃退に失敗した || CZ: NEPODAŘILO SE TI ODRAZIT ZOMBIE"
"ACT_VANDAL_BONUS_TOTAL": "JP: 合計 || CZ: CELKEM"
"ACT_VANDAL_PROPERTY": "JP: 物件 || CZ: NEMOVITOST"
"ACT_TRAFFIC_CHASE_HELICOPTER_NOTORIETY": "JP: [format][color:red]報道ヘリ[/format]のせいで警察の悪評度が上昇している！ || CZ: [format][color:red]ZPRAVODAJSKÁ HELIKOPTÉRA[/format] NA VÁS UPOZORŇUJE POLICAJTY!"
"ACT_TORCH_START_TEXT1": "JP: ガソリンの跡やドラム缶にぶつかって\n大爆発を起こせ || CZ: ZAPAL SUDY S BENZÍNEM A ZPŮSOB OHROMNÉ VÝBUCHY."
"ACT_CHOP_SHOP_DELIVER_CAR_MSG": "JP: ヤミ改造工場に引き渡せ || CZ: Dovez auto do dílny."
"ACT_PIMPING_RESCUE_KILL_COPS": "JP: [format][color:red]警察[/format]を始末して[format][color:green]エステティシャン[/format]を救出しろ！ || CZ: ZABIJ [format][color:red]POLICAJTY[/format] A ZACHRAŇ [format][color:green]ŠLAPKY[/format]"
"ACT_HELI_START": "JP: ヘリアサルトを開始 || CZ: ZAČÍT ÚTOK ZE VZDUCHU"
"ACT_HELI_LIBERATOR_PICKUP_INFORMATION_MESSAGE": "JP: セインツを乗せて[format][color:blue]安全な場所[/format]まで運べ || CZ: VYZVEDNI SVATÉ A ODVEZ JE NA [format][color:blue]BEZPEČNÉ MÍSTO[/format]"
"ACT_VANDAL_SMG_MSG": "JP: サブマシンガン || CZ: SAMOPAL"
"ACT_FRAUD_BONUS_CLIFF_DIVER": "JP: 垂直距離ボーナス || CZ: BONUS ZA SKOK DO VÝŠKY"
"ACT_TRAFFIC_DEALING_PROTECT": "JP: [format][color:green]ディーラー[/format]と[format][color:green]バイヤー[/format]を守れ || CZ: CHRAŇ [format][color:green]DEALERA[/format] I [format][color:green]KUPCE[/format]"
"ACT_PIMPING_RESCUE_CONTACT_KILL_DECKERS": "JP: [format][color:red]デッカ―[/format]を始末して、[format][color:green]協力者[/format]を救助しろ！ || CZ: ZABIJ [format][color:red]DECKERY[/format] A ZACHRAŇ [format][color:green]INFORMÁTORA[/format]!"
"ACT_PIMPING_VEHICLE_ROUTE_HOS": "JP: [format][color:red]車[/format]を止めて[format][color:green]エステティシャン[/format]を調達しろ || CZ: ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]ŠLAPKY[/format]."
"ACT_TRAFFIC_DEALER_ATTACK": "JP: [format][color:green]ディーラー[/format]が攻撃されている || CZ: [format][color:green]DEALER[/format] BYL NAPADEN"
"ACT_PIMPING_RECAPTURE_START": "JP: [format][color:red]スカウト[/format]が[format][color:green]エステティシャン[/format]を\n連れだしている。奪い返せ！ || CZ: [format][color:red]MORNINGSTAR[/format] BERE JEDNU Z TVÝCH [format][color:green]ŠLAPEK[/format]. DOSTAŇ JI ZPÁTKY"
"ACT_FRAUD_BONUSES": "JP: ボーナス合計： || CZ: TVÉ BONUSY:"
"ACT_VANDAL_BONUS_MSG": "JP: ボーナス || CZ: BONUS"
"ACT_PIMPING_TRAP_GET_HOS": "JP: よくやった！[format][color:green]エステティシャン[/format]を調達しろ！ || CZ: DOBRÁ PRÁCE, TEĎ [format][color:green]TY ŠLAPKY[/format] NAJMI!"
"ACT_GUARDIAN_ANGEL_RIGHT_ATTACKER": "JP: [format][color:red]右[/format]から敵が迫っている || CZ: ÚTOČNÍK SE BLÍŽÍ [format][color:red]ZPRAVA[/format]"
"ACT_FRAUD_BONUS_SUCCESSIVE_CARS": "JP: ピンボールボーナス || CZ: BONUS ZA PINBALL"
"ACT_ESCORT_FAIL_FOOTAGE": "JP: 映像を撮られすぎた。脇道を利用して報道陣をまけ || CZ: FOTOGRAFOVÉ ZÍSKALI PŘÍLIŠ MNOHO ZÁBĚRŮ, UHÝBEJ JIM DO BOČNÍCH ULIČEK"
"ACT_ESCORT_TOUCH_MINIGAME_MSG": "JP: {ANALOG_RS_IMG}を使ってスペシャルスポットを見つけたら{ANALOG_LS_IMG}で叩け || CZ: Pomocí {ANALOG_RS_IMG} najdi speciální místo a pak do něj {ANALOG_LS_IMG} šťouchni "
"ACT_ESCORT_OBJECTIVE_MSG": "JP: パパラッチを避けながら、ダンサーと一緒に街中をドライブして[format][color:green]客[/format]を満足させろ || CZ: Potěš [format][color:green]klienty[/format] jízdou po městě s doprovodem a vyhni se paparazziům."
"ACT_VANDAL_CAR_STANDARD_MSG": "JP: セダン || CZ: SEDANY"
"ACT_PIMPING_GET_CLOSER_TO_HOS": "JP: [format][color:green]エステティシャン[/format]に近付け || CZ: DOSTAŇ SE KE [format][color:green]ŠLAPKÁM[/format] BLÍŽ"
"ACT_VANDAL_TRUCK_BIG_SEMI_CAB_MSG": "JP: セミトレーラー || CZ: PŘÍVĚSY"
"ACT_VANDAL_AIRPLANE_MSG": "JP: 飛行機 || CZ: LETADLA"
"ACT_PIMPING_RESCUE_PIMPS_REROUTE": "JP: [format][color:green]エステティシャン[/format]がさらわれた。すぐに救出しろ！ || CZ: [format][color:green]ŠLAPKY[/format] BYLY UNESENY, JDI JE ZACHRÁNIT"
"ACT_ESCORT_FAIL_CAR_DESTROYED": "JP: 車が破壊された || CZ: TVÉ AUTO BYLO ZNIČENO"
"HASH_6A5B3243": "JP: スタート不可 || CZ: AKTIVITA NENÍ DOSTUPNÁ"
"ACT_WHORED_ZOMBIE_CHAINSAW_FAIL": "JP: 七面鳥なんか怖くないぞ || CZ: Krocani se tě bát nebudou."
"ACT_WHORED_SAUSAGE_FEST": "JP: ソーセージ天国 || CZ: Pořádná zásoba zdravejch párečků."
"ACT_PIMPING_CONTACTS_COLON": "JP: 協力者: || CZ: INFORMÁTOŘI:"
"ACT_GUARDIAN_ANGEL_NAME": "JP: ガーディアンエンジェル || CZ: STRÁŽNÝ ANDĚL"
"ACT_TRAFFIC_DEALER_WAITING": "JP: [format][color:green]ディーラー[/format]は出発する準備ができている || CZ: [format][color:green]DEALER[/format] JE PŘIPRAVENÝ JET."
"ACT_HELI_LIBERATOR_ATTACK_INFORMATION_MESSAGE": "JP: [format][color:red]バス[/format]を撃って停止させろ || CZ: ZASTAV [format][color:red]AUTOBUSY[/format] STŘELBOU"
"ACT_ESCORT_SPOUSE_SPAWNED": "JP: [format][color:green]客[/format]の[format][color:red]連れ[/format]をまけ || CZ: VYHNI SE [format][color:green]KLIENTOVU[/format] [format][color:red]PARTNEROVI[/format]"
"ACT_FRAUD_BONUS_COOP_CHAIN": "JP: 連続ボーナス || CZ: BONUS ZA SÉRII"
"ACT_ESCORT_ALMOST_LOSE_MSG": "JP: あと少しでメディアがスクープに必要な尺を撮りきってしまう || CZ: MÉDIA MAJÍ TÉMĚŘ DOSTATEK ZÁBĚRŮ"
"ACT_ESCORT_OBJECTIVE_TEXT_01": "JP: 客のリクエスト通りに行動しろ || CZ: UDĚLEJ VŠECHNO, CO BUDE KLIENT CHTÍT "
"ACT_FRAUD_VISIT_BONUS_AREA": "JP: マップ上のマークのついた[format][color:teal]場所[/format]では\nアドレナリンを多く獲得できる || CZ: NA ZVLÁŠŤ OZNAČENÝCH [format][color:teal]MÍSTECH[/format] MAPY ZÍSKÁŠ ADRENALINOVÝ BONUS."
"ACT_FRAUD_HUD_MULT_X": "JP: X || CZ: X"
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "JP: 殺害した市民 || CZ: ZABITÍ LIDÉ"
"ACT_HELI_PROTECTION_HUD_TEXT": "JP: 阻止数 || CZ: POČET ZASTÁVEK"
"ACT_ESCORT_NEAR_MISS_MSG": "JP: [format][color:green]客[/format]からのリクエストだ\n%d回連続でニアミスしろ || CZ: [format][color:green]KLIENT[/format] SI PŘEJE, ABYS UDĚLAL %d NÁJEZDŮ ZA SEBOU"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "JP: [format][color:red]スカウト[/format]を始末して\n[format][color:green]エステティシャン[/format]を救出しろ！ || CZ: ZABIJ [format][color:red]MORNINGSTARY[/format] A ZACHRAŇ [format][color:green]ŠLAPKY[/format]!"
"ACT_HUMAN_TORCH_TITLE": "JP: ファイアレースレベル選択 || CZ: VÝBĚR ÚROVNĚ ŽIVÉ POCHODNĚ"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "JP: こちらに向かっている[format][color:red]ヘリ[/format]が確認された || CZ: Zločinecká spojka zahlédla blížící se [format][color:red]helikoptéru[/format]."
"ACT_FRAUD_NO_SCORE": "JP: [format][color:teal]スコアリングエリア[/format]の外でやられたフリをしても、お金はもらえないぞ || CZ: POTOPIL SES MIMO [format][color:teal]BODOVACÍ OBLAST[/format]. ŽÁDNÉ PENÍZE NEDOSTANEŠ."
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "JP: 保険金詐欺歩行者目撃記録 || CZ: REKORD PODVODU 'SVĚDEK'"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "JP: 保険金詐欺距離記録 || CZ: REKORD PODVODU 'SKOK DO DÁLKY'"
"ACT_VANDAL_BONUS_WEAPON": "JP: 武器ボーナス || CZ: BONUS ZA ZBRAŇ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "JP: 4... || CZ: 4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "JP: まだ[format][color:green]協力者[/format]が足りない || CZ: POTŘEBUJEŠ VÍC [format][color:green]INFORMÁTORŮ[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "JP: 罠だ！\n[format][color:green]エステティシャン[/format]をスカウトする前に[format][color:red]スカウト[/format]を全員始末しろ || CZ: JE TO PAST! ZABIJ VŠECHNY [format][color:red]MORNINGSTARY[/format], NEŽ ANVERBUJEŠ [format][color:green]ŠLAPKY[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "JP: [format][color:green]仲間の車[/format]の損傷が激しい || CZ: [format][color:green]AUTO TVÉHO PARŤÁKA[/format] JE VÁŽNĚ POŠKOZENÉ"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "JP: 時間切れだ || CZ: Vypršel čas."
"ACT_VANDAL_PEDESTRIAN": "JP: 歩行者 || CZ: CHODEC"
"ACT_VANDAL_IN_DISTRICT_MSG": "JP: 提供された武器で手当たり次第破壊しまくってキャッシュを獲得しろ || CZ: Za zničení objektů, vozidel a lidí pomocí poskytnutých zbraní získáš peníze."
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "JP: レース終了までに、人や車に激突してタイムボーナスを獲得しろ || CZ: CESTOU DO CÍLE ZÍSKEJ ZA NARÁŽENÍ DO LIDÍ A DO VOZŮ BONUSOVÝ ČAS"
"ACT_FRAUD_ADRENALINE_READY": "JP: アドレナリンモード発動 || CZ: ADRENALINOVÝ REŽIM AKTIVNÍ"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "JP: 大型車 || CZ: VELKÁ AUTA"
"ACT_CLIENT_HASNT_COMPLETED": "JP: （{CLIENT_NAME}はまだ完了していない） || CZ: ({CLIENT_NAME} NEDOKONČIL)"
"ACT_LEVEL_7": "JP: レベル7 || CZ: ÚROVEŇ 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "JP: こちらに向かっている[format][color:red]車[/format]が目撃された || CZ: Zločinecká spojka zahlédla blížící se [format][color:red]auto[/format]."
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "JP: ヘリは満員だ。乗客を[format][color:blue]安全な場所[/format]へ連れて行け || CZ: HELIKOPTÉRA JE PLNÁ, ODVEZ CESTUJÍCÍHO DO [format][color:blue]BEZPEČÍ[/format]"
"ACT_FRAUD_HITS_HUD": "JP: 命中： || CZ: ZÁSAHY:"
"ACT_ESCORT_LIMO_MSG": "JP: 客を[format][color:green]車[/format]で迎えに行け || CZ: VEZMI [format][color:green]AUTO[/format] A JEĎ VYZVEDNOUT KLIENTA"
"ACT_WHORED_OLD_SCHOOL": "JP: ダッシュと自然回復なし。\nショットガンと気合いで生き延びろ！ || CZ: Žádný sprint, žádná regenerace zdraví, jen brokovnice a pud sebezáchovy."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "JP: 罠だ！[format][color:green]エステティシャン[/format]をスカウトして、脱出しろ || CZ: JE TO PAST! NAVERBUJ [format][color:green]ŠLAPKY[/format] A VYPADNI."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "JP: THE AIRPORT || CZ: LETIŠTĚ"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "JP: ボーナス：%sを破壊した（+%dドル） || CZ: BONUS: ZNIČ %s (+%d DOLARŮ)"
"ACT_TRAFFIC_PROTECT_M": "JP: 本日の配達が終了するまで\n[format][color:green]ディーラー[/format]を守れ || CZ: CHRAŇ [format][color:green]DEALERA[/format] BĚHEM DNEŠNÍ ROZVÁŽKY"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "JP: [format][color:red]車[/format]を止めて[format][color:green]エステティシャン[/format]を調達しろ || CZ: ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]ŠLAPKU[/format]."
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "JP: %d秒以内に標的から離れろ || CZ: MÁŠ %d SEKUND NA ÚNIK OD CÍLE"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "JP: フロントガラス砲ボーナス || CZ: BONUS ZA AUTODĚLO"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "JP: {HANDBRAKE_IMG}%0.1f 秒間ドリフトしてトラを落ち着かせろ || CZ: JEĎ {HANDBRAKE_IMG} SMYKEM PO %0.1f SEKUND, AŤ TYGRA UKLIDNÍŠ"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "JP: 車が沈んだ || CZ: UTOPIL JSI AUTO"
"ACT_VANDAL_TEAM_BONUS_MSG": "JP: %lsを片付けるとボーナスが出るぞ || CZ: Pokud zahyne %ls, získáš zvláštní bonus."
"ACT_ESCORT_CLIENT_MSG": "JP: [format][color:green]客[/format]を車に乗せろ || CZ: VYZVEDNI [format][color:green]KLIENTA[/format]"
"ACT_WHORED_ZOMBIE_INFERNO": "JP: 走るゾンビ、爆発するゾンビ、燃えてるゾンビが襲い来る。当然、体力回復なんてなし || CZ: Zombie běhají, vybuchují a podpalují tě. Jo, a nebude ti ani přibývat zdraví. Ano, jsme zlí."
"ACT_RUNNING_MAN_WAGER_TITLE": "JP: ダブルダウンのチャンス || CZ: DVOJNÁSOBEK?"
"ACT_ESCORT_NAME": "JP: エスコート || CZ: ESKORTA"
"ACT_EARNED_RESPECT": "JP: %dのリスペクトを獲得した！ || CZ: Získáno %d respektu!"
"ACT_VANDAL_STATION_WAGON_MSG": "JP: ステーションワゴン || CZ: KOMBÍKY"
"ACT_FRAUD_CURRENT_HIT": "JP: 前回の記録： || CZ: POSLEDNÍ ZÁSAH:"
"ACT_CHOP_NOT_WANTED": "JP: その車は引き取り対象外だ  || CZ: O tohle auto nemá dílna zájem. "
"ACT_TORCH_FRENZY_INSTRUCTIONS": "JP: 時間内に印のついたターゲットをすべて燃やせ || CZ: Spal všechny označené cíle, než vyprší čas."
"ACT_VANDALISM_TITLE": "JP: メイヘムレベル選択 || CZ: VÝBĚR ÚROVNĚ VANDALSTVÍ"
"ACT_LEVEL_3": "JP: レベル3 || CZ: ÚROVEŇ 3"
"ACT_CHOP_SHOP_NAME": "JP: ヤミ改造工場 || CZ: AUTODÍLNA"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "JP: 保険金詐欺垂直ダイブ記録 || CZ: REKORD PODVODU 'SKOKAN'"
"ACT_CHOP_SHOP_MODS_REQUIRED": "JP: 特別な改造が必要な車もある || CZ: Některá auta potřebují zvláštní úpravy."
"ACT_VANDAL_SUMMARY_PEOPLE": "JP: 市民 || CZ: LIDÉ"
"ACT_VANDAL_GOAL_MSG": "JP: ゴール： || CZ: CÍL:"
"ACT_TRAFFIC_PROTECT_F": "JP: 本日の配達が終了するまで\n[format][color:red]ディーラー[/format]を守れ || CZ: CHRAŇ [format][color:red]DEALERA[/format] BĚHEM DNEŠNÍ ROZVÁŽKY"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "JP: [format][color:green]セインツ[/format]を乗せて[format][color:blue]安全な場所[/format]まで運べ || CZ: VYZVEDNI [format][color:green]SVATÉ[/format] A ODVEZ JE DO [format][color:blue]BEZPEČÍ[/format]"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "JP: ディーラーの手錠を外せ || CZ: SUNDEJ DEALEROVI POUTA"
"ACT_FRAUD_BONUS_COP_WITNESS": "JP: 警官目撃ボーナス || CZ: BONUS ZA POLICEJNÍHO SVĚDKA"
"ACT_CHOP_REJECT_BURNING": "JP: 燃えた車は引き取り対象外だ！ || CZ: O hořící auto nemá dílna zájem!"
"ACT_HUMAN_TORCH_NAME": "JP: ファイアレース || CZ: ŽIVÁ POCHODEŇ"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "JP: 逃走用の車が破壊されてしまった || CZ: Únikové auto bylo zničeno. "
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "JP: スポーツカーボーナス || CZ: BONUS ZA SPORTOVNÍ AUTA"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "JP: 協力者が1人死亡した！もう1人調達しろ || CZ: JEDEN Z INFORMÁTORŮ ZEMŘEL! BUDEŠ POTŘEBOVAT DALŠÍHO."
"ACT_FRAUD_HIT": "JP: 命中： || CZ: ZÁSAHY:"
"ACT_VANDAL_LAUNCHER_MSG": "JP: ロケットランチャー || CZ: RAKETOMET"
"ACT_VANDAL_NIGHTSTICK_MSG": "JP: 警棒 || CZ: PENDREK"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "JP: ボーナス：%sを使用した（+%dドル） || CZ: BONUS: POUŽIJ %s (+%d DOLARŮ)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "JP: ボーナス：%sを片付けた（+%dドル） || CZ: BONUS: ZABIJ %s (+%d DOLARŮ)"
"ACT_ESCORT_SPAWNED_MSG": "JP: 追跡してくるTV中継車をまけ || CZ: SETŘES ZPRAVODAJSKÝ VŮZ, KTERÝ SE NA TEBE PŘILEPIL"
"ACT_ESCORT_ROADBLOCK_MSG": "JP: 前方でTV中継車が道路を封鎖している || CZ: ZPRAVODAJSKÉ VOZY TI BLOKUJÍ CESTU"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "JP: スナイパーライフルで[format][color:green]強盗ども[/format]を守れ || CZ: Pomocí odstřelovací pušky ochraň [format][color:green]lupiče[/format]."
"ACT_ESCORT_OUTRUN": "JP: 追っ手をまけ || CZ: SETŘES PRONÁSLEDOVATELE"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "JP: 客が死んでしまった || CZ: KLIENT ZAHYNUL"
"ACT_FRAUD_IN_AREA": "JP: [format][color:teal]スコアリングエリア[/format]が移動するまでに\n目一杯稼げ || CZ: ZÍSKEJ CO NEJVÍC PENĚZ, NEŽ SE [format][color:teal]BODOVACÍ ÚZEMÍ[/format] PŘESUNE"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "JP: 客をひいてしまった || CZ: PŘEJEL JSI KLIENTA"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "JP: %d回目のウェーブをクリアした || CZ: VLNA %d PŘEČKÁNA"
"ACT_FRAUD_BEST_HIT_HUD": "JP: 最高記録： || CZ: NEJLEPŠÍ ZÁSAH:"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "JP: ソーセージ地獄だったか？ || CZ: Měl jsi respektovat maso."
"ACT_LEVEL_5": "JP: レベル5 || CZ: ÚROVEŇ 5"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "JP: エステティシャンを失いすぎだ。調達{RECRUIT_DISMISS_IMG}したら、すぐにその場から逃走しろ  || CZ: ZEMŘELO PŘÍLIŠ MNOHO PROSTITUTEK. NAVERBUJ JE POMOCÍ {RECRUIT_DISMISS_IMG} A PAK ODSUD RYCHLE VYPADNI"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "JP: 保険金詐欺ピンボール記録 || CZ: REKORD PODVODU 'PINBALL'"
"ACT_FRAUD_BONUS_AREA": "JP: エリアボーナス || CZ: BONUS ZA HROMADNÉ POŠKOZENÍ"
"CHOP_CONVERTIBLE_ROOF": "JP: コンバーチブルルーフ || CZ: SKLÁDACÍ STŘECHA"
"ACT_TORCH_FAIL_WATER": "JP: スーツの火を消してしまった。水の近くでは注意しろ || CZ: UHASIL JSI SVŮJ OBLEK, DÁVEJ SI POZOR POBLÍŽ VODY"
"ACT_GUARDIAN_ANGEL_START": "JP: ガーディアンエンジェルを開始 || CZ: ZAČÍT STRÁŽNÉHO ANDĚLA"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "JP: 金持ちドライバーボーナス || CZ: BONUS ZA BOHATÉHO ŘIDIČE"
"ACT_RUNNING_MAN_INTRO_L_3": "JP: ターゲットを破壊し、敵を始末して3,500ドルの損害額を叩き出せ。時間切れになる前にアリーナから脱出しろ。連続で物を破壊すると、コンボボーナスを獲得できる || CZ: Vydělej si 3500 dolarů ničením cílů, zabíjením nepřátel a útěkem z arény dřív, než ti vyprší čas. Za rozbíjení věcí v rychlém sledu dostaneš bonus."
"ACT_VANDAL_PASSENGER": "JP: 乗客 || CZ: CESTUJÍCÍ"
"ACT_FRAUD_NO_TIME": "JP: 時間切れだ || CZ: Vypršel ti čas."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "JP: 急げ！トラを落ち着かせろ！ || CZ: RYCHLE! UKLIDNI TYGRA!"
"ACT_CHOP_SHOP_START": "JP: ヤミ改造工場を開始 || CZ: SPUSTIT AUTODÍLNU"
"ACT_HELI_VAN_LIFE_TEXT": "JP: バン || CZ: POŠKOZENÍ DODÁVKY"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "JP: 高額ターゲット || CZ: CENNÉ CÍLE"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "JP: 時間切れ！ || CZ: ČAS VYPRŠEL"
"ACT_FRAUD_TOTAL_MULTIPLIER": "JP: 合計ボーナス：×%.2fx || CZ: Celkový násobitel: %.2fx"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "JP: 脱出ボーナス || CZ: BONUS ZA KATAPULT"
"ACT_HELI_PROTECTION_CATCH_UP": "JP: [format][color:green]仲間[/format]がお待ちかねだぞ || CZ: TVOJI [format][color:green]PARŤÁCI[/format] NA TEBE ČEKAJÍ"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "JP: こちらに向かっている[format][color:red]バイク[/format]が目撃された || CZ: ZLOČINECKÁ SPOJKA ZAHLÉDLA BLÍŽÍCÍ SE [format][color:red]MOTORKU[/format]"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "JP: 客からのリクエストだ\n%ls %lsをキめろ || CZ: KLIENT MÁ PŘÁNÍ - TVÝM ÚKOLEM TEĎ JE %ls %ls"
"ACT_PIMPING_OBJECTIVE_1": "JP: %d人のエステティシャンをスカウトしてズィーモスの所に連れ戻せ || CZ: NAVERBUJ %d ŠLAPKY A ZAVEZ JE K ZIMOSOVI"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": "JP: 爆薬を設置しろ || CZ: NASTAV NÁLOŽ"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "JP: 政府車両ボーナス || CZ: BONUS ZA CIVILNÍ VOZIDLO"
