"You enjoy this, yes?": "你很享受，是吧？";
"You were with Loren on the plane.  Don't you run Morningstar now?": "你当时跟洛伦在同一架飞机上。晨星帮现在不是你在管吗？";
"You weren't kidding.": "你没开玩笑。";
"You will be there long before me.": "你会比我先到很久。";
"You will go no further, Saint.": "你休想再前进一步，圣徒。";
"You will kneel before me...": "你会跪在我面前……";
"You will not be dying on me today, comrade.": "你今天不许死在我手里，同志。";
"You will not escape me now!": "你现在逃不出我的手掌心了！";
"You win, we won't use the tank...": "你赢了，我们就不用坦克……";
"You won't be disappointed.": "你不会失望的。";
"You won't keep me from it.": "你别想拦我。";
"You won't stop us!": "你们拦不住我们！";
"You work all your girls equally?": "你对所有姑娘一视同仁？";
"You worry too much.": "你操心太多。";
"You would be bored less often if you were getting laid.": "你要是常泄火，就不会老这么无聊。";
"You would enjoy running the store?": "你会喜欢经营这家店？";
"You would think they'd be leaving us alone by now.": "照理说他们现在该放过我们了。";
"You would think they'd notice something was amiss by now.": "照理说他们现在该察觉不对劲了。";
"You wouldn't understand living with the shame I have.": "你不会懂背负我这种耻辱活着是什么滋味。";
"You'd attack your Commander?": "你要攻击你的指挥官？";
"You'd be surprised.": "你会吃惊的。";
"You'd be surprised...": "你会大吃一惊的...";
"You'd look cute in the outfit...": "你穿这身会很可爱……";
"You'd really want to do that?": "你真想那么干？";
"You'd seriously do that?": "你真要那么干？";
"You'd think they were guarding someone important.": "你会以为他们在守什么大人物。";
"You'd think they were guarding something vital...": "你会以为他们在守什么要紧的东西……";
"You'd think they'd break up the party already.": "照理说他们早该散场了。";
"You'd think they'd catch on.": "照理说他们该回过味来了。";
"You'd think they'd get the hint...": "照理说他们该明白了……";
"You'd think they'd stop coming.": "照理说他们该停止进攻了。";
"You'd think this thing would fall faster.": "照理说这玩意儿该掉得更快。";
"You'd threaten your commander?": "你要威胁你的指挥官？";
"You'll be fine.": "你会没事的。";
"You'll be safe with that pimp.": "跟着那皮条客你很安全。";
"You'll do fine, Kwilanna.": "你会干得很好，奎拉娜。";
"You'll fit right in with the Saints, Oleg.": "你会完美融入圣徒的，奥列格。";
"You'll get a better shot from the roof.": "从屋顶上你能打得更准。";
"You'll have to disarm them.": "你得把他们的武器解除。";
"You'll lose control if you don't slow it down.": "再不减速你会失控的。";
"You'll need another boat to crash into the party.": "你还得再弄条船来撞这场派对。";
"You'll never find my guys.": "你永远找不到我的人。";
"You'll never get away with this... STAG, my agent, the Nyte Blaydettes... they'll all come looking for me.": "你们休想得逞……STAG、我的经纪人、夜刃女仆团……他们都会来找我的。";
"You'll never get close enough without them spotting you.": "你根本靠不近，他们老远就发现了。";
"You'll never get to Earth!": "你们永远到不了地球！";
"You'll never leave the Daedelus alive!": "你休想活着离开代达罗斯号！";
"You'll never see Earth, clone!": "你永远见不到地球了，克隆体！";
"You'll never survive.": "你活不下来。";
"You'll never... stop me...": "你永远……拦不住我……";
"You'll see.": "你会看到的。";
"You're a dead man, Eddie.": "你死定了，埃迪。";
"You're a fucking asshole...": "你他妈就是个混蛋……";
"You're a generous man, Z.": "你是个大方人，Z哥。";
"You're a heckuva businessman.": "你是把做生意的好手。";
"You're a hell of a self-promoter, Z.": "你可真会自我营销，Z哥。";
"You're a natural at this Pierce.": "你天生就是这块料，皮尔斯。";
"You're a natural at this!": "你天生就是干这个的料！";
"You're a natural, mate.": "你天生就是这块料，伙计。";
"You're a pretty good shot.": "你枪法不错。";
"You're a walking corpse, Eddie.": "你就是具行尸走肉，埃迪。";
"You're all getting court marshaled for this!": "你们全都要上军事法庭！";
"You're all going down with the ship!": "你们全都要跟这艘船一起沉！";
"You're almost as bad as Pierce.": "你快赶上皮尔斯那么烦人了。";
"You're an absolute gentleman, Mayor Reynolds.": "您真是位十足的绅士，雷诺兹市长。";
"You're being chased by a shit load of Deckers.  Cut him a break.": "后面有一大票赛博帮在追他。饶他一回吧。";
"You're damn right he did.": "他当然干得出来。";
"You're doing a pretty good job of that here, Jenny.": "这活儿你干得挺漂亮，珍妮。";
"You're done.": "你完了。";
"You're dragging me shopping?": "你拉我陪逛街？";
"You're dressed like a leather clan nun, give him some discipline...": "你穿得像个皮革修女会，给他点纪律管教……";
"You're early.": "你来得真早。";
"You're enjoying this a bit, eh?": "你有点乐在其中，嗯？";
"You're enjoying this match, aren't you Bobby?": "你很享受这场比赛，对吧，博比？";
"You're enjoying this, aren't you?": "你很享受这一刻，对吧？";
"You're enjoying yourself, aren't you?": "你玩得很开心，是吧？";
"You're fine, love.  We're the good guys.": "没事的，亲爱的。我们是好人。";
"You're free!": "你自由了！";
"You're getting the hang of it.": "你开始上手了。";
"You're getting under my skin.": "你把我搞得不耐烦了。";
"You're goddamn right they are...": "他们当然是这样，妈的...";
"You're gonna burn, Killbane.": "你要遭火焚的，杀霸。";
"You're gonna fuck Killbane up tonight.": "你今晚要把杀霸打个稀烂。";
"You're gonna lose the signal.": "你要失去信号了。";
"You're gonna need more help than that Frenchyŭ": "光这些帮手可不够，法国佬";
"You're gonna need somethin' big to bring down those helis.  Take this...": "你需要大家伙才能打掉那些直升机。拿着这个……";
"You're gonna take the lead for once?": "这回换你打头阵？";
"You're good.": "你人不错。";
"You're handling this naked thing better than I thought you would.": "你应对天体这事比我预想的淡定多了。";
"You're having fun with this.": "你玩上瘾了。";
"You're hearing things, soldier.": "你听岔了，士兵。";
"You're hitting the gas station first, aren't you?": "你打算先去加油站，对吧？";
"You're in a supply plane for the military.  There has to be something you can use.": "你在军用运输机上。总该有能用的东西。";
"You're in the way of redemption.": "你挡了救赎的路。";
"You're joking, right?": "你在开玩笑，对吧？";
"You're joking.": "你开玩笑。";
"You're just pissed I didn't get you anything.": "你就是在气我没送你东西。";
"You're kidding me, right?": "你在逗我吧？";
"You're kidding me.  Couldn't have done this earlier?": "得了吧。就不能早点干这个？";
"You're kidding me...": "你在逗我吧...";
"You're kidding, right?": "你在开玩笑吧？";
"You're killing all the attackers!  This isn't as dramatic!": "你把攻击者全杀了！这就不戏剧化了！";
"You're kind of vindictive, aren't you?": "你挺记仇的，是吧？";
"You're late with that news, mate.": "你这消息过时了，伙计。";
"You're leavin' me alone on this?": "你要把我一个人撂在这儿？";
"You're lucky I don't blow your ass up myself.": "算你运气好，不然我亲手就把你炸上天了。";
"You're making this harder than it needs to be!": "你把事情搞得比需要的复杂多了！";
"You're nailing this material so far!  Totally fucking KILLING it!  Sent you the location of the next shoot.  Once you're there, we'll get the filming under way.  Just come on back through craft services.": "目前为止你把这段子演绝了！他妈的杀疯了！下一场拍摄的地点发给你了。你一到，我们就开机。直接从餐车服务那边绕回来就行。";
"You're not Oleg.": "你不是奥列格。";
"You're not coming?": "你不来吗？";
"You're not filling me with a lot of confidence.": "你没法让我安心。";
"You're not going to miss the pop of my career, right?": "你不会错过我职业生涯的爆红时刻吧？";
"You're not good at comforting people are you...": "你不太会安慰人，是吧……";
"You're not into brothers?": "你对黑人兄弟不感兴趣？";
"You're not into classical, are you?": "你不爱听古典乐，是吧？";
"You're not kidding for once.": "你这回没开玩笑。";
"You're not kidding, Zach.  Trekking through the jungle with four-hundred pounds of gold bars... no picnic.": "你没开玩笑，扎克。背着四百磅金条穿丛林……可不是野餐。";
"You're not the only one working.": "你不是唯一在干活的人。";
"You're not usually this slow!": "你平时没这么慢！";
"You're nothing more than a virus for me to kill.": "你对我来说不过是待宰的病毒。";
"You're on even ground now, should be a piece of cake.": "现在你们站上了同一块平地，应该小菜一碟。";
"You're one of a kind, Zimos.": "你是独一份，齐莫斯。";
"You're out of your mind, Jezebel.": "你疯了，耶洗别。";
"You're pretty smooth with this.": "你干这个很顺溜嘛。";
"You're printing catalogues of your girls?  That's a new one for me.": "你把姑娘们印成商品目录？这我可头一回见。";
"You're really into the tombstones, aren't ya Miller?": "你还挺迷这些墓碑的，是吧，米勒？";
"You're right Bobby, the last time these two fought, Angel lost his mask to Killbane... the greatest mark of shame in the Lucha Libre world.  It's been years, that had to be eating away at him.": "你说得对，博比，这俩人上回交手时，安吉尔的面具输给了杀霸……那是墨西哥摔跤界最大的耻辱印记。这么多年了，这事肯定一直在啃噬他。";
"You're right!  They used speakers to play that roaring sound hoping to lure the Saints out.  Oh god, I'm so sorry!  I should have seen this coming!": "你说得对！他们用音响放那种咆哮声，就想把圣徒引出来。老天，对不起！我早该想到的！";
"You're right, fuck that question.": "你说得对，去他妈的这个问题。";
"You're right, it's bullshit.": "你说得对，就是扯淡。";
"You're right, let's move.": "你说得对，走。";
"You're right, the bitch is crazy.": "你说得对，那娘们儿是疯了。";
"You're right, you won't be.  He knows how the game is played.": "你说得对，你不会的。他懂这游戏怎么玩。";
"You're right.  Can't let Burt down.": "你说得对。不能让伯特失望。";
"You're right.  Let's take it with.": "你说得对。把它带上。";
"You're right... I can't let Burt down.": "你说得对……我不能让伯特失望。";
"You're safe.  Cut the red wire.": "你安全了。剪红线。";
"You're saying we drop a few pipe bombs under them?": "你是说在它们底下塞几颗钢管炸弹？";
"You're sitting this one out?": "这轮你不上？";
"You're so helpful, Pierce.": "你可真是帮大忙了，皮尔斯。";
"You're still helpin' me, right?": "你还会帮我，对吧？";
"You're stronger than you think, Jenny.": "你比你以为的坚强，珍妮。";
"You're sure this time, right?": "这次你确定，对吧？";
"You're taking his side?": "你要帮他说话？";
"You're taking the Morningstar's prime business.  They won't be happy.": "你在抢晨星帮的头号生意。他们不会高兴的。";
"You're talking about Jenny?": "你说的是珍妮？";
"You're telling me it was all Pierce?": "你是说这一切都是皮尔斯？";
"You're telling me you had a helicopter lying around?": "你是说你一直藏着一架直升机？";
"You're the Bloody Cannoness, you'll think of something.": "你是血腥炮修女，你会想到办法的。";
"You're the Bloody Cannoness... Improvise.": "你是血腥炮修女……即兴发挥。";
"You're the boss.": "你是老大。";
"You're the doomed one, General.": "该完蛋的是你，将军。";
"You're the one making the deliveries.": "送货的是你。";
"You're the one who said to move, so move!": "是你说的要走，那就走！";
"You're the one who started monologing here.": "是你要在这儿长篇独白的。";
"You're the one who started saying crazy things, not me.": "是你在说疯话，不是我。";
"You're trapped, there's nowhere to run!": "你被包围了，没处可逃！";
"You're trying, right?": "你们在努力吧？";
"You're up, Pierce.": "到你了，皮尔斯。";
"You're wastin' a lot of good men tryin' to arrest me, bitch.": "你想抓我，白白折了这么多弟兄，贱人。";
"You're wasting good film on those helicopters!": "你在直升机身上浪费胶片！";
"You're welcome Zach!": "不客气，扎克！";
"You're welcome, and let's forget it ever happened...": "不客气，这事儿咱们就当没发生过……";
"You're welcome.": "不客气。";
"You're welcome...": "不客气……";
"You're what?": "你说什么？";
"You're with us for a reason, Zimos.  Get to pimpin' those girls.": "我们留着你自有道理，齐莫斯。去把那些姑娘们经营起来。";
"You're workin' the slutty nun angle better than I would, trust me.": "这性感修女的戏路你玩得比我强，信我。";
"You're worrying me, kid.": "你让我担心了，小子。";
"You've already lost.  Listen to the crowd chant my name.  I am their dreams come to life, and your nightmare made flesh!": "你已经输了。听听人群在呼喊我的名字。我是他们梦想的化身，是你噩梦的肉身！";
"You've been doing a good job so far of bringing out your inner Saint.": "到目前为止，你把内心的圣徒释放得很好。";
"You've been hangin' around Kinzie to much...": "你跟金吉待太久了……";
"You've been making all the deliveries.": "这一路跑腿的都是你。";
"You've come this far only to fail now.  Earth is doomed.": "你都走到这一步了，现在却要失败。地球完了。";
"You've gone too far this time!": "你这次做过头了！";
"You've gotta be kidding.  And why are we going to Planet Saints?": "你肯定在开玩笑。还有，我们去圣徒星球干什么？";
"You've gotta stop the backseat driving.": "你能不能别在后座指挥了。";
"You've never seen a zombie movie, have you...": "你没看过丧尸片吧……";
"You've put a lot of thought into this.": "你在这上面费了不少心思。";
"You... you saved me!  You're not like the...!": "你……你救了我！你不像那些……！";
"You?  Don't get it twisted buddy, I'm taking on Killbane.": "你？别搞错了伙计，杀霸是我来对付。";
"Your call.  I'm just along for the ride.": "你说了算。我就是搭个顺风车。";
"Your career is over, Killbane.  Be maintaining your dignity and accept your failure in silence.": "你的职业生涯到头了，杀霸。保持你的尊严，默默接受失败吧。";
"Your career's about to crash!": "你的事业就要完蛋了！";
"Your choice here, boss.": "你来定，老大。";
"Your controls are backwards.  Careful where you're going.": "你的操控是反的。开稳点。";
"Your fault for bein' boss I guess.": "谁让你是老大呢。";
"Your girls, you sleep with them all?": "你的姑娘们，你全睡过？";
"Your guys, they are on payroll with commision, yes?": "你的手下，都是有提成拿薪水的，对吧？";
"Your model's always gotta evolve...It's something I learned from Kiki and Viola.": "你的模式总得进化……这是我从琦琦和薇奥拉那儿学来的。";
"Your own bitch did that.  Could you not tell from the stench?": "那是你自己的婆娘干的。那股臭味你都闻不出来？";
"Your party sucks...": "你这派对烂透了……";
"Your presence is needed for the start of the next Genkibowl 7 match, created by the Genki Girl Sexy Kitten.  Please head there as soon as you're able so we can get under way.": "元气杯第七届下一场比赛即将开始，由元气女孩性感小猫设计，恭候您的大驾。请尽快赶过去，好让我们开赛。";
"Your ship is shutting down while in range of the viruses.  Now I want one more stunt, one more close flyby, only faster and with more intensity.  This will be the best scene in the film!  You're gonna kill it!": "你的飞船正在病毒范围内逐步关机。现在我要再来一个特技，再来一次贴地通场，要更快、更劲爆。这将是全片最棒的镜头！你会杀疯的！";
"Your tax dollars at work...": "你们的税金正在“辛勤工作”……";
"Your thoughts?  That's... a disturbing concept.  Whatever you do, don't think about girls.  Just talk to me on the phone.": "你的想法？那……是个让人不安的念头。待会儿无论干什么，千万别想姑娘。就在电话里跟我说。";
"Your thoughts?  Well fucking great, just what I always wanted.  How about we stick to the phone, alright?": "你的想法？好极了，真是“求之不得”。咱们还是电话联系，行吧？";
"Your turn this time, love.  Just like I showed you.": "这次轮到你了，亲爱的。照我演示的来。";
"Your what?!": "你的什么？！";
"Z, have you slept with every single one of your women?": "Z哥，你的女人你每一个都睡过？";
"Z, tell me you have more of this stuff...": "Z哥，告诉我你还有这种货……";
"Z, this stuff is amazing...": "Z哥，这东西绝了……";
"Z, what were you thinking with those strippers?": "Z哥，你找那些舞娘到底怎么想的？";
"Z, you doin' alright?": "Z哥，你还好吗？";
"Z, you fucked up.": "Z哥，你搞砸了。";
"Z, you have more of this stuff, right?": "Z，这玩意你还有存货吧？";
"Zach and Bobby?": "扎克和博比？";
"Zach, weren't you just telling me about some rash you and your wife got from a restaurant last week, right?": "扎克，你刚不是在跟我说，你和你老婆上礼拜在一家餐馆染上的皮疹吗？";
"Zapped like a moth!": "像飞蛾一样被电了个正着！";
"Zhen cut that shit too close.  Let's get to the ship.": "甄刚才险些剪多了。快上船。";
"Zhen.  These are a LOT of guys.": "甄。这人也太多了。";
"Zimos, I gotta ask you something...why'd Kiki and Viola put you in the pony show?": "齐莫斯，我得问你……琦琦和薇奥拉为什么把你扔进\"马戏团把戏\"？";
"Zimos, I gotta ask...": "齐莫斯，我得问问...";
"Zimos, I must ask...": "齐莫斯，我必须问问……";
"Zimos, I need you to tell me how to hit the Morningstar.": "齐莫斯，告诉我怎么打击晨星帮。";
"Zimos, I was...": "齐莫斯，我……";
"Zimos, change of plan.  Get Pierce, we got a boat to catch.": "齐莫斯，计划有变。去接皮尔斯，我们赶船去。";
"Zimos, don't ever piss off your girls this much.": "齐莫斯，千万别把你的姑娘们惹成这样。";
"Zimos, don't worry, I know where we're going.": "齐莫斯，别担心，我知道我们要去哪儿。";
"Zimos, get Pierce.  Change of plans.": "齐莫斯，去接皮尔斯。计划有变。";
"Zimos, things have changed.  Let's hope that's a good thing.": "齐莫斯，情况变了。希望是好事。";
"Zimos, think I have a better idea.  Get Pierce and wait for me.": "齐莫斯，我有个更好的主意。去接皮尔斯，等我消息。";
"Zimos, this is Oleg.": "齐莫斯，我是奥列格。";
"Zimos, where is he?": "齐莫斯，他在哪儿？";
"Zimos, would I ever spill your secret?": "齐莫斯，我会出卖你的秘密吗？";
"Zimos, you're the best.": "齐莫斯，你是最棒的。";
