"MENU_LEFT_MOUSE": "Levé tlačítko"
"PC_W_THUNDERSTORM": "BOUŘKA"
"PC_FADE_HUD": "POSTUPNĚ SKRÝT HUD"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "AKCE"
"CBA_OFC_CROUCH_TOGGLE": "   PŘIKRČENÍ (PŘEPNUTÍ)"
"CBA_VDC_NEXT_RADIO": "   DALŠÍ RÁDIO"
"PLT_MENU_ASPECT": "POMĚR STRAN"
"PC_ENVIRONMENT": "PROSTŘEDÍ"
"PC_GS_BACKGROUND_HINT": "ZAPNOUT/VYPNOUT VYKRESLOVÁNÍ POZADÍ"
"PC_DOF_RANGE_HINT": "DOSAH ROZOSTŘENÍ PODLE VZDÁLENOSTI"
"PC_COPY_NEXT": "ZKOPÍROVAT DALŠÍ"
"PC_EXPORT_EXPLANATION": "Ukončit editaci a zahájit export videa?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "KVALITA GRAFIKY"
"HASH_8DFAAC67": "Pro tuto funkci musíš být online na GOGu nebo se znovu připojit k internetu."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Tato hra používá systém automatického ukládání. Když svítí tato ikonka, hra se právě ukládá do pozice pro automatické uložení.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   SEBRAT/PŘEBÍT"
"CBA_VDC_HANDBRAKE": "   RUČNÍ BRZDA"
"PC_SLOWMO_HINT": "NASTAVENÍ ZPOMALENÉHO ZÁBĚRU"
"RECORD_MODE_WARNING": "NAHRÁT KINOKLIPY"
"PCACTION_RADIO_PREVIOUS": "PŘEDCHOZÍ RÁDIO"
"PCACTION_WEAPON_3": "ZBRAŇ 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "Tento účet služby Steam je již svázán k nějakému THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "OVLADAČ"
"MENU_MOUSE_CONTROLS_INVERT_Y": "INVERTOVAT SVISLOU OSU"
"CBA_GAC_WEAPON_SELECT_8": "   POZICE PRO ZBRAŇ 8"
"PC_EDIT_PROPERTIES": "EDITACE VLASTNOSTÍ"
"BTN_START_TXT": "TLAČÍTKO A"
"PCACTION_WEAPON_6": "ZBRAŇ 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (NIŽŠÍ)"
"MAIN_MENU_MATCHMAKING_FAIL": "Hledání po Steamu nenašlo žádné aktuální hry."
"CBA_GAC_GRENADE_SELECT_2": "   POZICE PRO GRANÁT 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   DOLEVA"
"CBA_VDC_CRUISE_CONTROL_B": "   OMEZOVAČ RYCHLOSTI"
"PLT_MENU_SHADOW_DETAIL": "    DETAILY STÍNŮ"
"PC_OPTIONS_EXIT_HINT": "ZAVŘÍT DIALOG NASTAVENÍ"
"BTN_BLACK_TXT": "TLAČÍTKO A"
"PRESS_ANY_KEY_TEXT": "Stiskni novou klávesu nebo akci zruš pomocí ESC."
"PCACTION_RADIAL_MENU": "OBLOUKOVÉ MENU"
"PC_RECORD_MODE_FAILED_EXPORT": "KVŮLI INTERNÍ CHYBĚ NELZE VIDEO ULOŽIT."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} HODIT GRANÁT\n{GRENADE_SWITCH_IMG} ZMĚNIT TYP GRANÁTU"
"MENU_MIDDLE_MOUSE": "Prostřední tlačítko"
"CBA_VDC_NITRO": "   NITRO"
"PLT_MENU_FULL_SCREEN": "CELÁ OBRAZOVKA"
"PC_OPTIONS": "NASTAVENÍ"
"PC_ZONE_TYPE": "TYP ZÓNY"
"PC_CZ_EXIT_HINT": "ZAVŘÍT DIALOG KAMEROVÉ ZÓNY"
"BTN_RTRIGGER_TXT": "TLAČÍTKO A"
"HASH_299A8B6B": "BEZ OKRAJŮ"
"HASH_58A675AB": "HLEDÁNÍ PŘES GOG"
"HASH_6A37FFEB": "Automatické vyhledávání nedokázalo najít žádnou hru, ke které by bylo možné se připojit."
"COMMUNITY_CREATE_LINK_TEXT": "Zde si můžeš vytvořit nové THQ ID, nebo přiřadit svůj účet služby Steam k již existujícímu."
"CBA_GAC_PAUSE_MENU": "   PAUZA"
"CBA_VDC_HELI_TURN_RIGHT": "   DOPRAVA"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   SEKUNDÁRNÍ STŘELBA"
"PLT_TRILINEAR": "TRILINEÁRNÍ"
"PC_LOAD_CHAR": "NAHRÁT VÝCHOZÍ"
"PC_SM_NORMAL": "NORMÁLNĚ"
"PC_DOF_DIST_HINT": "VZDÁLENOST ROZOSTŘENÍ"
"PCACTION_PAUSE": "POZASTAVENÍ"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} PLYN \n{PLANE_BRAKE_REVERSE_IMG} BRZDA + ZPÁTEČKA \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} OSTRÁ OTOČKA"
"SAVE_CLIP": "Uložit filmový klip"
"CBA_VDC_HELI_FIRE_PRIMARY": "   STŘELBA"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   POHYB DOLEVA"
"PC_VOICE": "HLAS"
"PC_SHOW_KEYS_HINT": "ZOBRAZIT ZKRATKOVÉ KLÁVESY EDITACE"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   LETĚT DOLŮ"
"PC_SOUNDFX_HINT": "ZAPNOUT/VYPNOUT VŠECHNY ZVUKOVÉ EFEKTY"
"PC_SM_VERY_FAST": "VELMI RYCHLÉ"
"PC_EDIT_EXPLANATION": "Chystáš se editovat kameru v neaktivní kamerové zóně. Aktuální pozice kamery přepíše předchozí pozici."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "POHLED DOPRAVA"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} POHYB \nMÍŘÍŠ POMOCÍ MYŠI \n{TANK_FIRE_SECONDARY_IMG} STŘELBA Z PRIMÁRNÍ ZBRANĚ \n{TANK_FIRE_PRIMARY_IMG} STŘELBA ZE SEKUNDÁRNÍ ZBRANĚ"
"CBA_OFC_ZOOM_IN": "   PŘIBLÍŽIT"
"MULTI_LOST_CONNECTION": "Připojení na Steam bylo ztraceno.\nProbíhá návrat do hlavní nabídky."
"PC_TOD_MORNING": "RÁNO"
"PC_GS_BACKGROUND": "POZADÍ"
"SAVING_CONTENT_BODY": "Nevypínej prosím hru."
"CBA_GAC_WEAPON_SELECT_6": "   POZICE PRO ZBRAŇ 6"
"CBA_VDC_ACCELERATE": "   PLYN"
"CBA_VDC_PLANE_TURN_RIGHT2": "   NÁKLON DOPRAVA"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPNÍ 8X"
"MENU_CUSTOM": "VLASTNÍ"
"PLT_MENU_DISPLAY_4": "ČTVRTÝ"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "Na pevném disku není dostatek volného místa a proto nelze uložení pozice dokončit."
"PC_MOVEMENT_SENSITIVITY_HINT": "CITLIVOST POHYBU KAMERY"
"PC_CONFIRM_EXIT": "POTVRDIT KONEC"
"PCACTION_WEAPON_8": "ZBRAŇ 8"
"PCACTION_CROUCH": "SKRČIT SE"
"MENU_MOUSE_BUTTON_3": "Myš 3"
"MENU_CATEGORY_HELI": "VRTULNÍK"
"PLT_QUIT_GAME": "UKONČIT HRU"
"MAINMENU_SYSLINK": "LAN HRA"
"PC_HIDE_HUD": "SKRÝT HUD"
"PRESS_ANY_KEY_CAPTION": "STISKNI NOVOU KLÁVESU"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   HODIT GRANÁT"
"PC_CA_EDIT_EXPORT": "NAČÍST A UPRAVT"
"PCACTION_CONSUME_LEFT": "SPOTŘEBOVAT (DOLEVA)"
"PCACTION_WEAPON_2": "ZBRAŇ 2"
"HASH_F44E5932": "%ls tě zve do hry. \nChceš se připojit?"
"PC_RECORD_MODE_ENABLE_WARNING": "REŽIM ZÁZNAMU MŮŽE HRU ZPOMALIT. KVŮLI OCHRANĚ AUTORSKÉHO PRÁVA BUDOU HUDBA A RÁDIO VYPNUTY. POKRAČOVAT?"
"PLT_MENU_AMBIENT_OCCLUSION": "    ZASTÍNĚNÍ OKOLÍM"
"PC_CREATE_CHAR": "VYTVOŘIT/IMPORTOVAT"
"PC_W_OVERCAST": "ZATAŽENO"
"PC_AV_EXIT_HINT": "ZAVŘÍT DIALOG PROSTŘEDÍ"
"PC_EXIT_HINT": "UKONČIT EDITOR KLIPŮ"
"PC_DELETE_CZ": "SMAZAT"
"PCACTION_REVERSE": "BRZDA/ZPÁTEČKA"
"CBA_OFC_MELEE_NUT_SHOT": "   ÚTOK ZBLÍZKA"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   ZATOČIT DOLEVA"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "VYHLAZOVÁNÍ HRAN"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "OTÁČENÍ MINIMAPY V ZÁVISLOSTI NA SMĚRU HRÁČE"
"PC_HANDYCAM": "RUČNÍ KAMERA"
"PC_POSITION_CAMERA": "UMÍSTĚNÍ KAMERY"
"PC_RECORD_MODE_CANCEL_ENCODE": "OPRAVDU TOTO VIDEO NECHCEŠ ULOŽIT? VIDEO BUDE ZTRACENO."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} PŘIDAT VÝŠKU\n{HELI_DOWN_IMG} UBRAT VÝŠKU\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} RYCHLÁ OTOČKA"
"MENU_RIGHT_MOUSE": "Pravé tlačítko"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   POHYB DOZADU"
"MENU_ON": "ZAP"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Hledá se LAN hra..."
"PC_SM_VERY_SLOW": "VELMI POMALÉ"
"PC_CAMERA_DONE_HINT": "ZAVŘÍT DIALOG"
"PC_GREEN_SCREEN": "ZELENÁ OBRAZOVKA"
"DPAD_LEFT_TXT": "TLAČÍTKO A"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Dokumenty\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "NASTAV OBTÍŽNOST HRY"
"MULTI_MATCHMAKING": "HLEDÁNÍ PO STEAMU"
"CBA_VDC_BIKE_LEAN_FWD": "   NÁKLON DOPŘEDU"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, ROZMAZÁNÍ POHYBU A HLOUBKA OSTROSTI"
"MENU_HIGH": "VYŠŠÍ"
"PC_MOVEMENT_SENSITIVITY": "CITLIVOST POHYBU"
"PC_CM_FOLLOW_LOOK": "NÁSLEDOVAT POHLEDEM"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Kolečko nahoru"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "HORIZONTÁLNÍ CITLIVOST"
"CBA_GAC_WEAPON_SELECT_2": "   POZICE PRO ZBRAŇ 2"
"CAA_DRIVE_STEER_POS": "   DOPRAVA"
"PC_CA_DELETE": "SMAZAT"
"PC_SOUNDFX": "ZVUKOVÉ EFEKTY"
"PAUSE_MENU_PLAYBACK_MODE": "EDITOVAT ZÁZNAM"
"HUD_DROP_ITEM_MESSAGE": "ODHODIT: %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "ÚKROK VLEVO"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMÁLNÍ: SNADNO SE UČÍ I HRAJE; POKROČILÉ: LETECKÝ SIMULÁTOR"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   ULOŽIT VIDEO"
"CBA_GAC_WEAPON_SWITCH_CW": "   DALŠÍ ZBRAŇ"
"CAA_WALK_FORWARD_BACKWARD_POS": "   DOPŘEDU"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   DOPŘEDU"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "POKROČILÝ REŽIM"
"PC_SHOW_HUD_HINT": "ZAPNOUT/VYPNOUT TRANSPARENCI OVLÁDÁNÍ"
"PC_CONFIRM_EXPORT": "POTVRDIT EXPORT"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "SEBRAT: %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "DPAD doleva a doprava"
"MENU_SECONDARY_ASSIGNMENT": "SEKUNDÁRNÍ PŘIŘAZENÍ"
"PLT_MENU_LIGHTING_DETAIL": "    DETAILY NASVĚTLENÍ"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "Uložení pozice se nezdařilo, protože výchozí paměťové zařízení není dostupné."
"PC_GS_PEOPLE_HINT": "ZAPNOUT/VYPNOUT VYKRESLOVÁNÍ NEHRÁČSKÝCH POSTAV"
"PC_DOF_HINT": "TYP ROZOSTŘENÍ PODLE VZDÁLENOSTI - OVLIVŇUJE VZDÁLENOST A DOSAH"
"PC_AUDIO_TOGGLES": "ZVUK"
"HUD_PICKUP_UNNAMED_OBJECT": "SEBRAT"
"PCACTION_LOOK_LEFT": "POHLED DOLEVA"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "CHCEŠ-LI ULOŽIT VIDEO, MUSÍŠ POVOLIT REŽIM ZÁZNAMU V NABÍDCE POZASTAVENÉ HRY."
"CBA_GAC_WEAPON_SELECT_7": "   POZICE PRO ZBRAŇ 7"
"CBA_VDC_HELI_TURN_LEFT": "   DOLEVA"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   POHYB DOPŘEDU"
"PC_OUTPUT_ONLY_HINT": "SKRYJE BĚHEM EXPORTU ČASOVOU LINKU A DALŠÍ INFORMACE"
"HUD_CRUISE_CONTROL_NO_BUTTON": "TEMPOMAT"
"CBA_GAC_WEAPON_SWITCH_CCW": "   PŘEDCHOZÍ ZBRAŇ"
"CBA_OFC_SPRINT_TOGGLE": "   SPRINT (PŘEPNUTÍ)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   DOZADU"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   DOZADU"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "VYŠŠÍ JE LEPŠÍ, ALE NÁROČNĚJŠÍ"
"MENU_LOW": "NIŽŠÍ"
"PLT_MENU_SETUP_MIC": "NASTAVENÍ MIKROFONU"
"MENU_OPTIONS_CLIP_SELECT": "KINOKLIPY"
"PC_SM_SLOW": "POMALÉ"
"CBA_GAC_ACTION": "   AKCE"
"CAA_DRIVE_STEER_NEG": "   DOLEVA"
"CBA_VDC_TANK_FIRE_PRIMARY": "   STŘELBA"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "VYBER SI ROZLIŠENÍ"
"PC_WATERMARK_HINT": "EXPORTOVAT S LOGEM SAINTS ROW: THE THIRD V ROHU"
"PC_GS_PLAYER_HINT": "ZAPNOUT/VYPNOUT VYKRESLOVÁNÍ HRÁČE"
"PC_SELECT_TARGET": "VYBRAT CÍL"
"DPAD_TXT": "DPAD"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "CITLIVOST"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   STŘELBA"
"PC_GS_VEHICLES": "VOZIDLA"
"PC_EXPORT_HINT": "EXPORTOVAT KLIP DO VIDEOSOUBORU"
"PCACTION_GRAB_HUMAN": "CHYTIT ČLOVĚKA"
"HASH_24103FFD": "Chcete-li využít tuto funkci, přihlaste se k účtu Epic."
"PC_RECORD_MODE_TEXT": "Pomocí režimu záznamu budeš moct uchovat své poslední okamžiky ve hře v podobě filmečku! Export provedeš klávesou ([format][color:#9400C5]{0}[/format]). Videa se ukládají do složky:"
"MOUSE_TITLE": "OVLÁDÁNÍ"
"CBA_VDC_HORN": "   KLAKSON"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "OTEVŘE NASTAVENÍ JASU"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "CELÁ OBRAZOVKA, V OKNĚ NEBO BEZ OKRAJŮ"
"PLT_MENU_TEXTURE_FILTER_MODE": "    REŽIM FILTROVÁNÍ"
"MAINMENU_MACHINIMA_MODE": "UPRAVIT KINOKLIPY"
"PC_COPY_CURRENT_HINT": "VYTVOŘIT NOVOU KAMEROVOU ZÓNU PODLE AKTUÁLNÍ ZÓNY"
"COOP_REMOTE_CHEAT_STARTING": "Tvůj spoluhráč používá cheaty. Každá nově vytvořená pozice bude mít povoleno používání cheatů.\nAutomatické ukládání bylo vypnuto a už nemůžeš získávat žádné úspěchy."
"MENU_MOUSE_CONTROLS_INVERT_X": "INVERTOVAT VODOROVNOU OSU"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   ZATOČIT DOPRAVA"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "ZBRAŇ 7"
"HASH_B617EDBF": "HLEDÁNÍ ZÁPASU"
"TUT_STREAKING_PC": "Dvojím stiskem {TAUNT_TWO_IMG} spustíš aktivitu naháče.\nKdyž na sobě nemáš žádné šaty, můžeš hrát aktivitu Naháč."
"CBA_GAC_GRENADE_SELECT_3": "   POZICE PRO GRANÁT 3"
"CBA_GAC_CELL_OPEN": "   TELEFON"
"CBA_VDC_VTOL_TRANSITION": "   PŘEPNUTÍ REŽIMU STÍHAČKY"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "VERTIKÁLNÍ SYNCHRONIZACE BĚHEM FILMEČKŮ"
"PC_LOAD_CHAR_HINT": "NAHRÁT VÝCHOZÍ MODEL POSTAVY"
"PC_GS_VEHICLES_HINT": "ZAPNOUT/VYPNOUT VYKRESLOVÁNÍ VOZIDEL"
"PC_PROPS": "NEMOVITOSTI"
"PC_CAM_TILT_HINT": "NÁKLON KAMERY"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "TLAČÍTKO A"
