"MENU_LEFT_MOUSE": "Linkermuisknop"
"HASH_11879627": "KWALITEIT VAN DE GRAPHICS"
"HASH_8DFAAC67": "Je moet ONLINE zijn bij GOG voor deze optie of meld je opnieuw aan op het Internet om gebruik te kunnen maken van deze optie."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Dit spel slaat automatisch op. Als deze indicator op scherm verschijnt is het spel bezig automatisch op te slaan naar het slot.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   OPPAKKEN / HERLADEN"
"CBA_VDC_HANDBRAKE": "   SLIPPEN"
"PC_SLOWMO_HINT": "INSTELLINGEN SLOW MOTION"
"RECORD_MODE_WARNING": "CINEMA CLIPS OPNEMEN"
"PCACTION_RADIO_PREVIOUS": "VORIGE RADIO"
"PCACTION_WEAPON_3": "WAPEN 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "Het Steam-account dat je gebruikt, is al gekoppeld aan een THQ ID."
"MENU_CONTROLLER_OPTIONS_TITLE": "GAMEPAD"
"MENU_MOUSE_CONTROLS_INVERT_Y": "VERTICALE AS OMDRAAIEN"
"CBA_GAC_WEAPON_SELECT_8": "   WAPEN SLOT 8"
"PC_EDIT_PROPERTIES": "EIGENSCHAPPEN WIJZIGEN"
"BTN_START_TXT": "DE A-KNOP"
"PCACTION_WEAPON_6": "WAPEN 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (LAAG)"
"MAIN_MENU_MATCHMAKING_FAIL": "Steam matchmaking heeft geen spellen gevonden waarmee je een verbinding kunt maken."
"CBA_GAC_GRENADE_SELECT_2": "   GRANAAT SLOT 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   LINKS"
"CBA_VDC_CRUISE_CONTROL_B": "   ZET CRUISE CONTROL AAN/UIT"
"PLT_MENU_SHADOW_DETAIL": "    DETAILLERING SCHADUWEN"
"PC_OPTIONS_EXIT_HINT": "DIALOOG OPTIES SLUITEN"
"BTN_BLACK_TXT": "DE A-KNOP"
"PRESS_ANY_KEY_TEXT": "Druk op een willekeurige toets of ESC om te annuleren."
"PCACTION_RADIAL_MENU": "STERVORMIG MENU"
"PC_RECORD_MODE_FAILED_EXPORT": "VIDEO-OPSLAG MISLUKT DOOR EEN INTERNE FOUT. "
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} GRANAAT GOOIEN\n{GRENADE_SWITCH_IMG} GRANAATUITRUSTING WISSELEN"
"MENU_MIDDLE_MOUSE": "Middelstemuisknop"
"CBA_VDC_NITRO": "   NITRO"
"PLT_MENU_FULL_SCREEN": "VOLLEDIG SCHERM"
"PC_OPTIONS": "OPTIES"
"PC_ZONE_TYPE": "TYPE ZONE"
"PC_CZ_EXIT_HINT": "CAMERAZONE DIALOOG SLUITEN"
"BTN_RTRIGGER_TXT": "DE A-KNOP"
"HASH_299A8B6B": "RANDLOOS"
"HASH_58A675AB": "GOG MATCHMAKING"
"HASH_6A37FFEB": "Matchmaking heeft geen spellen gevonden waarmee je een verbinding kunt maken."
"COMMUNITY_CREATE_LINK_TEXT": "Hier kun je een nieuw THQ ID aanmaken of je Steam-account koppelen aan een bestaand ID."
"CBA_GAC_PAUSE_MENU": "   PAUZE"
"CBA_VDC_HELI_TURN_RIGHT": "   RECHTSDRAAIEN"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   WAPEN 2 AFVUREN"
"PLT_TRILINEAR": "TRILINEAIR"
"PC_LOAD_CHAR": "STANDAARD LADEN"
"PC_SM_NORMAL": "NORMAAL"
"PC_DOF_DIST_HINT": "SCHERPTEDIEPTE AFSTAND"
"PCACTION_PAUSE": "PAUZEMENU"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} GAS GEVEN \n{PLANE_BRAKE_REVERSE_IMG} REMMEN + ACHTERUIT \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} SCHERPE BOCHT"
"SAVE_CLIP": "Cinematic Clip opslaan"
"CBA_VDC_HELI_FIRE_PRIMARY": "   WAPEN AFVUREN"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   NAAR LINKS ROLLEN"
"PC_VOICE": "STEM"
"PC_SHOW_KEYS_HINT": "WIJZIGEN SNELTOETSEN TONEN"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   DALEN"
"PC_SOUNDFX_HINT": "ALLE GELUIDSEFFECTEN AAN/UIT"
"PC_SM_VERY_FAST": "ERG SNEL"
"PC_EDIT_EXPLANATION": "Je gaat de camera van een niet-actieve camerazone editen. De huidige camerapositie zal de vorige positie overschrijven."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "NAAR RECHTS KIJKEN"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} VERPLAATSEN \nGEBRUIK DE MUIS OM TE RICHTEN \n{TANK_FIRE_SECONDARY_IMG} HOOFDWAPEN AFVUREN \n{TANK_FIRE_PRIMARY_IMG} TWEEDE WAPEN AFVUREN"
"CBA_OFC_ZOOM_IN": "   SCOOP INZOOMEN"
"MULTI_LOST_CONNECTION": "Verbinding met STEAM verbroken.\nJe keert terug naar het hoofdmenu."
"PC_TOD_MORNING": "OCHTEND"
"PC_GS_BACKGROUND": "ACHTERGROND"
"SAVING_CONTENT_BODY": "Zet het spel niet uit."
"CBA_GAC_WEAPON_SELECT_6": "   WAPEN SLOT 6"
"CBA_VDC_ACCELERATE": "   VERSNELLEN"
"CBA_VDC_PLANE_TURN_RIGHT2": "   RECHTS GIEREN"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPISCH 8X"
"MENU_CUSTOM": "AANGEPAST"
"PLT_MENU_DISPLAY_4": "QUARTAIR"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "Er is niet genoeg vrije ruimte op je harde schijf om het opslaan te voltooien."
"PC_MOVEMENT_SENSITIVITY_HINT": "DE BEWEGINGSGEVOELIGHEID VAN DE CAMERA"
"PC_CONFIRM_EXIT": "VERLATEN BEVESTIGEN"
"PCACTION_WEAPON_8": "WAPEN 8"
"PCACTION_CROUCH": "HURKEN"
"MENU_MOUSE_BUTTON_3": "Muis 3"
"MENU_CATEGORY_HELI": "HELIKOPTER"
"PLT_QUIT_GAME": "TERUG NAAR HET BUREAUBLAD"
"MAINMENU_SYSLINK": "LAN-GAME"
"PC_HIDE_HUD": "HUD VERBERGEN"
"PRESS_ANY_KEY_CAPTION": "DRUK OP EEN NIEUWE TOETS"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   GRANAAT GOOIEN"
"PC_CA_EDIT_EXPORT": "LADEN/EDITEN"
"PCACTION_CONSUME_LEFT": "GEBRUIKEN BIJ LINKS"
"PCACTION_WEAPON_2": "WAPEN 2"
"HASH_F44E5932": "%ls heeft je uitgenodigd. \nWil je meespelen?"
"PC_RECORD_MODE_ENABLE_WARNING": "VIDEO-OPNAMEMODUS KAN DE PRESTATIES VERTRAGEN. OM JURIDISCHE REDENEN WORDT DE MUZIEK EN RADIO MOGELIJK OOK AFGEZET. VERDER GAAN?"
"PLT_MENU_AMBIENT_OCCLUSION": "    AMBIENT OCCLUSION"
"PC_CREATE_CHAR": "CREËREN/IMPORTEREN"
"PC_W_OVERCAST": "DICHT BEWOLKT"
"PC_AV_EXIT_HINT": "DIALOOG OMGEVING SLUITEN"
"PC_EXIT_HINT": "VIDEOCLIPEDITOR VERLATEN"
"PC_DELETE_CZ": "VERWIJDEREN"
"PCACTION_REVERSE": "REMMEN/ACHTERUIT"
"CBA_OFC_MELEE_NUT_SHOT": "   HANDGEMENE AANVAL"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   NAAR LINKS DRAAIEN"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "SCHERPE KANTJES VERZACHTEN"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "HOE DE MINKAART DRAAIT VERGELEKEN MET DE RICHTING VAN DE SPELER."
"PC_HANDYCAM": "HANDYCAM"
"PC_POSITION_CAMERA": "CAMERAPOSITIE"
"PC_RECORD_MODE_CANCEL_ENCODE": "BEN JE ZEKER DAT JE DE VIDEO NIET WILT OPSLAAN? DEZE GAAT DAN VERLOREN. "
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} STIJGEN\n{HELI_DOWN_IMG} DALEN\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} SNEL DRAAIEN"
"MENU_RIGHT_MOUSE": "Rechtermuisknop"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   ACHTERUIT"
"MENU_ON": "AAN"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Bezig met zoeken naar LAN-games..."
"PC_SM_VERY_SLOW": "ERG LANGZAAM"
"PC_CAMERA_DONE_HINT": "DIALOOG SLUITEN"
"PC_GREEN_SCREEN": "GROEN SCHERM"
"DPAD_LEFT_TXT": "DE A-KNOP"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Documents\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "STEL MOEILIJKHEIDSGRAAD IN"
"MULTI_MATCHMAKING": "STEAM MATCHMAKING"
"CBA_VDC_BIKE_LEAN_FWD": "   VOOROVER LEUNEN MOTOR"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, WAZIGHEID EN DIEPTE VELD"
"MENU_HIGH": "HOOG"
"PC_MOVEMENT_SENSITIVITY": "BEWEGINGSGEV."
"PC_CM_FOLLOW_LOOK": "VOLG DOELWIT"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Muiswiel omhoog"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "HORIZONTALE GEVOELIGHEID"
"CBA_GAC_WEAPON_SELECT_2": "   WAPEN SLOT 2"
"CAA_DRIVE_STEER_POS": "   NAAR RECHTS STUREN"
"PC_CA_DELETE": "VERWIJDEREN"
"PC_SOUNDFX": "GELUIDSEFFECTEN"
"PAUSE_MENU_PLAYBACK_MODE": "EDIT CINEMA CLIPS"
"HUD_DROP_ITEM_MESSAGE": "LAAT %ls VALLEN"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "NAAR LINKS"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMAAL: ARCADE-STIJL; GEAVANCEERD: VLIEGSIMULATOR"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   VIDEO OPSLAAN"
"CBA_GAC_WEAPON_SWITCH_CW": "   VOLGENDE WAPEN"
"CAA_WALK_FORWARD_BACKWARD_POS": "   VOORUIT"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   VOORUIT"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "GEAVANCEERDE MODUS"
"PC_SHOW_HUD_HINT": "TRANSPARANTIE INTERFACE WISSELEN"
"PC_CONFIRM_EXPORT": "EXPORT BEVESTIGEN"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "PAK %ls OP"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "NAVIGATIEPAD LINKS & RECHTS"
"MENU_SECONDARY_ASSIGNMENT": "ALTERNATIEVE-TOETS OPDRACHT"
"PLT_MENU_LIGHTING_DETAIL": "    DETAILLERING BELICHTING"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "Het opslaan is mislukt omdat het standaard opslagapparaat niet meer beschikbaar is."
"PC_GS_PEOPLE_HINT": "RENDERING COMPUTERPERSONAGES AAN/UIT"
"PC_DOF_HINT": "SOORT SCHERPTEDIEPTE - IS VAN INVLOED OP AFSTAND EN BRANDPUNTSAFSTAND"
"PC_AUDIO_TOGGLES": "AUDIO"
"HUD_PICKUP_UNNAMED_OBJECT": "OPPAKKEN"
"PCACTION_LOOK_LEFT": "NAAR LINKS KIJKEN"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ZET OPNAMEMODUS AAN IN HET PAUZEMENU OM VIDEO OP TE SLAAN."
"CBA_GAC_WEAPON_SELECT_7": "   WAPEN SLOT 7"
"CBA_VDC_HELI_TURN_LEFT": "   LINKSDRAAIEN"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   RECHTDOOR RIJDEN"
"PC_OUTPUT_ONLY_HINT": "TIJDSLIJN EN ANDERE INFO TIJDENS EXPORT NIET TONEN"
"HUD_CRUISE_CONTROL_NO_BUTTON": "CRUISE CONTROL"
"CBA_GAC_WEAPON_SWITCH_CCW": "   VORIGE WAPEN"
"CBA_OFC_SPRINT_TOGGLE": "   SPRINT (AAN /UIT)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   ACHTERUIT"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   ACHTERUIT"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "HOGER IS BETER, MAAR TRAGER"
"MENU_LOW": "LAAG"
"PLT_MENU_SETUP_MIC": "MICROFOON INSTELLEN"
"MENU_OPTIONS_CLIP_SELECT": "CINEMA CLIPS"
"PC_SM_SLOW": "LANGZAAM"
"CBA_GAC_ACTION": "   ACTIE"
"CAA_DRIVE_STEER_NEG": "   NAAR LINKS STUREN"
"CBA_VDC_TANK_FIRE_PRIMARY": "   WAPEN AFVUREN"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "SELECTEER JE GEWENSTE RESOLUTIE"
"PC_WATERMARK_HINT": "EXPORTEREN MET EEN SAINTS ROW: THE THIRD LOGO IN HOEK"
"PC_GS_PLAYER_HINT": "RENDERING SPELER AAN/UIT"
"PC_SELECT_TARGET": "DOELWIT SELECTEREN"
"DPAD_TXT": "NAVIGATIEPAD"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "GEVOELIGHEID"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   WAPEN AFVUREN"
"PC_GS_VEHICLES": "VOERTUIGEN"
"PC_EXPORT_HINT": "CLIP NAAR VIDEO EXPORTEREN"
"PCACTION_GRAB_HUMAN": "MENS GRIJPEN"
"HASH_24103FFD": "Je moet bij een Epic-account aangemeld zijn om deze functie te gebruiken."
"PC_RECORD_MODE_TEXT": "Zet Opnamemodus aan om je laatste speelmomenten rechtstreeks op video op te nemen! Gebruik ([format][color:#9400C5]{0}[/format]) om te exporteren.\n\nVideo's zijn opgeslagen in:"
"MOUSE_TITLE": "BESTURING"
"CBA_VDC_HORN": "   CLAXON"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "HELDERHEIDSSCHERM-MENU OPENEN"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "VOLLEDIG SCHERM, IN VENSTER OF RANDLOOS"
"PLT_MENU_TEXTURE_FILTER_MODE": "    FILTERMODUS"
"MAINMENU_MACHINIMA_MODE": "EDIT CINEMA CLIPS"
"PC_COPY_CURRENT_HINT": "MAAK EEN NIEUWE CAMERAZONE AAN GEBASEERD OP DE HUIDIGE ZONE"
"COOP_REMOTE_CHEAT_STARTING": "De partner waar je mee samenwerkt, gebruikt cheats. Bij alle nieuwe opgeslagen spellen zullen de cheats ingeschakeld zijn.\nAutomatisch opslaan is uitgeschakeld en je kunt geen Prestaties meer verdienen."
"MENU_MOUSE_CONTROLS_INVERT_X": "HORIZONTALE AS OMDRAAIEN"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   NAAR RECHTS DRAAIEN"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "WAPEN 7"
"HASH_B617EDBF": "MATCHMAKING"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} twee keer om te beginnen met streaken. \nTerwijl je geen kleren draagt, is de Streaking afleidingsactie beschikbaar."
"CBA_GAC_GRENADE_SELECT_3": "   GRANAAT SLOT 3"
"CBA_GAC_CELL_OPEN": "   MOBIELTJE"
"CBA_VDC_VTOL_TRANSITION": "   VTOL-MODUS WIJZIGEN"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "VERTICALE SYNC TIJDENS FILMS"
"PC_LOAD_CHAR_HINT": "STANDAARD PERSONAGEMODEL LADEN"
"PC_GS_VEHICLES_HINT": "RENDERING VOERTUIGEN AAN/UIT"
"PC_PROPS": "ONROERENDE GOEDEREN"
"PC_CAM_TILT_HINT": "DE CAMERAHOEK"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "DE A-KNOP"
