"HASH_1B09B600": "A doprdele." 
"HASH_4159F474": "Víte, do týhle chvíle jsme si s Maerem jen tak hráli - tuhle jsme zabili jeho kurvu, tamhle jsme mu čmajzli prachy... ale teď už mám toho hraní dost. Víme, kde bydlí, máme jeho bouchačky, a tak říkám, že teď tomu hajzlovi zakroutíme krkem, co vy na to?"
"HASH_2468CA74": "Skvělý..."
"HASH_B9BE0874": "To je ta ulice?"
"WMPLAYER_SNATCH_DTOWN_4": "To jen zna-"
"HASH_F5C6BC74": "Ještě potřebuješ lidi na kradení aut?"
"BMPLAYER_TORCH_APTS_1": "Jen aby bratři z Théty měli prachy."
"HASH_721FE674": "Když ta vaše bomba zabila Hughese, v Ultoru se odpíchli ode dna a teď jsou všude - v televizi, na billboardech, v obchodech... Sakra, kdybys někdy náhodou zapomněl, co je Ultor zač, stačí se podívat na Saints Row a uvidíš ten zatracenej hnusnej vřed na vlastní oči."
"KATIE_FUZZ_SUBURBS_3": "No, a policajta, se kterým jsem měla dohodnutý, že nás nechá natáčet, odvezli do nemocnice, takže tak nějak potřebuju sehnat na poslední chvíli náhradu. Ve zprávách jsem viděla tvoji policejní fotku a řekla bych, že jsi ten pravý."
"HASH_5E100A74": "Tobě nemusím nic vyvětlovat."
"WMPLAYER_SNATCH_CTOWN_1": "To jako pro dnešek končíš?"
"WMPLAYER_FRAUD_FACTORIES_2": "Eh... sorry."
"HASH_6AE23875": "Teď vedu Svatý..."
"HASH_F8B27275": "Že sem táhne tlupa Roninů?"
"HASH_A7043675": "Je mi dobře... a mám hroznej hlad."
"HASH_F352FE75": "Za mnou stojí zchátralé torzo budovy Phillipsu. Tento kdysi hrdý, či snad dokonce falický symbol čtvrti Saints Row se změnil v monument zkázy, za nímž stojí skupina pomatených umělců známých jako Svatí ze Třetí ulice."
"HASH_1964E676": "To je milé, Donnie, taky jsi mi chyběl..."
"HASH_BBC21E76": "Shaundi, dívám se na Bobbie a Amber, nepočká to?"
"HASH_31158476": "Jenom jsem doufal, že budem zabíjet nějaký hlavouny, ale žádný strach, tohle bude taky zábava."
"HASH_370ABE76": "Známe se?"
"HASH_22915276": "Nemůžu sehnat Pierce."
"HASH_6001F676": "Je to pěkná díra."
"HASH_EDE66676": "Co to plácáš?"
"HASH_B5545876": "Jak říkám, pokud nemáš lepší návrh, tak drž hubu a krok."
"HASH_F1BD0477": "Jak to, že jsi šel k Roninům a ne za náma?"
"HASH_4267EC77": "My se známe?"
"HASH_57FC0077": "Já toho Pierce nechápu."
"BMPLAYER_FIGHT_PRISON_1": "Jen se moc neraduj, nechci se tu moc zdržet."
"HASH_904E7077": "Nemám nic na prodej."
"HASH_9C23B677": "To se vsadím."
"HASH_E19CBA77": "Můžeme tedy od Moniky Hughesové očekávat další skvělé věci?"
"WMDR_FRAUD_FACTORIES_3": "Tím se netrap, stejně to byl blbec. Ale to je jedno. Říkal jsem si, jestli bys se mnou nezkusil stejný pojišťovací podvod."
"HASH_1CFBC478": "To je dobře."
"HASH_91632E78": "Na charitě se vydělává dost těžko."
"HASH_8B3ECE78": "Já se kvůli tobě vloupal na policejní stanici kvůli něčemu, co bude jenom možná fungovat?"
"HASH_D50ECC78": "A to?"
"HASH_0C78B278": "Poflakuje se po starých jatkách."
"HASH_FBC20278": "Nech to plavat, zlato."
"HASH_E40E7C79": "Na charitě se vydělává dost těžko."
"HASH_69969679": "To je dobře."
"HFPLAYER_FUZZ_SUBURBS_3": "Takže se po mně chce, abych se na národní televizi vydával za poldu?"
"HFPLAYER_SWEEP_REDLIGHT_3": "Co chceš?"
"HASH_C153B279": "Teď už těm šmejdům musíme jen zabránit vyrobit další zboží."
"HASH_9156B679": "Do hajzlu, jestli vím..."
"HASH_C19BB679": "Jdeš právě včas, letadlo před chviličkou shodilo náklad."
"HASH_A1CA6E79": "Modli se, aby to byla pravda. Vzhledem k farmě a tomuhle ohni si nemůžeme dovolit, aby se s naší další zásilkou něco stalo."
"HASH_61ED7079": "Můj dům?"
"HASH_6F39A279": "Nevím, o čem to mlu-"
"HASH_7BC6F87A": "Nevykládej si to špatně, Pierci, jsem jen zvyklej vyřizovat si věci sám..."
"HFPLAYER_FIGHT_UNIV_4": "Doprdele, možná bych tě mohl nahradit..."
"HASH_46CBB27A": "Přestaň... buď tak hodnej. Seženu ty zatracený panny."
"HASH_E802E07A": "Mě to zajímá. Maero to chce, a proto to seberu já."
"HASH_FF87247A": "Když jsi mluvil o Wongovi, má to nejspíš co dělat se zabíjením pár sráčů."
"PHIL_HIJACKING_DOCKS_1": "Prý ses vyhodil do vzduchu."
"HASH_DD3E387A": "Poslyš, Jyunichi, vím, že to nemáš lehké a že se musíš přizpůsobovat tomu, jak to tady vedu. Ale co kdybys mi dovolil vypořádat se s otcem a ty se pak vypořádáš se vším, co ti řeknu."
"HASH_CDDAC67A": "Sledovali tě?"
"HASH_6A5B807A": "Nebo ho sem pošli. Díky, Jaime."
"HASH_582FDA7A": "Ztrácíš čas. Pojďme za Troyem."
"HASH_1B00A47A": "Ano, pane?"
"HASH_0EABAA7B": "Nevykládej si to špatně, Pierci, jsem jen zvyklej vyřizovat si věci sám..."
"HASH_8CF54C7B": "Možná."
"HASH_C75EA27B": "To není můj problém."
"HASH_8AEA767B": "Jestil jsi mluvil s Wongem, tak to nejspíš půjde o oddělání pár zmetků..."
"HASH_1DFE2A7B": "Volal někdo šéfa?"
"HASH_618B5E7B": "Já ji nezabil!"
"HASH_4502CE7B": "Kde ta Shaundi je?"
"HASH_E9E3AC7C": "Což znamená, že..."
"HFPLAYER_ESCORT_SUBURBS_3": "Žádný holky, žádná práce."
"HASH_8D1E167C": "Kdo je to?"
"HASH_9885FA7C": "Ne."
"HASH_515DCE7C": "Ale ty to kouříš."
"HASH_1ADB1C7C": "Kdo je to?"
"HASH_F998EA7C": "Běž radši domů a odpočiň si."
"HASH_E91D327D": "Jsem v pohodě, Shaundi. Najednou už mi Bratrstvo takové starosti nedělá."
"HASH_6AC5447D": "Kdes tyhle lidi vyhrabal?"
"HASH_7AF4167D": "Shaundi, dívám se na Bobbie a Amber, nepočká to?"
"HASH_7F4CCA7D": "To slýchám často..."
"HASH_24309C7D": "Ale ty to kouříš."
"HASH_F873447D": "Kdo je to?"
"HASH_EDE8A87D": "Ne."
"HASH_64AF9A7D": "Ježíš, ty ses vůbec nepoučil.."
"HFPLAYER_SNATCH_CTOWN_4": "Něco pro tebe najdu a co nevidět budeš zpátky v kšeftu."
"HASH_EDC11A7E": "Miluju šoubyznys."
"HASH_6D1CA47E": "Zahoď to."
"HASH_598F507E": "Věř mi, já se toho taky musím hromadu naučit. Ale co už sakra, něco vymyslí-"
"HASH_EA232A7E": "Tvůj synáček si neměl zahrávat s mýma kámošema."
"HASH_FFB8C67E": "Tak co, bylo to tak těžký?"
"HMPLAYER_MAYHEM_NUKE_3": "Tak co pro tebe můžu udělat?"
"HASH_98D2127E": "Vážně chceš říkat někomu s bouchačkou v ruce, že se splet?"
"HASH_8723687E": "Dnes z věznice uprchl zločinec Johnny Gat. Všechny policejní sbory jsou v pohotovosti a pátrají po hledaném, ovšem kdyby někdo měl informaci o tom, kde se tento delikvent skrývá, oznamte to prosím na nejbližší policejní stanici."
"HASH_D3E5067E": "No tak, Eesho."
"HASH_F9D65A7E": "Ne, nic takovýho si nemyslí, Maero. A zklidníš se konečně? Už to skoro je."
"AMYNG_ESCORT_SUBURBS_5": "Ještě nemám řidičák..."
"HFPLAYER_SNATCH_DTOWN_1": "Překvapuje mě, že pořád ještě neděláš z přívěsu Helmers."
"HASH_29067A7F": "Hotovo, je čas vypadnout."
"HASH_E55EC27F": "Skvělý..."
"HASH_9F4E787F": "Tvůj syn neměl vyjebávat s mými přáteli."
"HASH_8AD5947F": "No vidíš, bylo to tak těžký?"
"HASH_3E9D2A7F": "Kde najdu ostatní Svatý?"
"WMPLAYER_MAYHEM_NUKE_3": "Tak co pro tebe můžu udělat?"
"HASH_2CE2027F": "Věř mi, já taky. Ale musíme kurva něco vymys-"
"HMPLAYER_TORCH_APTS_1": "Jen aby bratři z Théty měli prachy."
"HASH_742B067F": "Jasně."
"HASH_257DC87F": "Posloucháme."
"HASH_D8AA9C80": "Neboj se, nezabiju tě."
"HASH_7A0C6480": "Vážně čekáš, že si vezmu 20 a ještě poděkuju?"
"HASH_3F1CF080": "Pierce, poslouchej - někdo z Roninů sundal Johnyho."
"HASH_DC5F0680": "Oj."
"HMPLAYER_ESCORT_REDLIGHT_1": "Víš, co je pro gang nejdůležitější? Furt točit prachy."
"HASH_97D9D480": "To bude v pohodě."
"BMPLAYER_PIRACY_DOCKS_5": "Ty obchoduješ s nafukovacíma sexuálníma pomůckama?"
"HASH_EB79A080": "Je to trochu složitý."
"HASH_791C0C80": "Zdravíčko..."
"HASH_C6B90281": "Jsem v pohodě, co se děje?"
"HASH_F24E0281": "Dobrý nápad, prostě si řeknem o pomoc: (Pohlédne na mrtvé tělo) Hej, kámo, helpneš nám? Ne? (Obrátí se na Gata) Vypadá to, že jsme na to sami."
"HASH_4A71A281": "Pierci, poslouchej. Johnnyho složil jeden z Roninů."
"HASH_A9325481": "Jejda."
"HASH_C9B58C81": "Dobrej nápad."
"HASH_3EF75E81": "Nevím, jestli bych pro to použil výraz \"nejjednodušší\"."
"HASH_393CDC82": "Jak to, že jsi šel za Roniny a ne za námi?"
"WFPLAYER_ESCORT_SUBURBS_6": "Takhle se mluví se zaměstnancem?"
"HMPLAYER_DERBY_ARENA_3": "Nejspíš jsme to zjistili, co?"
"HASH_325F7482": "Pěkný."
"HASH_2CA73082": "Nemáš oheň?"
"HASH_B344B282": "Jéžiš!"
"HASH_1AF96282": "Ne."
"HASH_88646C83": "Nelam si s tím hlavu, Pierci, postaráme se o to."
"HASH_CAFAF283": "Co se děje?"
"WMPLAYER_DERBY_ARENA_3": "Vypadá to, že to zjistíme, že..."
"HMPLAYER_FRAUD_MUSEUM_4": "Tak ty se prý chystáš na příliv nových pacientů. Z toho soudím, že asi budu muset pár lidem pošramotit ciferník."
"HASH_301F3A83": "Ani ťuk."
"HASH_46C1C083": "To ti to ale trvalo."
"HASH_66CA4C83": "V čem je problém?"
"HASH_72BAFA84": "Chceš mi něco říct?"
"HASH_580C0484": "Carlosi, kde kurva vězíš?"
"HASH_3BFD7684": "Žádný holky? A to je všechno, co ti brání?"
"HASH_EC406084": "Kurva fix."
"HASH_F4F3C084": "Jako co?"
"HASH_2268FA84": "Tak nastup, čéče!"
"HASH_FAAAFC84": "Proč se scházíme zrovna u kolejí?"
"HASH_742E7E84": "Jsi v pohodě, Johny?"
"HASH_5EE46C84": "Je to produkt číslo jedna od Synů Samediho. Říkají tomu sametový prášek."
"JAVIER_SWEEP_SUBURBS_1": "Poslouchej, nemáme čas. Stefan má dneska další z těch svých večírků a letos tady pořád otravuje ten jeho poskok. Jde o tohle: už měsíc se snažím prodat jednu vilu v týhle čtvrti, ale nikdo ji nechce, protože cena je moc vysoká."
"HASH_27AFF085": "Díky, Carlosi."
"HASH_07D7A885": "Chceš mi něco říct?"
"HASH_4C517A85": "Mladej, právě jsi udělal hlou-"
"HMPLAYER_SNATCH_DTOWN_2": "Jak ti to vychází?"
"HASH_4E902485": "Žádný holky? A kvůli tomu jsi ze hry?"
"HASH_2D6EEE85": "Seš chytrouš."
"HASH_3034A085": "Cože?"
"HASH_C8E5D685": "Ale no tak, přeci nezabiju svýho oblíbenýho vraha!"
"HASH_E2510A85": "Jdu taky."
"HASH_2A87E886": "Máš dobrý načasování."
"WFPLAYER_ESCORT_REDLIGHT_1": "Víš, co stojí vedení gangu prachů? Musím se postarat, aby se nějaký začaly sypat."
"HASH_65002886": "Můžu tě zabít hned teď."
"HASH_7A55E886": "Tady? To myslíš vážně?"
"HASH_A297EE86": "To není dobrý."
"HASH_90E6DE86": "Takže (obrátí se k davu) až tady skončíme, promluvte si s někým z těch chlápků, určitě pro vás budou mít práci. Náš čas nadešel, tak to kurva vemem pěkně do rukou!"
"HASH_503CF086": "Všechno v pořádku, otče?"
"HASH_15E4F286": "Tohle je ta pyramida?"
"HASH_A6894086": "Tady to vypadá fakt pekelně. Tím chci říct, že jsem rád, že mi nedávno píchli protitetanovku, ale jinak je tu fakt útulno."
"HASH_E21AD486": "Nyní musím upozornit rodiče, že by možná bylo vhodné, aby odvedli své děti od televize. Následující fotografie budou zobrazovat jisté menšiny."
"HASH_BDD26A86": "Kam tak spěcháš?"
"HASH_60D9FA87": "Tak si to shrňme: díváš se na Ústav pro vědu a inovaci firmy Ultor. Všechny stilwaterské školy sem posílají studenty na exkurze. Ale nechodí sem koukat jenom na Jákobovy žebříky a výstavy o způsobech zavodňování. Uprostřed toho všeho je pár serverů, které provozují pornografický okruh Roninů. Ty šmejdi si z tý sajty dělají zlatý důl, takže rozhodně neuškodí, když těm roninským padouchům trochu zvedneš mandle."
"WFPLAYER_SWEEP_REDLIGHT_6": "Potřebuju jméno vodhospodářský společnosti, co s ní má město smlouvu."
"HASH_5FEABA87": "Máš dobré načasování."
"HASH_73F79E87": "Co se sakra děje?"
"HASH_667E1087": "Určitě musíme těm sráčům připomenout, kdo jsme."
"HASH_D2760287": "Cos udělal, žes nasral tyhle týpky?"
"HASH_5BEC2E87": "Dík za upozornění, Jaime."
"HASH_55FA1288": "Když jsme se zbavili pouličních dealerů, tak Generál rozhodl o diskrétnějším způsobu přepravy. Z druhýho patra tamhle toho sex shopu udělali Synové drogovou laboratoř. Vždycky, když udělají novou dávku, sejdou dolů a prodávají to těm zmrdům, co si kupujou tanečky od kokainových děvek. Takže tvým úkolem je odstranit klientelu Synů a zničit jejich laboratoř. Bude to pro ně hezký překvapení.\n18000"
"WFPLAYER_FRAUD_MUSEUM_1": "Tak co to má být za obchodní nabídku, o který jsi mluvil?"
"HASH_759DD888": "Což znamená, že..."
"WFPLAYER_FUZZ_SUBURBS_5": "Jo, s tím můžu pomoct."
"HFPLAYER_FUZZ_PROJ_2": "O co jde?"
"HASH_68D01888": "Co tím myslíš?"
"HASH_51307E88": "Jdu do toho."
"HASH_83287488": "Jsi v pohodě?"
"HASH_DC9E3088": "Hehe, slyšíš to? Tenhle sráč si myslí, že je- A KURVA!"
"VINNIE_CROWDCONT_HOTELS_2": "Vypadáš dobře... trochu jinak, ale dobře."
"HASH_2DE71C88": "Naše zdroje také tvrdí, že společnost Ultor tlačí na policii, aby na útok reagovala rychleji."
"HASH_DB2F8488": "Copak se tě snaží zabít celý město?"
"HASH_C9450889": "V pohodě, to zvládnu..."
"HASH_A9E50289": "Dane, vyřeš ten problém."
"HASH_078F0A8A": "Jsem v pohodě, co se děje?"
"HASH_04AC668A": "Vážně chceš říkat někomu s bouchačkou v ruce, že se splet?"
"HASH_73D0428A": "Čekáme na tebe."
"HASH_7C7E508A": "Panebože, nekecej takový píčoviny."
"BMPLAYER_SWEEP_REDLIGHT_6": "Budu potřebovat název tý zasraný firmy, se kterou má město smlouvu."
"HASH_BB3A6C8B": "Vážně čekáš, že si vezmu 20 a ještě poděkuju?"
"HASH_06BD108B": "Čekáme na tebe."
"HASH_1B9BF08B": "Dáme dohromady lidi a pak můžem začít pracovat na tom, jak si vezmem zpátky naše město."
"HASH_39B5C08B": "Co se kurva děje?"
"HASH_BB5C7C8B": "Bratrstvo nám leze do zelí."
"HASH_2A484E8B": "O čem to sakra mluvíš?"
"HASH_B648FA8B": "Děláme na tom..."
"HASH_8508AC8C": "Díky poldům se naběhám víc než dost."
"HASH_79332C8C": "Já nevím, člověče."
"HASH_F4D4BC8C": "Všichni poslouchejte, musíme probrat pár zatraceně důležitých věcí. Stilwater patřil kdysi Svatým a vypadá to, že já s Gatem jsme jediný, co se na to pamatujou. Řekl bych, že je čas, abysme ostatním dali budíček."
"HASH_12CDA68C": "Ty jsi generál?"
"HASH_81E91C8C": "Křičí"
"HASH_AA1A5C8C": "Tak zpátky k obchodu: Bratrstvo jde po něčem fakt velkým a já myslím, že Svatí budou chtít být přímo u toho."
"HASH_65017E8C": "*mluví japonsky*"
"WFPLAYER_FIGHT_UNIV_2": "Řekl bych, že tvůj doktor měl dobrý nápad."
"HASH_F065FE8D": "Díky poldům se naběhám víc než dost."
"BFPLAYER_FIGHT_PRISON_2": "Budu ti věřit."
"HASH_E88FDE8D": "Zmiz odsud, Vogele."
"HASH_0690D88D": "Dobrý nápad"
"HASH_63A1E68D": "To není dobrý."
"HASH_A436208D": "Moh bych tě zabít hned teď."
"BMPLAYER_HIJACKING_FACTORIES_3": "Přejdi k věci."
"BMPLAYER_DRUG_HOTELS_4": "Jo, to byl sakra drasťák."
"HASH_4679C08D": "Abso-kurva-lutně."
"HASH_64AB3C8D": "Jak jistě víte, včera v noci byli zavražděni všichni vedoucí představitelé Ultoru. A i když by celá naše společnost velmi ráda oplakávala jejich ztrátu, nemůžeme si v současné době takový luxus dovolit. Kancelář společnosti jmenovala předsedou mne a já jsem vás chtěl všechny osobně ubezpečit: nejen že naše obchody budou pokračovat jako obvykle, ale učiníme i mnohé pokroky. Monica Hughesová nám laskavě schválila projekt, který je pro celý Ultor zvláště příjemný: Obnovení Shivingtonu."
"HASH_3D6C128D": "Koho mám ohlá-"
"HASH_DD35BE8E": "Jo, striptýzovej klub Teinay - to byla klasa, tahle laciná špeluňka mu nesahá ani po kotníky."
"WFPLAYER_SNATCH_DTOWN_7": "Jestli máš čím zaplatit, samozřejmě."
"HASH_E235908E": "Nejspíš ne."
"HASH_A08CD28E": "Šmarjá, kdy se to stalo?"
"HASH_38E2CC8E": "Fakt? Tak proč jsi ještě tady?"
"HASH_9758C28F": "Nejspíš ne."
"WFPLAYER_SNATCH_CTOWN_2": "Wu, nemůžeš zavřít masážní salón, je to důležitý místo pro celý město, chodím sem už od střední."
"HASH_73D0E28F": "Tohle slýchám poslední dobou často."
"HASH_A858EC8F": "Jo, striptýzovej klub Teinay - to byla klasa, tahle laciná špeluňka mu nesahá ani po kotníky."
"HASH_E3DE3E8F": "Cože, tys někoho podplatil?"
"HASH_3B9CF48F": "Proč se scházíme zrovna u kolejí?"
"BMPLAYER_ESCORT_SUBURBS_6": "Takhle se mluví se zaměstnancem?"
"HASH_5845A28F": "Díky, asi..."
"HASH_876F4090": "Žádný holky? A to je všechno, co ti brání?"
"HASH_85AE1E90": "Tak tohle byla blb-"
"HASH_CE28CC90": "Nechceš mi náhodou něco říct?"
"HASH_CB6D5290": "Škube sebou"
"LEE_FUZZ_PROJECTS_3": "Ale vůbec ne, to mě špatně chápeš. Chci, aby ses oblíknul jako jeden z těch lepších ve Stilwateru."
"HASH_77C34A91": "Vybral jsem si tě a ty na mě vyrukuješ s tetováním a náklaďákama?"
"WFPLAYER_FRAUD_MUSEUM_5": "A získat světový rekord podvodem, to nemluví proti tobě?"
"HASH_72F01C91": "Vážně chceš říkat někomu s bouchačkou v ruce, že se splet?"
"WFPLAYER_FUZZ_SUBURBS_1": "Pořád trochu nechápu, proč mi volá asistent ředitele castingu."
"HASH_F0C34C91": "Mladej, právě jsi udělal hlou-"
"WMPLAYER_TORCH_APTS_3": "Máš něco, podle čeho poznají, že tu zprávu posíláš ty?"
"HASH_082A8A91": "Hele, Shaundi, randíš s někým, kdo dělal v nějaký pyramidě?"
"HMPLAYER_FUZZ_PROJ_4": "A hádám, že tomu vězení bude odolávat dost lidí?"
"VINNIE_CROWDCONT_HOTELS_6": "Teď dělám filmy."
"HASH_2A8AD891": "...policie nemá tušení, kdo by mohl za odvážným přepadením kasina stát..."
"HASH_BC57A892": "Později."
"HASH_3ED80492": "Dobře, protože jsi skoro moje neteř... padej."
"HASH_11EC9692": "Těší mě, že jsi mohl přijít."
"HASH_9615DE92": "Jdeš jak na zavolanou."
"HASH_BC31B892": "Poflakuje se nám tu banda velkých potetovaných sráčů, co podpalují, na co přijdou, a tebe překvapuje, že se tu objevili poldové?"
"HASH_2D258A92": "Křičí"
"HASH_B1253E92": "Kámo, zrovna děláme banku, tak si kurva najdi někoho jinýho, kdo ti odveze posraný prádlo."
"HASH_930BEA93": "Hned tam budu."
"HASH_31AD1293": "To půjde... teď běž k autu."
"HASH_03C1A293": "Což znamená... že..."
"HASH_7B139493": "Tvůj čas nadešel, starochu."
"BMPLAYER_SWEEP_REDLIGHT_2": "Těší mě, že dokážeš vtipkovat o smrti svýho muže."
"HASH_A19AB493": "Dej mi ten prášek!"
"HASH_2B4BE294": "Tohle bude dobrý."
"HASH_F7083A94": "Nevím, jestli bych použil zrovna slovo \"nejsnadnější\"."
"BFPLAYER_FIGHT_PRISON_6": "Jak drsná je konkurence?"
"BMPLAYER_HIJACKING_FACTORIES_7": "Seš chytrouš."
"HASH_07157494": "Zapomněla?"
"HASH_41140494": "Tak ten šmejd je mrtvej?"
"HASH_82656895": "Nevím, jestli bych použil zrovna slovo \"nejsnadnější\"."
"HASH_5E26B095": "Tohle bude dobrý..."
"HASH_F6E39495": "Pierci, poslouchej. Johnnyho složil jeden z Roninů."
"HASH_15A06295": "Jejda."
"HASH_2EA15E95": "Vystup."
"HASH_1FEE8295": "A kurva."
"HASH_4D780895": "Jojo."
"HASH_AD779895": "Správně mluvíš v minulým čase. Teď seš nýmand s jizvama po popálení."
"HASH_626CBA95": "Samozřejmě, Shogo."
"HASH_90350696": "Máš oheň?"
"HASH_6C0E8696": "Mohl bys tu bednu zase zapnout?"
"HASH_74BD2696": "To kurva ne. Na čem jsi to makal?"
"HASH_AF352896": "Co je za problém?"
"HASH_3CF13096": "Děláš si ze mě prdel?"
"BMPLAYER_ESCORT_SUBURBS_2": "No co, žádná tě ještě nenechala popást?"
"HASH_6341F296": "Dogu, jdu pozdě, musím odnést oblek do čistírny."
"HASH_DA587A97": "Co je za problém?"
"WFPLAYER_SNATCH_DTOWN_3": "Myslíš, že to má něco společnýho s tím, že si válíš prdel na lehátku a stavíš pyramidy z plechovek od piva, místo abys byl na ulici?"
"HASH_E5585497": "Máš oheň?"
"BFPLAYER_DERBY_ARENA_3": "Vypadá to, že to zjistíme, že..."
"HASH_A7E11697": "No to je teda gól."
"HASH_3F8F0897": "Víš, co se mi stalo, když jsem naposled někomu věřil? Průser jak mraky."
"HASH_14401497": "Je mi sakra jedno, jak moc vyšroubuješ cenu, stejně ten matroš beru."
"HASH_F09B1A98": "To půjde. A teď běž k autu."
"HFPLAYER_DRUG_HOTELS_4": "Jo, to bylo zatracený překvapení..."
"HASH_AE5F9098": "Ty jsi generál?"
"HASH_399A9A98": "Na útěk před chlupatýma s dechem vždycky vystačím."
"LUZ_DRUGTRAFFIC_HOTELS_4": "Co kdybysme o tom nemluvili?"
"HASH_3BD70898": "Jasně, ale tahle kráska není levná."
"HASH_95EAF099": "A víš určitě, že ten velký potetovaný chlápek je Maero a ne jen nějaký motorkář?"
"HASH_DFC75899": "Co je to za zásilku?"
"WFPLAYER_DRUG_HOTELS_4": "Jo, to bylo zatracený překvapení."
"HASH_9BD51699": "Ta barva fakt uklidňuje."
"HASH_7D61A099": "Později."
"HASH_DB32C299": "Hehe, ty jsi generál?"
"BMPLAYER_PIRACY_DOCKS_1": "Ty, Gio?"
"HASH_7E71C899": "Je to opravdu velice sofistikované. Nebudu vás nudit podrobnostma, jako je aceton nebo trichloretan, ale prostě je tam fakt dobrej matroš."
"HASH_CD97369A": "Nenaplňuješ mě zrovna důvěrou, Pierci, co se stalo?"
"HASH_E89EFE9A": "To si ze mě snad děláš srandu."
"HASH_2A215A9A": "Co, ty jsi někoho podplatil?"
"HMPLAYER_FUZZ_SUBURBS_4": "Jako \"dobrý záběry\" ze zatýkání, nebo zmlácení polonahýho týpka, co skončí v dětským bazénu."
"HASH_3772FE9A": "Pak jsi na správným místě."
"HASH_41AC049A": "Proč mě nepoučíš?"
"HASH_61A7889A": "Jo, striptýzovej klub Teinay - to byla klasa, tahle laciná špeluňka mu nesahá ani po kotníky."
"HASH_6C21A69A": "Pořád nechápu, že jsi to vážně ty, to je vážně super."
"HASH_AF12C49A": "Zasraný..."
"HASH_8CF1329A": "Zabijete mě, že?"
"WFPLAYER_ESCORT_SUBURBS_2": "No co, žádná tě ještě nenechala popást?"
"BFPLAYER_ESCORT_REDLIGHT_3": "Peníze na ruku stačí."
"HASH_5F4C089B": "Cože, tys někoho podplatil?"
"HASH_44E6389B": "Fajn, můžem udělat trochu paseku v ulicích, ale musíme sebou hodit - nechci Ultorům dávat víc varování, než je nutný."
"HASH_2BCAF49B": "Nejspíš ne."
"HASH_B429769B": "Je to..."
"HASH_3B82CC9B": "Jak dlouho myslíš, žes byl mimo?"
"HASH_3FBA429C": "Jsi ok?"
"HASH_600C069C": "Hehe, slyšíš to? Tenhle sráč si myslí, že je- A KURVA!"
"HASH_20C2349C": "Oděvní společnost?"
"HASH_00BA6C9C": "V pohodě, to zvládnu..."
"HMPLAYER_SNATCH_DTOWN_6": "Snažím se jen říct, že máš spoustu práce a nemůžeš dávat pozor na každýho. Tak co kdybych ti ty tvý ztracený holky našel já?"
"HASH_2A032A9C": "Přejdi k věci."
"HASH_CF88129C": "Už jsem nějakou dobu nikoho nezabil."
"WFDR_INSFRAUD_MUSEUM_3": "Kdybych se dostala do Briliantové knihy světových rekordů za největší počet ošetřených pacientů, nejspíš by to vyslalo skvělé poselství, že ženy jsou stejně schopné jako jejich mužští kolegové. Ne-li schopnější."
"HASH_75D73E9D": "V pohodě, to zvládnu..."
"HASH_4AD7109D": "Jsi ok?"
"HASH_1561549D": "Hehe, slyšíš to? Tenhle sráč si myslí, že je- A KURVA!"
"HASH_5F61C09D": "Poslouchej, ty podělaná kur-"
"HASH_E213CE9D": "Ultor: Lepší budoucnost, lepší život."
"HASH_FDC7389D": "Děláš si ze mě prdel?"
"HASH_5989A89D": "Hele, mám pro tebe dárek."
"HASH_FCC4149D": "A zásilku."
"ARCH_CC_SUBURBS_2": "Jde tu o ochranu. Fyzickou ochranu mých klientů a finanční ochranu pro vás."
"WFPLAYER_SWEEP_REDLIGHT_2": "Je fajn, že o smrti svýho manžela dokážeš žertovat."
"HASH_5AE85A9E": "Jenom se postarej, abych se dostal k Vogelovi."
"HASH_4D31AE9E": "Ne, nejsi."
"HASH_749A5A9E": "Nebudu vám tady lhát, od tý doby, co jsem vypadl ze hry, se toho spousta změnilo, takže budu potřebovat trochu pomoct. Pierci, ty si vezmeš na starost Roniny. Chci vědět, kdo tomu tam šéfuje a v čem jedou."
"HASH_DED88A9E": "A kurva."
"HASH_F97DCA9E": "Měl jsi mě u striptérský tyče."
"HASH_EF97569E": "Vystup."
"HASH_6113D49E": "Jsi překvapená, Aisho?"
"HASH_5C81EA9E": "Ne, můj problém je, že se mi do papírování plete ňáký bezvýznamný magor. A tvůj problém je, že ti na záda brokovnicema míří celá moje ochranka."
"HASH_0E5E909E": "Co je?"
"HASH_68C1389F": "To je dobrý, Pierci."
"HASH_BA2F269F": "Čekáme na tebe."
"HASH_7D382C9F": "Musel jsem dát dohromady pár našich náklaďáků."
"HASH_F76CA09F": "Hej!"
"HASH_A1E4849F": "Tak ty znáš naše výrobky?"
"HASH_BABFAE9F": "Johnny, je mi fuk, že ses právě dostal z basy, ale nenič mi náby-. Proboha, to jsi ty!"
"HASH_8CA7189F": "Svatí se vymkli kontrole!"
"BFPLAYER_FRAUD_FACTORIES_2": "Eh... sorry."
"HASH_50BD18A0": "Protože je mrtvej, tak bys mu to určitě nandal."
"HASH_122DBCA0": "Skoro."
"WMPLAYER_MAYHEM_SHANTY_1": "Kdo?"
"WMPLAYER_FUZZ_PROJ_2": "O co jde?"
"HASH_6FBD36A0": "Nechápu, co to tady provedli."
"HASH_243BE4A0": "Díky."
"HASH_589B90A0": "A když ne?"
"HASH_4A5BF0A0": "Nejde o to, co chci, ale co potřebuju..."
"HASH_4414EEA1": "Shaundi má dobrý nápad."
