"MENU_LEFT_MOUSE": "ЛКМ"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Недостаточно слотов для сохранения. Чтобы сохранить игру, необходимо выбрать ранее используемый слот и или выбрать новое место сохранения. "
"PC_EXPORT_LOCK": "ЭКСПОРТИРОВАТЬ ПРИНЦИП ФИКСАЦИИ"
"PC_EXPORT_SETTINGS": "ЭКСПОРТИРОВАТЬ НАСТРОЙКИ"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Вы уверены, что хотите удалить клип? Вы не сможете это отменить."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} СЛЕДУЮЩЕЕ ОРУЖИЕ\n{PREV_WEAPON_IMG} ПРЕДЫДУЩЕЕ ОРУЖИЕ"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ПРИЦЕЛ (ПЕРЕКЛ.)"
"CBA_VDC_PLANE_TURN_LEFT": "   НАКЛОН ВПРАВО"
"PLT_ANISOTROPIC_TWO": "АНИЗОТРОПИЯ 2Х"
"PLT_MENU_MED_DX10_ONLY": "СРЕДНЕ (DX10+)"
"PC_WATERMARK": "ВОДЯНОЙ ЗНАК"
"PC_SELECT_TARGET_HINT": "ИСПОЛЬЗУЙТЕ КЛАВИШИ УПРАВЛЕНИЯ ДЛЯ ВЫБОРА ЦЕЛИ"
"PC_DOF_OFF": "ВЫКЛ."
"PC_AV_OPTIONS_HINT": "ПОКАЗАТЬ ОКНО НАСТРОЕК ОКРУЖАЮЩЕЙ СРЕДЫ"
"PC_PLAY_FAST_HINT": "БЫСТРОЕ ВОСПРОИЗВЕДЕНИЕ ЗАПИСАННОЙ ИГРЫ"
"PCACTION_CONSUME_DOWN": "ИСПОЛЬЗОВАТЬ ПРИ НАЖАТИИ \"ВНИЗ\""
"PCACTION_RELOAD": "ПЕРЕЗАРЯДИТЬ ОРУЖИЕ"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "АВТОМАТИЧЕСКИЙ РЕЖИМ ПАУЗЫ ПРИ ПЕРЕКЛЮЧЕНИИ МЕЖДУ ОКНАМИ"
"CBA_OFC_SPRINT": "   БЕГ (УДЕРЖ.)"
"PLT_ANISOTROPIC_FOUR": "АНИЗОТРОПИЯ 4Х"
"PLT_MENU_VOICE_PUSH_TO_TALK": "НАЖМИ И ГОВОРИ"
"PC_SM_FAST": "ВЫСОКАЯ"
"PC_CAMERA_DONE": "ГОТОВО"
"PLAYBACK_MODE_WARNING_TEXT": "Это действие остановит текущую запись и позволит вам редактировать, сохранять или экспортировать в видеофайл отснятый материал. Чтобы записать новый киноролик, вам придется вернуться в главное меню. Запустить редактор кинороликов?"
"PCACTION_FORWARD": "ДВИГАТЬСЯ ВПЕРЕД"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (ВЫС.)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "СОХРАНЕНИЕ ОТМЕНЕНО"
"STATS_CORRUPT_TITLE": "ПАРАМЕТРЫ ПОВРЕЖДЕНЫ"
"COMMUNITY_SITE_BLURB": "Загрузите первого персонажа, чтобы заработать достижение.\nВыбирайте персонажей в сети и используйте их в игре.\nУчаствуйте в состязаниях и зарабатывайте игровой контент.\nСледите за жизнью сообщества на карте сообщества в реальном времени, а также создайте вашу личную карту.\nПолучайте особые предложения на сувениры и игровой контент Saints Row."
"CBA_OFC_TAUNT_TWO": "   НАСМЕШКИ"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   ДВИЖЕНИЕ ВПРАВО"
"PC_PLAY_HINT": "ВОСПРОИЗВЕДЕНИЕ ЗАПИСАННОЙ ИГРЫ"
"PC_EXPORTING_VIDEO": "ЭКСПОРТ ВИДЕО"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   НАНЯТЬ / ОТПУСТИТЬ"
"CBA_OFC_ATTACK_PRIMARY": "   АТАКА"
"CBA_VDC_HELI_UP": "   ДВИЖЕНИЕ ВВЕРХ"
"MENU_CATEGORY_TANK": "ТАНК"
"PC_W_THUNDERSTORM": "ГРОЗА"
"PC_FADE_HUD": "ОБЕСЦВ. МЕНЮ"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "ДЕЙСТВИЕ"
"CBA_OFC_CROUCH_TOGGLE": "   ПРИСЕСТЬ (ПЕРЕКЛ.)"
"CBA_VDC_NEXT_RADIO": "   СЛЕД. РАДИО"
"PLT_MENU_ASPECT": "СООТН. СТОРОН"
"PC_ENVIRONMENT": "ОКРУЖЕНИЕ"
"PC_GS_BACKGROUND_HINT": "ВКЛЮЧИТЬ/ВЫКЛЮЧИТЬ РЕНДЕРИНГ ФОНА"
"PC_DOF_RANGE_HINT": "ФОКУСНОЕ РАССТОЯНИЕ ГЛУБИНЫ РЕЗКОСТИ"
"PC_COPY_NEXT": "СКОПИРОВАТЬ СЛЕДУЮЩЕЕ СОСТОЯНИЕ"
"PC_EXPORT_EXPLANATION": "Прекратить редактирование и начать экспорт видео?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "КАЧЕСТВО ГРАФИКИ"
"HASH_8DFAAC67": "Чтобы использоовать эту функцию, вы должны войти в онлайн в GOG или подключиться к Интернету."
"SAVE_WARNING_BOOT": "[format][color:#9400c5] В игре есть функция автоматического сохранения. Когда этот индикатор появляется на экране, ваша игра сохраняется в слот автоматического сохранения.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   ПОДНЯТЬ / ПЕРЕЗАРЯДИТЬ"
"CBA_VDC_HANDBRAKE": "   ДРИФТ"
"PC_SLOWMO_HINT": "НАСТРОЙКИ ЗАМЕДЛЕННОЙ СЪЕМКИ"
"RECORD_MODE_WARNING": "ЗАПИСАТЬ КИНОРОЛИКИ"
"PCACTION_RADIO_PREVIOUS": "ПРЕДЫДУЩАЯ РАДИОСТАНЦИЯ"
"PCACTION_WEAPON_3": "ОРУЖИЕ 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "Учетная запись Steam уже связана с идентификатором THQ. "
"MENU_CONTROLLER_OPTIONS_TITLE": "ГЕЙМПАД"
"MENU_MOUSE_CONTROLS_INVERT_Y": "ИНВЕРСИЯ ВЕРТ. ОСИ"
"CBA_GAC_WEAPON_SELECT_8": "   ЯЧЕЙКА ОРУЖИЯ 8"
"PC_EDIT_PROPERTIES": "РЕДАКТИРОВАТЬ СВОЙСТВА"
"BTN_START_TXT": "КНОПКА A"
"PCACTION_WEAPON_6": "ОРУЖИЕ 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (НИЗК.)"
"MAIN_MENU_MATCHMAKING_FAIL": "Подбор игроков Steam не смог найти игр, к которым вы могли бы присоединиться."
"CBA_GAC_GRENADE_SELECT_2": "   ЯЧЕЙКА ГРАНАТЫ 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   ДВИЖЕНИЕ ВЛЕВО"
"CBA_VDC_CRUISE_CONTROL_B": "   КРУИЗ-КОНТРОЛЬ"
"PLT_MENU_SHADOW_DETAIL": "    ДЕТАЛИЗАЦИЯ ТЕНЕЙ"
"PC_OPTIONS_EXIT_HINT": "ЗАКРЫТЬ ОКНО НАСТРОЕК"
"BTN_BLACK_TXT": "КНОПКА A"
"PRESS_ANY_KEY_TEXT": "Нажмите новую клавишу или ESC для отмены."
"PCACTION_RADIAL_MENU": "РАДИАЛЬНОЕ МЕНЮ"
"PC_RECORD_MODE_FAILED_EXPORT": "ВНУТРЕННЯЯ ОШИБКА ПРИВЕЛА К НЕУДАЧЕ ПРИ СОХРАНЕННИИ РОЛИКА."
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} БРОСИТЬ ГРАНАТУ \n{GRENADE_SWITCH_IMG} СМЕНИТЬ ГРАНАТУ"
"MENU_MIDDLE_MOUSE": "СКМ"
"CBA_VDC_NITRO": "   НИТРО"
"PLT_MENU_FULL_SCREEN": "ПОЛНЫЙ ЭКРАН"
"PC_OPTIONS": "НАСТРОЙКИ"
"PC_ZONE_TYPE": "ТИП ЗОНЫ"
"PC_CZ_EXIT_HINT": "ЗАКРЫТЬ ОКНО ЗОНЫ КАМЕРЫ"
"BTN_RTRIGGER_TXT": "КНОПКА A"
"HASH_299A8B6B": "БЕЗРАМОЧНЫЙ"
"HASH_58A675AB": "ПОДБОР ИГРОКОВ GOG"
"HASH_6A37FFEB": "Подбор игроков не смог найти ни одной игры, к которой можно было бы подключиться."
"COMMUNITY_CREATE_LINK_TEXT": "Здесь вы можете создать новый идентификатор THQ или привязать свою учетную запись Steam к уже имеющемуся. "
"CBA_GAC_PAUSE_MENU": "   ПАУЗА"
"CBA_VDC_HELI_TURN_RIGHT": "   ПОВОРОТ НАПРАВО"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   ОГОНЬ 2"
"PLT_TRILINEAR": "ТРИЛИНЕЙНАЯ"
"PC_LOAD_CHAR": "ЗАГРУЗИТЬ ПО УМОЛЧАНИЮ"
"PC_SM_NORMAL": "НОРМАЛЬНЫЙ"
"PC_DOF_DIST_HINT": "ДИСТАНЦИЯ ГЛУБИНЫ РЕЗКОСТИ"
"PCACTION_PAUSE": "МЕНЮ ПАУЗЫ"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} УСКОРЕНИЕ \n{PLANE_BRAKE_REVERSE_IMG} ТОРМОЗ/ЗАДНИЙ ХОД \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} КРУТОЙ ВИРАЖ"
"SAVE_CLIP": "Сохранить видеоклип"
"CBA_VDC_HELI_FIRE_PRIMARY": "   ОГОНЬ"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   КРЕН ВЛЕВО"
"PC_VOICE": "ГОЛОС"
"PC_SHOW_KEYS_HINT": "ПОКАЗАТЬ ГОРЯЧИЕ КЛАВИШИ ДЛЯ РЕДАКТИРОВАНИЯ"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   ПОЛЕТ ВВЕРХ"
"PC_SOUNDFX_HINT": "ВКЛЮЧИТЬ/ВЫКЛЮЧИТЬ ЭФФЕКТЫ"
"PC_SM_VERY_FAST": "ОЧЕНЬ ВЫСОКАЯ"
"PC_EDIT_EXPLANATION": "Вы хотите изменить положение камеры неактивной зоны. Текущее положение камеры заменит ее исходное положение. "
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "СМОТРЕТЬ ВПРАВО"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} ДВИЖЕНИЕ \nПЕРЕМЕЩАЙТЕ МЫШЬ ДЛЯ ПРИЦЕЛА\n{TANK_FIRE_SECONDARY_IMG} ОГОНЬ ИЗ ОСНОВНОГО ОРУДИЯ \n{TANK_FIRE_PRIMARY_IMG} ОГОНЬ ИЗ ДОПОЛНИТЕЛЬНОГО ОРУДИЯ "
"CBA_OFC_ZOOM_IN": "   ПРИБЛИЖЕНИЕ"
"MULTI_LOST_CONNECTION": "Соединение с сервисом Steam потеряно.\nВозврат в главное меню."
"PC_TOD_MORNING": "УТРО"
"PC_GS_BACKGROUND": "ФОН"
"SAVING_CONTENT_BODY": "Пожалуйста, не прерывайте игру."
"CBA_GAC_WEAPON_SELECT_6": "   ЯЧЕЙКА ОРУЖИЯ 6"
"CBA_VDC_ACCELERATE": "   УСКОРЕНИЕ"
"CBA_VDC_PLANE_TURN_RIGHT2": "   РЫСКАНЬЕ ВПРАВО"
"PLT_ANISOTROPIC_EIGHT": "АНИЗОТРОПИЯ 8Х"
"MENU_CUSTOM": "ВРУЧНУЮ"
"PLT_MENU_DISPLAY_4": "ЧЕТВЕРТИЧНЫЙ"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "На вашем жестком диске сохранения недостаточно свобо для завершения процесса сохранения."
"PC_MOVEMENT_SENSITIVITY_HINT": "ЧУВСТВИТЕЛЬНОСТЬ ПЕРЕМЕЩЕНИЯ КАМЕРЫ"
"PC_CONFIRM_EXIT": "ПОДТВЕРДИТЕ ВЫХОД"
"PCACTION_WEAPON_8": "ОРУЖИЕ 8"
"PCACTION_CROUCH": "ПОЛЗКОМ"
"MENU_MOUSE_BUTTON_3": "Мышь 3"
"MENU_CATEGORY_HELI": "ВЕРТОЛЕТ"
"PLT_QUIT_GAME": "ВЫЙТИ НА РАБОЧИЙ СТОЛ"
"MAINMENU_SYSLINK": "ИГРА ПО ЛОКАЛЬНОЙ СЕТИ"
"PC_HIDE_HUD": "СКРЫТЬ ДИСПЛЕЙ"
"PRESS_ANY_KEY_CAPTION": "НАЖМИТЕ НОВУЮ КЛАВИШУ"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   БРОСОК ГРАНАТЫ"
"PC_CA_EDIT_EXPORT": "ЗАГРУЗКА И РЕДАКТИРОВАНИЕ"
"PCACTION_CONSUME_LEFT": "ИСПОЛЬЗОВАТЬ ПРИ НАЖАТИИ \"ВЛЕВО\""
"PCACTION_WEAPON_2": "ОРУЖИЕ 2"
"HASH_F44E5932": "Вы получили приглашение от %ls. \nПринять приглашение?"
"PC_RECORD_MODE_ENABLE_WARNING": "ВКЛЮЧЕНИЕ РЕЖИМА ВИДЕОЗАПИСИ МОЖЕТ СНИЗИТЬ БЫСТРОДЕЙСТВИЕ. ПО СВЯЗАННЫМ С АВТОРСКИМИ ПРАВАМИ ПРИЧИНАМ МУЗЫКА И РАДИО БУДУТ ОТКЛЮЧЕНЫ. ПРОДОЛЖИТЬ?"
"PLT_MENU_AMBIENT_OCCLUSION": "    ОБЪЕМНЫЙ СВЕТ"
"PC_CREATE_CHAR": "СОЗДАТЬ/ИМПОРТИРОВАТЬ"
"PC_W_OVERCAST": "ПАСМУРНО"
"PC_AV_EXIT_HINT": "ЗАКРЫТЬ ОКНО ОКРУЖАЮЩЕЙ СРЕДЫ"
"PC_EXIT_HINT": "ВЫЙТИ ИЗ РЕДАКТОРА ВИДЕО"
"PC_DELETE_CZ": "УДАЛИТЬ"
"PCACTION_REVERSE": "ТОРМОЗА/ЗАДНЯЯ"
"CBA_OFC_MELEE_NUT_SHOT": "   РУКОПАШНАЯ АТАКА"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   ПОВОРОТ ВЛЕВО"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "СГЛАДИТЬ ОСТРЫЕ КРАЯ"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "ВРАЖЕНИЕ МИНИКАРТЫ ОТНОСИТЕЛЬНО ИГРОКА"
"PC_HANDYCAM": "РУЧНАЯ КАМЕРА"
"PC_POSITION_CAMERA": "РАСПОЛОЖИТЬ КАМЕРУ"
"PC_RECORD_MODE_CANCEL_ENCODE": "ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ ОТМЕНИТЬ СОХРАНЕНИЕ РОЛИКА? РОЛИК БУДЕТ ПОТЕРЯН."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} НАБОР ВЫСОТЫ\n{HELI_DOWN_IMG} СНИЖЕНИЕ\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} БЫСТРЫЙ ПОВОРОТ"
"MENU_RIGHT_MOUSE": "ПКМ"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   ДВИЖЕНИЕ НАЗАД"
"MENU_ON": "ВКЛ."
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Поиск игр для локальной сети..."
"PC_SM_VERY_SLOW": "ОЧЕНЬ НИЗКАЯ"
"PC_CAMERA_DONE_HINT": "ЗАКРЫТЬ ДИАЛОГ"
"PC_GREEN_SCREEN": "ЗЕЛЕНЫЙ ЭКРАН"
"DPAD_LEFT_TXT": "КНОПКА A"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Документы\\Мои игры\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "ВЫБРАТЬ УРОВЕНЬ СЛОЖНОСТИ"
"MULTI_MATCHMAKING": "ПОДБОР ИГРОКОВ STEAM"
"CBA_VDC_BIKE_LEAN_FWD": "   НАКЛОНИТЬСЯ ВПЕРЕД"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, РАЗМЫТИЕ И ГЛУБИНА ПОЛЯ"
"MENU_HIGH": "ВЫСОКО"
"PC_MOVEMENT_SENSITIVITY": "ЧУВСТВИТЕЛЬНОСТЬ ДВИЖЕНИЯ"
"PC_CM_FOLLOW_LOOK": "ПРЕСЛЕДОВАНИЕ: СМОТРЕТЬ"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Колесико вверх"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "ГОРИЗ. ЧУВСТВИТЕЛЬНОСТЬ"
"CBA_GAC_WEAPON_SELECT_2": "   ЯЧЕЙКА ОРУЖИЯ 2"
"CAA_DRIVE_STEER_POS": "   ПОВОРОТ НАПРАВО"
"PC_CA_DELETE": "УДАЛИТЬ"
"PC_SOUNDFX": "ЭФФЕКТЫ"
"PAUSE_MENU_PLAYBACK_MODE": "РЕДАКТИРОВАТЬ КИНОРОЛИК"
"HUD_DROP_ITEM_MESSAGE": "БРОСИТЬ %ls"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "БОКОМ ВЛЕВО"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "ОБЫЧНЫЙ: ЛЕГКО НАУЧИТЬСЯ И ИГРАТЬ; ПРОДВИНУТЫЙ: АВИАСИМУЛЯТОР"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   ЗАПИСАТЬ РОЛИК"
"CBA_GAC_WEAPON_SWITCH_CW": "   СЛЕД. ОРУЖИЕ"
"CAA_WALK_FORWARD_BACKWARD_POS": "   ДВИЖЕНИЕ ВПЕРЕД"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   ДВИЖЕНИЕ ВПЕРЕД"
"MAINMENU_SYSLINK_TITLE": "ЛОКАЛЬНАЯ СЕТЬ"
"PC_ADVANCED_MODE": "РАСШИРЕННЫЙ РЕЖИМ"
"PC_SHOW_HUD_HINT": "ПЕРЕКЛЮЧИТЬ ПРОЗРАЧНОСТЬ ИНТЕРФЕЙСА "
"PC_CONFIRM_EXPORT": "ПОДТВЕРДИТЬ ЭКСПОРТ"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "ПОДОБРАТЬ %ls"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "КРЕСТВИНА ВЛЕВО & ВПРАВО"
"MENU_SECONDARY_ASSIGNMENT": "ДОПОЛНИТЕЛЬНАЯ КНОПКА"
"PLT_MENU_LIGHTING_DETAIL": "    ДЕТАЛИ ОСВЕЩЕНИЯ"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "Сохранение невозможно, так как устройство сохранения не найдено."
"PC_GS_PEOPLE_HINT": "ВКЛЮЧИТЬ/ВЫКЛЮЧИТЬ РЕНДЕРИНГ НЕИГРОВЫХ ПЕРСОНАЖЕЙ"
"PC_DOF_HINT": "ТИП ГЛУБИНЫ РЕЗКОСТИ - ВЛИЯЕТ НА ДИСТАНЦИЮ И ФОКУСНОЕ РАССТОЯНИЕ"
"PC_AUDIO_TOGGLES": "АУДИО"
"HUD_PICKUP_UNNAMED_OBJECT": "ПОДОБРАТЬ"
"PCACTION_LOOK_LEFT": "СМОТРЕТЬ ВЛЕВО"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "ЧТОБЫ СОХРАНЯТЬ РОЛИКИ, ВКЛЮЧИТЕ РЕЖИМ ЗАПИСИ В МЕНЮ ПАУЗЫ."
"CBA_GAC_WEAPON_SELECT_7": "   ЯЧЕЙКА ОРУЖИЯ 7"
"CBA_VDC_HELI_TURN_LEFT": "   ПОВОРОТ НАЛЕВО"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   ДВИЖЕНИЕ ВПЕРЕД"
"PC_OUTPUT_ONLY_HINT": "СПРЯТАТЬ ВРЕМЯ И ДРУГУЮ ИНФОРМАЦИЮ ВО ВРЕМЯ ЭКСПОРТА"
"HUD_CRUISE_CONTROL_NO_BUTTON": "КРУИЗ-КОНТРОЛЬ"
"CBA_GAC_WEAPON_SWITCH_CCW": "   ПРЕД. ОРУЖИЕ"
"CBA_OFC_SPRINT_TOGGLE": "   БЕГ (ПЕРЕКЛ.)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   ДВИЖЕНИЕ НАЗАД"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   ДВИЖЕНИЕ НАЗАД"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "ЧЕМ ВЫШЕ, ТЕМ ЛУЧШЕ, НО МЕДЛЕННЕЕ"
"MENU_LOW": "НИЗКО"
"PLT_MENU_SETUP_MIC": "НАСТРОИТЬ МИКРОФОН"
"MENU_OPTIONS_CLIP_SELECT": "КИНОРОЛИКИ"
"PC_SM_SLOW": "НИЗКАЯ"
"CBA_GAC_ACTION": "   ДЕЙСТВИЕ"
"CAA_DRIVE_STEER_NEG": "   ПОВОРОТ НАЛЕВО"
"CBA_VDC_TANK_FIRE_PRIMARY": "   ОГОНЬ"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "ВЫБЕРИТЕ ЖЕЛАЕМОЕ РАЗРЕШЕНИЕ"
"PC_WATERMARK_HINT": "ЭКСПОРТИРОВАТЬ С ЛОГО SAINTS ROW: THE THIRD В УГЛУ"
"PC_GS_PLAYER_HINT": "ВКЛЮЧИТЬ/ВЫКЛЮЧИТЬ РЕНДЕРИНГ ИГРОКА "
"PC_SELECT_TARGET": "ВЫБРАТЬ ЦЕЛЬ"
"DPAD_TXT": "КРЕСТОВИНА"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "ЧУВСТВИТЕЛЬНОСТЬ"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   ОГОНЬ"
"PC_GS_VEHICLES": "МАШИНЫ"
"PC_EXPORT_HINT": "ЭКСПОРТИРОВАТЬ КЛИП В РОЛИК"
"PCACTION_GRAB_HUMAN": "СХВАТИТЬ ЧЕЛОВЕКА"
"HASH_24103FFD": "Вы должны войти в учётную запись Epic, чтобы воспользоваться этой функцией."
"PC_RECORD_MODE_TEXT": "Включите режим записи, чтобы сохранить свою игру в виде видеоролика. Нажмите ([format][color:#9400C5]{0} [/format]) для экспорта.\n\nРолики сохраняются в папке:"
"MOUSE_TITLE": "УПРАВЛЕНИЕ"
"CBA_VDC_HORN": "   СИГНАЛ"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "ОТКРЫТЬ МЕНЮ ЯРКОСТИ"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "ПОЛНОЭКРАННЫЙ, ОКОННЫЙ ИЛИ БЕЗРАМОЧНЫЙ РЕЖИМ"
"PLT_MENU_TEXTURE_FILTER_MODE": "    РЕЖИМ ФИЛЬТРАЦИИ"
"MAINMENU_MACHINIMA_MODE": "РЕДАКТИРОВАТЬ КИНОРОЛИКИ"
"PC_COPY_CURRENT_HINT": "СОЗДАТЬ НОВУЮ ЗОНУ КАМЕРЫ НА ОСНОВЕ ТЕКУЩЕ ЗОНЫ"
"COOP_REMOTE_CHEAT_STARTING": "Ваш партнер использует читы. В любой новой сохраненной игре они будут включены.\nАвтосохранение было отключено, и вы больше не сможете зарабатывать достижения."
"MENU_MOUSE_CONTROLS_INVERT_X": "ИНВЕРСИЯ ГОРИЗ. ОСИ"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   ПОВОРОТ ВПРАВО"
"MENU_ULTRA": "УЛЬТРА"
"PCACTION_WEAPON_7": "ОРУЖИЕ 7"
"HASH_B617EDBF": "ПОДБОР ИГРОКОВ"
"TUT_STREAKING_PC": "{TAUNT_TWO_IMG} дважды. чтобы начать бег голым. \nВы можете совершать хулиганство \"Бег голым\", когда на вас нет одежды. "
"CBA_GAC_GRENADE_SELECT_3": "   ЯЧЕЙКА ГРАНАТЫ 3"
"CBA_GAC_CELL_OPEN": "   ТЕЛЕФОН"
"CBA_VDC_VTOL_TRANSITION": "   РЕЖИМ ПОЛЕТА СВВП"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "ВЕРТИКАЛЬНАЯ СИНХРОНИЗАЦИЯ В РОЛИКАХ"
"PC_LOAD_CHAR_HINT": "ЗАГРУЗИТЬ МОДЕЛЬ ПЕРСОНАЖА ПО УМОЛЧАНИЮ"
"PC_GS_VEHICLES_HINT": "ВКЛЮЧИТЬ/ВЫКЛЮЧИТЬ РЕНДЕРИНГ МАШИН"
"PC_PROPS": "СВОЙСТВА"
"PC_CAM_TILT_HINT": "НАКЛОН КАМЕРЫ"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "КНОПКА A"
