"MENU_LEFT_MOUSE": "Linke Maustaste"
"PC_PLAY_HINT": "ABSPIELEN DES AUFGEZEICHNETEN SPIELS"
"PC_EXPORTING_VIDEO": "VIDEO WIRD EXPORTIERT"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   REKRUTIEREN / ENTLASSEN"
"CBA_OFC_ATTACK_PRIMARY": "   ANGRIFF"
"CBA_VDC_HELI_UP": "   BEWEGUNG NACH OBEN"
"MENU_CATEGORY_TANK": "PANZER"
"PC_W_THUNDERSTORM": "UNWETTER"
"PC_FADE_HUD": "BILDSCHIRMANZEIGE DURCHSCHEINEND"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "AKTION"
"CBA_OFC_CROUCH_TOGGLE": "   KRIECHEN (AN / AUS)"
"CBA_VDC_NEXT_RADIO": "   NÄCHSTER RADIOSENDER"
"PLT_MENU_ASPECT": "SEITENVERHÄLTNIS"
"PC_ENVIRONMENT": "UMGEBUNG"
"PC_GS_BACKGROUND_HINT": "HINTERGRUND-RENDERING UMSCHALTEN"
"PC_DOF_RANGE_HINT": "DER BRENNWEITENBEREICH DER TIEFENSCHÄRFE"
"PC_COPY_NEXT": "NÄCHSTE KOPIEREN"
"PC_EXPORT_EXPLANATION": "Das Bearbeiten beenden und den Export in ein Video beginnen?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
"HASH_11879627": "GRAFIKQUALITÄT"
"HASH_8DFAAC67": "Du musst in GOG Online gehen oder deine Internet-Verbindung wiederherstellen, um dieses Feature zu nutzen."
"SAVE_WARNING_BOOT": "[format][color:#9400c5]Dieses Spiel speichert automatisch. Wann immer dieser Hinweis erscheint, wird dein Spiel gespeichert.[/format]"
"CBA_OFC_PICKUP_RELOAD": "   AUFHEBEN / NACHLADEN"
"CBA_VDC_HANDBRAKE": "   DRIFTEN"
"PC_SLOWMO_HINT": "ZEITLUPENEINSTELLUNG"
"RECORD_MODE_WARNING": "FILM-CLIPS AUFNEHMEN"
"PCACTION_RADIO_PREVIOUS": "VORIGER SENDER"
"PCACTION_WEAPON_3": "WAFFE 3"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "Der Steam-Account, den du benutzt, ist bereits mit einer THQ ID verbunden."
"MENU_CONTROLLER_OPTIONS_TITLE": "GAMPAD"
"MENU_MOUSE_CONTROLS_INVERT_Y": "VERTIKALE ACHSE UMKEHREN"
"CBA_GAC_WEAPON_SELECT_8": "   WAFFENPLATZ 8"
"PC_EDIT_PROPERTIES": "EIGENSCHAFTEN BEARBEITEN"
"BTN_START_TXT": "A-TASTE"
"PCACTION_WEAPON_6": "WAFFE 6"
"PC_RECORD_MODE_QUALITY_LOW": "480p (NIEDRIG)"
"MAIN_MENU_MATCHMAKING_FAIL": "Steam-Spielersuche hat keine Spiele zum Verbinden gefunden. "
"CBA_GAC_GRENADE_SELECT_2": "   GRANATENPLATZ 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   BEWEGUNG NACH LINKS"
"CBA_VDC_CRUISE_CONTROL_B": "   TEMPOMAT AN / AUS"
"PLT_MENU_SHADOW_DETAIL": "    SCHATTENDETAILS"
"PC_OPTIONS_EXIT_HINT": "DEN OPTIONENDIALOG SCHLIESSEN"
"BTN_BLACK_TXT": "A-TASTE"
"PRESS_ANY_KEY_TEXT": "Eine beliebige Taste drücken oder Esc zum Abbrechen."
"PCACTION_RADIAL_MENU": "RADIALMENÜ"
"PC_RECORD_MODE_FAILED_EXPORT": "DAS VIDEO KONNTE AUF GRUND EINES INTERNEN FEHLERS NICHT GESPEICHERT WERDEN"
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} GRANATE WERFEN \n{GRENADE_SWITCH_IMG} AUSGERÜSTETE GRANATE WECHSELN"
"MENU_MIDDLE_MOUSE": "Mittlere Maustaste"
"CBA_VDC_NITRO": "   NITRO"
"PLT_MENU_FULL_SCREEN": "VOLLBILD"
"PC_OPTIONS": "OPTIONEN"
"PC_ZONE_TYPE": "ZONENTYP"
"PC_CZ_EXIT_HINT": "DEN DIALOG FÜR DIE KAMERAZONEN SCHLIESSEN"
"BTN_RTRIGGER_TXT": "A-TASTE"
"HASH_299A8B6B": "RAHMENLOS"
"HASH_58A675AB": "GOG-SPIELERSUCHE"
"HASH_6A37FFEB": "Die Spielersuche konnte keine Spiele finden, mit denen du dich verbinden kannst."
"COMMUNITY_CREATE_LINK_TEXT": "Hier kannst du eine neue THQ ID erstellen oder deinen Steam-Account mit einer bestehenden verbinden."
"CBA_GAC_PAUSE_MENU": "   PAUSE"
"CBA_VDC_HELI_TURN_RIGHT": "   FLIEGE NACH RECHTS"
"CBA_VDC_PLANE_FIRE_SECONDARY": "   ZWEITE WAFFE FEUERN"
"PLT_TRILINEAR": "TRILINEAR"
"PC_LOAD_CHAR": "STANDARD LADEN"
"PC_SM_NORMAL": "NORMAL"
"PC_DOF_DIST_HINT": "DIE DISTANZ DER TIEFENSCHÄRFE"
"PCACTION_PAUSE": "PAUSEMENÜ"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} BESCHLEUNIGEN\n{PLANE_BRAKE_REVERSE_IMG} BREMSEN + RÜCKWÄRTS \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} ENGE DREHUNG"
"SAVE_CLIP": "Film-Clip speichern"
"CBA_VDC_HELI_FIRE_PRIMARY": "   WAFFE FEUERN"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG2": "   ROLLE LINKS"
"PC_VOICE": "STIMME"
"PC_SHOW_KEYS_HINT": "TASTATURKÜRZEL FÜR DAS BEARBEITEN ZEIGEN"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   FLIEGE AUFWÄRTS"
"PC_SOUNDFX_HINT": "ALLE GERÄUSCHE EIN-/AUSSCHALTEN"
"PC_SM_VERY_FAST": "SEHR SCHNELL"
"PC_EDIT_EXPLANATION": "Du wirst jetzt die Kamera einer nicht aktiven Kamerazone bearbeiten. Die aktuelle Kameraposition überschreibt dann die vorige Position."
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"PCACTION_LOOK_RIGHT": "NACH RECHTS SCHAUEN"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} BEWEGEN \nMAUS BEWEGEN ZUM ZIELEN \n{TANK_FIRE_SECONDARY_IMG} HAUPTWAFFE ABFEUERN \n{TANK_FIRE_PRIMARY_IMG} ZWEITWAFFE ABFEUERN"
"CBA_OFC_ZOOM_IN": "   ZIELOPTIK RANZOOMEN"
"MULTI_LOST_CONNECTION": "Verbindung mit Steam unterbrochen.\nKehre zum Hauptmenü zurück."
"PC_TOD_MORNING": "MORGEN"
"PC_GS_BACKGROUND": "HINTERGRUND"
"SAVING_CONTENT_BODY": "Bitte das Spiel nicht ausschalten."
"CBA_GAC_WEAPON_SELECT_6": "   WAFFENPLATZ 6"
"CBA_VDC_ACCELERATE": "   BESCHLEUNIGEN"
"CBA_VDC_PLANE_TURN_RIGHT2": "   BIEGUNG RECHTS"
"PLT_ANISOTROPIC_EIGHT": "ANISOTROPISCH 8X"
"MENU_CUSTOM": "ANGEPASST"
"PLT_MENU_DISPLAY_4": "MONITOR 4"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "Auf deiner Festplatte ist nicht genug freier Platz, um den Speichervorgang abzuschließen."
"PC_MOVEMENT_SENSITIVITY_HINT": "EMPFINDLICHKEIT DER KAMERABEWEGUNG"
"PC_CONFIRM_EXIT": "VERLASSEN BESTÄTIGEN"
"PCACTION_WEAPON_8": "WAFFE 8"
"PCACTION_CROUCH": "KRIECHEN"
"MENU_MOUSE_BUTTON_3": "Maus 3"
"MENU_CATEGORY_HELI": "HUBSCHRAUBER"
"PLT_QUIT_GAME": "ZURÜCK ZUM DESKTOP"
"MAINMENU_SYSLINK": "LAN-SPIEL"
"PC_HIDE_HUD": "BILDSCHIRMANZEIGE AUSBLENDEN"
"PRESS_ANY_KEY_CAPTION": "NEUE TASTE DRÜCKEN"
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   GRANATE WERFEN"
"PC_CA_EDIT_EXPORT": "LADEN UND BEARBEITEN"
"PCACTION_CONSUME_LEFT": "LINKS BENUTZEN"
"PCACTION_WEAPON_2": "WAFFE 2"
"HASH_F44E5932": "%ls hat dich zu einem Spiel eingeladen. \nWürdest du gern beitreten?"
"PC_RECORD_MODE_ENABLE_WARNING": "DER VIDEOAUFNAHMEMODUS KANN UNTER UMSTÄNDEN ZU EINER LEISTUNGSVERLANGSAMUNG FÜHREN. AUS RECHTLICHEN GRÜNDEN WERDEN MUSIK UND RADIO EBENFALLS AUSGESCHALTET. WEITER?"
"PLT_MENU_AMBIENT_OCCLUSION": "    UMGEBUNGSAUSSCHLUSS"
"PC_CREATE_CHAR": "ERSTELLEN/IMPORTIEREN"
"PC_W_OVERCAST": "BEWÖLKT"
"PC_AV_EXIT_HINT": "DEN UMGEBUNGSDIALOG SCHLIESSEN"
"PC_EXIT_HINT": "DEN CLIP-EDITOR VERLASSEN"
"PC_DELETE_CZ": "LÖSCHEN"
"PCACTION_REVERSE": "BREMSEN/RÜCKWÄRTS"
"CBA_OFC_MELEE_NUT_SHOT": "   NAHKAMPFANGRIFF"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   FLIEGE NACH LINKS"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "ECKEN GLÄTTEN"
"PLT_MENU_MINIMAP_VIEW_TOOLTIP": "ROTATION DER MINIKARTE IN RELATION ZUR RICHTUNG DES SPIELERS"
"PC_HANDYCAM": "HANDYKAMERA"
"PC_POSITION_CAMERA": "KAMERA POSITIONIEREN"
"PC_RECORD_MODE_CANCEL_ENCODE": "BIST DU SICHER, DASS DU DEN SPEICHERVORGANG ABBRECHEN WILLST? DAS VIDEO WIRD NICHT GESPEICHERT."
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} HÖHE STEIGERN\n{HELI_DOWN_IMG} HÖHE VERRINGERN\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} SCHNELLE DREHUNG"
"MENU_RIGHT_MOUSE": "Rechte Maustaste"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   RÜCKWÄRTS BEWEGEN"
"MENU_ON": "AN"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "Suche nach LAN-Spielen"
"PC_SM_VERY_SLOW": "SEHR LANGSAM"
"PC_CAMERA_DONE_HINT": "DIALOG SCHLIESSEN"
"PC_GREEN_SCREEN": "GRÜNER BILDSCHIRM"
"DPAD_LEFT_TXT": "A-TASTE"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"PC_RECORD_MODE_PATH": "\\Dokumente\\MeineSpiele\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "STELLE DEN SPIEL-SCHWIERIGKEITSGRAD EIN"
"MULTI_MATCHMAKING": "STEAM-SPIELERSUCHE"
"CBA_VDC_BIKE_LEAN_FWD": "   MOTORRAD STOPPIE"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR, BEWEGUNGSUNSCHÄRFE UND TIEFENUNSCHÄRFE"
"MENU_HIGH": "HOCH"
"PC_MOVEMENT_SENSITIVITY": "BEWEGUNGSEMPF."
"PC_CM_FOLLOW_LOOK": "ZIEL FOLGEN"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"MENU_MOUSE_WHEEL_UP": "Rad hoch"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "HORIZONTALE EMPFINDLICHKEIT"
"CBA_GAC_WEAPON_SELECT_2": "   WAFFENPLATZ 2"
"CAA_DRIVE_STEER_POS": "   NACH RECHTS LENKEN"
"PC_CA_DELETE": "LÖSCHEN"
"PC_SOUNDFX": "GERÄUSCHE"
"PAUSE_MENU_PLAYBACK_MODE": "FILM-CLIPS BEARBEITEN"
"HUD_DROP_ITEM_MESSAGE": "%ls ABLEGEN"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"PCACTION_STRAFE_LEFT": "SEITLICH NACH LINKS GEHEN"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "NORMAL: LEICHT ZU ERLERNEN UND ZU SPIELEN; FORTGESCHRITTEN: FLUGSIMULATOR"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   VIDEO SPEICHERN"
"CBA_GAC_WEAPON_SWITCH_CW": "   NÄCHSTE WAFFE"
"CAA_WALK_FORWARD_BACKWARD_POS": "   VORWÄRTS GEHEN"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   VORWÄRTS FLIEGEN"
"MAINMENU_SYSLINK_TITLE": "LAN"
"PC_ADVANCED_MODE": "ERWEITERTER MODUS"
"PC_SHOW_HUD_HINT": "TRANSPARENZ DER BILDSCHIRMANZEIGE UMSCHALTEN"
"PC_CONFIRM_EXPORT": "EXPORT BESTÄTIGEN"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%ls AUFNEHMEN"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "STEUERKREUZ LINKS & RECHTS"
"MENU_SECONDARY_ASSIGNMENT": "ALTERNATIVE TASTENBELEGUNG"
"PLT_MENU_LIGHTING_DETAIL": "    LICHTDETAILS"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "Der Speichervorgang ist gescheitert, da das Standard-Speichergerät nicht mehr verfügbar ist."
"PC_GS_PEOPLE_HINT": "RENDERING DER NICHT-SPIELER-MENSCHEN UMSCHALTEN"
"PC_DOF_HINT": "TIEFENSCHÄRFETYP - WIRKT SICH AUF BRENNWEITE UND DISTANZ AUS"
"PC_AUDIO_TOGGLES": "AUDIO"
"HUD_PICKUP_UNNAMED_OBJECT": "AUFNEHMEN"
"PCACTION_LOOK_LEFT": "NACH LINKS SCHAUEN"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "VIDEOAUFNAHMEMODUS IM PAUSEMENU AKTIVIEREN UM DAS VIDEO ZU SPEICHERN. "
"CBA_GAC_WEAPON_SELECT_7": "   WAFFENPLATZ 7"
"CBA_VDC_HELI_TURN_LEFT": "   FLIEGE NACH LINKS"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_POS": "   VORWÄRTS BEWEGEN"
"PC_OUTPUT_ONLY_HINT": "ZEITLINIE UND ANDERE INFORMATIONEN WÄHREND DES EXPORTS AUSBLENDEN"
"HUD_CRUISE_CONTROL_NO_BUTTON": "TEMPOMAT"
"CBA_GAC_WEAPON_SWITCH_CCW": "   VORHERIGE WAFFE"
"CBA_OFC_SPRINT_TOGGLE": "   RENNEN (AN / AUS)"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   RÜCKWÄRTS GEHEN"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   RÜCKWÄRTS FLIEGEN"
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "HÖHER IST BESSER ABER LANGSAMER"
"MENU_LOW": "NIEDRIG"
"PLT_MENU_SETUP_MIC": "MIKROFON EINRICHTEN"
"MENU_OPTIONS_CLIP_SELECT": "FILM-CLIPS"
"PC_SM_SLOW": "LANGSAM"
"CBA_GAC_ACTION": "   AKTION"
"CAA_DRIVE_STEER_NEG": "   NACH LINKS LENKEN"
"CBA_VDC_TANK_FIRE_PRIMARY": "   WAFFE FEUERN"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "WÄHLE DIE GEWÜNSCHTE AUFLÖSUNG"
"PC_WATERMARK_HINT": "MIT EINEM SAINTS ROW: THE THIRD LOGO IN DER ECKE EXPORTIEREN"
"PC_GS_PLAYER_HINT": "SPIELER-RENDERING UMSCHALTEN"
"PC_SELECT_TARGET": "ZIEL WÄHLEN"
"DPAD_TXT": "DAS STEUERKREUZ"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "SENSIBILITÄT"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   WAFFE FEUERN"
"PC_GS_VEHICLES": "FAHRZEUGE"
"PC_EXPORT_HINT": "DEN CLIP IN EIN VIDEO EXPORTIEREN"
"PCACTION_GRAB_HUMAN": "MENSCH ERGREIFEN"
"HASH_24103FFD": "Du musst dich bei deinem Epic-Konto anmelden, um dieses Feature nutzen zu können."
"PC_RECORD_MODE_TEXT": "Aktiviere Aufzeichnungs-Modus um deine letzten Spielmomente direkt auf Video aufzuzeichnen! Drücke ([format][color:#9400C5]{0}[/format]) zum exportieren.\n\nVideos werden gespeichert unter:"
"MOUSE_TITLE": "STEUERUNG"
"CBA_VDC_HORN": "   HUPE"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "BILDSCHIRMHELLIGKEITSMENU ÖFFNEN"
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "VOLLBILD, FENSTER ODER RAHMENLOS"
"PLT_MENU_TEXTURE_FILTER_MODE": "    FILTERMODUS"
"MAINMENU_MACHINIMA_MODE": "FILM-CLIPS BEARBEITEN"
"PC_COPY_CURRENT_HINT": "ERSTELLE EINE NEUE KAMERAZONE BASIEREND AUF DER AKTUELLEN ZONE"
"COOP_REMOTE_CHEAT_STARTING": "Dein Koop-Partner benutzt Cheats. Alle neu-erstellten Spielstände werden Cheats aktiviert haben.\nAutomatisches Speichern wurde deaktiviert und du kannst keine weiteren Erfolge verdienen."
"MENU_MOUSE_CONTROLS_INVERT_X": "HORIZONTALE ACHSE UMKEHREN"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   FLIEGE NACH RECHTS"
"MENU_ULTRA": "ULTRA"
"PCACTION_WEAPON_7": "WAFFE 7"
"HASH_B617EDBF": "SPIELERSUCHE"
"TUT_STREAKING_PC": "Zweimal {TAUNT_TWO_IMG}, um mit dem Flitzen zu beginnen. \n Die Flitzen-Ablenkung ist verfügbar wenn du keine Kleider trägst."
"CBA_GAC_GRENADE_SELECT_3": "   GRANATENPLATZ 3"
"CBA_GAC_CELL_OPEN": "   HANDY"
"CBA_VDC_VTOL_TRANSITION": "   VTOL MODUS WECHSELN"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "V-SYNC WÄHREND DER FILMSZENEN"
"PC_LOAD_CHAR_HINT": "DAS STANDARD-CHARAKTERMODELL LADEN"
"PC_GS_VEHICLES_HINT": "FAHRZEUG-RENDERING UMSCHALTEN"
"PC_PROPS": "IMMOBILIEN"
"PC_CAM_TILT_HINT": "DIE NEIGUNG DER KAMERA"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "A-TASTE"
