"DROP_SPHERE": "DÁT SPHERE"
"STAT_MILES_BY_WATERCRAFT": "MÍLE URAŽENÉ PO VODĚ"
"STATS_NO": "NE"
"STAT_SHOT_HIT_PERCENTAGE": "PŘESNOST ZÁSAHŮ"
"ESCORT_NAME_13A": "ANÁLNÍ"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "ODEMKNUTELNÉ"
"TATTOO_LEAVE_FULL": "Skutečně chceš odejít z Rusty's Needle?"
"STAT_DRIVING_WHEELIE": "JÍZDA PO ZADNÍM KOLE"
"STAT_UNIQUE_VEHICLES_OWNED": "RŮZNÝCH VOZIDEL V GARÁŽI"
"STATS_BLANK_OF_BLANK": "%d Z %d"
"DROP_COMMANDER": "DÁT COMMANDER"
"BLOODY_MESS": "KRVAVÝ BORDEL"
"STORE_BRA_WARNING": "POZOR"
"CUST_ITEM_NOTHING": "NIC"
"HUD_CRIB_CUSTOMIZE": "UPRAVIT BEJVÁK"
"GARAGE_CAT_4": "KOLA"
"STAT_THROWN_WEAPON_USES": "POUŽITÉ VRHACÍ ZBRANĚ"
"ESCORT_NAME_11A": "KAPAJÍCÍ"
"ESCORT_NAME_2A": "REZAVĚJÍCÍ"
"Coop Col3_NAME": "NEJLEPŠÍ HRÁČI KOOPERATIVNÍHO REŽIMU"
"LOW_GRAVITY_DESC": "Stilwaterské gravitační generátory pracují na čtvrtinový výkon."
"CUST_REMOVE_ITEM_BODY": "Skutečně chceš odstranit tuto věc?"
"PURCHASEABLE_PROPERTEY_FACTORY": "TOVÁRNA"
"GARAGE_HELIPORT": "HELIPORT"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Nepřátelé byli pobiti!"
"STAT_WEAPON_RIFLE": "PUŠKA"
"STAT_COOP_STRONGHOLDS_COMPLETED": "KOOPERATIVNÍ REŽIM: DOKONČENÉ PEVNOSTI"
"GENERAL_YOU": "TY"
"HASH_631F9AA8": "KOOPERATIVNÍ METAHRA: BODY"
"MUSIC_ARTIST_UNKNOWN": "NEZNÁMÉ"
"STAT_GARAGES_ACQUIRED": "ZÍSKANÉ GARÁŽE"
"STAT_CAT_MOUSE_KILLS": "NA KOČKU A NA MYŠ: ZABITÍ"
"STAT_RIFLE_SHOTS_FIRED": "VYPÁLENÉ RÁNY Z PUŠKY"
"CUST_GANG_NAME_COLLEGE": "STUDENTI Z KOLEJE"
"GOD_MODE_DESC": "Jsi nezastavitelný"
"ACT_CHOP_SHOP_LEAVE_FULL": "Skutečně chceš odejít z autodílny?"
"GARAGE_CAT_1": "VZHLED"
"STORE_CLOTHING_STORE_MSG": "KOUPIT OBLEČENÍ"
"STRONGHOLD_START_TEXT": "STISKNUTÍM %s SPUSTÍŠ PEVNOST %s"
"ADD_GANG_NOTORIETY_DESC": "Při každém použití zvýší pozornost gangů o jednu hvězdičku"
"Overcast": "ZATAŽENO"
"TAXI_CONFIRM_PURCHASE_FULL": "Chceš si toto auto koupit za %ls?"
"MENU_SWAP_WEAPONS_CACHE": "SKLADIŠTĚ ZBRANÍ"
"STORE_TITLE_PURCHASING": "NÁKUP"
"STAT_VEHICLES_HIJACKED": "UKRADENÁ VOZIDLA"
"STAT_HOSTAGE_CASH": "PENÍZE ZÍSKANÉ Z ÚNOSŮ"
"CONTROL_ROTATE": "OTOČIT"
"DROP_SANDSTORM": "DÁT SANDSTORM"
"GIVE_DILDO": "DÁT PENETRÁTOR"
"GIVE_GRENADE": "DÁT GRANÁT"
"TIME_SET_MIDNIGHT": "NASTAVENÍ ČASU NA PŮLNOC"
"STORE_CHOOSE_A_CATEGORY": "VYBER SI KATEGORII"
"STORE_ZOOM_ROTATE": "PŘIBLÍŽENÍ/NATOČENÍ"
"STAT_DRUG_PACKAGES_FOUND": "NALEZENÉ BALÍČKY S DROGAMI"
"Coop Col1_NAME": "NEJLEPŠÍ HRÁČI KOOPERATIVNÍHO REŽIMU"
"HASH_BD9681AC": "KOOPERATIVNÍ METAHRA: NEJVÍCE BODŮ V KOLE"
"CONTROL_EXIT_PLAYER_CREATION": "UKONČIT ÚPRAVY POSTAVY"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "ZPRAVODAJSKÁ STANICE"
"STORE_PRICE": "${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Když odstraníš tento předmět ze šatny, smaže se také z příslušného obleku."
"CRIB_WARDROBE_EXIT": "Opravdu chceš\n\nodejít ze šatníku?"
"STORE_EXIT_CLIPBOARD": "Zavřít schránku?"
"STAT_HITMAN_TARGETS_ELIMINATED": "DOKONČENÉ ATENTÁTY"
"STAT_BIKES_DESTROYED": "ZNIČENÉ MOTORKY"
"STAT_MELEE_KILLS": "ZABITÍ ZBLÍZKA"
"STATS_YES": "ANO"
"ESCORT_NAME_8A": "TŘPYTÍCÍ"
"HASH_84FAC22D": "RESPEKT ZÍSKANÝ EXHIBICIONISMEM"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "NÍZKÁ GRAVITACE"
"CUST_ICON_SUITS": "ŠATY"
"CUST_ICON_RINGS": "PRSTENY"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Chceš před ukončením uložit změny?"
"STAT_SMG_SHOTS_FIRED": "VYPÁLENÉ RÁNY ZE SAMOPALU"
"STAT_SWAT_KILLED": "ZABITÍ PŘÍSLUŠNÍCI SWAT"
"CONTROL_RETURN_TO_MAIN_MENU": "NÁVRAT DO HLAVNÍHO MENU"
"CONTROL_ZOOM": "PŘIBLÍŽIT"
"CONTROL_PURCHASE": "KOUPIT"
"MAP_ICON_CRIB_PURCHASE": "BEJVÁK NA PRODEJ"
"CHEAT_CHARACTER_DESC": "Změní tvou postavu do této podoby."
"MUSIC_ELECTRONICA": "ELEKTRONICKÁ"
"POC2_WEAPON_UPGRADE_1": "VYLEPŠIT ZBRAŇ - ÚROVEŇ 1"
"STORE_BUILD": "POSTAVA"
"COMPLETION_STYLE_BONUS": "BONUS ZA STYL"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "TANKOVÝ MASAKR: ZPŮSOBENÉ ŠKODY"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "DOBA PŘI MAXIMÁLNÍ POZORNOSTI POLICIE"
"STAT_LONGEST_POWERSLIDE_TIME": "NEJDELŠÍ JÍZDA SMYKEM"
"STAT_TOTAL_MONEY": "VYDĚLANÉ PENÍZE"
"ESCORT_NAME_19A": "PLIVAJÍCÍ"
"HASH_2B28212F": "NEJDELŠÍ SÉRIE HYDRAULIKY"
"CONTROL_EXIT_WARDROBE": "ZAVŘÍT ŠATNÍK"
"MAP_ICON_HITMAN": "ZABIJÁK"
"GIVE_TEKZ10": "DÁT TEK Z-10"
"TOD_CYCLE_DESC": "Změní denní dobu."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Nebyly nalezeny žádné dříve uložené soubory.\nChceš spustit novou hru?"
"STORE_UNDERWEAR_WARNING": "POZOR"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Primární zbraň byla vylepšena!"
"SP Vehicle Jumps Col3_NAME": "NEJLEPŠÍ HRÁČI SKOKŮ S VOZIDLY"
"SP Diversion Stars Col2_NAME": "NEJLEPŠÍ HRÁČI BOKOVEK"
"SP Time Col3_NAME": "ŽEBŘÍČEK ČASU HRANÍ"
"HASH_745E5BB0": "TAG SMRTI: NEJDELŠÍ SÉRIE ZABITÍ"
"GIANT_PLAYER": "JSEM OBR"
"SUPER_SAINTS": "SUPER SVATÍ"
"BUILDING_PURCHASE_CASH_PER_HOUR": "{0} DOLARŮ ZA HODINU"
"CRIB_HUD_DOCK_NAME": "RODNINIHO LODNÍ DOK"
"VEHICLE_ADVANCED": "%s (POKROČILÝ)"
"GARAGE_CAT_5": "DETAILY"
"STAT_CAT_MOUSE_TIME": "NA KOČKU A NA MYŠ: CELKOVÝ ČAS"
"STAT_FRAUD_CASH_CLAIMED": "POJISTNÝ PODVOD: POŽADOVANÁ ČÁSTKA"
"STAT_DIVERSION_CASH_EARNED": "PENÍZE ZA DIVERZE"
"STAT_BASE_OWNED": "VLASTNÍ PADÁK"
"SP Kills Col1_NAME": "NEJLEPŠÍ HRÁČI VRAŽEDNÉHO BĚSNĚNÍ"
"CAR_MASS_HOLE_DESC": "Tvé vozidlo má super setrvačnost a odstrčí všechny ostatní z cesty."
"PLAYER_PRATFALLS_DESC": "Stisknutím {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG} si natlučeš zadek, podobně jako u pojistného podvodu."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% SLEVA"
"GANG_CUST_SLOT_1": "POZICE 1"
"STORE_CAR_MECHANIC_MSG": "NAVŠTÍVIT MECHANIKA"
"STAT_NEIGHBORHOODS_EXPLORED": "PROZKOUMANÉ ČTVRTI"
"ESCORT_NAME_32B": "MATRONA"
"GIVE_RPG": "DÁT RPG"
"DROP_AMBULANCE": "DÁT SANITKU"
"PREVIEW_UNAVAILABLE": "NÁHLED NENÍ K DISPOZICI"
"VCUST_TIRE_TREAD_OPTION": "PROFIL PNEUMATIKY"
"STAT_SHORTCUTS_FOUND": "NALEZENÉ ZKRATKY"
"STAT_MISSIONS_FAILED": "NEÚSPĚŠNÉ MISE"
"STAT_CAT_MOUSE_DEATHS": "NA KOČKU A NA MYŠ: ÚMRTÍ"
"STAT_COOP_TIME_PLAYED": "KOOPERATIVNÍ REŽIM: DOBA HRANÍ"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RESPEKT ZÍSKANÝ ZA ZABITÍ MEČEM NA MOTORCE"
"STAT_MAX_STUNT_JUMP_DISTANCE": "MAXIMÁLNÍ VZDÁLENOST SKOKU"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "DÁT MIAMI"
"ACHIEVES_GAIN_BLANK": "Získal jsi úspěch %s!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "POTVRZENÍ VYTVOŘENÍ"
"HASH_D25D9734": "NEJDELŠÍ ODRAZ"
"CUST_GANG_NAME_CROSS": "TRANSVESTITÉ"
"BLOODY_MESS_DESC": "Každý, koho zabiješ, vybuchne."
"REPAIR_CAR_DESC": "Opraví všechny škody na tvém voze."
"PURCHASEABLE_PROPERTEY_PAWN2": "ZASTAVÁRNA PLÁN B"
"GARAGE_REPAIR_MUST": "VŮZ NEMŮŽEŠ UPRAVIT, DOKUD NEBUDE ÚPLNĚ OPRAVENÝ"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "DOBA PŘI MAXIMÁLNÍ POZORNOSTI DECKERŮ"
"STAT_SURFING_RESPECT": "RESPEKT ZÍSKANÝ ZA SURFOVÁNÍ"
"STAT_COMBAT_NUTSHOT": "ZÁSAHY DO ROZKROKU"
"Partners in Crime_NAME": "PARTNEŘI VE ZLOČINU"
"PAUSE_MAP_ICONS_ON_OFF": "IKONY ZAPNUTO/VYPNUTO"
"GANG_NEUTRAL": "NEUTRÁLNÍ"
"TAT_REG_L_FOREARM": "LEVÉ PŘEDLOKTÍ"
"HORDE_MODE_NEW_TEXT": "Opravdu chceš kurví režim restartovat?"
"STAT_SNATCH_LEVELS_COMPLETED": "DOKONČENÉ MISE SOUBOJ PASÁKŮ"
"ESCORT_NAME_36B": "BISKUP"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "DÁT KYBER BUSTER"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Chceš před ukončením uložit změny?"
"STORE_EXIT": "UKONČIT"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "POSLEDNÍ VLNA BYLA DOKONČENA"
"STAT_BRUTES_KILLED": "ZABITÁ MONSTRA"
"ESCORT_NAME_28A": "HŘEŠÍCÍ"
"vandalism": "VANDALSTVÍ"
"HASH_2B25A437": "ŠOKOVANÍ LIDÉ"
"CONTROL_NO": "NE"
"GIVE_SNIPER": "DÁT MCMANUS 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Opakováním aktivity ztratíš všechny zbraně a respekt, které jsi za její hraní získal."
"VEHICLE_PRICE": "CENA"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Zbraň, jako je \"%s\", můžeš mít jen jednu."
"STAT_COOP_REVIVES": "KOOPERATIVNÍ REŽIM: OŽIVENÍ HRÁČŮ"
"STAT_STRONGHOLDS_COMPLETED": "DOKONČENÉ PEVNOSTI"
"STAT_DRIVING_DRIFTING_DISTANCE": "NEJDELŠÍ JÍZDA SMYKEM"
"STAT_DRIVING_BIGAIR": "VELKÉ SKOKY"
"STAT_CUSTOM_ITEMS_OWNED": "POČET NABYTÝCH PŘEDMĚTŮ"
"STAT_CHOPSHOP_COMPLETED": "DOKONČENÉ AUTODÍLNY"
"ESCORT_NAME_34B": "KUDLANKA"
"SPStronghold": "HRAJE: {C10}  PEVNOST: {C6}"
"COMERCIAL_5": "15% SLEVA V OBCHODECH FRIENDLY FIRE"
"CUST_ICON_NECKLACES": "NÁHRDELNÍKY"
"GARAGE_CUSTOMIZE_VEHICLE": "UPRAVIT"
"STORE_PLASTIC_SURGEON_MSG": "NAVŠTÍVIT PLASTICKÉHO CHIRURGA"
"HORDE_MODE_NEW_WAVE_MESSAGE": "VLNA %i"
"STAT_BEST_WEAPON": "NEJOBLÍBENĚJŠÍ ZBRAŇ"
"STAT_HOSTAGES_EXTORTED": "OKRADENÍ RUKOJMÍ"
"ESCORT_NAME_26A": "SUBMISIVNÍ"
"RESTORE_PLAYER": "OBNOVIT NA NORMÁLNÍ"
"MUSIC_CLASSICAL": "KLASIKA"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKYHO BLBŮSTKY"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "PADĚLÁNÍ"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "ZBÝVAJÍCÍ NEPŘÁTELÉ"
"STAT_LAW_ENFORCEMENT_KILLED": "ZABITÍ OCHRÁNCŮ ZÁKONA CELKEM"
"SP Kills Col3_NAME": "NEJLEPŠÍ HRÁČI VRAŽEDNÉHO BĚSNĚNÍ"
"CUST_GANG_NAME_COWBOY": "KOVBOJ"
"GIVE_SHEPERD": "DÁT 45 SHEPERD"
"GIVE_MOLOTOV": "DÁT MOLOTOVA"
"Infinite_Ammo": "NEKONEČNÁ MUNICE"
"GIVE_CASH": "PENÍZE"
"MENU_SWAP_WEAPONS_STORE": "OBCHOD SE ZBRANĚMI"
"STAT_WEAPON_PISTOL": "PISTOLE"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "KOOPERATIVNÍ REŽIM: REKORDY TANDEMOVÝCH HER"
"STAT_TIME_PLAYED": "CELKOVÁ DOBA HRANÍ"
"ESCORT_NAME_24A": "STOUPAJÍCÍ"
"SP Vehicle Jumps Col1_NAME": "NEJLEPŠÍ HRÁČI SKOKŮ S VOZIDLY"
"SP Time Col1_NAME": "ŽEBŘÍČEK ČASU HRANÍ"
"CUST_GANG_NAME_80S": "80. LÉTA"
"TATTOO_CONFIRM_PURCHASE_FULL": "Máš zájem o tetování \"%s\" na této části těla: %s? Stojí %s. Chceš si je pořídit?"
"STORE_SWITCHING_TITLE": "PŘEPÍNÁ SE: {0}"
"CONTROL_SAVE_AND_QUIT": "ULOŽIT A UKONČIT"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "POJISTNÝ PODVOD: CELKOVÁ DÉLKA SKOKŮ"
"STAT_HIGHEST_RANK_ACHIEVED": "NEJVYŠŠÍ DOSAŽENÁ ÚROVEŇ"
"STAT_CAT_MOUSE_CASH_EARNED": "NA KOČKU A NA MYŠ: VYDĚLANÉ PENÍZE"
"STAT_COMBAT_MULTI": "HROMADNÁ ZABITÍ"
"Coop Time Played_NAME": "ODEHRANÝ ČAS"
"CONTROL_RAISE_LOWER_CAMERA": "ZVÝŠIT/SNÍŽIT KAMERU"
"DROP_KNOXVILLE": "DÁT KNOXVILLE"
"GOLDEN_GUN_DESC": "Zbraň zabíjející jediným zásahem."
"GARAGE_REMOVE_VEHICLE": "ODSTRANIT"
"STAT_UNARMED_KILLS": "ZABITÍ HOLÝMA RUKAMA"
"STAT_TOTAL_CASH_SPENT": "CELKOVÉ VÝDAJE"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "MAXIMÁLNÍ POŠKOZENÍ KATAPULTU"
"ESCORT_NAME_22A": "STŘÍLEJÍCÍ"
"WARDROBE_REMOVE_CLOTHING": "Chceš odstranit ostatní oblečení?"
"MAP_ICON_CHOP_SHOP": "AUTODÍLNA"
"GIVE_PIMPSLAP": "ZASADIT PASÁCKOU FACKU"
"RAINING_PEDS": "PRŠÍCÍ CHODCI"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Skutečně chceš zavřít skříň se zbraněmi?"
"GANG_CUST_GANG_SIGN_POSE": "POHYB"
"STAT_COMBAT_ENEMY_RESPECT": "RESPEKT ZÍSKANÝ ZA ZABÍJENÍ NEPŘÁTELSKÝCH GANGSTERŮ"
"STAT_MAX_WHEELIE_DISTANCE": "MAXIMÁLNÍ VZDÁLENOST JÍZDY PO ZADNÍM KOLE"
"GIVE_BASEBALL": "DÁT BASEBALLOVOU PÁLKU"
"CUST_ICON_OUTFITS": "KOMPLETY"
"GANG_CUST_VEHICLE_TITLE": "VOZY"
"PURCHASEABLE_PROPERTEY_CASINO": "KASINO CHUPACABRA"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "VZDÁLENOST PŘEKONANÁ PADÁKEM"
"STAT_DRIVING_WINDSHILED_RESPECT": "RESPEKT ZÍSKANÝ ZA AUTODĚLA"
"STAT_MAX_STOPPIE_DISTANCE": "MAXIMÁLNÍ VZDÁLENOST JÍZDY PO PŘEDNÍM KOLE"
"ESCORT_NAME_20A": "VLÁDNOUCÍ"
"CELL_EMERGENCY": "POHOTOVOST"
"GIVE_RESPECT_DESC": "Okamžitě dostaneš respekt."
"GIVE_MINIGUN": "DÁT KULOMET"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Skutečně chceš přijmout pozvánku ke hře?\n(přijdeš o všechen neuložený postup ve hře)  "
"GANG_CUST_GANG_TAG_OPT": "TAG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Zbraň \"%s\" si už ze skříně nemůžeš vzít."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "DOBA PŘI MAXIMÁLNÍ POZORNOSTI MORNINGSTARŮ"
"STAT_DRIVING_DRIFTING": "JÍZDA SMYKEM"
"WARDROBE_REMOVE_CLOTHING_TITLE": "ODSTRANIT OSTATNÍ OBLEČENÍ"
"CONTROL_SIGN_IN": "PŘIHLÁSIT SE"
"PAUSE_MAP_PAN": "POSUNOUT"
"GIVE_LAUNCHER": "DÁT GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Změní tvou postavu zpět na původní."
"MILK_BONES": "MLÉČNÉ KOSTI"
"STORE_BRA_SUB_WARNING": "Nemůžeš odstranit podprsenku, kterou máš právě na sobě."
"VCUST_HUBCAP_OPTION": "POKLICE"
"VCUST_SPINNER_NUMBER": "MATICE #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "BYTY HIGH RISE"
"CUST_ITEM_REMOVE_CLOTHING": "SVLÉKNOUT VŠECHNO OBLEČENÍ"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "ZABITÍ SPECIALISTÉ LUCHADORŮ"
"STAT_MISSIONS_ATTEMPTED": "VŠECHNY MISE"
"STAT_SNIPER_HIT_PCT": "PROCENTO ZÁSAHŮ S ODSTŘELOVACÍ PUŠKOU"
"MAP_ICON_CLOTHING": "OBCHOD S OBLEČENÍM"
"NO_GANG_NOTORIETY": "KLID GANGŮ"
"TIME_SET_NOON": "NASTAVENÍ ČASU NA POLEDNE"
"VCUST_AXLES_TITLE": "NÁPRAVY"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "POJISTNÝ PODVOD: NEJDELŠÍ SKOK"
"STAT_SURFING": "SURFOVÁNÍ"
"ESCORT_NAME_25B": "FÉNIX"
"SPMission": "HRAJE: {C10}  MISE: {C4}"
"TAXI_TITLE": "TAXISLUŽBA"
"DROP_WOODPECKER": "DÁT WOODPECKER"
"GIVE_DIGGER": "DÁT HROBNÍKA"
"PIMPS_AND_HOS_PEDS": "PASÁCI A DĚVKY"
"WEATHER_DESC": "Změní momentální počasí."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "NÁHLED NENÍ K DISPOZICI"
"STORE_TITLE_DISCARD": "ODSTRANIT PŘEDMĚT"
"HORDE_MODE_RETRY_TEXT": "Opravdu chceš zopakovat tuto vlnu?"
"HORDE_MODE_UNLIMITED_AMMO": "Nekonečný zásobník!"
"STAT_TAUNT_GANG": "ZESMĚŠNĚNÍ ČLENOVÉ GANGU"
"STAT_SPECIAL_AMMO_USED": "VYPÁLENÉ RÁNY ZE SPECIÁLNÍCH ZBRANÍ"
"ESCORT_NAME_39_A": "DVOJPĚSTNÍ"
"NO_GANG_NOTORIETY_DESC": "Zcela od tebe odvrátí pozornost gangů."
"GIVE_STUNGUN": "DÁT OMRAČOVACÍ PUŠKU"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "\"%s\" je nyní k dispozici. Vzít?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NOVÉ NEJVYŠŠÍ SKÓRE"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "VLNA ZOMBIÍ"
"STAT_RPG_HIT_PCT": "PROCENTO ZÁSAHŮ S RPG"
"STAT_MAX_STUNT_JUMP_FLIP": "MAXIMÁLNÍ PŘEMET"
"ESCORT_NAME_27B": "MLÉČNÝ SHAKE"
"CRIB_SR_NAME": "ÚKRYT SVATÝCH"
"NEVER_DIE_DESC": "Nikdy nezemřeš."
"STORE_UPGRADES_REQUIRED": "POŽADOVÁNA"
"NO_ITEMS_DISPLAY_NAME": "ŽÁDNÉ PŘEDMĚTY"
"HORDE_MODE_TITLE_PLAYER_SCORES": "HRÁČOVO SKÓRE"
"STAT_DRIVING_BAILOUT_DISTANCE": "NEJDELŠÍ KATAPULT"
"GANG_POLICE": "POLICIE"
"DROP_VTOL": "DÁT STÍHAČKU"
"DROP_EAGLE": "DÁT EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Každé auto se tě snaží zajet."
"STORE_PRIMARY_COLOR": "PRIMÁRNÍ BARVA"
"STORE_ITEM_OWNED": "VLASTNÍŠ"
"STAT_SHOTGUN_SHOTS_FIRED": "VYPÁLENÉ RÁNY Z BROKOVNICE"
"STAT_MAYHEM_LEVELS_COMPLETED": "DOKONČENÉ MISE VANDALSTVÍ"
"STAT_DRIVING_DRIFTING_RESPECT": "RESPEKT ZÍSKANÝ ZA JÍDU SMYKEM"
"STAT_VEHICLES_DESTROYED": "ZNIČENÁ VOZIDLA"
"ESCORT_NAME_21B": "ŘITNÍ OTVOR"
"CONFIRM_DELETE_OUTFIT": "Opravdu chceš smazat tento komplet?\nJednotlivé šaty ti zůstanou v šatníku."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "DÁT VÝBUŠNINY"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "\"%s\" a \"%s\". Chceš je vyměnit?"
"CRIB_HUD_DOCK_PURCHASE": "KOUPIT RONDINIHO DOK ZA {0} DOLARŮ"
"GANG_CUST_GANG_TAG_TITLE": "TAG GANGU"
"STORE_AMBULANCE_MSG": "POŽÁDAT O OŠETŘENÍ"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "NA KOČKU A NA MYŠ: NEJDELŠÍ SÉRIE ÚMRTÍ"
"STAT_GANG_NOTORIETY_TIME": "CELKOVÝ ČAS POZORNOSTI GANGŮ"
"WARDROBE_REMOVE_OUTFIT": "Chceš tento komplet odstranit ze šatníku?"
"NO_COP_NOTORIETY_DESC": "Zcela od tebe odvrátí pozornost policie."
"ELEVATOR_TO_HEAVEN": "ROVNOU DO NEBE"
"HITMAN_LOCATION": "POLOHA CÍLE"
"DEALER_NO_PALETTE": "Žádné barvy nejsou k dispozici."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "ZABITÍ SPECIALISTÉ MORNINGSTARŮ"
"ESCORT_NAME_23B": "DILLOW"
"Coop Player Kills_NAME": "ZABITO HRÁČŮ"
"CONTROL_JOIN_GAME": "PŘIPOJIT SE KE HŘE"
"MAP_ICON_HUMAN_TORCH": "ŽIVÁ POCHODEŇ"
"DROP_ESTRADA": "DÁT ESTRADU"
"UNLIMITED_CLIP": "NEKONEČNÝ ZÁSOBNÍK"
"MUSIC_EASYLISTENING": "POHODOVÝ POSLECH"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "\"%s\" stojí %s. Koupit?"
"MENU_SWAP_WARDROBE": "ŠATNA"
"VCUST_WHEELS_TITLE": "KOLA"
"PURCHASEABLE_PROPERTEY_CRACK": "DROGOVÉ DOUPĚ"
"CONTROL_QUIT_WITHOUT_SAVING": "UKONČIT BEZ ULOŽENÍ"
"GARAGE_NONE": "GARÁŽ JE PRÁZDNÁ"
"HORDE_MODE_GAMEPLAY_TITLE": "KURVÍ REŽIM"
"STAT_CARS_DESTROYED": "ZNIČENÁ AUTA"
"STAT_CHOPSHOP_CASH": "PENÍZE ZÍSKANÉ Z AUTODÍLNY"
"STAT_TOTAL_RESPECT": "ZÍSKANÝ RESPEKT"
"STAT_BEAT_COPS_KILLED": "ZABITÍ POLICISTÉ"
"ESCORT_NAME_31A": "PLAZÍCÍ"
"MAP_ICON_GUARDIAN_ANGEL": "STRÁŽNÝ ANDĚL"
"REPAIR_CAR": "OPRAVÁŘSKÝ VŮZ"
"SAVELOAD_FILE_NOT_LOADABLE": "Tuto uloženou pozici nelze nahrát, protože soubor je poškozený nebo nemá platný formát."
"STORE_DETAIL_COLOR": "BARVA DETAILŮ"
"GANG_CUST_GANG_STYLE_TITLE": "STYL GANGU"
"PURCHASEABLE_PROPERTEY_COLA": "TOVÁRNA JOEA COLA"
"TATTOO_REMOVE": "Chceš odstranit tetování z této části těla: %s?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Nová vlna!"
"STAT_MASCOTS_KILLED": "ZABITÍ MASKOTI"
"STAT_DRIVING_STOPPIE_TIME": "NEJDELŠÍ JÍZDA PO PŘEDNÍM KOLE"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "NEJDELŠÍ STOJKA PŘI SURFOVÁNÍ"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "NEJDELŠÍ SURFOVÁNÍ"
"STAT_BAIL_MONEY": "PENÍZE UTRACENÉ ZA KAUCI"
"CONTROL_CONTINUE": "POKRAČOVAT"
"GIVE_HAMMER": "DÁT S3X HAMMER"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "SEKUNDÁRNÍ BARVA"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "Na opravu tohoto vozidla nemáš dost peněz.\nChceš si ho přesto vzít?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "{0} stojí {1} dolarů. Koupit?"
"VCUST_WHEEL_WIDTH_OPTION": "ŠÍŘKA KOLA"
"TAT_REG_BACK": "ZÁDA"
"STAT_WEAPON_SNIPER": "ODSTŘELOVAČ"
