"DROP_SPHERE": "ДАТЬ СФЕРУ"
"VEHICLE_COLOR_ADVANCED": "ОСНОВНОЕ"
"STORE_CRIB_CLOTHING_MSG": "ВОЙТИ В ГАРДЕРОБ"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "ВСЕГО МУЛЬТИУБИЙСТВ"
"STAT_FLASHPOINTS_COMPLETED": "ЗАВЕРШЕНО ОПЕРАЦИЙ БАНДЫ"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "ВСЕГО НАСМЕШЕК"
"ESCORT_NAME_17A": "ВОЛОСАТЫЙ"
"ESCORT_NAME_4A": "ЗЛОЙ"
"TINY_PLAYER_DESC": "Дружище, да ты же уменьшился! "
"GANG_CUST_GANG_STYLE_OPT": "СТИЛЬ"
"PLANET_SAINTS_NAME": "ПЛАНЕТА СВЯТЫХ"
"GARAGE_REPAIR_COST": "Хотите заплатить %s?"
"Vehicle Jump Distance_NAME": "ЛУЧШАЯ ДИСТАНЦИЯ ПРЫЖКА"
"Player_Vehicle_No_Damage": "НЕУЯЗВИМАЯ МАШИНА"
"VCUST_PERFORMANCE_ADD": "УЛУЧШЕНИЕ"
"WPN_STORE_SHOTGUN_TITLE": "ДРОБОВИКИ"
"WPN_STORE_MELEE_TITLE": "РУКОПАШНЫЙ БОЙ"
"GANG_CUST_GANG_SIGN_VOICE": "ГОЛОС"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "САМЫЙ ДОЛГИЙ СЕРФИНГ НА МАШИНЕ"
"STAT_DECKER_SPECIALISTS_KILLED": "УБИТО СПЕЦИАЛИСТОВ ДЕКЕРОВ"
"STAT_HOLDUPS_STORES_ROBBED": "ОГРАБЛЕНО МАГАЗИНОВ"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "ПОТРАЧЕНО НА ИЗМЕНЕНИЕ МАШИН"
"STAT_CAT_MOUSE_LOSSES": "КОШКИ-МЫШКИ: ПОРАЖЕНИЙ"
"STAT_DRIVING_BURNOUT_TIME": "САМАЯ ДОЛГАЯ ПРОБУКСОВКА"
"ESCORT_NAME_15A": "РОЗОВЫЙ"
"ESCORT_NAME_6A": "ГРИБНОЕ"
"HASH_269B6FA3": "СМЕРТЕЛЬНЫЙ ЗНАК: БОЛЬШЕ ВСЕГО УБИЙСТВ ЗА РАУНД"
"MAP_ICON_CRIB": "ЖИЛЬЕ"
"GARAGE_LEAVE_FULL": "Вы уверены, что хотите покинуть Rim Jobs?"
"CURRENT_AMMO": "ТЕКУЩАЯ АММУНИЦИЯ"
"STAT_VEHICLE_CAR": "МАШИНА"
"STAT_TAUNT": "НАСМЕШКИ"
"STAT_WATERCRAFT_DESTROYED": "ВОДНОГО ТРАНСПОРТА УНИЧТОЖЕНО"
"STAT_CARS_UNLOCKED": "МАШИН ОТКРЫТО"
"STAT_COMBAT_HEADSHOT": "ВЫСТРЕЛЫ В ГОЛОВУ"
"coop": "СОВМЕСТНАЯ ИГРА"
"Pimping": "ПИЛОТАЖ"
"Genre string": "ДЕЙСТВИЕ"
"DROP_UFO": "УНИЧТОЖИТЬ"
"ACTIVITY_LEVEL_LEAVE_FULL": "Вы уверены, что хотите покинуть выбор уровня задания?"
"STORE_FAT": "ЖИРНЫЙ {0}%%%%"
"HASH_ABE420A4": "НЕ ДОСТУПНО"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "НЕТ ДОСТУПНОГО ОРУЖИЯ"
"VCUST_SPINNER_OPTION": "СПИННЕРЫ"
"VCUST_HUBCAP_NUMBER": "КОЛПАКИ #{0}"
"STAT_MILES_BY_WATERCRAFT": "МИЛЬ ПРОЕХАНО НА ВОДНОМ ТРАНСПОРТЕ"
"STATS_NO": "НЕТ"
"STAT_SHOT_HIT_PERCENTAGE": "ТОЧНЫХ ВЫСТРЕЛОВ"
"ESCORT_NAME_13A": "ШОКОЛАДНЫЙ"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "НЕРАЗБЛОКИРОВАН"
"TATTOO_LEAVE_FULL": "Вы уверены, что хотите покинуть Rusty's Needle?"
"STAT_DRIVING_WHEELIE": "ЗАДНИЕ КОЛЕСА"
"STAT_UNIQUE_VEHICLES_OWNED": "УНИКАЛЬНЫХ МАШИН ВО ВЛАДЕНИИ"
"STATS_BLANK_OF_BLANK": "%d ИЗ %d"
"DROP_COMMANDER": "ДАТЬ \"КОМАНДИР\""
"BLOODY_MESS": "КРОВАВАЯ КАША"
"STORE_BRA_WARNING": "ВНИМАНИЕ!"
"CUST_ITEM_NOTHING": "НИЧЕГО"
"HUD_CRIB_CUSTOMIZE": "ОБУСТРОИТЬ СВОЕ ЖИЛЬЕ"
"GARAGE_CAT_4": "КОЛЕСА"
"STAT_THROWN_WEAPON_USES": "МЕТАТЕЛЬНОЕ ОРУЖИЕ"
"ESCORT_NAME_11A": "ОДНОГЛАЗЫЙ"
"ESCORT_NAME_2A": "РЖАВАЯ"
"Coop Col3_NAME": "СПИСКИ ЛИДЕРОВ КОМАНДНОЙ ИГРЫ"
"LOW_GRAVITY_DESC": "Генераторы гравитации Стилуотера работают в четверть своих сил"
"CUST_REMOVE_ITEM_BODY": "Вы уверены, что хотите удалить этот предмет?"
"PURCHASEABLE_PROPERTEY_FACTORY": "ЗАВОД"
"GARAGE_HELIPORT": "ВЕРТОЛЕТНАЯ ПЛОЩАДКА"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Враги убиты!"
"STAT_WEAPON_RIFLE": "ВИНТОВКА"
"STAT_COOP_STRONGHOLDS_COMPLETED": "СОВМЕСТНАЯ ИГРА: КРЕПОСТЕЙ ЗАХВАЧЕНО"
"GENERAL_YOU": "ВЫ"
"HASH_631F9AA8": "СОВМЕСТНАЯ МЕТА-ИГРА: ОЧКИ"
"MUSIC_ARTIST_UNKNOWN": "НЕИЗВЕСТНО"
"STAT_GARAGES_ACQUIRED": "ПОЛУЧЕНО ГАРАЖЕЙ"
"STAT_CAT_MOUSE_KILLS": "КОШКИ-МЫШКИ: УБИЙСТВ"
"STAT_RIFLE_SHOTS_FIRED": "ВЫСТРЕЛОВ ИЗ ВИНТОВКИ"
"CUST_GANG_NAME_COLLEGE": "УЧАЩИЕСЯ КОЛЛЕДЖА"
"GOD_MODE_DESC": "Вас не остановить."
"ACT_CHOP_SHOP_LEAVE_FULL": "Вы уверены, что хотите покинуть мастерскую?"
"GARAGE_CAT_1": "ДЕТАЛИ КОРПУСА"
"STORE_CLOTHING_STORE_MSG": "КУПИТЬ ОДЕЖДУ"
"STRONGHOLD_START_TEXT": "НАЖМИТЕ %s, ЧТОБЫ НАЧАТЬ ЗАХВАТ КРЕПОСТИ %s."
"ADD_GANG_NOTORIETY_DESC": "С каждым применением повышает преследование бандами на одну звезду"
"Overcast": "ПАСМУРНАЯ ПОГОДА"
"TAXI_CONFIRM_PURCHASE_FULL": "Хотите прокатиться за %ls?"
"MENU_SWAP_WEAPONS_CACHE": "ТАЙНИК С ОРУЖИЕМ"
"STORE_TITLE_PURCHASING": "ПОКУПКА"
"STAT_VEHICLES_HIJACKED": "УГНАНО МАШИН"
"STAT_HOSTAGE_CASH": "ЗАРАБОТАНО ДЕНЕГ В ПОХИЩЕНИЯХ"
"CONTROL_ROTATE": "ВРАЩАТЬ"
"DROP_SANDSTORM": "ДАТЬ SANDSTORM"
"GIVE_DILDO": "ДАТЬ ПЕНЕТРАТОР"
"GIVE_GRENADE": "ДАТЬ ГРАНАТУ"
"TIME_SET_MIDNIGHT": "УСТАНОВИТЬ ВРЕМЯ: ПОЛДЕНЬ"
"STORE_CHOOSE_A_CATEGORY": "ВЫБРАТЬ КАТЕГОРИЮ"
"STORE_ZOOM_ROTATE": "ЗУМ / ВРАЩЕНИЕ"
"STAT_DRUG_PACKAGES_FOUND": "ПАКЕТОВ С НАРКОТИКАМИ НАЙДЕНО"
"Coop Col1_NAME": "СПИСКИ ЛИДЕРОВ КОМАНДНОЙ ИГРЫ"
"HASH_BD9681AC": "СОВМЕСТНАЯ МЕТА-ИГРА: БОЛЬШЕ ВСЕГО ОЧКОВ ЗА РАУНД"
"CONTROL_EXIT_PLAYER_CREATION": "ПОКИНУТЬ ТЕЛО"
"CONTROL_OKAY": "ОК"
"CELL_NEWS_VAN": "НОВОСТНАЯ СТАНЦИЯ"
"STORE_PRICE": "ЦЕНА ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Если убрать этот предмет вашего гардероба, то будет соответствующий костюм тоже станет недоступным."
"CRIB_WARDROBE_EXIT": "Покинуть гардероб\n\nТы уверен?"
"STORE_EXIT_CLIPBOARD": "Выйти из меню."
"STAT_HITMAN_TARGETS_ELIMINATED": "УНИЧТОЖЕНО ЦЕЛЕЙ КИЛЛЕРОВ"
"STAT_BIKES_DESTROYED": "МОТОЦИКЛОВ УНИЧТОЖЕНО"
"STAT_MELEE_KILLS": "УБИЙСТВА В РУКОПАШНОМ БОЮ"
"STATS_YES": "ДА"
"ESCORT_NAME_8A": "ЗОЛОТОЙ"
"HASH_84FAC22D": "АВТОРИТЕТ ЗА УБИЙСТВА"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "НИЗКАЯ ГРАВИДАЦИЯ"
"CUST_ICON_SUITS": "КОСТЮМЫ"
"CUST_ICON_RINGS": "КОЛЬЦА"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Хотите сохранить изменения перед выходом?"
"STAT_SMG_SHOTS_FIRED": "ВЫСТРЕЛОВ ИЗ АВТОМАТА"
"STAT_SWAT_KILLED": "УБИТО СПЕЦНАЗОВЦЕВ"
"CONTROL_RETURN_TO_MAIN_MENU": "ВЕРНУТЬСЯ В ГЛАВНОЕ МЕНЮ"
"CONTROL_ZOOM": "МАСШТАБ"
"CONTROL_PURCHASE": "КУПИТЬ"
"MAP_ICON_CRIB_PURCHASE": "ЖИЛЬЕ НА ПРОДАЖУ"
"CHEAT_CHARACTER_DESC": "Меняет персонажа на выбранного"
"MUSIC_ELECTRONICA": "ЭЛЕКТРОНИКА"
"POC2_WEAPON_UPGRADE_1": "УЛУЧШИТЬ ОРУЖИЕ - УРОВЕНЬ 1"
"STORE_BUILD": "ТЕЛОСЛОЖЕНИЕ"
"COMPLETION_STYLE_BONUS": "БОНУС ЗА СТИЛЬ"
"PURCHASEABLE_PROPERTEY_THUNDER": "ГРОМОПОМПА"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "ТАНКОВЫЙ РАЗГРОМ: ОБЩИЙ УЩЕРБ"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "ВРЕМЯ МАКСИМАЛЬНОЙ ДУРНОЙ СЛАВЫ У ПОЛИЦИИ"
"STAT_LONGEST_POWERSLIDE_TIME": "МАКСИМАЛЬНОЕ ВРЕМЯ ПАУЭРСЛАЙДА"
"STAT_TOTAL_MONEY": "ВСЕГО ДЕНЕГ ЗАРАБОТАНО"
"ESCORT_NAME_19A": "БРЮЧНЫЙ"
"HASH_2B28212F": "ДЛИННЕЙШАЯ ЦЕПЬ ПРЫЖКОВ НА ПОДВЕСКЕ"
"CONTROL_EXIT_WARDROBE": "ПОКИНУТЬ ГАРДЕРОБ"
"MAP_ICON_HITMAN": "КИЛЛЕР"
"GIVE_TEKZ10": "ДАТЬ TEK Z-10"
"TOD_CYCLE_DESC": "Мменяет время суток."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Не найдено ни одной ранее сохраненной конфигурации.\nНачать новую игру?"
"STORE_UNDERWEAR_WARNING": "ВНИМАНИЕ!"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Основное оружие улучшено!"
"SP Vehicle Jumps Col3_NAME": "СПИСКИ ЛИДЕРОВ ПО ПРЫЖКАМ НА МАШИНАХ"
"SP Diversion Stars Col2_NAME": "СПИСКИ ЛИДЕРОВ ПО ХУЛИГАНСТВУ"
"SP Time Col3_NAME": "СПИСКИ ЛИДЕРОВ ПО ВРЕМЕНИ"
"HASH_745E5BB0": "СМЕРТЕЛЬНЫЙ ЗНАК: САМОЕ ДОЛГОЕ УБИЙСТВО"
"GIANT_PLAYER": "Я - ГИГАНТ"
"SUPER_SAINTS": "СУПЕР СВЯТЫЕ"
"BUILDING_PURCHASE_CASH_PER_HOUR": "${0} В ЧАС"
"CRIB_HUD_DOCK_NAME": "ПРИСТАНЬ РОНДИНИ"
"VEHICLE_ADVANCED": "%s (ДОПОЛНИТЕЛЬНО)"
"GARAGE_CAT_5": "ДЕТАЛИ"
"STAT_CAT_MOUSE_TIME": "КОШКИ-МЫШКИ: ВРЕМЕНИ В ИГРЕ"
"STAT_FRAUD_CASH_CLAIMED": "СТРАХОВОЕ МОШЕННИЧЕСТВО: ДЕНЕГ ВЫМАНЕНО"
"STAT_DIVERSION_CASH_EARNED": "ДЕНЬГИ ЗА ХУЛИГАНСТВО"
"STAT_BASE_OWNED": "ПАРАШУТОВ ВО ВЛАДЕНИИ"
"SP Kills Col1_NAME": "СПИСКИ ЛИДЕРОВ ПО СЕРИЯМ УБИЙСТВ"
"CAR_MASS_HOLE_DESC": "Ваша машина имеет бесконечную массу и сметает все на своем пути."
"PLAYER_PRATFALLS_DESC": "Используйте {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG}, чтобы падать, как при страховом мошенничестве."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% СКИДКА"
"GANG_CUST_SLOT_1": "СЛОТ 1"
"STORE_CAR_MECHANIC_MSG": "ПОЕХАТЬ К МЕХАНИКУ"
"STAT_NEIGHBORHOODS_EXPLORED": "ИЗУЧЕНО РАЙОНОВ"
"ESCORT_NAME_32B": "МАТРИАРХ"
"GIVE_RPG": "ДАТЬ ГРАНАТОМЕТ"
"DROP_AMBULANCE": "ДАТЬ AMBULANCE"
"PREVIEW_UNAVAILABLE": "ПРЕДПРОСМОТР НЕДОСТУПЕН."
"VCUST_TIRE_TREAD_OPTION": "ПРОТЕКТОР"
"STAT_SHORTCUTS_FOUND": "НАЙДЕНО КОРОТКИХ ПУТЕЙ"
"STAT_MISSIONS_FAILED": "ПРОВАЛЕНО МИССИЙ"
"STAT_CAT_MOUSE_DEATHS": "КОШКИ-МЫШКИ: СМЕРТЕЙ"
"STAT_COOP_TIME_PLAYED": "СОВМЕСТНАЯ ИГРА: ВРЕМЕНИ В ИГРЕ"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "АВТОРИТЕТ ЗА УБИЙСТВА МЕЧОМ НА МОТОЦИКЛЕ"
"STAT_MAX_STUNT_JUMP_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ ПРЫЖКА"
"CONTROL_BTN_START": "НАЧАТЬ"
"DROP_MIAMI": "ДАТЬ MIAMI"
"ACHIEVES_GAIN_BLANK": "%s получил новое достижение!"
"ESCORT_NAME_30B": "НОРРИС"
"CUST_TITLE_OUTFIT_CREATION": "ПОДТВЕРЖДЕНИЕ СОЗДАНИЯ"
"HASH_D25D9734": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ БЕДРА"
"CUST_GANG_NAME_CROSS": "ТРАВЕСТИ"
"BLOODY_MESS_DESC": "Все, кого вы убиваете, взрываются."
"REPAIR_CAR_DESC": "Устраняет весь урон, причиненный вашей машине"
"PURCHASEABLE_PROPERTEY_PAWN2": "ЛОМБАРД \"ПЛАН Б\""
"GARAGE_REPAIR_MUST": "ВЫ НЕ МОЖЕТЕ ИЗМЕНЯТЬ СВОЙ ТРАНСПОРТ, ПОКА ОН ПОЛНОСТЬЮ НЕ ОТРЕМОНТИРОВАН"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "ВРЕМЯ МАКСИМАЛЬНОЙ ДУРНОЙ СЛАВЫ У ДЕКЕРОВ"
"STAT_SURFING_RESPECT": "АВТОРИТЕТ ЗА СЕРФИНГ НА ТРАНСПОРТЕ"
"STAT_COMBAT_NUTSHOT": "ВЫСТРЕЛЫ В ПАХ"
"Partners in Crime_NAME": "СООБЩНИКИ"
"PAUSE_MAP_ICONS_ON_OFF": "ЗНАЧКИ ВКЛ./ВЫКЛ."
"GANG_NEUTRAL": "НЕЙТРАЛЬНЫЙ"
"TAT_REG_L_FOREARM": "ЛЕВОЕ ПРЕДПЛЕЧЬЕ"
"HORDE_MODE_NEW_TEXT": "Вы уверены, что хотите перезапустить режим балды?"
"STAT_SNATCH_LEVELS_COMPLETED": "ПИЛОТАЖ: ВЫПОЛНЕНО"
"ESCORT_NAME_36B": "ЕПИСКОП"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "ДАТЬ КИБЕРПУШКУ"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Хотите сохранить изменения перед выходом?"
"STORE_EXIT": "ВЫХОД"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "ФИНАЛЬНАЯ ВОЛНА ПРОЙДЕНА"
"STAT_BRUTES_KILLED": "УБИТО АМБАЛОВ"
"ESCORT_NAME_28A": "НЕПРИЛИЧНЫЙ"
"vandalism": "РАЗГРОМ"
"HASH_2B25A437": "СЛУЧАЕВ ЭКСГИБИЦИОНИЗМА"
"CONTROL_NO": "НЕТ"
"GIVE_SNIPER": "ДАТЬ \"МАКМАНУС\" 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "При повторе задания все оружие и авторитет, полученные в ходе этого задания, будут потеряны."
"VEHICLE_PRICE": "ЦЕНА"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Вы не можете носить \"%s\"."
"STAT_COOP_REVIVES": "СОВМЕСТНАЯ ИГРА: ОЖИВЛЕНИЙ ИГРОКОВ"
"STAT_STRONGHOLDS_COMPLETED": "ЗАХВАЧЕНО КРЕПОСТЕЙ"
"STAT_DRIVING_DRIFTING_DISTANCE": "ДЛИННЕЙШИЙ УПРАВЛЯЕМЫЙ ЗАНОС"
"STAT_DRIVING_BIGAIR": "БОЛЬШИЕ ПРЫЖКИ"
"STAT_CUSTOM_ITEMS_OWNED": "ИЗМЕНЕНИЙ ПРЕДМЕТОВ ВО ВЛАДЕНИИ"
"STAT_CHOPSHOP_COMPLETED": "МАСТЕРСКИЕ ВЫПОЛНЕНЫ"
"ESCORT_NAME_34B": "БОГОМОЛ"
"SPStronghold": "ИГРАЕТ В {C10} КРЕПОСТЬ: {C6}"
"COMERCIAL_5": "СКИДКА 15% В ВЕСЕЛОЙ ПУЛЕ"
"CUST_ICON_NECKLACES": "ЦЕПОЧКИ"
"GARAGE_CUSTOMIZE_VEHICLE": "ИЗМЕНИТЬ"
"STORE_PLASTIC_SURGEON_MSG": "СХОДИТЬ К ПЛАСТИЧЕСКОМУ ХИРУРГУ"
"HORDE_MODE_NEW_WAVE_MESSAGE": "ВОЛНА %i"
"STAT_BEST_WEAPON": "ЛУЧШЕЕ ОРУЖЕЕ"
"STAT_HOSTAGES_EXTORTED": "ЗАЛОЖНИКОВ ПРОДАНО"
"ESCORT_NAME_26A": "ПОКОРНЫЙ"
"RESTORE_PLAYER": "ВЕРНУТЬ ПК В НОРМАЛЬНОЕ СОСТОЯНИЕ"
"MUSIC_CLASSICAL": "КЛАССИЧЕСКАЯ"
"PURCHASEABLE_PROPERTEY_PAWN": "РАЗНЫЕ МЕЛОЧИ СНУКИ"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "МАСТЕРСКАЯ ПОДДЕЛОК"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "ОСТАЛОСЬ ВРАГОВ"
"STAT_LAW_ENFORCEMENT_KILLED": "УБИТО ВСЕХ СОТРУДНИКОВ ОРГАНОВ"
"SP Kills Col3_NAME": "СПИСКИ ЛИДЕРОВ ПО СЕРИЯМ УБИЙСТВ"
"CUST_GANG_NAME_COWBOY": "КОВБОЙ"
"GIVE_SHEPERD": "ДАТЬ 45 \"ШЕФЕРД\""
"GIVE_MOLOTOV": "ДАТЬ КОКТЕЙЛЬ МОЛОТОВА"
"Infinite_Ammo": "БЕСКОНЕЧНЫЕ ПАТРОНЫ"
"GIVE_CASH": "ДАТЬ ДЕНЕГ"
"MENU_SWAP_WEAPONS_STORE": "СОХРАНИТЬ ОРУЖИЕ"
"STAT_WEAPON_PISTOL": "ПИСТОЛЕТ"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "СОВМЕСТНАЯ ИГРА: РЕКОРД ХУЛИГАНСТВ В ТАНДЕМЕ"
"STAT_TIME_PLAYED": "ВСЕГО ВРЕМЕНИ В ИГРЕ"
"ESCORT_NAME_24A": "МЯСИСТЫЙ"
"SP Vehicle Jumps Col1_NAME": "СПИСКИ ЛИДЕРОВ ПО ПРЫЖКАМ НА МАШИНАХ"
"SP Time Col1_NAME": "СПИСКИ ЛИДЕРОВ ПО ВРЕМЕНИ"
"CUST_GANG_NAME_80S": "80-Е"
"TATTOO_CONFIRM_PURCHASE_FULL": "Хотите поместить татуировку \"%s\" на %s за %s? "
"STORE_SWITCHING_TITLE": "ПЕРЕКЛЮЧИТЬСЯ НА {0}"
"CONTROL_SAVE_AND_QUIT": "СОХРАНИТЬ И ВЫЙТИ"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "СТРАХОВОЕ МОШЕННИЧЕСТВО: СУММ. ДИСТАНЦИЯ ПОЛЕТА"
"STAT_HIGHEST_RANK_ACHIEVED": "ВЫСШИЙ ДОСТИГНУТЫЙ РАНГ"
"STAT_CAT_MOUSE_CASH_EARNED": "КОШКИ-МЫШКИ: ДЕНЕГ ЗАРАБОТАНО"
"STAT_COMBAT_MULTI": "МАССОВЫЕ УБИЙСТВА"
"Coop Time Played_NAME": "ВРЕМЕНИ В ИГРЕ"
"CONTROL_RAISE_LOWER_CAMERA": "ПОДНЯТЬ/ОПУСТИТЬ КАМЕРУ"
"DROP_KNOXVILLE": "ДАТЬ \"НОКСВИЛЛЬ\""
"GOLDEN_GUN_DESC": "Убивает с одного выстрела."
"GARAGE_REMOVE_VEHICLE": "УДАЛИТЬ"
"STAT_UNARMED_KILLS": "БЕЗОРУЖНЫХ УБИЙСТВ"
"STAT_TOTAL_CASH_SPENT": "ВСЕГО ПОТРАЧЕНО"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "МАКСИМАЛЬНЫЙ УРОН ЗА АВАРИЙНЫЙ ПРЫЖОК"
"ESCORT_NAME_22A": "ГРЯЗНЫЙ"
"WARDROBE_REMOVE_CLOTHING": "Вы хотите снять остальную одежду?"
"MAP_ICON_CHOP_SHOP": "МАСТЕРСКАЯ"
"GIVE_PIMPSLAP": "ДАТЬ ПАЛЬЦЫ"
"RAINING_PEDS": "ДОЖДЬ ИЗ ПЕШЕХОДОВ"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Вы уверены, что хотите покинуть оружейный тайник?"
"GANG_CUST_GANG_SIGN_POSE": "ПОЗА"
"STAT_COMBAT_ENEMY_RESPECT": "АВТОРИТЕТ ЗА УБИЙСТВА ВРАГОВ"
"STAT_MAX_WHEELIE_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ НА ЗАДНИХ КОЛЕСАХ"
"GIVE_BASEBALL": "ДАТЬ БЕЙСБОЛЬНУЮ БИТУ"
"CUST_ICON_OUTFITS": "КОСТЮМЫ"
"GANG_CUST_VEHICLE_TITLE": "ТРАНСПОРТ"
"PURCHASEABLE_PROPERTEY_CASINO": "КАЗИНО ЧУПАКАБРА"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "РАССТОЯНИЕ, ПОКРЫТОЕ НА ПАРАШЮТЕ"
"STAT_DRIVING_WINDSHILED_RESPECT": "АВТОРИТЕТ ЗА СТРЕЛЬБУ ЧЕРЕЗ ЛОБОВОЕ"
"STAT_MAX_STOPPIE_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ НА ПЕРЕДНИХ КОЛЕСАХ"
"ESCORT_NAME_20A": "КОРОЛЕВСКИЙ"
"CELL_EMERGENCY": "СКОРАЯ ПОМОЩЬ"
"GIVE_RESPECT_DESC": "Мгновенно добавляет уважение."
"GIVE_MINIGUN": "ДАТЬ МИНИГАН"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Вы уверены, что хотите принять приглашение?\n(все несохраненные данные будут потеряны)  "
"GANG_CUST_GANG_TAG_OPT": "ОТЛИЧИТЕЛЬНЫЙ ПРИЗНАК"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Вы не можете больше взять предмет: \"%s\"."
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "ВРЕМЯ МАКСИМАЛЬНОЙ ДУРНОЙ СЛАВЫ У \"МОРГЕНШТЕРНА\""
"STAT_DRIVING_DRIFTING": "ДРИФТИНГ"
"WARDROBE_REMOVE_CLOTHING_TITLE": "СНЯТЬ ОСТАЛЬНУЮ ОДЕЖДУ"
"CONTROL_SIGN_IN": "ВОЙТИ В СЕТЬ"
"PAUSE_MAP_PAN": "ЛИЦО"
"GIVE_LAUNCHER": "ДАТЬ GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Возвращает характеристики игрока к норме"
"MILK_BONES": "МОЛОЧНЫЕ КОСТИ"
"STORE_BRA_SUB_WARNING": "Невозможно снять бюстгалтер."
"VCUST_HUBCAP_OPTION": "КОЛПАКИ"
"VCUST_SPINNER_NUMBER": "СПИННЕРЫ #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "ВЫСОКИЕ КОНДОМИНИУМЫ"
"CUST_ITEM_REMOVE_CLOTHING": "СНЯТЬ ВСЮ ОДЕЖДУ"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "УБИТО СПЕЦИАЛИСТОВ ЛУЧАДОРОВ"
"STAT_MISSIONS_ATTEMPTED": "НАЧАТО МИССИЙ"
"STAT_SNIPER_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЯ ИЗ СНАЙПЕРСКОЙ ВИНТОВКИ"
"MAP_ICON_CLOTHING": "ОДЕЖДА"
"NO_GANG_NOTORIETY": "НЕТ ПРЕСЛЕДОВАНИЯ БАНД"
"TIME_SET_NOON": "УСТАНОВИТЬ ВРЕМЯ: ПОЛНОЧЬ"
"VCUST_AXLES_TITLE": "ОСИ"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "СТРАХОВОЕ МОШЕННИЧЕСТВО: МАСК. ДИСТАНЦИЯ ПОЛЕТА"
"STAT_SURFING": "СЕРФИНГ НА ТРАНСПОРТЕ"
"ESCORT_NAME_25B": "ФЕНИКС"
"SPMission": "ИГРАЕТ В {C10} МИССИЯ: {C4}"
"TAXI_TITLE": "УСЛУГИ ТАКСИ"
"DROP_WOODPECKER": "ДАТЬ \"ДЯТЕЛ\""
"GIVE_DIGGER": "ДАТЬ \"ГРОБОКОПАТЕЛЬ\""
"PIMPS_AND_HOS_PEDS": "СУТЕНЕРЫ И ШЛЮХИ"
"WEATHER_DESC": "Сменяет погоду"
"PURCHASEABLE_PROPERTEY_APARTMENTS": "ПРИСТАНИЩЕ ДИКСОНА"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "ПРЕВЬЮ НЕДОСТУПНО"
"STORE_TITLE_DISCARD": "ОТКАЗАТЬСЯ ОТ ПРЕДМЕТА"
"HORDE_MODE_RETRY_TEXT": "Вы уверены, что хотите попробовать заново пройти эту волну в режиме балды?"
"HORDE_MODE_UNLIMITED_AMMO": "Бесконечный магазин!"
"STAT_TAUNT_GANG": "ЧЛЕНОВ БАНДЫ ОСМЕЯНО"
