"DROP_SPHERE": "GEEF BOL"
"ESCORT_NAME_2A": "ROESTIGE"
"Coop Col3_NAME": "SAMENWERKINGSMISSIE LEADERBOARD"
"LOW_GRAVITY_DESC": "De zwaartekrachtgeneratoren van Stilwater werken nog maar voor 25%."
"CUST_REMOVE_ITEM_BODY": "Weet je zeker dat je dit voorwerp weg wilt halen?"
"PURCHASEABLE_PROPERTEY_FACTORY": "FABRIEK"
"GARAGE_HELIPORT": "HELIPORT"
"HORDE_MODE_ALL_ENEMIES_KILLED": "Vijanden gedood!"
"STAT_WEAPON_RIFLE": "GEWEER"
"STAT_COOP_STRONGHOLDS_COMPLETED": "SAMENWERKING: STRONGHOLDS VOLTOOID"
"GENERAL_YOU": "JIJ"
"HASH_631F9AA8": "SAMENWERKING METAGAME: PUNTEN"
"MUSIC_ARTIST_UNKNOWN": "ONBEKEND"
"STAT_GARAGES_ACQUIRED": "GARAGES IN BEZIT"
"STAT_CAT_MOUSE_KILLS": "KAT & MUIS: GEDOOD"
"STAT_RIFLE_SHOTS_FIRED": "SCHOTEN MET GEWEER AFGEVUURD"
"CUST_GANG_NAME_COLLEGE": "STUDENTEN"
"GOD_MODE_DESC": "Jij bent niet te stoppen."
"ACT_CHOP_SHOP_LEAVE_FULL": "Weet je zeker dat je de Chop Shop wilt verlaten?"
"GARAGE_CAT_1": "AANPASSINGEN CARROSSERIE"
"STORE_CLOTHING_STORE_MSG": "KLEDING KOPEN"
"STRONGHOLD_START_TEXT": "DRUK OP %s OM %s-STRONGHOLD TE STARTEN"
"ADD_GANG_NOTORIETY_DESC": "Gangberuchtheid neemt iedere keer met één ster toe."
"Overcast": "DICHT BEWOLKT"
"TAXI_CONFIRM_PURCHASE_FULL": "Wil je dit voertuig voor %ls kopen?"
"MENU_SWAP_WEAPONS_CACHE": "OPSLAGPLEK WAPENS"
"STORE_TITLE_PURCHASING": "KOPEN"
"STAT_VEHICLES_HIJACKED": "VOERTUIGEN GESTOLEN"
"STAT_HOSTAGE_CASH": "GELD VERDIEND ALS ONTVOERDER"
"CONTROL_ROTATE": "DRAAIEN"
"DROP_SANDSTORM": "GEEF ZANDSTORM"
"GIVE_DILDO": "GEEF DE PENETRATOR"
"GIVE_GRENADE": "GEEF GRANAAT"
"TIME_SET_MIDNIGHT": "TIJDSINSTELLING MIDDERNACHT"
"STORE_CHOOSE_A_CATEGORY": "KIES EEN CATEGORIE"
"STORE_ZOOM_ROTATE": "ZOOMEN/DRAAIEN"
"STAT_DRUG_PACKAGES_FOUND": "GEVONDEN DRUGSPAKKETTEN"
"Coop Col1_NAME": "SAMENWERKINGSMISSIE LEADERBOARD"
"HASH_BD9681AC": "SAMENWERKING METAGAME: MEESTE PUNTEN IN EEN RONDE"
"CONTROL_EXIT_PLAYER_CREATION": "LICHAAM VERLATEN"
"CONTROL_OKAY": "OKE"
"CELL_NEWS_VAN": "NIEUWSZENDER"
"STORE_PRICE": "KOSTEN ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "Als je dit voorwerp uit je kleerkast haalt, verdwijnt ook de outfit waar het bij hoort."
"CRIB_WARDROBE_EXIT": "Garderobe afsluiten\n\nZeker weten?"
"STORE_EXIT_CLIPBOARD": "Verlaat krantenknipsels"
"STAT_HITMAN_TARGETS_ELIMINATED": "HUURMOORDENAAR DOELWITTEN UITGESCHAKELD"
"STAT_BIKES_DESTROYED": "AANTAL MOTOREN VERNIELD"
"STAT_MELEE_KILLS": "MET DE HAND GEDOOD"
"STATS_YES": "JA"
"ESCORT_NAME_8A": "GOUDEN"
"HASH_84FAC22D": "RESPECT VERDIEND DOOR POTLOODVENTEN"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "WEINIG ZWAARTEKRACHT"
"CUST_ICON_SUITS": "PAKKEN"
"CUST_ICON_RINGS": "RINGEN"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "Wil je je wijzigingen opslaan\nvoor je afsluit?"
"STAT_SMG_SHOTS_FIRED": "SCHOTEN MET SMG AFGEVUURD"
"STAT_SWAT_KILLED": "SWAT GEDOOD"
"CONTROL_RETURN_TO_MAIN_MENU": "TERUGKEREN NAAR HET HOOFDMENU"
"CONTROL_ZOOM": "ZOOM"
"CONTROL_PURCHASE": "AANKOOP"
"MAP_ICON_CRIB_PURCHASE": "WONING TE KOOP"
"CHEAT_CHARACTER_DESC": "Hiermee verandert je personage in dit personage."
"MUSIC_ELECTRONICA": "ELECTRONICA"
"POC2_WEAPON_UPGRADE_1": "WAPENUPGRADE - NIVEAU 1"
"STORE_BUILD": "BOUW"
"COMPLETION_STYLE_BONUS": "STIJLBONUS"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "TANKCHAOS: AANGERICHTE SCHADE"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "MAX TIJD BERUCHT BIJ POLITIE"
"STAT_LONGEST_POWERSLIDE_TIME": "LANGSTE TIJD POWERSLIDE"
"STAT_TOTAL_MONEY": "TOTALE HOEVEELHEID VERDIEND GELD"
"ESCORT_NAME_19A": "SPUGENDE"
"HASH_2B28212F": "LANGSTE REEKS HYDRAULICA"
"CONTROL_EXIT_WARDROBE": "KLEDINGKAST VERLATEN"
"MAP_ICON_HITMAN": "HUURMOORDENAAR"
"GIVE_TEKZ10": "GEEF TEK Z-10"
"TOD_CYCLE_DESC": "Andere tijd van de dag."
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "Er zijn geen eerder opgeslagen bestanden gevonden.\nEen nieuw spel starten?"
"STORE_UNDERWEAR_WARNING": "WAARSCHUWING"
"WPNSTOR_TITLE_FRIENDLY_FIRE": "FRIENDLY FIRE"
"HORDE_MODE_WEAPON_UPGRADE_TITLE": "Primaire wapen geüpgraded!"
"SP Vehicle Jumps Col3_NAME": "GESPRONGEN MET VOERTUIGEN LEADERBOARD"
"SP Diversion Stars Col2_NAME": "LEADERBOARD AFLEIDINGEN"
"SP Time Col3_NAME": "LEADERBORD SPELTIJD"
"HASH_745E5BB0": "DODENLABEL: LANGSTE MOORDENREEKS"
"GIANT_PLAYER": "IK BEN GIGANTISCH"
"SUPER_SAINTS": "SUPER SAINTS"
"BUILDING_PURCHASE_CASH_PER_HOUR": "${0} PER UUR"
"CRIB_HUD_DOCK_NAME": "RONDINI'S DOK"
"VEHICLE_ADVANCED": "%s (GEAVANCEERD)"
"GARAGE_CAT_5": "DETAILS"
"STAT_CAT_MOUSE_TIME": "KAT & MUIS: TIJD BESTEED"
"STAT_FRAUD_CASH_CLAIMED": "VERZEKERINGSFRAUDE: SCHADECLAIM GELD"
"STAT_DIVERSION_CASH_EARNED": "VERDIEND MET AFLEIDINGSACTIES"
"STAT_BASE_OWNED": "PARACHUTES IN BEZIT"
"SP Kills Col1_NAME": "LEADERBOARD MOORDPARTIJ"
"CAR_MASS_HOLE_DESC": "Je voertuig heeft een oneindige massa, waardoor je andere voertuigen makkelijk weg kunt beuken."
"PLAYER_PRATFALLS_DESC": "Gebruik {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG}om je expres te laten vallen, zoals tijdens verzekeringsfraude."
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% KORTING"
"GANG_CUST_SLOT_1": "SLOT 1"
"STORE_CAR_MECHANIC_MSG": "DE MONTEUR BEZOEKEN"
"STAT_NEIGHBORHOODS_EXPLORED": "WIJKEN VERKEND"
"ESCORT_NAME_32B": "MOEDERFIGUUR"
"GIVE_RPG": "GEEF RPG RAKETWERPER"
"DROP_AMBULANCE": "GEEF AMBULANCE"
"PREVIEW_UNAVAILABLE": "VOORBEELD NIET BESCHIKBAAR"
"VCUST_TIRE_TREAD_OPTION": "BANDPROFIEL"
"STAT_SHORTCUTS_FOUND": "KORTE ROUTES GEVONDEN"
"STAT_MISSIONS_FAILED": "MISLUKTE MISSIES"
"STAT_CAT_MOUSE_DEATHS": "KAT & MUIS: DODEN"
"STAT_COOP_TIME_PLAYED": "SAMENWERKING: GESPEELDE TIJD"
"STAT_COMBAT_MOTORCYCLE_RESPECT": "RESPECT VERDIEND DOOR MENSEN TE DODEN MET MOTORZWAARD"
"STAT_MAX_STUNT_JUMP_DISTANCE": "MAXIMALE AFSTAND GESPRONGEN"
"CONTROL_BTN_START": "START"
"DROP_MIAMI": "GEEF MIAMI"
"ACHIEVES_GAIN_BLANK": "%s is bereikt!"
"ESCORT_NAME_30B": "NORRIS"
"CUST_TITLE_OUTFIT_CREATION": "CREATIEBEVESTIGING"
"HASH_D25D9734": "RECORDAFSTAND HEUPSCHOT"
"CUST_GANG_NAME_CROSS": "TRAVESTIETEN"
"BLOODY_MESS_DESC": "Iedereen die je doodt, ontploft."
"REPAIR_CAR_DESC": "Hiermee repareer je alle schade aan je voertuig."
"PURCHASEABLE_PROPERTEY_PAWN2": "PLAN B PAWN SHOP"
"GARAGE_REPAIR_MUST": "JE KUNT JE VOERTUIG ALLEEN AANPASSEN ALS DEZE VOLLEDIG GEREPAREERD IS"
"STAT_TIME_AT_MAX_DECKER_NOTORIETY": "MAX TIJD BERUCHT BIJ DECKERS"
"STAT_SURFING_RESPECT": "RESPECT VERDIEND DOOR OP VOERTUIGEN TE SURFEN"
"STAT_COMBAT_NUTSHOT": "IEMAND IN ZIJN ZAK GESCHOTEN"
"Partners in Crime_NAME": "HANDLANGERS"
"PAUSE_MAP_ICONS_ON_OFF": "ICONEN AAN/UIT"
"GANG_NEUTRAL": "NEUTRAAL"
"TAT_REG_L_FOREARM": "LINKERONDERARM"
"HORDE_MODE_NEW_TEXT": "Weet je zeker dat je de Hordemodus opnieuw wilt starten?"
"STAT_SNATCH_LEVELS_COMPLETED": "ROOF VOLTOOID"
"ESCORT_NAME_36B": "BISSCHOP"
"CELL_RIM": "RIM JOBS"
"GIVE_CYBER": "GEEF CYBERBUSTER"
"PLAYER_CREATION_SAVE_CHANGES_EXIT_TEXT_FULL": "Wil je je wijzigingen opslaan\nvoor je afsluit?"
"STORE_EXIT": "UITGANG"
"HORDE_MODE_TITLE_FINAL_COMPLETE": "LAATSTE GOLF VOLTOOID"
"STAT_BRUTES_KILLED": "BRUTEN GEDOOD"
"ESCORT_NAME_28A": "MAFFE"
"vandalism": "CHAOS"
"HASH_2B25A437": "AANTAL MENSEN DIE JOU POTLOODVENTEND HEBBEN GEZIEN"
"CONTROL_NO": "NEE"
"GIVE_SNIPER": "GEEF MCMANUS 2015"
"HUD_RETRY_ACTIVITY_MESSAGE_FULL": "Door een activiteit opnieuw te proberen verlies je alle wapens en respect die je tijdens het spelen van de activiteit verdiend hebt."
"VEHICLE_PRICE": "PRIJS"
"WPNSTOR_TEXT_MELEE_ONLY_ONE_BLANK": "Je kunt maar één \"%s\" vasthouden."
"STAT_COOP_REVIVES": "SAMENWERKING: BIJGEBRACHT DOOR SPELER"
"STAT_STRONGHOLDS_COMPLETED": "STRONGHOLDS VOLTOOID"
"STAT_DRIVING_DRIFTING_DISTANCE": "LANGSTE POWERSLIDE"
"STAT_DRIVING_BIGAIR": "BIG AIR-SPRONGEN"
"STAT_CUSTOM_ITEMS_OWNED": "AANGEPASTE VOORWERPEN IN BEZIT"
"STAT_CHOPSHOP_COMPLETED": "CHOP SHOPS VOLTOOID"
"ESCORT_NAME_34B": "SLOERIE"
"SPStronghold": "ALLEEN SPELEN {C10} STRONGHOLD: {C6}"
"COMERCIAL_5": "15% KORTING BIJ FRIENDLY FIRE"
"CUST_ICON_NECKLACES": "KETTINGEN"
"GARAGE_CUSTOMIZE_VEHICLE": "AANPASSEN"
"STORE_PLASTIC_SURGEON_MSG": "DE PLASTISCH CHIRURG BEZOEKEN"
"HORDE_MODE_NEW_WAVE_MESSAGE": "GOLF %i"
"STAT_BEST_WEAPON": "BESTE WAPEN"
"STAT_HOSTAGES_EXTORTED": "GIJZELAARS AFGEPERST"
"ESCORT_NAME_26A": "ONDERDANIGE"
"RESTORE_PLAYER": "PC TOT NORMAAL HERSTELLEN"
"MUSIC_CLASSICAL": "KLASSIEK"
"PURCHASEABLE_PROPERTEY_PAWN": "SNOOKY'S SUNDRIES AND MORE"
"PURCHASEABLE_PROPERTEY_COUNTERFITING": "COUNTERFITING"
"HORDE_MODE_REMAINING_ENEMIES_TAG": "OVERGEBLEVEN VIJANDEN"
"STAT_LAW_ENFORCEMENT_KILLED": "ORDEHANDHAVERS GEDOOD"
"SP Kills Col3_NAME": "LEADERBOARD MOORDPARTIJ"
"CUST_GANG_NAME_COWBOY": "COWBOY"
"GIVE_SHEPERD": "GEEF 45 SHEPERD"
"GIVE_MOLOTOV": "GEEF MOLOTOV"
"Infinite_Ammo": "ONEINDIG VEEL MUNITIE"
"GIVE_CASH": "GELD GEVEN"
"MENU_SWAP_WEAPONS_STORE": "WAPENWINKEL"
"STAT_WEAPON_PISTOL": "PISTOOL"
"STAT_COOP_TANDEM_DIVERSION_RECORDS": "SAMENWERKING: GEGEVENS DUBBELE AFLEIDINGSMANOEUVRES"
"STAT_TIME_PLAYED": "TOTALE TIJD GESPEELD"
"ESCORT_NAME_24A": "GROEIENDE"
"SP Vehicle Jumps Col1_NAME": "GESPRONGEN MET VOERTUIGEN LEADERBOARD"
"SP Time Col1_NAME": "LEADERBORD SPELTIJD"
"CUST_GANG_NAME_80S": "JAREN 80"
"TATTOO_CONFIRM_PURCHASE_FULL": "Wil je een \"%s\"-tatoeage op je %s laten zetten voor%s?"
"STORE_SWITCHING_TITLE": "SCHAKEL OVER NAAR {0}"
"CONTROL_SAVE_AND_QUIT": "OPSLAAN EN STOPPEN"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "VERZEKERINGSFRAUDE: TOTALE DUIKAFSTAND"
"STAT_HIGHEST_RANK_ACHIEVED": "HOOGST BEHAALDE POSITIE"
"STAT_CAT_MOUSE_CASH_EARNED": "KAT & MUIS: GELD VERDIEND"
"STAT_COMBAT_MULTI": "MEERDERE MOORDEN TEGELIJKERTIJD UITGEVOERD"
"Coop Time Played_NAME": "TIJD GESPEELD"
"CONTROL_RAISE_LOWER_CAMERA": "CAMERA OPTILLEN/LATEN ZAKKEN"
"DROP_KNOXVILLE": "GEEF KNOXVILLE"
"GOLDEN_GUN_DESC": "Wapen dat met één schot dodelijk treft."
"GARAGE_REMOVE_VEHICLE": "VERWIJDEREN"
"STAT_UNARMED_KILLS": "ONGEWAPEND GEDOOD"
"STAT_TOTAL_CASH_SPENT": "TOTAAL GELD UITGEGEVEN"
"STAT_MAX_DRIVER_BAILOUT_DAMAGE_DONE": "MAXIMALE SCHADE CHAUFFEUR SMEERT 'M"
"ESCORT_NAME_22A": "SCHIETENDE"
"WARDROBE_REMOVE_CLOTHING": "Wil je de andere kleren verwijderen?"
"MAP_ICON_CHOP_SHOP": "CHOP SHOP"
"GIVE_PIMPSLAP": "EEN POOIERKLAP GEVEN"
"RAINING_PEDS": "HET REGENT VOETGANGERS"
"WPNSTOR_LEAVE_FULL_WEAPON_CACHE": "Weet je zeker dat je de opslagplek voor wapens wilt verlaten?"
"GANG_CUST_GANG_SIGN_POSE": "VERPLAATSEN"
"STAT_COMBAT_ENEMY_RESPECT": "RESPECT VERDIEND DOOR VIJANDELIJKE GANGLEDEN OM TE LEGGEN"
"STAT_MAX_WHEELIE_DISTANCE": "MAXIMALE WHEELIE-AFSTAND"
"GIVE_BASEBALL": "GEEF HONKBALKNUPPEL"
"CUST_ICON_OUTFITS": "OUTFITS"
"GANG_CUST_VEHICLE_TITLE": "VOERTUIGEN"
"PURCHASEABLE_PROPERTEY_CASINO": "CHUPACABRA CASINO"
"STAT_PARACHUTE_DISTANCE_TRAVELLED": "AFSTAND PER PARACHUTE"
"STAT_DRIVING_WINDSHILED_RESPECT": "RESPECT VERDIEND MET VOORRUITKANONNEN"
"STAT_MAX_STOPPIE_DISTANCE": "MAXIMALE STOPPIE-AFSTAND"
"ESCORT_NAME_20A": "KINGS"
"CELL_EMERGENCY": "NOODGEVAL"
"GIVE_RESPECT_DESC": "Je krijgt meteen respect."
"GIVE_MINIGUN": "GEEF MINIGEWEER"
"ACCEPT_GAME_INVITE_TEXT_FULL": "Weet je zeker dat je de game-uitnodiging wilt accepteren?\n(alle niet opgeslagen voortgang gaat verloren) "
"GANG_CUST_GANG_TAG_OPT": "TAG"
"WPNSTOR_TEXT_MAX_WEAPONS_CRIB": "Je kunt niet meer exemplaren van het volgende voorwerp meenemen uit je woning: \"%s.\""
"STAT_TIME_AT_MAX_MORNINGSTAR_NOTORIETY": "MAX TIJD BERUCHT BIJ MORNINGSTAR"
"STAT_DRIVING_DRIFTING": "POWERSLIDEN"
"WARDROBE_REMOVE_CLOTHING_TITLE": "ANDERE KLEREN VERWIJDEREN"
"CONTROL_SIGN_IN": "AANMELDEN"
"PAUSE_MAP_PAN": "PAN"
"GIVE_LAUNCHER": "GEEF GL G20"
"CHEAT_CHARACTER_RESTORE_DESC": "Hiermee herstelt je personage zich weer naar normaal."
"MILK_BONES": "MELKBOTTEN"
"STORE_BRA_SUB_WARNING": "Je kunt geen bh uittrekken die je op dit moment draagt."
"VCUST_HUBCAP_OPTION": "WIELDOPPEN"
"VCUST_SPINNER_NUMBER": "RONDDRAAIENDE VELGEN #{0}"
"PURCHASEABLE_PROPERTEY_CONDOS": "HIGH RISE CONDOS"
"CUST_ITEM_REMOVE_CLOTHING": "HUIDIGE KLEDING VERWIJDEREN"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "LUCHADOR-SPECIALISTEN GEDOOD"
"STAT_MISSIONS_ATTEMPTED": "GEPROBEERDE MISSIES"
"STAT_SNIPER_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET SLUIPSCHUTTERGEWEER"
"MAP_ICON_CLOTHING": "KLEDING"
"NO_GANG_NOTORIETY": "GEEN GANGBERUCHTHEID"
"TIME_SET_NOON": "TIJDSINSTELLING MIDDAG"
"VCUST_AXLES_TITLE": "ASSEN"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "VERZEKERINGSFRAUDE: LANGSTE DUIKAFSTAND"
"STAT_SURFING": "OP VOERTUIGEN GESURFT"
"ESCORT_NAME_25B": "PHOENIX"
"SPMission": "ALLEEN SPELEN {C10} MISSIE: {C4}"
"TAXI_TITLE": "TAXISERVICE"
"DROP_WOODPECKER": "GEEF WOODPECKER"
"GIVE_DIGGER": "GEEF DOODSGRAVER"
"PIMPS_AND_HOS_PEDS": "POOIERS EN HOEREN"
"WEATHER_DESC": "Verandert de weersomstandigheden."
"PURCHASEABLE_PROPERTEY_APARTMENTS": "DIXON'S REFUGE"
"CUSTOM_PREVIEW_UNAVAILABLE_POPUP": "VOORBEELD NIET BESCHIKBAAR"
"STORE_TITLE_DISCARD": "VOORWERP WEGGOOIEN"
"HORDE_MODE_RETRY_TEXT": "Weet je zeker dat je deze golf in de Hordemodus opnieuw wilt spelen?"
"HORDE_MODE_UNLIMITED_AMMO": "Bodemloos magazijn!"
"STAT_TAUNT_GANG": "GANGLEDEN BELEDIGD"
"STAT_SPECIAL_AMMO_USED": "SCHOTEN MET SPECIAAL WAPEN AFGEVUURD"
"ESCORT_NAME_39_A": "DUBBELGEKNUISTE"
"NO_GANG_NOTORIETY_DESC": "Verwijdert alle gangberuchtheid."
"GIVE_STUNGUN": "GEEF VERLAMMINGSGEWEER"
"WPNSTOR_TEXT_CRIB_TAKE_A_BLANK": "Wil je een \"%s\" nemen?"
"HORDE_MODE_TITLE_HIGHSCORE_NEW": "NIEUWE TOPSCORE"
"HORDE_MODE_TITLE_ZOMBIE_WAVE": "ZOMBIEGOLF"
"STAT_RPG_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET RPG"
"STAT_MAX_STUNT_JUMP_FLIP": "MAXIMALE OMSLAGSPRONG"
"ESCORT_NAME_27B": "MILKSHAKE"
"CRIB_SR_NAME": "SAINTS ROW-APPARTEMENT"
"NEVER_DIE_DESC": "Je gaat nooit dood."
"STORE_UPGRADES_REQUIRED": "VEREIST"
"NO_ITEMS_DISPLAY_NAME": "GEEN ITEMS"
"HORDE_MODE_TITLE_PLAYER_SCORES": "SPELERSCORES"
"STAT_DRIVING_BAILOUT_DISTANCE": "LANGSTE TIJD 'M GESMEERD ZIJN"
"GANG_POLICE": "POLITIE"
"DROP_VTOL": "GEEF VTOL"
"DROP_EAGLE": "GEEF EAGLE"
"DROP_POCKETBIKE": "PEEWEE"
"EVIL_CARS_DESC": "Alle auto's zullen proberen over je heen te rijden."
"STORE_PRIMARY_COLOR": "PRIMAIRE KLEUR"
"STORE_ITEM_OWNED": "IN BEZIT"
"STAT_SHOTGUN_SHOTS_FIRED": "SCHOTEN MET JACHTGEWEER AFGEVUURD"
"STAT_MAYHEM_LEVELS_COMPLETED": "CHAOS: VOLTOOID"
"STAT_DRIVING_DRIFTING_RESPECT": "RESPECT VERDIEND DOOR POWERSLIDEN"
"STAT_VEHICLES_DESTROYED": "VOERTUIGEN VERNIETIGD"
"ESCORT_NAME_21B": "ACHTERINGANG"
"CONFIRM_DELETE_OUTFIT": "Weet je zeker dat je deze outfit wilt verwijderen?\nJe kleren blijven in je garderobe."
"MAP_IMG_TATTOO": "[format][scale:1.0][image:map_store_tattoo][/format]"
"GIVE_SATCHEL": "GEEF EXPLOSIEF"
"WPNSTOR_REPLACE_BLANK_WITH_BLANK": "Wil je \"%s\" met %s vervangen?"
"CRIB_HUD_DOCK_PURCHASE": "RONDINI'S DOK KOPEN: ${0}"
"GANG_CUST_GANG_TAG_TITLE": "GANGTAG"
"STORE_AMBULANCE_MSG": "VRAAG OM GENEZEN TE WORDEN"
"STAT_CAT_MOUSE_LONGEST_DEATH_STREAK": "KAT & MUIS: LANGSTE REEKS ACHTER ELKAAR DOODGEGAAN"
"STAT_GANG_NOTORIETY_TIME": "TIJD ALS MEEST BERUCHT BEKEND GESTAAN BIJ GANGS"
"WARDROBE_REMOVE_OUTFIT": "Wil je de outfit uit je kledingkast verwijderen?"
"NO_COP_NOTORIETY_DESC": "Verwijdert alle politieberuchtheid."
"ELEVATOR_TO_HEAVEN": "OP WEG NAAR DE HEMEL"
"HITMAN_LOCATION": "LOCATIE DOELWIT"
"DEALER_NO_PALETTE": "Geen paletkeuze beschikbaar."
"STAT_MORNINGSTAR_SPECIALISTS_KILLED": "MORNINGSTAR-SPECIALISTEN GEDOOD"
"ESCORT_NAME_23B": "DILLOW"
"Coop Player Kills_NAME": "DODENAANTAL SPELER"
"CONTROL_JOIN_GAME": "DOE MEE AAN HET SPEL"
"MAP_ICON_HUMAN_TORCH": "SPOREN ACHTERLATEN"
"DROP_ESTRADA": "GEEF ESTRADA"
"UNLIMITED_CLIP": "ONEINDIG VEEL MUNITIE"
"MUSIC_EASYLISTENING": "EASY LISTENING"
"WEAPONSTORE_TEXT_CONFIRM_PURCHASE_AMMO_FULL": "Wil je de \"%s\" voor %s kopen?"
"MENU_SWAP_WARDROBE": "GARDEROBE"
"VCUST_WHEELS_TITLE": "WIELEN"
"PURCHASEABLE_PROPERTEY_CRACK": "CRACKHOUSE"
"CONTROL_QUIT_WITHOUT_SAVING": "STOPPEN ZONDER OP TE SLAAN"
"GARAGE_NONE": "GEEN VOERTUIGEN IN DE GARAGE"
"HORDE_MODE_GAMEPLAY_TITLE": "HORDEMODUS"
"STAT_CARS_DESTROYED": "AANTAL AUTO'S VERNIELD"
"STAT_CHOPSHOP_CASH": "GELD VERDIEND IN CHOP SHOP"
"STAT_TOTAL_RESPECT": "TOTAAL RESPECT VERDIEND"
"STAT_BEAT_COPS_KILLED": "STRAATAGENTEN GEDOOD"
"ESCORT_NAME_31A": "ACHTERBAKS"
"MAP_ICON_GUARDIAN_ANGEL": "BESCHERMENGEL"
"REPAIR_CAR": "AUTO REPAREREN"
"SAVELOAD_FILE_NOT_LOADABLE": "Dit opgeslagen bestand kan niet worden geladen omdat het opgeslagen bestand beschadigd of ongeldig is."
"STORE_DETAIL_COLOR": "DETAILKLEUR"
"GANG_CUST_GANG_STYLE_TITLE": "GANGSTIJL"
"PURCHASEABLE_PROPERTEY_COLA": "JOE COLA FACTORY"
"TATTOO_REMOVE": "Wil je de tatoeage van je %s weg laten halen?"
"HORDE_MODE_NEW_WAVE_MESSAGE_TITLE": "Nieuwe golf!"
"STAT_MASCOTS_KILLED": "MASCOTTES GEDOOD"
"STAT_DRIVING_STOPPIE_TIME": "LANGSTE STOPPIE"
"STAT_LONGEST_VEHICLE_SURF_HANDSTAND_TIME": "LANGSTE HANDSTAND TIJDENS SURFEN OP VOERTUIG"
"STAT_LONGEST_VEHICLE_SURFING_TIME": "LANGSTE TIJD OP EEN VOERTUIG GESURFD"
"STAT_BAIL_MONEY": "BORG BETAALD"
"CONTROL_CONTINUE": "DOORGAAN"
"GIVE_HAMMER": "GEEF AS14-HAMER"
"DROP_GYRO": "GYRO DADDY"
"STORE_SECONDARY_COLOR": "SECUNDAIRE KLEUR"
"GARAGE_TEXT_INSUFFICIENT_FUNDS": "Je hebt onvoldoende geld om je voertuig te laten repareren.\nWil je het toch ophalen?"
"CRIB_CUSTOMIZE_PURCHASE_PROMPT": "Wil je deze {0} voor ${1} kopen?"
"VCUST_WHEEL_WIDTH_OPTION": "WIELBREEDTE"
"TAT_REG_BACK": "ACHTERKANT"
"STAT_WEAPON_SNIPER": "SLUIPSCHUTTER"
"STAT_COMBAT_MELEE_RESPECT": "RESPECT VERDIEND DOOR MET DE HAND TE DODEN"
"STAT_MAX_TWO_WHEELS_DISTANCE": "MAXIMALE AFSTAND OP TWEE WIELEN AFGELEGD"
"ESCORT_NAME_33A": "ROMEINSE"
"HASH_DF7D0B4B": "DODENLABEL: DODEN"
"ZOMBIE_PEDS_DESC": "Alle voetgangers zijn zombies."
"MUSIC_DANCE": "DANCE"
"STORE_TEXT_CONFIRM_PURCHASE_FULL": "Wil je \"%s\" voor %s kopen?"
"PURCHASEABLE_PROPERTEY_SERVICE2": "PASSING GAS SERVICE STATION"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Wil je dit voorwerp kopen?"
"HORDE_MODE_TEAM_SCORE": "SCORE"
"STAT_VEHICLE_BIKE": "MOTOR"
"STATS_DISTANCE_FEET": "%0.2fft"
"STAT_DRIVING_BIGAIR_RESPECT": "RESPECT VERDIEND MET BIG AIR-SPRONGEN"
"STAT_HOMIES_RECRUITED": "HOMIES GEREKRUTEERD"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "GEEF TAXI"
"CUST_ICON_LOWER_BODY": "ONDERLICHAAM"
"STORE_ZOOM": "ZOOM"
"VEHICLE_TYPE_TITLE": "SOORT VOERTUIG"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "KAT & MUIS: MEESTE KEREN DOODGEGAAN IN EEN RONDE"
"STAT_CAT_MOUSE_WINS": "KAT & MUIS: GEWONNEN"
"ESCORT_NAME_35A": "ZITTENDE"
"GARAGE_REMOVE_PROMPT": "Weet je zeker dat je dit voertuig wilt verwijderen?"
"STAT_WEAPON_SPECIAL": "SPECIAAL"
"STAT_DRIVING_BURNOUT_RESPECT": "RESPECT VERDIEND MET BURNOUTS"
"ESCORT_NAME_29B": "PRINSES"
"CUST_ICON_TATTOO_ARMS": "ARMTATOEAGES"
"CUST_ICON_TATTOO_TORSO": "TATOEAGES VOOR TORSO"
"CUST_ICON_HEAD": "HOOFD"
"STORE_NAME_GAS_STATION": "TANKSTATION"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "EEN BESTAANDE OUTFIT VERWIJDEREN"
"HORDE_MODE_MENU_NEW_GAME": "NIEUW SPEL"
