// SR4R le_string_keys.txt (zh) —— 本地化 KEY -> 中文
// 生成: Tools/gen_keydict.py（勿手改，重新生成即可；兜底键改脚本里的 EXTRA_KEYS）
// 用途: 引擎语言服务解析失败时, 文本对象会回退到原始 KEY 模板
//       (屏幕上直接显示 MENU_BACK / PLT_xxx)。本表把这类可读 KEY 直接映射为译文。
// 约束: 键为裸 KEY, 引擎送裸 KEY 时不带格式化参数 -> 译文一律不含 % 转换符 [S1]
// 来源: resource/le_string/zh/*.txt + 手工兜底 EXTRA_KEYS

// ---- 手工兜底: PC 版 le_string 中不存在的 UI 键 ----
// 取消按钮（配对兜底）
"CONTROL_NO": "否";
"PC_ROTATION_SENSITIVITY_HINT": "摄像机旋转灵敏度";
"PC_SAVE_HINT": "保存剪辑修改";
"PC_SCROLL": "滚动";
"PC_SELECT_TARGET": "选择目标";
"PC_SELECT_TARGET_HINT": "使用操作键选择目标";
"PC_SHOW_HUD": "显示 HUD";
"PC_SHOW_HUD_HINT": "切换界面透明度";
"PC_SHOW_KEYS": "显示按键";
"PC_SHOW_KEYS_HINT": "显示剪辑快捷键";
"PC_SLOWMO": "回放速度";
"PC_SLOWMO_HINT": "慢动作设置";
"PC_SM_FAST": "快速";
"PC_SM_NORMAL": "普通";
"PC_SM_SLOW": "慢速";
"PC_SM_VERY_FAST": "极快";
"PC_SM_VERY_SLOW": "极慢";
"PC_SOUNDFX": "音效";
"PC_SOUNDFX_HINT": "开启/关闭所有音效";
"PC_TOD": "时段";
"PC_TOD_AFTERNOON": "下午";
"PC_TOD_DEFAULT": "默认";
"PC_TOD_HINT": "光照设置";
"PC_TOD_MORNING": "早晨";
"PC_TOD_NIGHT": "夜晚";
"PC_TOD_NOON": "正午";
"PC_UNBOUND_KEY": "未绑定";
"PC_VIDEO_QUALITY": "视频质量";
"PC_VOICE": "嗓音";
"PC_VOICE_HINT": "开启/关闭全部语音";
"PC_WATERMARK": "水印";
"PC_WATERMARK_HINT": "导出时在角落添加《黑道圣徒IV》标志";
"PC_WEATHER": "天气";
"PC_WEATHER_HINT": "天气设置";
"PC_W_CLEAR": "透明";
"PC_W_DEFAULT": "默认";
"PC_W_OVERCAST": "阴天";
"PC_W_RAINY": "雨天";
"PC_W_THUNDERSTORM": "雷雨";
"PC_ZONE_TYPE": "区域类型";
"PC_ZONE_TYPE_HINT": "切换到新镜头，或与上一区域平滑过渡";
"PC_ZT_BLEND": "混合";
"PC_ZT_CUT": "硬切";
"PISTOL_GANG": "重型手枪";
"PISTOL_POLICE": "速射手枪";
"PLAYBACK_MODE_WARNING": "编辑电影片段";
"PLAYBACK_MODE_WARNING_TEXT": "这将停止你当前的录制，并允许你编辑、保存并将其导出为视频。若要录制新的影院片段，你需要返回标题画面。是否进入影院片段编辑器？";
"PLT_ANISOTROPIC_EIGHT": "各向异性 8X";
"PLT_ANISOTROPIC_FOUR": "各向异性 4X";
"PLT_ANISOTROPIC_SIXTEEN": "各向异性 16X";
"PLT_ANISOTROPIC_TWO": "各向异性 2X";
"PLT_MENU_AMBIENT_OCCLUSION": "    环境光遮蔽";
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "单帧或累积";
"PLT_MENU_ANTI_ALIASING": "    抗锯齿";
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "平滑粗糙边缘";
"PLT_MENU_APPLY": "应用";
"PLT_MENU_ASPECT": "宽高比";
"PLT_MENU_ASPECT_TOOLTIP": "宽高比只能在标题画面切换";
"PLT_MENU_AUDIO_VOICE_ENABLE": "语音聊天";
"PLT_MENU_AUTO_DETECT": "自动检测";
"PLT_MENU_BRIGHTNESS_TOOLTIP": "打开屏幕亮度菜单";
"PLT_MENU_DISPLAY_1": "主色";
"PLT_MENU_DISPLAY_2": "第二屏";
"PLT_MENU_DISPLAY_3": "第三屏";
"PLT_MENU_DISPLAY_4": "第四屏";
"PLT_MENU_DISPLAY_CHANGES_FAILED": "更改视频设置失败，你的修改已还原。";
"PLT_MENU_DISPLAY_INDEX": "显示器";
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "全屏使用的显示器";
"PLT_MENU_DISPLAY_MODE": "显示模式";
"PLT_MENU_DISPLAY_MODE_TOOLTIP": "全屏或窗口化";
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "接受设置？";
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "你想保留这些设置吗？\n15 秒后将自动还原。";
"PLT_MENU_DISPLAY_PRESET": "预设";
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "选择你的机器性能等级";
"PLT_MENU_FULL_SCREEN": "全屏";
"PLT_MENU_HIGH_DX10_ONLY": "高（DX10 或以上）";
"PLT_MENU_LIGHTING_DETAIL": "    光照细节";
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "光照分辨率";
"PLT_MENU_MED_DX10_ONLY": "中（DX10 或以上）";
"PLT_MENU_PAUSE_FOCUS": "失焦时暂停";
"PLT_MENU_POST_PROCESSING_DETAIL": "    后处理细节";
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR、动态模糊与景深";
"PLT_MENU_REFLECTIONS": "    反射";
"PLT_MENU_REFLECTIONS_TOOLTIP": "开启常规或几何着色器反射";
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "这与以下操作冲突，它们将被自动解除绑定：";
"PLT_MENU_RESOLUTIONS": "分辨率";
"PLT_MENU_RESOLUTIONS_TOOLTIP": "选择你期望的分辨率";
"PLT_MENU_SCENE_DETAIL": "    场景细节";
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "控制场景元素的数量与细节";
"PLT_MENU_SETUP_MIC": "设置麦克风";
"PLT_MENU_SHADOW_DETAIL": "    阴影细节";
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "阴影贴图分辨率";
"PLT_MENU_STANDARD": "标准";
"PLT_MENU_TEXTURE_FILTER_MODE": "    过滤模式";
"PLT_MENU_TEXTURE_FILTER_MODE_TOOLTIP": "越高越好，但速度越慢";
"PLT_MENU_VIEW_GAMERCARD": "查看玩家卡片";
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "查看玩家卡片";
"PLT_MENU_VOICE_ALWAYS_ON": "始终开启";
"PLT_MENU_VOICE_DISABLED": "已禁用";
"PLT_MENU_VOICE_PUSH_TO_TALK": "按键通话";
"PLT_MENU_VSYNC": "垂直同步";
"PLT_MENU_VSYNC_TOOLTIP": "垂直同步，消除全屏画面撕裂";
"PLT_MENU_WIDESCREEN": "宽屏";
"PLT_MENU_WINDOWED": "窗口化";
"PLT_QUIT_GAME": "退出到桌面";
"PLT_QUIT_GAME_WARNING": "确定要退出到桌面吗？";
"PLT_TRILINEAR": "三线性";
"PRESS_ANY_KEY_TEXT": "按下任意新按键，或按 ESC 取消。";
"Paint": "喷漆";
"Paint_1": "喷漆 1";
"Paint_2": "喷漆 2";
"Planet Saints Male D": "电音 DJ";
"Planet Saints Male F": "街头篮球";
"Planet Saints Outfit J": "学院慵懒风";
"Player_Vehicle_No_Damage": "载具无敌";
"Presidential Male": "总统先生";
"RADIO_OFF": "关";
"RECORD_MODE_WARNING": "录制电影片段";
"RECORD_MODE_WARNING_TEXT": "录制影院片段将禁用所有任务、活动、商店以及游戏内音乐，直到你返回标题画面。是否开始录制影院片段？";
"RIFLE_DISINTEGRATOR": "瓦解者";
"RIFLE_GANG": "自动步枪";
"RIFLE_LASER": "外星步枪";
"RIFLE_NG": "爆发步枪";
"RIFT_LEAP_FAILURE": "连接中断。快速击中平台以保持连接稳定！";
"RIFT_SPEED_FAILURE": "你未能摧毁数据塔。通过收集数据并穿越障碍加速，来强化你的病毒！";
"Redhead": "红发";
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "保存失败，因为默认的\n存储设备已不可用。";
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "硬盘剩余空间不足，无法完成存档。";
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "正在保存内容，请稍候。";
"SAVE_CLIP": "保存过场剪辑";
"SAVE_CLIP_NAME": "为这段剪辑输入名称";
"SAVE_WARNING_BOOT": "本游戏具有自动保存功能。当屏幕上出现此提示时，你的游戏正在保存到自动存档槽。";
"SHOTGUN_GANG": "泵动式霰弹枪";
"SHOTGUN_POLICE": "半自动霰弹枪";
"SMG_CYBERSPACE": "赛博冲击枪";
"SMG_GANG": "重型冲锋枪";
"SMG_STORM": "速射冲锋枪";
"SPACE SMUGGLER": "淘气浪子";
"SPECIAL_ABDUCTION": "绑架枪";
"SPECIAL_INFLATORAY": "充气射线";
"SPECIAL_SNIPERRIFLE": "狙击步枪";
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "存档槽位已满。要保存的话，你需要覆盖之前的存档槽，或存到新位置。";
"STATS_CORRUPT_BODY": "你的统计数据已损坏，必须重置。\n这不会影响你已经获得的任何成就。";
"STATS_CORRUPT_TITLE": "统计数据损坏";
"STATS_NO": "否";
"STATS_NONE": "无";
"STATS_YES": "是";
"STAT_ACTIVITIES_COMPLETED": "活动完成数";
"STAT_ACTIVITY_CASH_EARNED": "活动赚取现金";
"STAT_ACTIVITY_RESPECT_EARNED": "活动中赚取的经验值";
"STAT_ARRESTS": "被捕次数";
"STAT_AUDIO_LOGS_FOUND": "已找到音频日志";
"STAT_BEAT_COPS_KILLED": "巡警击杀数";
"STAT_BEST_WEAPON": "最佳武器";
"STAT_BIG_AIR_LONGEST_JUMP": "大腾空：最长跳跃";
"STAT_BRUTES_KILLED": "巨兽击杀数";
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "车辆改装消费";
"STAT_CASH_EARNED_PER_DAY": "每小时收入";
"STAT_CAT_MOUSE_CASH_EARNED": "猫鼠游戏：已赚取缓存";
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "猫捉老鼠：最高得分";
"STAT_CIVILIANS_KILLED": "平民击杀数";
"STAT_COOP_ACTIVITIES_COMPLETED": "双人合作：活动完成数";
"STAT_COOP_DEATHS": "双人合作：玩家造成的死亡数";
"STAT_COOP_KILLS": "双人合作：击杀玩家数";
"STAT_COOP_MISSIONS_COMPLETED": "双人合作：任务完成数";
"STAT_COOP_TIME_PLAYED": "双人合作：游戏时长";
"STAT_CUSTOM_ITEMS_CASH_SPENT": "自定义物品消费";
"STAT_DEATHS": "死亡次数";
"STAT_DISTANCE_BY_CAR": "驾车里程";
"STAT_DISTANCE_BY_VEHICLE": "载具行驶里程";
"STAT_DIVERSION_CASH_EARNED": "即时挑战赚取现金";
"STAT_DIVERSION_RESPECT_EARNED": "活动中赚取的经验值";
"STAT_ENEMY_GANG_KILLED": "外星击杀";
"STAT_FAVORITE_TRANSPORTATION": "最常用的交通方式";
"STAT_FLASHPOINTS_COMPLETED": "闪点已完成";
"STAT_FRAUD_CASH_CLAIMED": "诈骗：已申领金额";
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "诈骗：最长俯冲距离";
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "诈骗：总俯冲距离";
"STAT_HIGHEST_RANK_ACHIEVED": "达到的最高等级";
"STAT_HOMIES_RECRUITED": "招募兄弟数";
"STAT_HOSPITAL_BILLS": "医院账单";
"STAT_HUMAN_SHIELD_KILLS": "人盾击杀数";
"STAT_LAW_ENFORCEMENT_KILLED": "执法者击杀总数";
"STAT_LUCHADOR_SPECIALISTS_KILLED": "摔跤手帮专家击杀数";
"STAT_MASCOTS_KILLED": "击杀吉祥物";
"STAT_MAYHEM_DAMAGE_DONE": "大破坏：造成伤害";
"STAT_MISSIONS_ATTEMPTED": "任务尝试数";
"STAT_MISSIONS_COMPLETED": "任务已完成";
"STAT_MISSIONS_FAILED": "任务失败数";
"STAT_MISSION_SUCCESS_RATE": "任务成功率";
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "多重击杀总数";
"STAT_NEIGHBORHOODS_CONTROLLED": "控制地盘数";
"STAT_NEIGHBORHOODS_EXPLORED": "探索街区数";
"STAT_ORBS_FOUND": "已发现簇";
"STAT_PEOPLE_RUN_OVER": "碾过的行人";
"STAT_RUNNING_MAN_CASH_EARNED": "元气博士：赚取现金";
"STAT_SHOT_HIT_PERCENTAGE": "射击命中率";
"STAT_STORES_OWNED": "已入侵商店";
"STAT_STREAKING_TOTAL_TIME": "天体总时长";
"STAT_SWAT_KILLED": "SWAT 击杀数";
"STAT_TANK_MAYHEM_DAMAGE_DONE": "坦克大破坏：造成伤害";
"STAT_TAUNT": "挑衅";
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "嘲讽平民总数";
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "称赞他人总数";
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "嘲讽警察总数";
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "被嘲讽外星人总数";
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "嘲讽总数";
"STAT_TIME_PLAYED": "总游戏时长";
"STAT_TOTAL_CASH_EARNED": "缓存总赚取";
"STAT_TOTAL_CASH_SPENT": "缓存总支出";
"STAT_TOTAL_DAMAGE_TAKEN": "累计承受伤害";
"STAT_TOTAL_DISTANCE_TRAVELLED": "总行驶里程";
"STAT_TOTAL_RESPECT": "经验值总获取";
"STAT_UNARMED_KILLS": "徒手击杀数";
"STAT_VEHICLES_DESTROYED": "摧毁载具数";
"STAT_VEHICLES_HIJACKED": "劫持载具数";
"STAT_VEHICLE_AIRCRAFT": "飞行器";
"STAT_VEHICLE_BIKE": "机车";
"STAT_VEHICLE_CAR": "汽车";
"STAT_VEHICLE_SURFING_LONGEST_TIME": "载具冲浪最长时间";
"STAT_WEAPON_PISTOL": "手枪";
"STAT_WEAPON_RIFLE": "步枪";
"STAT_WEAPON_SHOTGUN": "霰弹枪";
"STAT_WEAPON_SNIPER": "狙击枪";
"STAT_WHEELIE_LONGEST_DISTANCE": "最长翘头行驶距离";
"STRONGHOLD_FAILURE_CANCEL_TEXT": "根据地已取消";
"STUN_GUN": "电击枪";
"Spa Day": "水疗日";
"Space Princess": "太空公主套装";
"TENTACLE_BAT": "触手球棒";
"TOD_Cycle": "切换时间";
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} 布娃娃 \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} 空中微调";
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} 加速 \n{PLANE_BRAKE_REVERSE_IMG} 刹车 + 倒车 \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} 急转弯";
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} 切换至下一把武器\n{PREV_WEAPON_IMG} 切换至上一把武器";
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} 升高\n{HELI_DOWN_IMG} 降低\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} 快速转向";
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} 加速 \n{BRAKE_REVERSE_IMG} 刹车 + 倒车 \n用 {LEAN_BACK_IMG} 后仰重心翘前轮，用 {LEAN_FORWARD_IMG} 前倾做翘尾。";
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} 移动 \n移动鼠标瞄准 \n{TANK_FIRE_SECONDARY_IMG} 开火（主武器） \n{TANK_FIRE_PRIMARY_IMG} 开火（副武器）";
"TUT_STREAKING_PC": "{RECRUIT_DISMISS_IMG} 开始天体活动。 \n在不穿任何衣物时，天体娱乐活动可用。 ";
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} 嘲讽 \n{TAUNT_THREE_IMG} 恭维 \n与人群互动，通过嘲讽外星人并击杀它们来获得[format][color:purple]XP[/format]。";
"UNL_AIR_DASH_1": "跳跃 - 空中冲刺";
"UNL_AIR_DASH_2": "跳跃 - 空中冲刺2";
"UNL_AIR_DASH_3": "跳跃 - 空中冲刺 3";
"UNL_AUDIO_LOGS": "音频日志";
"UNL_DESC_AIR_DASH_1": "按下 {SPRINT_IMG} 即可在空中获得加速。";
"UNL_DESC_AIR_DASH_2": "每次超级跳跃可冲刺两次。";
"UNL_DESC_AIR_DASH_3": "每次超级跳跃可冲刺三次。";
"UNL_DESC_AUDIO_LOGS": "收集散布在模拟世界各处的同伴音频日志。在飞船休息室的电脑上收听已获取的条目。";
"UNL_DESC_DFA_AIRCRAFT": "天降杀戮可锁定飞行器。";
"UNL_DESC_DFA_RANGE_1": "提升天降杀戮的攻击范围。";
"UNL_DESC_FREEZE_DAMAGE_2": "目标被冻结时承受更高伤害。";
"UNL_DESC_HACKING_EXTRA_TIME": "完成商店黑客入侵的时间翻倍。";
"UNL_DESC_HADOUKEN_1": "核爆恢复速度提升 25%%";
"UNL_DESC_HADOUKEN_2": "核能恢复速度加快50%%";
"UNL_DESC_HADOUKEN_3": "核爆恢复速度提升 100%%";
"UNL_DESC_HADOUKEN_REDUCED_MANA_1": "核爆仅消耗 75%% 能量";
"UNL_DESC_HADOUKEN_REDUCED_MANA_2": "核爆仅消耗 50%% 能量";
"UNL_DESC_HADOUKEN_REDUCED_MANA_3": "核爆不再消耗能量";
"UNL_DESC_HADOUKEN_SUPPRESSION_1": "使用核爆后，力量恢复速度略快";
"UNL_DESC_HADOUKEN_SUPPRESSION_2": "使用核爆后，力量恢复速度更快";
"UNL_DESC_HADOUKEN_SUPPRESSION_3": "使用核爆后，力量恢复速度大幅加快";
"UNL_DESC_HOMIE_ALL_NOTORIETY": "呼叫时清除所有通缉度。";
"UNL_DESC_HOMIE_A_TEAM": "本·金、琳、皮尔斯和香蒂们都可以在你的手机\"手机\"菜单中找到。他们会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_CID": "可以使用你的HUB\"手机\"菜单将C.I.D.呼叫到模拟世界中。这个AI会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_CYRUS": "赛勒斯·坦普尔已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_DANE_VOGEL": "在你的HUB\"手机\"菜单中可以找到戴恩·沃格尔。他会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_DONNIE": "在你的HUB\"手机\"菜单中可以找到金吉。她会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_JULIUS": "朱利叶斯·利特尔已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_MAERO": "马埃罗已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_SHARP": "威廉·夏普已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_TANYA": "塔尼娅已被重建为盟友，在你的HUB\"手机\"菜单中可以找到她。她会在战斗中帮助圣徒。";
"UNL_DESC_HOMIE_UFO": "在你的HUB\"手机\"菜单中可以找到UFO伙计。他会在战斗中给你送来一架UFO。";
"UNL_DESC_HOMIE_VETERAN_CHILD": "DJ老手已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。";
"UNL_DESC_JUMP_1": "按住 {SHOULDER_CAMERA_IMG} 在空中悬停，然后按 {ATTACK_PRIMARY_IMG} 以超高速砸向地面。";
"UNL_DESC_JUMP_2": "超级跳蓄力更快。";
"UNL_DESC_JUMP_3": "飞上天空，在城市上空滑翔！\n\n空中冲刺后按住 {SPRINT_IMG} 即可滑翔。";
"UNL_DESC_JUMP_REDUCED_MANA_1": "滑翔消耗更少体力。";
"UNL_DESC_JUMP_REDUCED_MANA_2": "滑翔消耗体力大幅减少。";
"UNL_DESC_JUMP_REDUCED_MANA_3": "滑翔不再消耗体力。";
"UNL_DESC_JUMP_SPEED": "蓄力超级跳跃飞得更远更快。";
"UNL_DESC_MANA_RECOVERY_1": "超能力能量恢复速度提升 10%%";
"UNL_DESC_MANA_RECOVERY_2": "超能力能量恢复速度提升 25%%";
"UNL_DESC_MANA_RECOVERY_3": "超能力能量恢复速度提升 50%%";
"UNL_DESC_MANA_RECOVERY_4": "超能力能量恢复速度提升 100%%";
"UNL_DESC_MECHMAYHEM": "模拟世界中有更难的机甲大破坏活动。\n查看你的地图寻找位置。";
"UNL_DESC_MECH_SUIT": "在你的HUB\"手机\"菜单中可以找到机甲。随时呼叫即可临时驾驶机甲！";
"UNL_DESC_NITROUS_DAMAGE": "使用氮气时对其他载具造成极高碰撞伤害。";
"UNL_DESC_RAGDOLL_RECOVERY": "按下 {JUMP_CLIMB_IMG} 即可在被击倒后立刻起身。\n\n对任何踏入超能战斗的圣徒来说都是必备之选。";
"UNL_DESC_RELOAD_COOLDOWN_1": "点按 {PICKUP_RELOAD_IMG} 让外星武器冷却得稍快。";
"UNL_DESC_RELOAD_COOLDOWN_2": "按{PICKUP_RELOAD_IMG}可加快外星武器冷却。";
"UNL_DESC_RELOAD_COOLDOWN_3": "点按 {PICKUP_RELOAD_IMG} 让外星武器冷却得更快。";
"UNL_DESC_RELOAD_COOLDOWN_4": "按{PICKUP_RELOAD_IMG}可大幅加快外星武器冷却。";
"UNL_DESC_SAINTS_VEHICLES": "你现已在传送门车库中获得圣徒的标准载具。";
"UNL_DESC_SHIELD_1": "对护盾的攻击会恢复其他能力。";
"UNL_DESC_SHIELD_2": "接触护盾的敌人会被眩晕/电击。";
"UNL_DESC_SHIELD_3": "对护盾的攻击会恢复你的生命值。";
"UNL_DESC_SHIELD_DAMAGE": "冲刺护盾接触时施加额外伤害。";
"UNL_DESC_SHIELD_REDUCED_MANA_1": "护盾只消耗75%%耐力。";
"UNL_DESC_SHIELD_REDUCED_MANA_2": "护盾仅消耗 50%% 体力。";
"UNL_DESC_SHIELD_REDUCED_MANA_3": "护盾不再消耗耐力。";
"UNL_DESC_SPRINTING_1": "超级冲刺现在会产生龙卷风效果，将玩家身后的物体掀翻！";
"UNL_DESC_SPRINTING_2": "超级冲刺穿过物体会把它们撞倒，但你不会被撞倒！";
"UNL_DESC_SPRINTING_3": "超级冲刺时受到的伤害降低。";
"UNL_DESC_SPRINTING_SHIELD": "超级冲刺期间冲刺护盾持续存在。";
"UNL_DESC_SPRINT_BUILDUP": "超级冲刺更快达到最高速度！";
"UNL_DESC_SPRINT_REDUCED_MANA_1": "超级冲刺消耗更少体力。";
"UNL_DESC_SPRINT_REDUCED_MANA_2": "超级冲刺消耗体力大幅减少。";
"UNL_DESC_SPRINT_REDUCED_MANA_3": "超级冲刺不再消耗能量。";
"UNL_DESC_STOMP_1": "提升践踏的范围与眩晕时间。";
"UNL_DESC_STOMP_2": "大幅提升践踏的范围与眩晕时间。";
"UNL_DESC_STOMP_3": "最大化践踏的范围与眩晕时间。把整片街区都踏碎！";
"UNL_DESC_STOMP_ARC": "践踏影响的范围更广。";
"UNL_DESC_STOMP_CAR_DAMAGE": "践踏对载具造成极大伤害。";
"UNL_DESC_STOMP_HUMAN_DAMAGE": "践踏对人类造成更高伤害。";
"UNL_DESC_STOMP_REDUCED_MANA_1": "践踏能量恢复更快。";
"UNL_DESC_STOMP_REDUCED_MANA_2": "践踏能量充能速度更快。";
"UNL_DESC_STOMP_REDUCED_MANA_3": "践踏能量恢复极快。";
"UNL_DESC_SUPER_JUMP": "你现在可以用壁跳攀爬垂直表面，或用蓄力超级跳跳得比建筑还高！\n\n按住{JUMP_CLIMB_IMG}蓄力跳跃，跳得更高更远。";
"UNL_DESC_SUPER_NUKE": "你现在可以用核能摧毁整片街区了！\n\n从高空使用天降正义来制造核爆！";
"UNL_DESC_SUPER_NUKE_PC": "你现在可以用核爆摧毁整片城区！\n\n从高空使用天降杀戮制造核爆！";
"UNL_DESC_SUPER_SHIELD": "冲刺会产生护盾，能挡住所有来袭伤害并反弹子弹！";
"UNL_DESC_SUPER_SPRINT": "你现在能用超级冲刺跑得比汽车还快！";
"UNL_DESC_SUPER_STOMP": "你现在可以一脚跺向地面，用超级践踏把附近的一切震飞！\n\n使用 {SUPER_QUICK_STOMP_IMG} 快速切换到践踏。";
"UNL_DESC_SUPER_STOMP_PC": "你现在可以一脚跺向地面，用超级践踏把附近的一切震飞！\n\n使用 {SUPER_QUICK_STOMP_IMG} 快速切换到践踏。";
"UNL_DESC_SUPER_TK": "你现在可以用念力拾起并投掷人/物体了！\n\n用{SUPER_QUICK_TELEKINESIS_IMG}快速切换到念力。";
"UNL_DESC_SUPER_TK_PC": "你现在可以用念力抓起并投掷人和物体了！\n\n使用 {SUPER_QUICK_TELEKINESIS_IMG} 快速切换到念力。";
"UNL_DESC_SUPPRESS_DURATION_1": "被能力压制手雷击中后，能力恢复稍快一些。";
"UNL_DESC_SUPPRESS_DURATION_2": "被能量压制手雷击中后，力量恢复速度更快。";
"UNL_DESC_SUPPRESS_DURATION_3": "被能力压制手雷击中后，能力恢复速度快得多。";
"UNL_DESC_TELEKINESIS_1": "念力可以抓起汽车！";
"UNL_DESC_TELEKINESIS_2": "念力可以接住朝你扔来的物体！";
"UNL_DESC_TELEKINESIS_3": "念力可以抓起坦克和飞行器！";
"UNL_DESC_TELEKINESIS_4": "念力对载具造成极大伤害！";
"UNL_DESC_TELEKINESIS_FIRE": "用念力投掷的人会被点燃。";
"UNL_DESC_TELEKINESIS_HOLD_COST": "@@TK_FORCE^^用念力举着物体时不消耗能量。@@TK_LIGHTNING^^用念力举着物体时仅消耗一半能量。@@TK_LIFE_STEAL^^用念力举着物体时仅消耗一半能量。";
"UNL_DESC_TELEKINESIS_REDUCED_MANA_1": "念力能量充能速度更快。";
"UNL_DESC_TELEKINESIS_REDUCED_MANA_2": "念力能量充能速度更快。";
"UNL_DESC_TELEKINESIS_REDUCED_MANA_3": "念力能量充能极快。";
"UNL_DESC_UFOMAYHEM": "模拟世界中已开放更高难度的 UFO 大混乱活动。\n查看地图了解位置。";
"UNL_DESC_VEHICLE_GENKIMOBILE": "你现已在传送门车库中获得源木战车。";
"UNL_DESC_VEHICLE_GENKI_DLC_CARS": "你现已在传送门车库中获得源木的「投脑车」「愤怒老虎」「性感小猫」和「忧伤熊猫」。";
"UNL_DESC_VEHICLE_HOVER_TANK": "你现已在传送门车库中获得外星悬浮坦克。";
"UNL_DESC_VEHICLE_NG_TANK": "你现在有了挑战者坦克，在传送门车库里可以找到。";
"UNL_DESC_VEHICLE_NO_RAGDOLL": "即使站着不动，汽车也无法再把你撞倒了！";
"UNL_DESC_VEHICLE_UFO": "你现在有了外星UFO，在传送门车库里可以找到。";
"UNL_DESC_WARDEN_BEATDOWN_1": "终结典狱长现在略微容易。";
"UNL_DESC_WARDEN_BEATDOWN_2": "终结典狱长现在容易多了。";
"UNL_DESC_WARDEN_BEATDOWN_3": "终结典狱长现在容易得多。";
"UNL_DESC_WARDEN_SHIELD_1": "齐尼亚克、典狱长和专家的护盾在被超能力击中后，失效时间略微延长。";
"UNL_DESC_WEP_ABDUCTION": "让你的敌人近距离体验绑架机器！\n在传送门武器库装备它。";
"UNL_DESC_WEP_ANAL_PROBE": "用整顿者以老派方式获取情报！\n在传送门武器库装备它。";
"UNL_DESC_WEP_BLACK_HOLE": "用奇点枪制造致命黑洞！\n在你的传送门武器库中装备它。";
"UNL_DESC_WEP_DISINTEGRATOR": "用分解器一劳永逸地清除模拟体！\n在传送门武器库装备它。";
"UNL_DESC_WEP_GLITCH_GUN": "用故障大师 3000 感染霸主矩阵的原住民。故障化的人类会为你而战！\n\n在传送门武器库装备它。";
