// SR4R voice dict file 8/17
// Lines 7001-8000 of 16797
// Format: "English": "Chinese translation";

"Come on. Come on.": "来吧。来吧。";
"You know what, I feel like King and I got a lot in common, you know?  We both rose up from the streets to make something of ourselves.  We're both celebrities with our own fan base.  We share that bond.  Yeah. Now if I could only get him to sit down and play a game of chess...": "你知道吗，我觉得我和金有很多共同点。我们都从街头崛起，闯出一番名堂。我们都是拥有自己粉丝的名人。我们之间有那种纽带。是啊。要是能让他坐下来跟我下盘棋就好了……";
"This looks important. Let's blow this up.": "这个看起来很重要。把它炸了。";
"In line! Let's go!": "排好队！走！";
"You'll find out soon enough.": "你很快就知道了。";
"...and then take out the guard.": "……然后再干掉那个守卫。";
"We're moving. Why are we moving? Let's get to the bridge.": "我们在移动。我们为什么要移动？去舰桥。";
"Well I don't think they'd help you out now.": "我觉得他们现在可不会帮你。";
"Shaundi, please. *pauses* Shaundi?": "拜托了，莎蒂。*停顿* 莎蒂？";
"You are far too weak, mere human!": "你太弱了，区区凡人！";
"\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\"": "「嘿，阿莎，你还好吗？想不想来点茶和烤饼？要不要亲热一下？哦！*亲亲的声音*」";
"DELETE": "删除";
"I told you: No weapons allowed. But the power of music can overcome all obstacles.": "我告诉过你：不能带武器。但音乐的力量可以克服一切障碍。";
"Shaundi, you okay?": "莎蒂，你还好吗？";
"Yeah, that means nothing to me...": "是啊，那对我来说毫无意义……";
"Hey Maero, how's Jessica?": "嘿，马埃罗，杰茜卡怎么样了？";
"Come on, boss, you gotta pick us.  Shaundi and I won't let you down, you know that.": "加油，老大，你得选我们。莎蒂和我不会让你失望的，你知道的。";
"Not yet my friends, I think Veteran Child deserves a second chance with our fair Jezebel.   Maybe several chances...": "还不行，我的朋友们，我想老兵之子配得上再给我们的美人杰兹贝尔一次机会。也许该来好几次……";
"I'm telling you, dance is my passion!": "我告诉过你，跳舞是我的热忱所在！";
"You know, for a second there, Kinzie, you were almost an optimist.": "你知道吗，有那么一瞬间，金吉，你几乎要乐观起来了。";
"Kinzie, where the fuck have you been?  And how do you know its name?": "金吉，你他妈去哪儿了？还有，你怎么知道它的名字？";
"Miller?! Oh my god why?!": "米勒？！天哪，为什么？！";
"Ain't nothin' unethical about that!": "这可没什么不道德的！";
"One more time, Kinzie.": "再来一次，金吉。";
"Earth blows up and Ben King is already writing a new book. He hasn't changed a bit, has he?": "地球都爆炸了，本·金已经在写新书了。他一点没变，对吧？";
"DEATH FROM ABOOOOOVE!": "死神从天而降——！";
"Once CID's up and running, how long till he can spring my crew?": "一旦C.I.D.启动运行，多久能把我的兄弟弄出来？";
"I can't believe you're still alive, Johnny. Shaundi and I were--": "我不敢相信你还活着，约翰尼。莎蒂和我——";
"MI6 makes its own sense.": "军情六处自有它自己的道理。";
"*song lyrics*": "*歌词*";
"This thing better not spit out those boring ass people from that little town I was trapped in.": "这东西可别吐出我当初被困的那个小镇里那些无聊的家伙。";
"What's next, Kinzie?": "接下来呢，金吉？";
"Lights. Out.": "熄灯。";
"That's the last one.": "那是最后一个了。";
"It was on this plane where Shaundi and I lost our best friend.  Johnny Gat helped found the Saints originally, and Shaundi looked up to him ever since she joined.  He sacrificed himself to save us.  Now I want our friend back.": "就是在这架飞机上，莎蒂和我失去了我们最好的朋友。约翰尼·盖特最初是圣徒的创立者之一，莎蒂自从加入后一直很敬仰他。他牺牲自己救了我们。现在，我想把我们的朋友带回来。";
"Uh. Thank you.": "呃。谢谢你。";
"Ha! You're the one who's running, Tanya.": "哈！你才是逃跑的那个，塔尼娅。";
"Anytime, Pierce.": "随时奉陪，皮尔斯。";
"For me to find more fun for you to do in the future I'll need to load this program Kinzie created into the simulation.  Help me do that and we'll both benefit.": "为了让我将来能给你找更多乐子，我得把金吉编的这个程序装进模拟里。帮我一把，我们俩都受益。";
"Glad you understand her.": "很高兴你懂她。";
"Right.  Piece of cake.": "对。小菜一碟。";
"One guy? No problem.": "一个人？没问题。";
"Okay, now things are a little different. Let's first shoot out the light...": "好，现在情况有点不一样了。先打掉那盏灯……";
"Damn am I glad to see you guys!": "天哪，见到你们我太高兴了！";
"Kinzie, you find us a safe place yet?": "金吉，你给我们找好安全的地方了吗？";
"I don't have any guns.": "我一把枪都没有。";
"Aaaaaah! Freckle Bitches!": "啊啊啊啊！弗莱克尔碧池斯！";
"CID, I don't think Sha-": "C.I.D.，我觉得莎——";
"Get the fuck away from the boss, assholes!": "离老大远点，混蛋们！";
"It'd be better if you were actually driving.": "要是你真在开车就好了。";
"I'm not the first actor to move into politics, but I'm one of the better ones. Theater, film, television, animation, commercials, shit, I've even done video games. Though video games aren't exactly renowned for their storytelling. Still, I'd conquered acting. By the time I got the call from the Saints, I was ready for something new.": "我不是第一个从影转政的演员，但我是其中最好的几个之一。话剧、电影、电视剧、动画、广告，妈的，我甚至还配过电子游戏。虽然电子游戏的剧情不太出名。总之，我已经征服了演戏。等我接到圣徒的来电时，我已经准备好迎接新事物了。";
"Feh!  I feel like a bidet in a whorehouse.": "呸！我感觉自己像妓院里的坐浴桶。";
"What the fuck is this place...": "这他妈是什么地方……";
"Fuck.": "操。";
"What the hell is all this?": "这他妈都是些什么？";
"FUCK YOU PAUL!": "去你妈的，保罗！";
"Kinzie, how about that backup?": "金吉，说好的后援呢？";
"Contact on the left!": "左翼有接触！";
"Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.": "行，但你要是真想赶到码头，那可能得踩踩油门。说真的，皮尔斯，你开得跟限速一样。";
"Back home in Stilwater?  Yep.": "回到斯提尔沃特的老家？是啊。";
"CID, why is everything a target?": "C.I.D.，为什么什么东西都变成目标了？";
"Hold on, did I hear that right?": "等等，我没听错吧？";
"Oh sure, no problem...": "哦当然，没问题……";
"You wanna bet?": "你想赌一把？";
"Fun? What exactly does an MI6 agent think is fun?": "有趣？军情六处的特工觉得什么才叫有趣？";
"Gee-willikers.  This is dreamy.": "哎呀呀。这真是太梦幻了。";
"How long have you been working on this simulation?": "你在这个模拟上花了多久？";
"Ahem... Is this on... can they hear me?": "咳……这开始了吗……他们能听见我吗？";
"Coming up on a roadblock.": "前面有路障。";
"Or cool you off, ever think of that?": "或者给你降降温，想过吗？";
"Here we go.": "走起。";
"So write some code and get it working...": "那就写点代码，让它跑起来……";
"Hey, that actually makes sesne.": "嘿，这次还真说得通。";
"*BEEP* it. I'm in. Let the music play.": "「哔——」的。我来了。让音乐响起来吧。";
"Found it.": "找到了。";
"Maybe you should listen to yourself more and not get so stressed out about everything all the time.": "也许你该多听听自己说的话，别总是对每件事都紧张兮兮的。";
"I have a lock on Benjamin King's simulation.": "我已经锁定了本杰明·金的模拟。";
"I'm gonna hang you over the fireplace, you alien fuck.": "我要把你吊在壁炉上，你这个外星混蛋。";
"It seems the virus has been completely wiped out, and I've managed to block Tanya's access to the simulation code for good.": "看来病毒已经被彻底清除了，而我也成功永久封死了塔尼娅对模拟代码的访问。";
"Then why'd she reject it?": "那她为什么拒绝了它？";
"After you.": "你先请。";
"Kinzie doesn't seem to have a problem with it.": "金吉似乎不觉得这有什么问题。";
"Seems Tanya forgot that lesson, which it turns out is good for us.": "看来塔尼娅忘了那堂课，而这恰好对我们有利。";
"Okay, is this -really- the time?": "好吧，现在真的合适吗？";
"We gotta check the monitors!": "我们得去检查监视器！";
"Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.": "金吉，我能跑得比人快，还能从手里射出寒冰；我早就在打破规则了。";
"No shit.": "废话。";
"What's wrong with my inner sanctum?": "我的内殿有什么问题？";
"I got superpowers. Let's do this.": "我有超能力了。开干吧。";
"C'mon y'all, we need to protect CID and the Key!": "大家听好了，我们得保护C.I.D.和钥匙！";
"A little driving music might help.": "来点行车音乐也许有帮助。";
"Go back to where you came from!": "回你来的地方去！";
"You know I love you, Kinzie.": "你知道我爱你，金吉。";
"And the higher I am?": "那我爬得越高呢？";
"How's the Key?": "钥匙怎么样了？";
"All right. Let's go!": "好。出发！";
"Oh. Wait--years of torture resistance? I thought you worked computer crime at the FBI.": "哦。等等——好几年的抗刑讯训练？我还以为你在联邦调查局做网络犯罪调查呢。";
"Whoa!": "哇！";
"No more hiding, you pasty motherfucker.": "别再躲了，你这白脸狗娘养的。";
"Well, I wouldn't want to impose.  At all.": "好吧，我可不想麻烦你。一点也不想。";
"Whoa!": "哇！";
"I don't understand...": "我不明白……";
"Don't worry, nothing's gettin' to this Key or CID, boss.": "别担心，没人能碰到这把钥匙和C.I.D.，老大。";
"DELETE": "删除";
"That's right, I'm the fuckin' President!": "没错，老子他妈的就是总统！";
"Kinzie, we have to go. What is wrong--": "金吉，我们得走了。怎么回——";
"You're almost there, you can make it!": "你马上就到了，你能行！";
"My trigger finger's lonely...": "我的扳机指寂寞了……";
"Right on.": "好极了。";
"Not a clue.  That's why I usually ask for a translation.": "毫无头绪。所以我一般会要个翻译。";
"But why didn't we come straight for him and--": "但我们为什么不直奔他而来，然后——";
"All right. Let's go!": "好。出发！";
"Swoosh!": "嗖——！";
"Hey, how'd you get out?": "嘿，你是怎么出来的？";
"The guy with the spike on his head? Oh yeah. Nick? Stephen? Darren?": "头上顶着尖刺的家伙？哦对。尼克？斯蒂芬？达伦？";
"This part of your plan?": "这也是你计划的一部分？";
"Come on, start checking!": "来吧，开始检查！";
"But don't turn me into a fucking toilet.": "但别把我变成他妈的马桶。";
"DELETE": "删除";
"Well, if you want a tattoo then this should help.  Bypass the security at Rusty's Needles.": "好吧，如果你想要纹身，这个应该能帮上忙。绕过拉斯特之针的安保。";
"Hold on, this isn't an upgrade to my mind powers.": "等等，这不是对我意念能力的升级。";
"Let's go!": "出发！";
"Shaundi, go back to Kinzie and the rest. Gat, let's go blow up a spaceship.": "莎蒂，回去找金吉和其他人。盖特，我们去炸一艘宇宙飞船。";
"It's over for you, Zinyak.": "你完了，齐尼亚克。";
"Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.": "金吉，我能跑得比人快，还能从手里射出寒冰；我早就在打破规则了。";
"If I can't fix this town with violence then I'm going to teach this town to DANCE.": "如果暴力救不了这座城，那我就教这座城跳舞。";
"This is the army of minions you mentioned? They're freakin' zombies, Matt.": "这就是你说的那支喽啰大军？他们是该死的僵尸，马特。";
"Why can't I have nice things...": "为什么我就不能有好事……";
"You kidding? Alien demolitions is, like, Presidential Training Day One.": "开玩笑？搞定外星爆破，那可是总统训练的第一课。";
"So, you will be able to get me out of here, right?": "所以，你肯定能把我弄出去的，对吧？";
"Zinyak stepped on Biz Markie...": "齐尼亚克踩了比兹·马基……";
"Matt, I found Kinzie but I'm not sure there's--": "马特，我找到金吉了，但我不确定有——";
"And I here I thought this might be about him trying to wipe out America.": "我还以为这跟他要消灭美国有关呢。";
"Where to now?": "现在去哪儿？";
"Uh. Yeah. Matt, get us out of here.": "呃。是啊。马特，带我们离开这儿。";
"Okay, what's this switch do..?": "好，这个开关是干什么的……？";
"You done yet?": "你完事了没？";
"Definitely something wrong with this car...": "这车肯定有问题……";
"Glad I didn't lose my Gat again.": "还好我没再失去我的盖特。";
"Matt I've often wondered why I let you live, much less join my team.  But I'm big enough to admit it: You've done well for us.": "马特，我常常想不明白我为什么让你活下来，更别说让你加入我的团队了。但我要大方地承认：你为我们干得不错。";
"But nothing worked...nothing ever made me feel alive like you did.  And I always thought it was just because I was depressed but seeing you now has made me realize how much I need you.  I know I'm not Aisha, and I'm not trying to be, but if--": "但什么都没用……从来没有谁让我像你那样觉得活着。我一直以为那只是因为我很抑郁，但看到你之后我才意识到我有多需要你。我知道我不是阿伊莎，我也不想当她的替代品，但如果——";
"Fine, but I better get something outta this.": "行，但我总得从这当中捞点什么。";
"Step one, go back to the cargo bay and load up on bombs.": "第一步，回货舱去装上炸弹。";
"Shit? What do you mean shit?": "妈的？你说「妈的」是什么意思？";
"Kinzie, where's Gat?": "金吉，盖特在哪？";
"Excuse me?": "你说什么？";
"What the hell is all this?": "这他妈都是些什么？";
"Ladies and gentlemen, welcome to a very special episode of Professor Genki's Super Ethical Reality Climax!": "女士们先生们，欢迎来到元氣教授的超道德真人秀特别篇！";
"Time to see what's in it.": "是时候看看里面有什么了。";
"DELETE": "删除";
"So is this party BYOB?": "这个派对是不是要自带酒水？";
"I'm seeing, like, seven of everything...": "我看到的东西都有七份……";
"You can't just put me in a nice hotel or something?": "你就不能把我安置在一家像样的酒店什么的吗？";
"And this one's because I want to!": "而这一次，是因为我想！";
"Wow, she's really enjoying this.": "哇，她真的很享受这个。";
"Enjoying yourself?": "玩得开心吗？";
"Come on Zinyak, you have to try harder than that!": "来吧齐尼亚克，你得再加把劲！";
"Further instruction would be appreciated, Kinzie.": "希望你能给我进一步的指示，金吉。";
"So the Saints wish to play again.  This time I'm not going to offer you a deal.": "看来圣徒们还想再玩一次。这一次，我不会再给你们开条件了。";
"This is all from your head, Asha. He's getting this from you.": "这一切都来自你的脑海，阿莎。他是从你这里得到的。";
"Sounds simple enough.": "听着够简单。";
"Someday we should probably name this ship.  I've been giving it a lot of thought and I think we need a name that confuses our enemies by seeming innocuous to the uninformed.  That's why I'd vote for Tea Cup.": "总有一天我们该给这艘船起个名字。我考虑了很多，觉得我们需要一个名字，让不知情的人听着人畜无害，从而迷惑敌人。所以我投「茶杯」一票。";
"No shit. I want in on that action.": "废话。这种热闹我要参与。";
"Great, you're just a voice in my head, that's way more reassurring. Look, Kinzie, I ain't armed. How 'bout getting me out?": "太好了，你只是我脑子里的一个声音，这让人安心多了。听着，金吉，我没带武器。把我弄出去怎么样？";
"Sure, CID.": "好的，C.I.D.。";
"But a crash would be a good thing, yes?": "但坠毁是件好事，对吧？";
"Find the rhythm, find the beat!": "找到节奏，找到节拍！";
"It'd make sense sense...": "那样就说得通了……";
"Is there GPS on this thing? How do I find Gat?": "这东西上有GPS吗？我怎么找到盖特？";
"Shaundi, you ok?": "莎蒂，你还好吗？";
"Code like code for the simulation? What's it do?": "像模拟代码那样的代码？它是干什么的？";
"She's......she's....": "她……她……";
"Any way to speed things up?": "有办法加快进度吗？";
"Stay down, Cyrus. I'm walking out of here with Kinzie and there's no way I'm letting you stop me.": "趴下，赛勒斯。我要带着金吉从这里走出去，我绝不会让你拦住我。";
"Do I remem--PFFT.": "我记不记得——噗。";
"And Bob's your uncle!": "然后大功告成！";
"Huh. Like I'd let you take all the credit.": "哼。好像我会让你独揽功劳似的。";
"And is getting me some decent clothes a \"basic hack\"?": "给我弄身像样的衣服，算不算「基础黑客」？";
"Sweet!": "爽！";
"Fantastic!  See you back here.": "太棒了！回头见。";
"I thought we were!": "我以为我们已经走了！";
"Okay, get inside the statue of Joe Magarac.": "好，钻进乔·马加拉奇的雕像里。";
"But I'm the President, dammit.": "但我是总统，妈的。";
"Whew. At least there's no ball gag.": "呼。至少没有口塞球。";
"What is this? Where's my powers?": "这是什么？我的能力呢？";
"DELETE": "删除";
"Are you forgetting about me, CID?": "你是不是把我给忘了，C.I.D.？";
"Yep.  You should be clear to get to the throne room now.  We'll keep following and meet you there.": "没错。你现在应该能畅通无阻地进入王座室了。我们会跟着，在那儿和你碰头。";
"We're good. I'm surprised it took this long.": "我们没事。我很意外居然拖了这么久。";
"Oh god. Come on...": "天哪。加油……";
"Still boring.": "还是无聊。";
"The objective's simple: kill every damn thing -- try not to die.": "目标很简单：干掉所有该死的东西——尽量别死。";
"Why aren't these Zin paying more attention to the robot stomping through their hallway?": "这些齐恩人怎么没多注意那个在他们走廊里横冲直撞的机器人？";
"Get your ass out now.": "现在就把你的屁股挪出来。";
"After you.": "你先请。";
"We don't have much of a choice...fuck it, what's the worse that can happen.": "我们没多少选择了……管他呢，最坏能怎么样。";
"My oldest frenemy.  Zinyak's in deep shit if we can bust King out.": "我交情最老的老冤家。要是我们能救出金，齐尼亚克就惨了。";
"Matt, was that my fault, or...?": "马特，那是我的错，还是……？";
"Don't piss off the girl callin' the shots, boss.": "别惹那个发号施令的姑娘，老大。";
"That mech is a bad motherfucker. Treat it well. I might want to use it later.": "那台机甲是个狠角色。好好待它。我以后可能要用。";
"Tell me something about Pierce that is not exaggerated.": "给我讲一件皮尔斯没被夸大其词的事。";
"Can't wait for the movie, Ben. How can I help?": "等不及看电影了，本。我能帮什么忙？";
"I see them.  Don't think they're happy to see me though.": "我看见他们了。不过他们好像不太乐意见到我。";
"Remember that meeting at S.I.S.? When they almost stripped you of your rank? ": "还记得S.I.S.那场会议吗？他们差点撸了你的军衔那次？";
"The goal is simple: kill every damn thing in front of you. Extra points for not dying.": "目标很简单：干掉面前所有该死的东西。不死还能加分。";
"Do you have a place I can test this?": "你有地方让我试试这个吗？";
"I...need you to throw me into the sky.": "我……需要你把我抛向天空。";
"Every time I used a computer like that someone died of dysentery.  Whoa, wait, hold up, is that Matt?": "以前每次我那样用电脑，都会有人死于痢疾。哇，等等，站住，那是马特吗？";
"Will do. CID, let's go!": "马上办。C.I.D.，出发！";
"Had to do it at least once now.": "现在至少得干一次。";
"Of course I do, Matt...": "我当然记得，马特……";
"Let's get back to the ship then...": "那我们回船上去吧……";
"Jesus Christ, Matt. I'm not lookin' to fill out my dance card.": "老天，马特。我不是来填满我的约会日程的。";
"Hello?": "喂？";
"Any chance you have a training room that'll help me use it?": "你有训练室能帮我练练手吗？";
"What about starting higher?": "从更高的地方开始怎么样？";
"Hang on, buddy.": "挺住，兄弟。";
"The sooner the better.": "越快越好。";
"Huargh!": "喝啊——！";
"Believe me, I'll do it, but can't you fly?": "相信我，我会做的，但你就不能飞吗？";
"No offense, Kinzie, but that sounds, how you say, \"bonkers.\"": "无意冒犯，金吉，但这听起来，用你们的话说，有点「发疯」。";
"If you have a crippling fear of Saints Flow, how were ever able to be its spokesman?": "你要是对圣徒流量有致命恐惧，当初是怎么当上它代言人的？";
"Way to balance inspirational speech and totally creepy cult leader, Asha.": "激励演讲和邪教头子的毛骨悚然感平衡得真好，阿莎。";
"As soon as I can see again, I will.": "等我眼睛能再看见，我就去。";
"So an evil version of me is your worst nightmare?": "所以邪恶版的我就是你最可怕的噩梦？";
"Zinyak fucked with Biz Markie...": "齐尼亚克对比兹·马基下了黑手……";
"Might as well shoot everything in the room and hope I hit the generator...": "不如把房间里所有东西都打一遍，祈祷能打中发电机……";
"Hey! What are you doing?": "嘿！你在干什么？";
"I can't help that Mr. David smells like vanilla. His aroma is intoxicating.": "我也没办法，戴维斯先生闻起来像香草。他的香气令人沉醉。";
"I like it.": "我喜欢。";
"These assholes make my skin scrawl.": "这些混蛋让我浑身起鸡皮疙瘩。";
"What'd they do to that poor animal...": "他们对那只可怜的动物做了什么……";
"We need to man the turrets, Matt!": "我们得去操作炮塔，马特！";
"Dammit!": "该死！";
"Stay down, Cyrus. I'm walking out of here with Kinzie and there's no way I'm letting you stop me.": "别着，赛勒斯。我要带着金吉从这里走出去，我绝不会让你拦住我。";
"Shut the fuck up, Matt": "闭嘴，马特。";
"I can tap into every store you hack to gather security data on the simulation.  Using that data I can find weak spots where a door can be opened.": "你黑的每一家商店，我都能接入，以收集关于模拟的安保数据。利用这些数据，我能找到可以开门的薄弱点。";
"I feel like a toilet at a bus stop.": "我感觉自己像个公交站里的马桶。";
"I'mgonnashoottheconduit!": "我要去打那个导管！";
"Your biggest problem is what Kinzie will do if her key gets broken.": "你最大的麻烦，是金吉的钥匙要是断了，她会怎么对付你。";
"Bap-bap-bap! Bap-bap-bap!": "啪啪啪！啪啪啪！";
"Guess I just pull these out...": "看来我得把这些拔出来……";
"So if these data biscuits--": "所以，如果这些数据饼干——";
"That takes care of the trucks.": "那些卡车搞定。";
"What?": "什么？";
"I was just starting to warm up to your way of doing things too.": "我刚开始喜欢上你的办事方式呢。";
"Figured.  Kinzie's got a plan though.": "我就知道。不过金吉有主意。";
"Ride's a little bumpy.": "这车有点颠。";
"DELETE": "删除";
"Shaundi...?  Where are you?": "莎蒂……？你在哪？";
"I can't wait to give this thing a whirl...": "我等不及要拿这玩意试一把了……";
"You're welcome.": "不客气。";
"Okay, looks like this Rim Jobs is linked to the security in this sector.  You know what to do.": "好，看来这家边缘改装店连着这个区域的安保系统。你知道该怎么做。";
"What the hell? Is that OTHER Stilwater me?": "搞什么鬼？那是另一个斯提尔沃特的我吗？";
"Nothing like killing Zin to put a smile on your face.": "没什么比杀齐恩人更能让你露出笑容了。";
"You forget... I have an army at my command.": "你忘了……我麾下有一支军队。";
"Hey, did you see that, Kinzie?": "嘿，你看到了吗，金吉？";
"Why would I waste *two* bullets on those lights when I can just use *one* on the guard?": "我为什么要把两颗子弹浪费在那两盏灯上，明明可以只用一颗招呼守卫？";
"Sweetie, you should know by now, no one ever tells me what I can or can't do.": "宝贝，你现在应该知道，从来没有人能告诉我该做什么，不该做什么。";
"Well. Fuck.": "唉。操。";
"And that means what?": "那意味着什么？";
"Good job!  Another target down.": "干得好！又一个目标倒下。";
"Fine, I'll find another door.": "行，我去找另一扇门。";
"Good, only a few guards.  Easy enough.": "好，就几个守卫。小意思。";
"How tough is damn can?": "那个罐头到底有多硬？";
"Inside to find King.": "进去找金。";
"Uh, Matt, I'm...following CID.": "呃，马特，我……在跟着C.I.D.。";
"I feel like I can do anything!": "我觉得我无所不能！";
"... And more stripper poles in the bedrooms to boot.": "……再加上卧室里来点钢管舞杆。";
"And she's dead for real this time. Right, Matt?": "而这一次她是真死了。对吧，马特？";
"Well I'm here to help.": "那我就是来帮忙的。";
"Bump? You call that a bump?": "颠簸？你管这叫颠簸？";
"Speakin' of hunger, have the kitchen fix me beignets and coffee.": "说到肚子饿，让厨房给我准备点贝涅饼和咖啡。";
"Do evil geniuses usually leave their air duct covers unscrewed?": "邪恶天才们一般都不拧紧通风口盖子的吗？";
"Goodness me, what a dream.": "天哪，真是场好梦。";
"I feel for his charms once...never again...": "我以前着过他的迷……绝不再犯……";
"All right, this spot looks good.": "好，这地方看起来不错。";
"Kinzie... am I...?": "金吉……我是……？";
"I don't want to fight you, NyteBlayde!": "我不想和你打，夜刃！";
"Asha, I respect you too much to bullshit y--": "阿莎，我太尊重你了，不会对你说废话——";
"Shaundi, stop this!  You didn't kill Johnny, remember?  Phillipe did.": "莎蒂，住手！你没有杀死约翰尼，记得吗？是菲利普干的。";
"We got what we came for, let's...": "我们拿到了想要的东西，我们……";
"Come out and face me, Saint!": "出来面对我，圣徒！";
"Kinzie, you gonna fix this or what?": "金吉，你到底修不修这个？";
"I don't think zombies are our biggest problem these days.": "我觉得僵尸现在都不是我们最大的问题了。";
"Looks like this is it!": "看来就是这儿了！";
"Oh man. Am I glad that's over.": "哦天。还好那总算结束了。";
"Ta, CID.  I'll give it a shot.  Rather short-circuit his shield, though.": "谢了，C.I.D.。我会试试。不过我更想直接短路他的护盾。";
"Oh, sorry,  I tuned out after you started boring the shit out of me.": "哦，抱歉，你把我无聊得要死之后我就走神了。";
"Looks like it all worked!  Stop by the ship and we'll see about that doorway.": "看来全都成功了！来船上，我们研究一下那道门。";
"GAT VERSUS WARREN WILLIAMS!": "盖特对阵沃伦·威廉姆斯！";
"What the...": "搞什么……";
"Radio signals bounce around space for...": "无线电信号会在太空中回荡……";
"Once CID's working, when will we be able to get the Cabinet back together?": "一旦C.I.D.能用了，我们什么时候能把内阁重新聚齐？";
"Right, because I love voices in me head... Kinzie, I'm unarmed here.  Kindly show me the exit?": "对，因为我喜欢脑子里有声音……金吉，我这儿可没带武器。劳驾给我指条出路？";
"But I'm... driving a car.": "但我……在开车啊。";
"Gonna...": "要……";
"Come to me, you little monster.": "过来，你这个小怪物。";
"You can make us stealthy again, right?": "你能让我们重新进入潜行状态，对吧？";
"Well done! We're free from the Zin ship.": "干得好！我们脱离齐恩飞船了。";
"Nowwww we're talking...": "这才像话嘛……";
"Now this looks like what we're after.": "这下看起来像我们要找的东西了。";
"About Veteran Child?": "老兵之子怎么了？";
"Step away from her, Veteran Child.": "离她远点，老兵之子。";
"Really, CID?  You're asking for something right now?": "真的吗，C.I.D.？你现在就来提要求？";
"Here, let me load up a training program for you to test your powers.": "给，我给你载入一个训练程序，让你试试你的能力。";
"Good job. Now take out the guard.": "干得好。现在干掉那个守卫。";
"Fine, but I better get something outta this.": "行，但我总得从这当中捞点什么。";
"Oh god. Why don't they have these things in the real world?": "天哪。为什么现实世界里没有这种东西？";
"Why didn't we go there first?": "我们为什么不先去那儿？";
"What is she up to?": "她到底想干什么？";
"How are we now? We okay?": "我们现在怎么样？都还好吗？";
"KINZIE.  ": "金吉。";
"Pierce, don't you hold on me.": "皮尔斯，你可别瞒着我。";
"Give her a break, mate, she's under a lot of pressure.": "别难为她了，哥们，她压力很大。";
"The only one who's ruining this country is ME!": "唯一在毁掉这个国家的人，是我！";
"Matt! Asha! What do we know?": "马特！阿莎！我们掌握了什么？";
"So now you had a good time?": "所以你现在玩得开心了？";
"I don't think zombies are exactly relevant to fighting Zinyak.": "我觉得僵尸跟对抗齐尼亚克真没什么关系。";
"Matt, buddy, if you don't find a way to give me some kind of weapon...": "马特，兄弟，你要是不想办法给我弄件武器……";
"Shaundi, stop this!  You didn't kill Johnny, remember?  Phillipe did.": "莎蒂，住手！你没有杀死约翰尼，记得吗？是菲利普干的。";
"On it.": "马上办。";
"Chopper's this way!": "直升机在这边！";
"I got a plan!": "我有计划了！";
"You see how peaceful he is?  Maybe that'll keep you from getting stage fright or something.": "你看到他有多平静了吗？也许那能让你不至于怯场什么的。";
"Way to go, Matt!": "干得漂亮，马特！";
"The Zin are everywhere. Stay alert!": "齐恩人到处都是。保持警惕！";
"Take care of yourself.": "照顾好自己。";
"People change, Kinzie.  Look closer.": "人是会变的，金吉。看仔细点。";
"Superpowers? Let's just do this how we used to.": "超能力？我们还是按老办法来吧。";
"There a reason you named it Paul?": "你给它起名保罗，有什么原因吗？";
"You two work on that, I'll finish with these guys.": "你们俩处理那个，我来搞定这些家伙。";
"I'll take out the C.I.D.s!": "那些C.I.D.我来解决！";
"This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will.": "这本来不关我的事，但既然你把我拖了进来，我觉得你们俩都能从对方身上学到点什么。爱怎么想随你。";
"DELETE": "删除";
"Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot": "听着，我得告诉你一件事……你每座城市都有前任，还愿意上相亲节目，却从不肯给我一次机会，这一点一直让我抓狂。";
"Gat, take care of these guys while I get the door open.": "盖特，我来开门，你对付这些家伙。";
"DELETE": "删除";
"Dammit!": "该死！";
"The war isn't over yet against the creatures of the night. You have to pick up the torch, Matt. Carry on for Franklyn Nyte.": "对抗黑夜生物的战斗还没结束。你得接过火炬，马特。替弗兰克林·奈特继续下去。";
"55 minutes?!  That is about 52 minutes too long!": "55分钟？！那也太长了，起码多出了52分钟！";
"Suggestions?": "有什么建议？";
"Zinyak blew up Earth and HE'S the one getting pissed?": "齐尼亚克炸了地球，他还有脸生气？";
"I'm telling you, dance is my passion!": "我告诉过你，跳舞是我的热忱所在！";
"*sigh*  Kinzie, stop talking.": "*叹气* 金吉，别说了。";
"All I need now is a British accent.": "我现在只差一口英国腔了。";
"You didn't count on me, did ya?": "你没算到我吧？";
"Sorry.  Whatever.": "抱歉。随便吧。";
"Kinzie. I have a mech. I'll be fine.": "金吉。我有机甲。我会没事的。";
"Oh, COME ON!": "哦，拜托！";
"I'm still driving though.": "但方向盘还是我握着。";
"This thing could be breaking down on it's own...": "这东西可能是自己出毛病了……";
"But what are you going to do?": "但你打算怎么做？";
"WOAH!": "哇哦！";
"Nice job. I'm sure you'll have plenty of chances to use it.": "干得好。我相信你会有很多机会用到它。";
"I can still taste slime in the back of my mouth.": "我嘴里还能尝到那股黏液味。";
