// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "也许待会儿吧，行吗？";
"Hey, little lady, glad you're okay.": "嘿，小姑娘，很高兴你没事。";
"I'm curious, is there any way to get this AI a body in the real world too?": "我很好奇，有没有办法也把这台AI弄到现实世界里弄个身体？";
"Holy shit... I'm just an actor, how many of you are there?": "妈呀……我只是个演员，你们到底有多少人？";
"Hey Kinzie, you wanna fuck?": "嘿金吉，想上床吗？";
"I don't have any guns.": "我一把枪都没有。";
"Huh, looks like she's spiced this place up a bit.": "唔，看来她把这里收拾得有模有样的。";
"They've blocked the way out.": "他们堵住了出去的路。";
"Got it.": "收到。";
"Dammit, get off of me!": "该死，从我身上滚开！";
"Scan fast.": "快扫描。";
"Zinyak'll have to try harder than that....": "齐尼亚克得多下点功夫才行……";
"What the fuck... Zinyak trashed my apartment!": "搞什么鬼……齐尼亚克把我的公寓给砸了！";
"Whoa whoa whoa, \"Fake Shaundi\"?": "等等等等，那什么假莎蒂？";
"Nope.": "不行。";
"Hold on. We're coming to get you.": "坚持住，我们这就来救你。";
"Hahahaha!": "哈哈哈哈！";
"We find this especially in the media put out by big business. All the murder simulators peddled to our children. To the music designed to get our young ones to simulate adult acts of a very private--but legally controlled--nature. There are even stores that want to put women in suits!": "我们发现这一点在大企业推出的媒体中尤其常见。那些兜售给孩子们的杀人模拟器。那些专门引诱我们的年轻人去模仿成年人私密、但受法律管制的行为而设计的音乐。甚至还有商店想让女性穿西装！";
"Sounds like there's more going on around the other side.  I'm gonna go check it out.": "听起来另一边动静不小。我去看看。";
"No, mademoiselle.": "不，小姐。";
"No more splitting up, we stick together 'till we kill those assholes.": "别再分头行动了，我们绑在一起，直到杀掉那些混蛋。";
"You'll probably need to defend yourself for a bit. Here's a gun.": "你可能得先自卫一阵子。给你把枪。";
"Ya know Kinzie, rescues go better when you have A FUCKING GUN.": "金吉，你知道救援要顺利得带上把枪。";
"CID, why is everything a target?": "C.I.D.，为什么什么东西都是靶子？";
"God, I feel sick...": "天哪，我难受死了……";
"But then I realized Asha would never be able to do this without some help.": "但后来我意识到，没有一些帮助，阿莎是绝对做不到这件事的。";
"How long have you really been working on this?": "你到底在这上面做了多久了？";
"Can't wait for the movie, Ben. How can I help?": "等不及看那部电影了，本。我能帮什么忙？";
"Now let's take our loot and get the hell--": "现在带上战利品赶紧撤——";
"Yes. I apologize for the outburst.": "是的。我为刚才的失态道歉。";
"Of course you are...": "当然是你……";
"The place you're in isn't real. Whatever it's having you do, you need to stop.": "你待的地方不是真实的。不管它让你做什么，你都必须停下来。";
"Oh yes I CAN stop the signal!": "哦是的，我能切断信号！";
"Well well, Benjamin.  Time for you to die with some dignity.": "好好，本杰明。是时候让你体面地死去了。";
"We need to figure out what the hell is going on...": "我们得弄清楚到底发生了什么……";
"If CID's rifts are good at disrupting the Zin systems, then I'm fine with you helping CID keep one open.": "要是C.I.D.的裂口真能干扰齐恩人的系统，那我很乐意让你帮着C.I.D.维持一个裂口。";
"Ow! My toe!": "嗷！我的脚趾！";
"Ooh, look at you second amendment solutions.": "哦，看你这枪杆子下的解决方案。";
"Keep shooting at the rear.": "继续朝后方开火。";
"That's a lot of Veteran Children.": "那老兵之子的数量可真不少。";
"You both sit tight. I'll be back for you.": "你们俩都别动。我会回来接你们。";
"Blimey, I remember this lot -- the one I ran with and the ones I buried...": "天呐，我记得这一帮——有跟我一起混的，也有我亲手埋掉的……";
"The intricacies of this code are remarkable.  I definitely need to see more for a complete picture.": "这代码的细节真是精妙。我得看到更多才能看清全貌。";
"Before that was Steelport. Luchadores, evil hackers, and European assholes in black suits.": "在那之前是钢城。摔跤手、邪恶黑客，还有穿黑西装的欧洲混蛋。";
"Get on! Quickly!": "快上来！快点！";
"Okay people, once we get there we get this thing unloaded and into the System as fast as we can, got it?": "听好了各位，到了那儿我们要以最快速度把这玩意儿卸下来、送进系统，明白了吗？";
"Dammit, get your ass back here!": "该死，你给我回来！";
"Oh man. Am I glad that's over.": "哦天哪。总算结束了，我太高兴了。";
"With what?": "用什么？";
"Hey, I've gotten us this far, haven't I?": "嘿，我都把你带到这儿了，不是吗？";
"Stop that! Stop that right now!": "住手！马上住手！";
"That sounds awesome!": "听起来太棒了！";
"Okay. Something big seems to be going on. I'd hurry.": "好吧。看来有什么大事要发生了。我得抓紧了。";
"So another in downtown?": "所以又在市中心来一个？";
"Oh god. Come on...": "哦天哪。来吧……";
"Sounds easy and fun.  Why not.": "听起来又容易又好玩。何乐而不为呢。";
"So where to?": "那去哪儿？";
"You blew it up!": "你把它炸了！";
"The last one's by the church.": "最后一个在教堂那边。";
"Come out of there you coward.": "从那儿出来，你这个懦夫。";
"Dammit!": "该死！";
"As the only living world leader from planet Earth, I hereby assign you all rights, titles, licenses and possible merchandise claims to the NyteBlayde property.": "作为地球上唯一在世的世界领袖，我在此授予你关于夜刃作品的全部权利、头衔、授权以及可能的周边权益。";
"Intel reports high threat probability at our next stop so we should be prepared for anything.": "情报显示我们下一站威胁概率很高，所以得做好应对一切准备。";
"Appreciate it, CID, but I need to know how to get through his shield.": "多谢，C.I.D.，但我得知道怎么破他的护盾。";
"Pierce?  What the hell, he wouldn't say that.": "皮尔斯？搞什么，他不会说那种话的。";
"Perspective? On what?": "哪方面的看法？";
"I don't know why--and I don't want to know--but if CID doesn't stop rubbing up against me and cooing, we're gonna have a problem.": "我不知道为什么——也不想知道——但如果C.I.D.再不停止往我身上蹭还咕咕叫，我们就有麻烦了。";
"What're we waiting for?  Let's hit the next portal.": "还等什么？去下一个传送门。";
"Tell me, Keith!": "告诉我，基思！";
"Because open auditions are the dream of every dancer.  Preconceived notions of age, race, and training are gone, and all that matters is raw talent and the love of the art.": "因为公开试镜是每个舞者的梦想。关于年龄、种族和训练的刻板印象都不复存在，唯一重要的是天赋和对这门艺术的热爱。";
"Where'd she go?": "她去哪了？";
"It's gotta be.  Maybe on the other side of the building.": "肯定在，也许在楼的另一头。";
"Cool with me.  My source says this next guy should be loaded with the right product.": "我没意见。我的线人说了，下一个家伙身上应该带着好货。";
"I'm always ready--": "我随时都准备好了——";
"Sweet!": "太棒了！";
"THANK YOU!  It's nice to have someone jibber jabbing about it being power armor all the time...": "谢啦！总算有人不是整天念叨那是什么动力装甲了……";
"I find it best to not worry too hard about that.": "我觉得最好别为这事太操心。";
"Here ya go.": "给你。";
"Just fuck him and get over yourself, Kinzie.": "直接上了他然后忘了自己吧，金吉。";
"Well, we don't have to worry about that now, right?": "嗯，现在咱不必担心那事了，对吧？";
"Why thank you, Miss Press Secretary, that sounds like a perfect idea.": "谢谢你这么说，新闻秘书女士。听起来是个绝妙的主意。";
"Pierce. What the fuck is going here.": "皮尔斯。这儿到底什么情况。";
"Matt and I are at the South Portico. You have to see this!": "马特和我在南门廊。你真该看看这个！";
"I appreciate your attention to detail, but let's get outta here!": "我欣赏你对细节的讲究，但咱们快撤吧！";
"Starting linking sequence now.": "现在开始链接序列。";
"The only edge I need is already within me.": "我需要的优势早已在我体内。";
"How much longer, CID?": "还要多久，C.I.D.？";
"Uh-huh.": "嗯哼。";
"Can't handle me yourself, huh?": "自己对付不了我，是吧？";
"This is the moment where you can prove to be the savior of humanity, or its absolute destroyer.": "此刻，你要么成为人类的救世主，要么成为彻底的毁灭者。";
"Want to add casual sex to that list?": "想在清单上加上一段随性爱爱吗？";
"All right. Let's clear these guards out.": "行，把这些守卫清掉。";
"Then what'd you have in mind?": "那你有什么打算？";
"Seems Zinyak's getting a little twist in his shorts.": "看来齐尼亚克有点坐不住了。";
"DELETE": "删除";
"Take a guess, Kinzie.": "猜猜看，金吉。";
"Keep an eye out for more Zin. They're on the offensive now.": "盯紧更多的齐恩人。他们现在转为攻势了。";
"I knew the Saints wouldn't believe me when I came to them for help.  Oleg hated me for turning him into a science fair project, Zimos was still grumpy about the pony cart thing, Pierce never bothered to learn my name, and Shaundi was a vindictive bitch.  It didn't matter though--the boss understood a thing or two about revenge.": "我就知道，我去求圣徒帮忙时他们不会信我。奥列格恨我把他变成了科学展上的项目，泽莫斯还在为那辆小马车的事怄气，皮尔斯从来懒得记我的名字，而莎蒂是个记仇的婊子。不过这些都无所谓——老大还是懂复仇之道的。";
"Hold on, you don't know?": "等等，你不知道吗？";
"Muuuch better.": "好多了。";
"Okay, I am here--and they have a gimp...": "好了，我到了——他们这儿还弄了个男妓……";
"Come on. Come on.": "加油。加油。";
"The boss was a lot more hardcore back in the day.  Managed to pull the Saints back from the grave. Didn't take any shit from anyone. Especially the Brotherhood, the Ronin or the Sons of Samedi.  Hell, anyone that got in the way lost everything they had, not just their life.  Still, it's too bad what happened to Carlos though.  He was a good kid.": "老大当年可硬核多了。硬是把圣徒从坟里拉了回来。谁来都不给面子。尤其是兄弟会、浪人组和撒麦迪之子。嘿，挡道的家伙全都倾家荡产，可不是丢条命这么简单。不过，卡洛斯的事真是可惜了。他是个好孩子。";
"Just say what you want, CID...": "想说什么就说吧，C.I.D.……";
"Things are finally looking up!": "日子终于有盼头了！";
"DELETE": "删除";
"*sigh* So where is he?": "*叹气* 那他在哪儿？";
"Uh, okay. Now the Cyprian Order hunt NyteBlayde too?": "呃，好吧。现在基普里亚教团也在追杀夜刃了？";
"That's what I figured.": "跟我猜的一样。";
"Yeah, they've really improved over the years.": "是啊，这些年他们确实有进步。";
"Asha, that light has a family...": "阿莎，那盏灯也有家人……";
"Oh Jesus.": "哦，我的天哪。";
"Keith, listen to me!": "基思，听我说！";
"So tell me what is this about.": "所以告诉我，这到底是怎么回事。";
"You changed so much.": "你变了好多。";
"Lord Almighty, look at the size of that thing--!": "我的天，看看那东西的个头——！";
"Well, I suppose it's Pierce's turn.": "好吧，我想该轮到皮尔斯了。";
"I'm the goddamned President.": "我可是该死的美国总统。";
"FINALLY!": "终于！";
"Been thinkin' about a name for this ship we got.  Since you were using my sister Angela's likeness for your statue back on earth, call it the Saint of Saints.  Would be a good tribute to her.": "我一直在想给咱们这艘船起个名字。既然你在地球上是用我姐姐安吉拉的样貌立雕像的，那就叫它圣中之圣吧。算是对她的一种致敬。";
"Great.": "好极了。";
"Will taking out the vehicle mess up the thing on board?": "干掉那辆车会不会弄坏船上的东西？";
"Shaundi, what about you?": "莎蒂，你呢？";
"I want to feel you in my hands...": "我想把你握在手里……";
"Maaaatt...": "马——特……";
"You're both failures. An MI6 agent trying to amend for making one mistake after another, and an aimless sociopath who poisons everything they touch.": "你们两个都是失败者。一个想弥补接连不断的过错却徒劳的军情六处特工，还有一个漫无目的、毁掉一切触碰之物的变态杀人狂。";
"Anthony's dead.  The Vice Kings are through.": "安东尼奥死了。副之王帮完了。";
"Heh. Neither am I.": "嘿。我也不是。";
"Let's roll up on cancer and leave it bleeding in the street.": "咱们把毒瘤放倒，让它倒在街头流血。";
"You'll see me differently...": "你会对我另眼相看的……";
"What do you have in mind?": "你有什么主意？";
"Kinzie, I just had a horrible thought.  What if this portal starts pouring out the people from that godforsaken town I was trapped in?": "金吉，我刚想到一个可怕的可能。要是这个传送门开始涌出那个困住我的鬼地方的家伙怎么办？";
"Way to go Kinzie!": "干得好，金吉！";
"Have to admit, didn't think much of the boss when they first joined the crew. Thought there was no way they were gonna make it through being canonized, let alone be any help takin' over Stilwater. Hell, they didn't even talk back then. But after that shit with the Vice Kings, I knew we found ourselves one hell of a Saint. There's nothing the boss can't do.": "得承认，老大刚入伙的时候我并不看好他。以为他撑不过入册礼，更别说帮忙拿下斯蒂尔沃特了。见鬼，他那时候连话都不怎么讲。可经过副之王那档子事，我就知道我们摊上了一个了不得的圣徒。老大没什么办不到的。";
"Good point. So what's up?": "有道理。那出什么事了？";
"Done, Kinzie.": "搞定了，金吉。";
"You. Are so. Fucking. Dead.": "你。这次。死。定。了。";
"Let's not forget saving hackers from a fate worse than bobby socks.": "别忘了还要把黑客们从比白袜更惨的命运里救出来。";
"DO NOT fuck with my statue!": "别碰我的雕像！";
"Not a good sign if she's hangin' around.": "她要是来凑热闹，可不是好兆头。";
"Crikey, he's losing it!": "天哪，他疯了！";
"It seems in retaliation for your pissing all over his nice clean prison, Zinyak is flooding the simulation with hostile gangs from another simulation.": "看来是报复你把他干净整洁的监狱闹了个天翻地覆，齐尼亚克正往模拟世界灌进另一片模拟里的敌对帮派。";
"I have been watching you.": "我一直在看着你。";
"I doubt it'll be that simple.": "我看没那么简单。";
"Okay, this is crazy-making...": "好吧，这真要让人发疯了……";
"Aw, fuck me...": "啊，操蛋……";
"With what?": "用什么？";
"We're gonna need a bigger boat...": "我们需要一条更大的船……";
"It's a shame being fun isn't one of them.": "可惜有趣不在其中。";
"I figure once we're free, we need to get this ship to a new hiding spot. Somewhere safe, somewhere...": "我想等我们脱困之后，得把这条船挪到一个新的藏身处。一个安全的地方，一个……";
"You're wound up way too tight.": "你绷得太紧了。";
"Why not?": "为什么不呢？";
"Well, allow me to remove it then, yeah?": "那就让我帮你松一松，嗯？";
"Is Kinzie okay?": "金吉没事吧？";
"Matt, if it makes any difference...": "马特，如果我说什么还来得及……";
"Look, you're my boss. I just can't let that dynamic get ruined.": "听着，你是我的老大。我就是不能让这种关系被毁掉。";
"Alright, you two with me.  Your turn to shine.": "好了，你们两个跟我来。轮到你们大显身手了。";
"Then let's not give her that chance.": "那就不给她这个机会。";
"Fine. I'll go get us a vehicle.": "行吧，我去弄辆车。";
"Where do these guys think they're running to?": "这些家伙以为他们能跑到哪儿去？";
"...no.": "……不。";
"Hold up. An evil twin?": "等等，邪恶分身？";
"Murderbots? Oh. Wow.": "杀人机器人？哦，哇。";
"How 'bout a little ladle action.": "来点勺子舞怎么样。";
"No. The brainwashing is too ingrained. I'll have to beat it out of him.": "不行。洗脑太深了，我得把他打醒。";
"Kinzie, sweetie, you're too tense. This is gonna be fine.": "金吉，亲爱的，你太紧张了。不会有事的。";
"Come on!": "来吧！";
"So where is this \"Army of Minions\" at?": "那这个「喽啰大军」在哪儿？";
"How many simulations is Asha having you build?": "阿莎让你建多少个模拟世界？";
"I kill enough of you, I'll just build a ladder back to Earth!": "我只要杀够你们，就能用尸体搭梯子爬回地球！";
"Ben asked me to do the audio version of his book. He does know the Earth is blown up, right?": "本让我录他的有声书。他知道地球已经炸没了吧？";
"The Saints own this simulation. Let's remind the Zin about that fact.": "圣徒才是这个模拟世界的主人。让我们提醒齐恩人这一点。";
"Johnny, you having fun yet?": "约翰尼，你玩得开心吗？";
"Yep.": "对。";
"Oh god...": "哦天哪……";
"Just... just go.  You know, back through THE DOORS I CREATED.  Argh!": "就……就走。你知道的，穿过我做的那几道门。呃啊！";
"What?!": "什么？！";
"*sigh*  Your funeral...": "*叹气* 你自找的……";
"The bonus targets are sure taking some hits.": "加分靶真是挨了不少打。";
"I know you've done this virus injection before but it's really good character development!": "我知道你以前做过病毒注入，但这真的能锤炼人物成长！";
"Don't go in there, Johnny.": "别进去，约翰尼。";
"God, I feel sick...": "天哪，我难受死了……";
"I jumped on the flashy lights, now can you help me kill Zinyak already?": "我踩过那些闪光的灯了，现在可以帮我干掉齐尼亚克了吗？";
"She's breathing.": "她还有呼吸。";
"Women are the support system. It is their duty to make sure the needs of our home are met. It falls on them to raise children who are obedient, respect their elders, and are accepting of their future roles in the world.": "女人是支撑体系。确保家庭需求得到满足是她们的职责。养育顺从的孩子、尊重长辈、接受她们未来在世界中的角色，都落在她们肩上。";
"Freckle Bitches Get!": "雀斑婊子们接招！";
"You're not going to teach me to play chess, are you?": "你不是要教我下棋吧？";
"Never doubted you for a second, Shaundi!": "我从未怀疑过你，莎蒂！";
"Well shit...": "呃，搞什么...";
"Don't suppose you got a way to fit this robot through the door, do you?": "你该不会有什么办法把这个机器人弄进门里吧？";
"Matt, get back!": "马特，退后！";
"Attacked en route to the main villain. Nicely played, Matt. Good escalation of conflict.": "在去大反派那里的路上遭袭。演得漂亮，马特。冲突升级得很好。";
"Kinzie, be nice. But seriously what the hell?": "金吉，态度好点。不过说真的，这到底怎么回事？";
"So who set up this race?": "那这场比赛是谁安排的？";
"Yeah...a crazy, murder filled pet store....": "是啊……一个疯狂又充斥着杀戮的宠物店……";
"What the hell's he gonna do with a broadcast tower?": "他拿广播塔要干什么？";
"That must've been nice...": "那一定很爽吧……";
"I knew Genki couldn't be too far behind.": "我就知道源鬼不会离得太远。";
"Sure, CID.": "当然，C.I.D.。";
"You're really reaching here...": "你真是在强词夺理……";
"Is it a good plan?": "这是个好计划吗？";
"Both of you in!": "你们都进来！";
"I'm doing most of the work.": "大部分活儿都是我干的。";
"On it.": "马上办。";
"Hold on, look at that gold floating robot thing.  I think it's controlling the security program here.": "等等，看那个金色的漂浮机器人。我觉得它控制着这里的安保程序。";
"It's charged. What next?": "充好电了。接下来呢？";
"I'm not happy, Shaundi...": "我很不爽，莎蒂……";
"DELETE": "删除";
"Thanks for clearing that up Matt.": "谢谢你解释清楚，马特。";
"Well, fuck.  Is anything gonna go right here?": "操。这里还能不能有一件事顺顺当当？";
"HUB?": "中枢？";
"Just keep going, we won't let him get away.": "继续前进，我们不会让他跑掉的。";
"There's gotta be something around here, Kinzie!": "这附近一定有什么东西，金吉！";
"She's corrupting people with some sort of virus that's turning them all into her sex trade workers.  Matt's figured out how to stop it, and once that's done we need to end Tanya for good.": "她正用某种病毒腐化人们，把他们都变成她的性交易劳工。马特已经想出办法阻止，等办完这事，我们就必须彻底解决塔尼娅。";
"Chill, girl, I didn't mean nothing by it.": "冷静点，姑娘，我没什么恶意。";
"Believe me, that's a bad idea.": "相信我，那是个馊主意。";
"How do you mean?": "你这话什么意思？";
"You'll need a vantage point. Get to that rooftop across the way over there.": "你需要一个制高点。到对面那个屋顶去。";
"Who the *beep* are you and how the *beep* did I get here?": "你他妈是谁，我他妈怎么在这儿？";
"That can't be good.": "那可不是好兆头。";
"That's not my usual style.": "那不是我的风格。";
"Jesus, would you look at the size of that thing?": "老天，你看看那玩意儿有多大？";
"I'm asking now.": "我现在就在问你。";
"Shaundi, let me be frank. I am more concerned by what we might confront when Kinzie links up your portal.": "莎蒂，实话实说吧。我更担心的是金吉把你的传送门连上之后，我们会撞上什么。";
"What do you mean, break free?": "什么意思，挣脱？";
"Prize room! Nice.": "奖品室！不错。";
"We're all that's left of humanity now.  That a big fuckin' burden for the Saints.  I know we're going for retribution, but we can't forget all those billions of people we're doin' this for.": "现在我们是人类仅存的希望了。对圣徒来说这是份天大的重担。我知道我们是要复仇，但也不能忘了我们是为了那几十亿人而战。";
"Kinzie doesn't seem to have a problem with it.": "金吉好像不介意。";
"So what did I get?  Teleportation?  Laser vision?  Bone claws?": "所以我得到了什么？瞬移？激光眼？骨爪？";
"Is everything okay?": "一切都还好吗？";
"Shit, man, everything. Look, I'm trying to have a moment here. Don't ruin it. I'm just saying that when you're forced to relive the worst fucking thing in your life a million times, you can't help but feel...different.": "操，兄弟，全乱套了。听着，我正想享受这一刻，别毁了它。我只是想说，当你被迫把一生中最操蛋的事重复体验一百万次，你不由自主会觉得自己……变了。";
"So we doin' this?": "那咱们就上？";
"The hell am I looking at?": "我到底在看什么？";
"I normally don't swing that way, but fuck it, I'm down.": "我通常不好这口，但管他呢，我奉陪。";
"Oh, for a second I thought this had to do with him attacking America.": "哦，我差点以为这跟他袭击美国有关。";
"Mate.": "伙计。";
"Trust me. You'll like it.": "相信我。你会喜欢的。";
"Putting me in the Rollerz was a smart move on Julius's part.  We needed the intel, and I was the only tuner in the Saints.  I knew when we staged that rescue at Donnie's shop I was in.  Price owed me one for saving his best friend and didn't doubt me for a second.  I probably should've been more careful about how often I passed the boss information, though...": "朱利乌斯把我安插进罗勒帮是步妙棋。我们需要情报，而我是圣徒里唯一的改装高手。当时在唐尼的店里策划那次营救，我就知道自己入了伙。普赖斯欠我一个人情，因为我救了他的好兄弟，他从来都没有怀疑过我。不过我大概该多留个心眼，别那么频繁地往老大那儿递情报……";
"Oh-ho, Zinyak. I hope you're ready for me.": "哦吼，齐尼亚克。希望你准备好迎接我了。";
"How was I supposed to know that MI6 would end up offering me asylum just so they could pair me up with one of their operatives?  I mean, Asha and I got along great, but now I had to work with the government instead of against it.  Not usually my cup of tea.  Still, I guess it's better than being hunted down by the Saints or Killbane.  I just have to keep myself from pissing off a trained killer is all.": "我怎么知道军情六处到头来会给我提供庇护，就为了把我跟他们特工凑成一对？我是说，我和阿莎相处得不错，可现在我得跟政府合作而不是对抗了。这通常不合我的口味。不过我想，总比被圣徒或基尔班追杀要好。我只要管住自己别惹毛一个训练有素的杀手就行了。";
"Sure, why not.": "当然，何乐而不为。";
"A bit?": "有一点？";
"Protect me while I disable the protocols.": "我来关协议，你保护我。";
"Yeeeeeehaaaaaw!": "耶——！";
"Maybe CID...maybe.": "也许C.I.D.……也许吧。";
"Kinzie, where's Pierce?": "金吉，皮尔斯在哪儿？";
"The studio demanded you, Josh. I had nothing to do with it.": "是工作室点名要你，乔什。跟我没关系。";
"You're a dead man, Jyunichi!": "你死定了，俊一！";
"What the fuck is this place...": "这鬼地方是什么……";
"Playa, this is my best work yet. I want to thank you face to face.": "玩家，这是我最好的作品。我想当面感谢你。";
"But there is one more cell not far from here.": "但离这儿不远还有一个牢房。";
"What the fuck is that?": "那是什么鬼东西？";
"Kinzie's got her job and you've got yours right here.  Thought you two were supposed to be a well oiled machine?": "金吉有她的任务，你有你的事要做。你们俩不是应该配合得像上了油的机器一样吗？";
"DJ Matt Miller! Yeah, man.": "DJ马特·米勒！没错，兄弟。";
"You can trace all these gangs back to him, right? You can find his simulation?": "你能把这些帮派全都追溯到他的头上，对吧？你能找到他的模拟世界？";
"I knew it. That's Gat.": "我就知道。那是盖特。";
"Pierce, you mind explaining to me what's been going on here?": "皮尔斯，你能解释一下这里到底发生了什么吗？";
"Okay, good point.": "好吧，有道理。";
"You're a know it all robot: how do we stop the relays?": "你是个万事通机器人：我们要怎么关掉这些继电器？";
"Say again?": "再说一遍？";
"See you afterwards.": "回头见。";
"Miss Press Secretary, that sounds delightful.": "新闻秘书女士，听起来妙极了。";
"Goodness me, what a dream.": "天哪，真是梦想成真。";
"DELETE": "删除";
"Hope we can snap him out of it...he's our only chance to find my friend...": "希望能把他叫醒……他是找到我朋友的唯一希望……";
"I know.": "我知道。";
"Honestly, I can't find a way to open it up.": "说实话，我找不到把它打开的办法。";
"Let's do this.  Geronimo!": "动手吧。冲啊！";
"We're almost there! Dammit, look at all these fuckin' Ronin! Let's take them out.": "我们快到了！该死，看看这些该死的浪人！把他们干掉。";
"Kinzie, I did it!": "金吉，我做到了！";
"No shit. I want in on that action.": "我靠，这好事我得分一杯羹。";
"No problem...": "没问题……";
"Any other roadblocks else up ahead, Kinzie?": "前面还有什么障碍吗，金吉？";
"I'm willing to try, CID, but I'd rather drop that shield entirely.": "我愿意试试，C.I.D.，但我更想把护盾整个拆掉。";
"That's just the way it works around here.": "在这儿就是这么个规矩。";
"Matt, why can't I swear?": "马特，为什么我不能骂人？";
"Where the hell...": "到底在哪儿……";
"A gun? Oh. A gun. Yay.": "一把枪？哦。一把枪。耶。";
"Looks like the ability to freeze people and objects with an ice blast.": "看起来是能用冰息冻结人和物体的能力。";
"Not gonna lie, Kinzie. You're kinda freaking me out.": "说真的，金吉，你有点吓到我了。";
"Alright, I like the sound of that.  What is it you need?": "行，我喜欢这个主意。你需要什么？";
"Fuckin'-a right I did.": "他妈的当然做到了。";
"All set.": "都就绪了。";
"Don't blame the hostage. JUST FIX IT.": "别怪人质，给我修好它。";
"That CID is a curious one, isn't he?": "那个C.I.D.真是个奇怪的家伙，对吧？";
"DELETE": "删除";
"No shit.": "废话。";
"Well. Looks like that's it.": "好吧。看来就这样了。";
"I think I made it.": "我觉得我成功了。";
"We could of just come right for him or--": "我们本可以直接冲过去找他，或者——";
"You don't know Kinzie very well, do you?": "你对金吉还不太了解，是吧？";
"Hey. I'm the President of the United States.": "嘿。我是美国总统。";
"These data clusters seem to be loose bits of code left behind by the simulation for some reason.  I've only been able to locate a small amount right now, which I'm having trouble locking on to.  Once in the general area of a cluster I should be able to direct you to its location.": "这些数据团好像是模拟世界出于某种原因遗留的零散代码。目前我只能定位到一小部分，而且很难锁定它们。一旦你进入某个数据团的大致区域，我应该能指引你到它的位置。";
"Feel better?": "感觉好些了吗？";
"Listen, Kinzie?  Gat and I are on site, but we're not sure where to begin our search.": "听着，金吉？盖特和我已经到位了，但不确定该从哪里开始搜寻。";
"Now that's impressive looking...": "这看起来可真壮观……";
"Whoa, that thing just came out of nowhere.": "哇，那东西不知从哪冒出来的。";
"Think Zinyak's ship's seen better days...": "看来齐尼亚克的飞船已经是强弩之末了……";
"This sounds AWESOME!": "这听起来太棒了！";
"Why is it Zin engineers are so stupid?": "为什么齐恩的工程师这么蠢？";
"I'm assuming that's a bad thing?": "我猜这是件坏事？";
"What's wrong with Keith?": "基思出什么事了？";
"What is Pierce's fascination with sing-alongs? He always wants to duet. I don't like it.": "皮尔斯为什么对合唱这么着迷？他总是要二重唱。我不喜欢这样。";
"Right, what's this Cyprian Order, then?  I'm not the world's biggest NyteBlayde fan.": "那这个基普利亚教团又是什么？我不是夜刃的忠实粉丝。";
"So we got people left on Earth. Good to know.": "所以地球上还有人活着。那就好。";
"Kinzie, we need some place to hide out, come up with a plan.": "金吉，我们得找个地方躲起来，想个办法。";
"As probably the only surviving world leader from planet Earth, I hereby assign you all rights, titles, licenses and merchandise rights to the NyteBlayde property.": "作为地球上仅存的世界领袖，我在此把夜刃作品的各项权利、头衔、授权及周边版权一并授予你。";
"All right, let's see what ol' what's-his-name can do.": "好吧，让我看看那叫什么名字的家伙有多大能耐。";
"This would be so much easier if I could throw myself.": "要是我能把自己扔过去，这事就简单多了。";
"Hmm. Johnny's a lot shorter than I imagined.": "嗯。约翰尼比我想象中矮了不少。";
"This should be interesting...": "这应该会很有意思……";
"Who you callin' \"sidekick\", lady?": "你说谁是跟班，女士？";
"Kinzie, I just may cry a little.": "金吉，我都快感动哭了。";
"Who you callin' \"sidekick\", lady?": "你说谁是跟班，女士？";
"It's explosives and chemicals, lady. What else you need to know?": "就是炸药和化学品，女士。你还想知道什么？";
"Good job, Kinzie.": "干得好，金吉。";
"I didn't know much about Asha Odekar before she helped us save the entire damn country, but in the years since, I've come to know her as one of the best soldiers I've ever met. If I'm going to take down Zinyak, I want her in my crew.": "在阿莎·奥德卡帮助我们拯救整个国家之前，我对她了解不多。但这些年下来，我知道她是我见过的最优秀的士兵之一。如果我要扳倒齐尼亚克，我要她加入我的团队。";
"DELETE": "删除";
"I always knew the Saints were ambitious, but I never thought I'd see them end up in the White House.  And when the playa called me saying how they couldn't do it without me, how could I say no.  Thought maybe I was in line for Vice President, but I guess Keith beat me to it.  Still, being the President's Chief of Staff certainly had its perks.  Not bad for a kid from Sunnyvale Gardens.": "我一直知道圣徒野心勃勃，但我从没想过他们会住进白宫。老大打电话给我说没我不行的时候，我怎么拒绝呢。我还以为自己能当上副总统呢，不过看来基思抢先了一步。不过，给总统当幕僚长自然也有不少好处。对一个阳光谷花园长大的孩子来说，已经不错了。";
"Keep fighting!  I'm here!": "继续打！我在这儿！";
"Oh god...what...woo...": "哦天哪……什么……呜……";
"Indeed it was, Bobby. Drama, comedy, pathos, and gallons of blood. Everything that makes this sport the sweet science.": "确实如此，鲍比。戏剧、喜剧、悲情，还有成桶的血。这一切造就了这项甜蜜的运动。";
"Should I look for lights to shoot or is it okay to just kill these guys?": "我是该找灯打，还是直接把这些家伙干掉就行？";
"Overheating! Get to him and cool him down!": "过热了！过去给他降温！";
"Gat! Let me go in first!": "盖特！让我先进去！";
"Yeah, I'm with Pierce on this one.": "是啊，这次我站皮尔斯。";
"All right, Shaundi, we're hitting one of these deals you mentioned first.": "好了，莎蒂，我们先去办你说的那些交易之一。";
"DELETE": "删除";
