# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "极度不合逻辑"
"HASH_7975767B": "没有什么比一阵银质子弹更能表达你的关心了。"
"HASH_B830587B": "世上没有干净的逃脱。"
"HASH_D1A3807B": "磨砂蓝"
"HASH_7F36C67B": "仇恨熔炉"
"HASH_4BFA127B": "黄橙 1"
"HASH_F55DCA7C": "后备箱"
"HASH_0A750E7C": "啦啦队长"
"HASH_C256967C": "弧形低纹"
"HASH_475C8C7C": "面部"
"HASH_ABD2107D": "富家子弟的土豆枪。"
"HASH_AE501A7D": "MAGNA 10毫米"
"HASH_AF880E7D": "颧骨大小"
"HASH_5123A87D": "三叶草奶昔"
"cf_dlc_aliens_hat": "精神控制头盔"
"HASH_0627AE7D": "抱负"
"HASH_C580247D": "浓密男眉"
"HASH_D4CCDA7E": "璞玉"
"HASH_0353D27E": "蒸汽朋克时尚"
"HASH_2313CA7E": "亚马逊护臂"
"HASH_915A5E7E": "哥特之夜"
"HASH_3A0D327E": "橙色 6"
"HASH_0AFC427F": "无声，但致命。"
"HASH_FED0607F": "上眼睑高度"
"HASH_55F60C7F": "布恩引爆。"
"HASH_E1A4EC7F": "星际头盔"
"HASH_42A6D27F": "圣徒奢华手表"
"HASH_6FEB5E7F": "紧身短裤"
"cm_ubdy_bballjersey": "圣徒球衣"
"cf_hat_knitbrim": "宽檐针织帽"
"HASH_6E7C5A7F": "盛装打扮"
"HASH_09CD5A80": "北斗七星"
"HASH_FF6AE080": "耳朵高低"
"HASH_80C8C680": "不锈钢"
"HASH_0F04B880": "迪斯科狂热"
"HASH_087E5480": "红橙 1"
"HASH_DFE63880": "蓝色 7"
"HASH_B624C681": "贴花 7"
"HASH_3BCC0881": "黄色金属"
"HASH_85BB8081": "蓝色金属"
"HASH_B6AF7C81": "都市乐福鞋"
"HASH_CD3C2882": "\"那洞里头有金子！\""
"HASH_2A8BEE82": "脸颊高低"
"HASH_A6587083": "史上最强悍的经典。"
"HASH_D8FA6483": "油箱"
"HASH_AC7A5C83": "黑色"
"HASH_6119C484": "改装"
"HASH_72B59684": "车身颜色"
"HASH_49EF3284": "都市猎装直领款"
"HASH_37DFE884": "艺术之花"
"HASH_7CB2C484": "大伤疤 2"
"HASH_600ACA84": "绿色 6"
"HASH_8049C885": "圣徒？苏格兰人？何不二者兼得？"
"HASH_E562C085": "体型"
"HASH_45522885": "周末客"
"HASH_7DB87885": "深灰"
"HASH_E6734C85": "太空公主上衣"
"HASH_FB667885": "空手道裤"
"HASH_EA237885": "通用英雄手套"
"HASH_4C4FA285": "至死方休"
"HASH_E783D686": "紫色炼狱"
"HASH_3A6ACC86": "赛博帮特勤"
"HASH_EB9EB086": "清爽短发"
"HASH_E8F2F286": "曼巴高跟鞋"
"cm_hair_shortwavy-01": "短而卷"
"cf_hair_longtextured_01": "长而层次"
"HASH_320CC087": "船长"
"HASH_33D09A87": "去你的"
"HASH_95096887": "钛"
"HASH_BED7D087": "亮日橙"
"HASH_D89DDC87": "蓝绿 1"
"HASH_8FF1D688": "选择此预设将放弃你当前的设置。\n确定要这么做吗？"
"HASH_09E9C288": "太空公主打底裤"
"HASH_255E0089": "使武器在耗尽蓄能前能多开几枪"
"HASH_AA682C89": "津亚克最爱的颜色"
"HASH_B8406E89": "上胸"
"HASH_2A840E89": "束缚裤"
"HASH_77C4C689": "方块靴"
"HASH_4AE55089": "深蓝"
"HASH_4952368A": "排气管口"
"HASH_D7BF348A": "染色 40%%"
"HASH_C98C548A": "红色 4"
"HASH_BBBE3A8B": "发射的青蛙会试图用舌头吸附到附近敌人身上"
"HASH_076CF48B": "朦胧日灰"
"HASH_3BCF5E8B": "蒸汽朋克少女束腰"
"HASH_3167568B": "虹彩 4"
"HASH_42CB008B": "疣 1"
"HASH_408BAA8C": "战斗时尚靴"
"cm_ubdy_sweatsaints": "圣徒之翼运动衫"
"cf_suit_jumpsuit02": "性感宇航服"
"HASH_242ADC8C": "癫狂默剧演员"
"HASH_3002668D": "终结你的敌人。"
"HASH_75DA288D": "激光剃刀"
"HASH_56E0B08D": "胡萝卜"
"HASH_4DE1088D": "蓝宝石"
"HASH_E388AA8D": "大红"
"HASH_FAC1BA8D": "商务休闲裤"
"cm_ubdy_sltop": "玛丽·安"
"HASH_DBAC0E8E": "喷漆 2"
"HASH_282D348E": "内饰 2"
"HASH_971EB68E": "全新旅程"
"HASH_D861BE8F": "越线"
"HASH_8523808F": "你这老水手"
"HASH_FD86E28F": "确定要放弃你的更改吗？"
"HASH_9255208F": "侦探帽"
"cm_lp35k_head_m_bonesmask": "骷髅面具"
"HASH_B5102290": "武器发射火箭的频率更高"
"HASH_D5EA9490": "叛逆手枪"
"HASH_F6FF8090": "鼻尖深度"
"HASH_B19C7A90": "冲刺手套"
"cm_suit_f_warprc": "战斗公主装甲"
"cm_lp35i_ubdy_f_strapsshirt": "末世衬衫"
"HASH_0599A091": "下颌深度"
"HASH_771F2E91": "十足野兽"
"HASH_4A72AA91": "瞒天过海"
"HASH_2CBFCE91": "紫罗兰 8"
"HASH_F6310492": "沙漠迷彩"
"HASH_F5E15492": "鲨咬耳环"
"HASH_857F7C93": "TAK-10清道夫"
"HASH_299F1493": "鼻孔宽度"
"HASH_71080293": "整片胸膛"
"HASH_FFD8D493": "突突射击 T 恤"
"HASH_4A8CCC94": "银"
"HASH_5B2E3E94": "淡蓝染"
"HASH_E4E56E94": "蜘蛛咬痕"
"HASH_773FBC95": "天线"
"HASH_08520695": "超紧身夹克"
"HASH_9D5C5695": "圣徒辫"
"cf_hand_handwarmers": "暖臂套"
"HASH_23471895": "爱国条纹"
"HASH_C8107E96": "地雷现在的装药量增至三倍。"
"HASH_03A6AA96": "镀金"
"HASH_824E4496": "朴素的汉子"
"female_bodybuilder": "女·健美"
"HASH_55E46496": "体育课裤"
"cf_hair_vintageshort-01": "复古短波"
"HASH_4BD91297": "射手苏茜"
"HASH_23C63097": "饥渴艺术家"
"HASH_E3BF8C97": "圣徒宽松裤"
"HASH_07849098": "该分类已达到可存放物品的数量上限。"
"HASH_B1490298": "贴花 3"
"Warrior Princess": "战士公主"
"cm_ubdy_pretendtee": "假装在扮演T恤"
"HASH_C905A499": "结合两大乐事：棒球与暴力！"
"HASH_00202299": "兄弟短裤"
"HASH_54247699": "派对高跟鞋"
"cf_hair_longstraight-05": "中分帘式"
"HASH_0847F299": "亮橙"
"HASH_0F139099": "红橙 5"
"HASH_D88BFC99": "蓝色 3"
"HASH_501B1499": "脸颊"
"HASH_7D5B869A": "深银"
"HASH_B4FBF29B": "叛逆少年靴"
"cm_dlc_wwolf_foot_m": "狼人足"
"HASH_423FEC9C": "哔啵哔"
"HASH_0F52149C": "随机"
"HASH_EAF60C9C": "尾灯"
"HASH_0593009C": "前轮辋"
"HASH_B1CCB49C": "后保险杠"
"HASH_1890D29C": "巴黎晚宴"
"HASH_3DBBB29C": "南方佳人"
"HASH_2BAC1E9D": "先开枪，后提问。"
"HASH_CD0BBA9D": "下颌"
"HASH_D7F2B29D": "深海蓝我"
"HASH_E72B0C9D": "汪汪"
"cm_lp35n_suit_m_block": "工匠矿工"
"HASH_7BDF009D": "小伤疤 2"
"HASH_67670E9D": "绿色 2"
"HASH_A6ABE89E": "它是黑色的。还有，金色。"
"HASH_B424289E": "鼻坡宽度"
"HASH_E4A6209E": "脸颊深度"
"HASH_1891A09E": "颧骨间距"
"HASH_DFE6109E": "绅士燕尾服"
"HASH_88DB669E": "黑粉屏蔽镜"
"HASH_BFC5989E": "警察"
"HASH_DFF0189E": "蓝绿 5"
"HASH_71C81E9E": "右前臂"
"HASH_BC8D609F": "酷客"
"HASH_A04E789F": "滑板头"
"HASH_18BAB69F": "都市狩猎高领衫"
"cm_dlc_wwolf_suit_m_suit": "狼人"
"HASH_B4E7D4A1": "喜悦"
"HASH_34F16CA1": "硬妹"
"HASH_1FA32EA1": "枢机主教长袍"
"HASH_C03A18A1": "红色 8"
"HASH_AF6218A2": "面容年龄"
"HASH_A5A200A2": "太空背包"
"HASH_174F90A2": "机车辣妹"
"cm_ubdy_puffycoat01": "羽绒夹克"
"HASH_BB6C2AA2": "埃及女神"
"HASH_C2E448A2": "黄色 3"
"HASH_6B61CAA3": "深银"
"HASH_237B3EA3": "准备在丛林里大干一场"
"HASH_19D1BCA3": "丧尸面具 1"
"HASH_79B458A3": "现代男式礼服衬衫"
"HASH_574D88A3": "骑士铠甲"
"HASH_AC5ADCA3": "埃及公主"
"HASH_CD0864A3": "吉祥物"
"HASH_B672D8A4": "将枪升级为全自动扳机。"
"HASH_437866A4": "大兔子"
"HASH_303CC2A4": "骷髅靴"
"HASH_3930D4A5": "钉死他们。"
"HASH_2298E6A5": "喷漆 2"
"HASH_C8F68EA5": "盖特摇头像"
"HASH_F35F86A5": "老大项圈"
"HASH_4CA7AEA5": "欢乐时光靴！"
"HASH_21C4EAA5": "粗犷经典"
"HASH_F104C8A5": "甩肉"
"HASH_33BC08A6": "DEACON 12号"
"HASH_90FC4AA6": "弹跳步枪"
"HASH_661D4EA6": "嗓音"
"HASH_096C0AA6": "老汉软鞋"
"cm_lp35i_hand_f_stpgloves": "末世手套"
"HASH_9347ACA7": "用此武器击杀可回复少量生命。"
"HASH_D8EBAEA7": "机械色"
"HASH_CAE32EA7": "虹彩漆"
"HASH_7929E4A7": "咖啡奶精棕"
"HASH_13A68AA7": "零圣徒三十头盔"
"HASH_B57872A7": "上城女孩"
"HASH_17F0FAA7": "颏须"
"HASH_24C2D6A8": "GI狙击手"
"HASH_0096E0A8": "挺胸"
"HASH_ECA1C6A8": "白色"
"HASH_5A8884A9": "极地迷彩"
"HASH_83D806A9": "武士 "
"HASH_A1EE10A9": "新科尔文"
"HASH_6705E0AA": "瞄准？谁需要瞄准？"
"DIRT": "泥土"
"HASH_7BD14EAA": "头盔桶"
"HASH_33DBDAAA": "坏小子"
"cf_hair_wavysidedo_01": "波浪偏分"
"HASH_BE5524AA": "街头圣徒"
"HASH_06B2F4AB": "欢愉与痛苦"
"HASH_2DEDF6AB": "现代夹克配毛衣"
"HASH_F6288AAB": "和平烟斗凉鞋"
"HASH_06AC92AB": "蜂后"
"HASH_CCA78AAC": "强化车架"
"HASH_8F9E78AC": "emo 板鞋"
"HASH_A0FF98AC": "坏坏手套"
"HASH_3D4796AD": "缩短武器换弹时间"
"HASH_9E5DA2AD": "小呱呱"
"HASH_03FBACAD": "轮辋套组 11"
"HASH_D4AEC6AD": "坏坏时光束腰"
"HASH_78AF8CAE": "错得离谱"
"HASH_964876AE": "车窗罩"
"HASH_F82C78AE": "引擎盖装饰"
"HASH_5E349EAE": "帮派皮上衣"
"HASH_A94A64AE": "亮靛"
"HASH_2E933EAE": "天龙座"
"HASH_E783B8AE": "蓝紫 6"
"HASH_FF72B2AF": "面部整体"
"HASH_E9F084AF": "合唱女郎"
"HASH_6DE96CAF": "正午帽"
"HASH_3E69A4AF": "独角兽之梦"
"HASH_4744E4AF": "夸张胡"
"HASH_6678DEB0": "鼻坡深度"
"HASH_6C8A70B0": "开心 "
"HASH_4C3C6CB0": "虫眼"
"cm_eyes_slglasses": "单眼镜"
"HASH_332676B0": "左前臂"
"HASH_1E676AB1": "高加索 2"
"HASH_DADD00B1": "现代士兵头盔"
"HASH_93D794B2": "土豆炮"
"HASH_088C36B2": "爱痕"
"HASH_06A5DCB2": "红橙 9"
"HASH_429494B2": "整个左臂"
"HASH_1703EEB3": "亚洲 3"
"HASH_C86D46B3": "液压系统"
"HASH_7111E4B3": "摇杆成瘾者·火辣圣徒"
"HASH_7B9A24B3": "钢埠斗士手套"
"HASH_1C07CCB3": "狐狸精束腰"
"HASH_62F11CB3": "坏女孩高跟鞋"
"HASH_B938E0B3": "美丽使者"
"HASH_7AF77CB4": "淡青染"
"HASH_049668B4": "轮辋套组 15"
"female_average": "女性标准"
"cm_lp35p_eyes_m_3d": "3D"
"HASH_F449A4B4": "亮红"
"HASH_CF2788B5": "在扫射他们时也要保持优雅"
"HASH_681E08B5": "下唇中部高低"
"cm_suit_malesim": "模拟服"
"HASH_D64654B5": "蓝绿 9"
"HASH_EE9D40B6": "捶胸"
"HASH_6B11AEB6": "邻居夹克与马甲"
"HASH_402920B6": "铅笔藏须"
"HASH_D7CF4CB7": "数码迷彩"
"HASH_9B4A70B7": "棉花糖背心"
"HASH_471668B7": "忍者2型长裤"
"50s Lady": "50年代淑女"
"HASH_60E724B7": "酒窝"
"HASH_E0EE7CB7": "蓝紫 2"
"HASH_7D0A86B8": "用此武器击杀可获得额外经验值。"
"HASH_8E028CB8": "蓄能时间"
"HASH_20D572B8": "银色惊艳"
"HASH_B449C4B8": "美甲"
"HASH_24C3ACB9": "使武器在过热前能多开几枪"
"HASH_41D828B9": "幽灵骷髅"
"HASH_1A3DFCB9": "瞄稳了，土豆。"
"cf_foot_80sshortboots": "亮片短靴"
"HASH_141114BA": "好莱坞范"
"HASH_250982BA": "紫罗兰 4"
"HASH_1827C2BB": "爆炸伤害"
"HASH_E0F67ABB": "76年精神"
"HASH_E8A1F0BB": "蓝色迷彩"
"HASH_C620D4BB": "暴躁 "
"player_lips_gloss": "唇彩"
"HASH_BC01EEBB": "融入血脉"
"HASH_9D162CBB": "破鼻"
"HASH_C5898CBB": "黄色 7"
"HASH_05400CBC": "饰条 4"
"HASH_F6690CBC": "召之即来"
"HASH_FBC3E2BD": "鼻孔深度"
"HASH_18575CBD": "骷髅衬衫"
"cf_hair_ponytail-01": "复古风马尾"
"HASH_A53F16BE": "Z9手炮"
"HASH_24A376BE": "鼻尖宽度"
"HASH_072FF2BE": "车身套件"
"HASH_B215B6BE": "艺术学校"
"cf_hair_longstraight_01": "婉约长发"
"HASH_109D3EBE": "火星人"
"HASH_2247BCBF": "卫士突击步枪"
"HASH_75B5B8BF": "淡红染"
"HASH_4B06D0BF": "鸢尾花标志"
"HASH_466C4ABF": "T台飞行墨镜"
"HASH_0215B2BF": "忍者2型面罩"
"HASH_7B1C9EBF": "英雄腿甲"
"cf_hair_vintageponytail": "复古拉拉队员"
"HASH_09CCEABF": "右手腕"
"HASH_8E670EC0": "此升级已达最高等级。"
"HASH_B93618C0": "内饰色"
"HASH_ECF8FCC0": "选项 1"
"HASH_E4E35EC1": "缟玛瑙黑"
"HASH_0CAE60C1": "外星士兵最好的朋友"
"HASH_765BD4C1": "未来战士护甲"
"HASH_E35A94C1": "休闲工装裤"
"HASH_BCE7EAC1": "我们信仰寒钢"
"HASH_2B3ABEC2": "眉中高低"
"HASH_3C8846C2": "悲伤"
"HASH_FBE514C2": "老爹鞋"
"HASH_994324C2": "悠闲鞋"
"HASH_1FBE24C2": "空手道衬衫"
"HASH_D3E90CC2": "航海星"
"HASH_AE25A8C2": "无"
"HASH_6FB162C2": "右腿"
"HASH_00EB98C3": "圣徒1，辛族0"
"HASH_015304C3": "给你准备使坏的时候。"
"HASH_28A498C3": "男性默认"
"HASH_DBF616C3": "欢乐时光！丁字裤"
"HASH_858D86C3": "动作捕捉服"
"cm_mask_fleur": "花之面"
"HASH_130062C3": "部落骷髅"
"HASH_EFEB22C3": "尼罗河女王"
"HASH_A18F14C3": "漂白金发"
"HASH_579A68C4": "过热等级"
"HASH_1BD3B6C4": "它吸得真狠。"
"HASH_DF86AAC4": "你心里清楚，你想要的只是一把激光霰弹枪。"
"HASH_4CCA0CC4": "性别"
"HASH_284438C4": "方块手"
"cm_hair_styledfade": "渐变造型"
"Chin": "下巴"
"HASH_A6D940C4": "四骷髅"
"HASH_8F74E4C4": "黄绿 9"
"HASH_21F03CC5": "雀斑妞的"
"HASH_102322C5": "源木"
"HASH_72CA40C5": "拉美裔 1"
"HASH_D8F766C5": "金色"
"HASH_0F7F1EC5": "飞行服"
"HASH_ACFD5CC5": "女巫长袍"
"HASH_9E7F2AC5": "全遮掩"
"HASH_78A0DCC6": "紫色"
"HASH_DF00D2C6": "面部"
"HASH_F85982C6": "轮辋色"
"HASH_B36EB8C6": "深粉"
"HASH_5EC090C6": "蝴蝶"
"HASH_5D79D6C7": "贴花 3"
"cm_ubdy_jeanvest": "牛仔马甲"
"HASH_E2840AC7": "彩虹袜与鞋"
"HASH_A2B93CC7": "总裁胡"
"HASH_0D35B6C7": "棕色 1"
"HASH_213B52C8": "圣徒紫"
"HASH_B019BAC8": "老派杀伤力"
"HASH_C93162C8": "鼻坡高低"
"HASH_27D1C6C8": "时尚亮相"
"HASH_39CBD4C8": "小心形套装"
"HASH_AAC99CC8": "暗影之戒"
"cm_eyes_squaretrendy": "护目镜"
"HASH_AC5F00C9": "弹匣容量"
"HASH_8A69CAC9": "一旦用银色狙击，你就回不去了。"
"HASH_E50BF8C9": "海泡青"
"HASH_36F6E0C9": "拜金者"
"cm_ubdy_bountyhunter": "赎金收缴者装甲"
"HASH_48BC6AC9": "闪亮至上"
"cm_suit_f_space": "太空公主"
"cm_foot_president_shoes": "总统鞋"
"HASH_FF7ADCCA": "绝妙之夜"
"HASH_F44794CB": "独特体验"
"HASH_DF88A2CB": "钢埠英雄衬衫"
"HASH_CB7B1ACB": "冷拳"
"HASH_0B9954CC": "蓄能容量"
"HASH_EACF0ECC": "呜噢尖叫"
"HASH_92B016CC": "摔跤手帮特勤面具"
"HASH_E52CB6CC": "摇滚衬衫"
"cm_lp35q_hat_vr": "VR"
"HASH_03DF98CC": "英雄靴"
"HASH_A73BB8CC": "左眼罩"
"HASH_1CBE28CD": "右侧"
"HASH_B560C0CD": "现代敞领衬衫"
"HASH_98553ACD": "卡巴纳墨镜"
"HASH_B8D950CE": "无"
"HASH_32B662CE": "登场群像"
"HASH_02D488CE": "武装且危险"
"HASH_FC4FFECE": "痣 9"
"HASH_95712ACF": "你有权持有武器，而且要很多很多。"
"HASH_5091DACF": "车顶灯"
"HASH_F310DECF": "晨星帮士兵"
"HASH_7F1A40CF": "霓虹丛林"
"HASH_DD881CCF": "赛博帮士兵"
"HASH_F46654CF": "深橙"
"HASH_87E698D0": "军用级制止力"
"HASH_E23956D0": "油亮亚裔 1"
"HASH_149E5ED1": "蓝色触手"
"HASH_20BC02D1": "口活"
"HASH_998AD0D1": "紫色金属"
"HASH_B99B7CD1": "羔羊面具"
"HASH_145B6CD1": "摇滚帆布鞋"
"HASH_33DC38D2": "肥胖度"
"HASH_F32A50D2": "好兄弟"
"HASH_C40F60D2": "狂红"
"HASH_9B5E42D2": "复古风格"
"HASH_0C4A98D2": "嗜血耳环"
"HASH_C0F590D2": "火辣女牛仔"
"HASH_D8BA00D2": "潮鞋"
"HASH_BCC05ED2": "营级长裤"
"HASH_C2D764D2": "坏男孩衬衫"
"HASH_CC16DED2": "部落客"
"HASH_0CCAE6D3": "颅顶高度"
"HASH_0C70A6D3": "恨天高"
"HASH_3FD83ED3": "科幻"
"cm_hair_mullet": "鲻鱼头"
"HASH_7FF2C4D3": "忍者"
"HASH_F81718D3": "超模"
"HASH_57245AD3": "灰色 4"
"HASH_FEF7EAD4": "独立少年"
"HASH_955696D4": "迪斯科天后裤"
"HASH_022584D4": "火辣女牛仔"
"HASH_C1C23AD4": "永恒之爱"
"HASH_63D378D5": "弹药容量"
"HASH_3AF16CD5": "线框"
"HASH_3EA42AD5": "街头验证，帮派认证"
"HASH_474A7AD5": "地狱守卫"
"HASH_B1910ED5": "抹胸上衣"
"HASH_A0567CD5": "顶部微妆"
"HASH_2F13C0D6": "佣兵轻机枪"
"HASH_787784D6": "示爱丁字裤"
"HASH_71E7B6D6": "圣徒光环"
"cf_suit_amazonoutfit": "亚马逊式护甲"
"HASH_35DBA6D7": "太空匪徒"
"cf_ubdy_80slacetanktop": "蕾丝背心"
"HASH_DDB63ED8": "海报天使"
"HASH_BB8A2ED8": "缅怀逝者"
"HASH_6EDBFCD9": "带电子弹会使目标麻痹。"
"HASH_EB9538D9": "选项 5"
"HASH_F922E0D9": "军规漆"
"HASH_F38338D9": "轮辋套组 7"
"HASH_7EECC8D9": "赛博帮"
"cm_lp35p_eyes_m_morph": "变形"
"cm_lp35n_ubdy_m_blockhead": "方块头"
"cm_lp35h_suit_f_fbot": "女机甲"
"cf_eyes_50sglasses": "猫眼"
"HASH_07865CDA": "紫色是新橙色。"
"HASH_CA755EDA": "右眉钉与鼻钉"
"HASH_E886E6DA": "深色眼线"
"HASH_B38850DB": "火箭频率"
"HASH_1CD26CDB": "各地优质成人书店均有售。"
"HASH_81662CDB": "不透明度"
"HASH_FB0734DB": "眉骨"
"HASH_9A5346DB": "摩德风格"
"HASH_BB48D4DB": "偏分短发"
"HASH_D484C8DB": "泰迪熊"
"HASH_75A784DC": "拉美裔 5"
"HASH_813076DC": "嘻哈瘦腿裤"
"HASH_83BF16DC": "蝴蝶夹"
"HASH_21A62EDC": "承诺项链"
"HASH_34F302DC": "口袋火箭裤"
"HASH_CAAFFADC": "僧侣"
"cm_suit_m_falcon": "钢埠英雄套装"
"HASH_9912EEDC": "难眠"
"HASH_7F098EDD": "山姆大叔帽"
"HASH_808654DD": "圣徒花链"
"HASH_0E99ACDD": "动漫"
"HASH_94C2E6DD": "叛逆凉鞋"
"HASH_B9B040DD": "四角手里剑"
"HASH_A1B484DD": "爱情机器"
"HASH_8A10E2DE": "给酷客们"
"HASH_D70302DE": "下巴高低"
"HASH_DE5014DE": "非裔 2"
"HASH_4FAF32DE": "全喷漆"
"HASH_5A1412DE": "贴花 7"
"HASH_7EE578DE": "山姆大叔"
"cf_wrst_50sbracelet": "复古手镯"
"HASH_C450DEDE": "紫红 4"
"HASH_0A5872DE": "棕色 5"
"HASH_6D1F2EDF": "颈后深度"
"HASH_7FCD18DF": "深紫"
"HASH_8FA1C8DF": "警署制服"
"HASH_59AD54DF": "当圣徒落泪"
"HASH_3226AADF": "黄橙 8"
"HASH_FDF1D8E0": "忍者"
"HASH_BD510AE0": "选项 10"
"HASH_32A60CE0": "圣徒星球耳环"
"HASH_D50210E0": "合身牛仔裤"
"HASH_8BCBA6E0": "牛仔女郎风"
"HASH_E565C4E0": "凯尔特之狼"
"HASH_0F073EE1": "辛族最狠的角色。"
"HASH_CDA938E1": "混音 107.77"
"HASH_32ADDEE2": "每次扣动扳机都会放出两颗能量球。"
"HASH_FD610CE2": "沙漠英雄"
"HASH_047CCAE2": "摔跤手帮特勤"
"HASH_50EC68E2": "派对时光丁字裤"
"HASH_6154D4E2": "时髦朋克耳环"
"HASH_2EF030E2": "山丘魔术师马甲"
"cf_ubdy_camisole": "蕾丝吊带"
"HASH_5FDFDEE2": "白色"
"HASH_6593ACE2": "抛锚沉底"
"HASH_410A26E2": "弄蛇人"
"HASH_19EDD2E2": "困于蛛网"
"HASH_9EAC96E3": "枪灰色"
"HASH_FB42E6E3": "耳垂大小"
"HASH_2E678AE3": "丹尼尔·桑"
"HASH_04DB8CE3": "羽饰帽"
"HASH_EC6AF8E3": "劈砍者"
"HASH_487D5EE4": "自定义角色"
"HASH_A9FE8AE4": "歌舞伎红"
"HASH_DD4D5CE4": "卡巴纳短裤"
"HASH_83AE92E5": "黑玛瑙"
"female_overweight": "女性超重"
"HASH_0B62C4E5": "冷酷到底"
"HASH_F5F9B2E5": "痣 5"
"HASH_FBB2F2E6": "车窗染色"
"HASH_8F045CE6": "黑色"
"HASH_FD31E4E6": "亮蓝"
"HASH_6C350AE7": "双彩虹……这是什么意思？"
"HASH_2A9A2EE7": "武器 2"
"HASH_6AF5EEE7": "镀铬"
"HASH_E75E98E7": "山丘休闲装"
"HASH_7C87C0E8": "给都市掠食者。"
"HASH_84C760E8": "锐舞 X 荧光棒手环"
"HASH_06188AE8": "暗号特供"
"HASH_E65D6EE8": "明眸"
"HASH_4D0A02E8": "橙色 7"
"HASH_92E042E9": "后喷火焰"
"HASH_0CC634E9": "武器现在会把多数对手砸成一摊血肉。"
"HASH_EC366AE9": "大块头用的大枪"
"HASH_74D220E9": "肌肉量"
"cm_foot_slshoes": "休闲步行鞋"
"HASH_48AD16EA": "喧闹蝗虫"
"HASH_71082EEA": "男性 1"
"HASH_C4B970EA": "赞许"
"HASH_2FD746EA": "晨星帮手套"
"HASH_07F1A4EA": "无政府手环"
"HASH_189126EB": "这是什么？又一把终极武器？"
"HASH_D9572AEB": "钉枪"
"HASH_46D4E0EB": "下唇侧高低"
"HASH_262498EB": "清凉薄荷绿"
"HASH_76C10EEB": "机械"
"HASH_E94F34EB": "派对时光手链"
"HASH_7D9CC6EB": "复古盘发"
"cm_ubdy_sweatmurder": "谋杀乱斗运动衫"
"cm_ubdy_joecolatee": "乔可乐T恤"
"HASH_52E8F2EC": "觉得自己能单挑全世界了？"
"HASH_8EAFF8EC": "火辣短裤"
"HASH_551348EC": "贴身"
"HASH_98E772ED": "嘲讽"
"CUST_VARIANT_DEFAULT": "默认"
"HASH_443392ED": "匪徒"
"cm_lp35l_suit": "飞行服"
"HASH_CE9774ED": "投身烈焰"
"HASH_0831F6ED": "活着或……"
"cm_lbdy_hoochishorts": "黛西认证短裤"
"HASH_8607B6EF": "酸蚀子弹会持续造成额外伤害。"
"HASH_1B62AAEF": "亡灵节"
"HASH_8568C0EF": "风度翩翩地镇压你下一场叛乱。"
"Level_3": "第 3 关"
"HASH_FCF3F4EF": "条纹垂坠"
"HASH_9110FAEF": "羊绒上流"
"HASH_47269AEF": "深红"
"HASH_B2C1C8EF": "张嘴"
"HASH_86C2A8EF": "黄绿 5"
"HASH_1EBFB0F0": "抛射物拥有更强爆炸威力"
"HASH_52B1FAF0": "下颌间距"
"HASH_29ADF0F0": "金属"
"HASH_BB3CBCF0": "艳舞女郎"
"HASH_BF43D8F1": "颈后宽度"
"HASH_860BCCF1": "轮辋"
"HASH_4A67C6F1": "橙色 3"
"HASH_C06D24F2": "火焰射程"
"HASH_7C10F6F2": "双下巴高低"
"HASH_21495CF2": "快活绿巨人"
"HASH_E22374F2": "选项 9"
"HASH_2419FEF2": "圣徒平角裤"
"cm_hand_postapocman": "末世手套"
"cf_hand_80slacegloves": "蕾丝手套"
"HASH_B5EAD0F2": "连眉"
"HASH_46651AF3": "为你的犯罪狂潮添上一抹优雅"
"HASH_215798F3": "摩登男装带衬衫"
"cf_hair_pigtails_01": "松散双马尾"
"HASH_DCBAE8F4": "黑帮地盘"
"HASH_1675D0F4": "身体"
"HASH_482C88F4": "唇部"
"HASH_042308F4": "啤酒节女郎"
"HASH_0F5C32F4": "心碎"
"HASH_3B90E6F4": "黄橙 4"
"Paint_1": "喷漆 1"
"male_slender": "男·纤瘦"
"HASH_E64598F5": "南海滩衬衫"
"HASH_20969CF5": "加油！队鞋"
"cf_hair_longwavy_01": "长波浪发型"
"HASH_CDE692F5": "紫红 8"
"HASH_03EE3EF5": "棕色 9"
"HASH_78FAE0F6": "增加青蛙搜寻目标时的跳跃距离"
"HASH_40EA10F6": "购买弹药"
"HASH_82E648F6": "黑暗面衬衫"
"HASH_009040F6": "天后高跟鞋"
"HASH_B5AC0CF6": "幸运龙"
"HASH_81AF6CF6": "黄绿 1"
"HASH_323496F7": "升级轮胎，避免在关键时刻爆胎出糗。"
"HASH_655E68F7": "铝"
"HASH_F56020F7": "宝石耳环"
"cm_foot_bootslowtrendy": "针织翻边靴"
"HASH_90A4A2F7": "右黑眼"
"HASH_76BF02F7": "鼻绷带"
"HASH_932D54F8": "左手"
"HASH_2E721EF8": "超级女英雄面具"
"cf_hair_vintagebob-03": "50年代淑女风"
"HASH_556BC2F8": "深靛"
"HASH_5E9216F8": "灰色 8"
"HASH_5C1F62F8": "左手腕"
"HASH_FA9C1CF9": "驾！"
"HASH_F03800F9": "活力红"
"HASH_F32DA2F9": "三拍女郎"
"HASH_521A84F9": "学院风西装裤"
"cm_lp35k_suit_m_bones": "骨头装"
"HASH_7A2352FA": "嘴咬"
