# TODO: Translate to Simplified Chinese
# Source: new_sr35_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1308

"HASH_1B989100": "增加可用念力投掷物体的距离。"
"UNL_DESC_SHIELD_2": "接触护盾的敌人会被眩晕/电击。"
"UNL_DESC_VEHICLE_HOVER_TANK": "你现已在传送门车库中获得外星悬浮坦克。"
"HASH_48D99D4C": "消灭典狱长"
"UNL_VEHICLE_NO_RAGDOLL": "不可移动物体"
"UNL_SUPER_STOMP": "践踏"
"HASH_46DA424D": "跳跃 - 高度 3"
"UNL_DESC_WEP_MINEFIELD": "杀戮机器人的布雷器已被逆向工程。用布雷器让城市遍布感应地雷！\n在传送门武器库装备它。"
"HASH_8566914D": "增益不再消耗能量。"
"HASH_2C3F3C4D": "@@BLAST_FREEZE^^目标被击碎时爆炸，伤害周围一切。@@BLAST_FIRE^^目标死亡时爆炸，将火焰蔓延给附近的人。@@BLAST_GLITCH^^目标死亡时爆炸，使附近敌人故障失控。"
"HASH_36FD114D": "呼叫源木后援"
"HASH_C56CFD4D": "冰冻 - 载具"
"UNL_DESC_JUMP_3": "飞上天空，在城市上空滑翔！\n\n空中冲刺后按住 {SPRINT_IMG} 即可滑翔。"
"HASH_AEEBF94E": "增益 - 充能 3"
"HASH_E4E8BF4E": "摧毁[format][color:kill]路由器[/format]"
"HASH_21380B4F": "飞船"
"HASH_B0E72D4F": "在暂停菜单中保存游戏"
"HASH_0382984F": "呼叫赛勒斯·坦普尔"
"HASH_83F8134F": "墙壁跳跃"
"HASH_BB4E1D4F": "消灭[format][color:kill]爪牙[/format]"
"HASH_1AFD7150": "念力 - 投掷距离 2"
"UNL_DESC_WEP_LIGHT_SWORD": "打得他们够狠，能量剑就能把他们熔毁！\n在传送门武器库装备它。"
"HASH_F5C7B050": "提升对受天降杀戮影响的目标造成的伤害。"
"HASH_A02B2F50": "使用忍者反射时恢复生命值。"
"HASH_F9DF3250": "增益 - 极速恶魔"
"HASH_C86E4650": "打开地图"
"HASH_7762EB50": "挑战完成"
"HASH_F7C8B950": "完全掌握模拟世界的所有方面，你便能直接从其他虚拟生命身上汲取力量！"
"HASH_528E1850": "超级加速"
"HASH_355E9E51": "冲刺 - 速度"
"UNL_DESC_WEP_ABDUCTION": "让你的敌人近距离体验绑架机器！\n在传送门武器库装备它。"
"HASH_4695A551": "呼叫尤利乌斯"
"M18_KILL_ATTACKERS": "消灭[format][color:kill]攻击者[/format]"
"HASH_111EBB51": "前往[format][color:location]屋顶[/format]"
"HASH_4680FF51": "赢得全部「极速裂隙」金牌，即可解锁冲刺疾速，更快达到最高速度。"
"HASH_B941C352": "超级冲刺"
"HASH_2DB65053": "生命 - 吸取 2"
"UNL_DESC_RELOAD_COOLDOWN_3": "点按 {PICKUP_RELOAD_IMG} 让外星武器冷却得更快。"
"UNL_DESC_HOMIE_CID": "可以使用你的HUB\"手机\"菜单将C.I.D.呼叫到模拟世界中。这个AI会在战斗中帮助圣徒。"
"HASH_99F9EA53": "传送门武器库弹药 2"
"HASH_71BFA154": "激活爆炸冲击波"
"HASH_FECD2754": "双击 {MENU_DP_LEFT_IMG}\n快速切换超能力元素\n\n切换元素可让你在所有超能力元素类型间快速选择。"
"HASH_47DCA854": "与强尼·盖特交谈"
"HASH_E5EC1B54": "重力漂浮击杀"
"HASH_026AE255": "武器 - 充气射线"
"HASH_6ECABE55": "同伴 - 源木后援"
"UNL_HOMIE_CYRUS": "同伴 - 赛勒斯·坦普尔"
"HASH_D8179E55": "线框幻影现已在你的传送门车库中提供。"
"HASH_F566F155": "赛博怪兽卡车现已在你的传送门车库中提供。"
"HASH_00F3A955": "皮尔斯已被救回，现在登上飞船！去找他，学习如何好好享乐。"
"HASH_9CDA1555": "提升从黑客入侵商店获得的缓存与经验值。"
"HASH_1787C755": "冲击波 - 充能 2"
"UNL_AIR_DASH_1": "跳跃 - 空中冲刺"
"HASH_09564155": "打开合作选项"
"HASH_FC03B355": "摧毁[format][color:kill]闪点[/format]"
"HASH_35FEDA55": "将[format][color:defend]CID[/format]砸向齐尼亚克"
"HASH_91304555": "与金吉恋爱"
"UNL_STOMP_3": "践踏 - 距离 3"
"UNL_JUMP_2": "跳跃 - 更快蓄力"
"HASH_DCE63956": "跳上建筑物侧壁并按住 {SPRINT_IMG} 沿墙冲刺！\n\n对任何超能圣徒来说都是必备之选。"
"UNL_DESC_HADOUKEN_3": "核爆恢复速度提升 100%%"
"HASH_6E36D056": "传送门 - 北市中心"
"HASH_1FF4AB56": "冲击波 - 范围 2"
"HASH_5FA52756": "{SPRINT_IMG} 肩部猛撞"
"HASH_AE79E056": "双击 {SUPER_QUICK_SHIELD_IMG}\n快速切换[format][color:power_buff]增益[/format]元素\n\n从所有已获得的[format][color:power_buff]增益[/format]元素中快速选择。"
"HASH_473E8856": "消灭[format][color:kill]典狱长[/format]"
"UNL_HADOUKEN_SUPPRESSION_2": "核爆 - 能量恢复 2"
"UNL_DFA_RANGE_1": "天降杀戮 - 范围"
"HASH_659DFE57": "重力"
"HASH_DB263157": "机甲战衣猛砸"
"HASH_E5813657": "蓄力中"
"HASH_5B63AB57": "摧毁传送门"
"HASH_E6535158": "{SPRINT_IMG} 冲刺"
"HASH_AEA4D958": "{ATTACK_PRIMARY_IMG} 激活爆发\n执行病毒可短暂击穿障碍物、伤害附近敌人并收集额外数据。"
"HASH_409C2D58": "消灭外星人"
"HASH_19F3D759": "斯坦菲尔德岛已揭晓！"
"HASH_FC6BEF59": "参谋长本·金已被救回，可在飞船上找到。去找他学习如何进一步提升你的超能力。"
"HASH_E5F16359": "激活岩石践踏"
"HASH_34445759": "天降杀戮"
"HASH_8A018659": "合作任务 - 完成"
"HASH_F4D7E659": "[format][color:location]放下[/format]马特"
"HASH_E2303059": "合作：猫鼠游戏"
"HASH_84526759": "赢得全部「烈焰」银牌，即可获得火焰免疫。"
"HASH_1FD3045A": "皮尔斯现在超级棒了！皮尔斯已达到对抗齐尼亚克所需的禅定境界。从HUB\"手机\"菜单呼叫皮尔斯，看看他的新装备！"
"M22_3_FAIL_ASHA_DIED": "阿莎阵亡！"
"HASH_7BE9F25A": "在时间耗尽前，用右侧栏提供的黑客节点将数据访问电路从左到右连通。\n([format][color:purple]鼠标[/format]) 高亮节点 \n([format][color:purple]鼠标滚轮[/format]) 切换节点类型 \n([format][color:purple]鼠标左键[/format]) 放置节点"
"HASH_8851925A": "还有什么比击杀漂浮在半空、无助的辛族更有趣？"
"HASH_7C56C35B": "安全驾驶"
"HASH_5BBAAE5B": "进入模拟世界"
"HASH_D6FA265B": "进入[format][color:location]车库[/format]"
"HASH_7176595B": "与[format][color:use]金吉[/format]交谈"
"HASH_8F00F25B": "打击外星目标"
"HASH_FA19C25B": "超能战斗训练"
"UNL_STOMP_REDUCED_MANA_2": "践踏 - 充能 2"
"UNL_SHIELD_REDUCED_MANA_3": "护盾 - 充能 3"
"HASH_5A0B9E5C": "大量服装、套装、武器、秘籍和载具已添加到你的衣橱、武器库、手机和传送门车库。还在等什么？快去拯救人类！"
"HASH_22BBF45C": "重置"
"HASH_B0F9615C": "外星人被嘲讽数"
"UNL_WEP_TENTACLE_BAT": "武器 - 侵犯者"
"HASH_E493AC5D": "武器 -!!弹跳步枪战衣"
"UNL_DESC_SUPPRESS_DURATION_2": "被能量压制手雷击中后，力量恢复速度更快。"
"HASH_B354AB5D": "查看制作人员名单"
"HASH_97AC2D5D": "禁用装置"
"HASH_5D269F5D": "赢得全部「徒步大混乱」银牌，即可解锁更多弹药储备。"
"HASH_737EB05D": "驾驶帅气的外星座驾在虚拟钢埠兜风，再没有比这更棒的了。"
"UNL_DESC_SPRINTING_1": "超级冲刺现在会产生龙卷风效果，将玩家身后的物体掀翻！"
"HASH_856A885E": "呼叫马特·米勒"
"HASH_43347B5E": "黑客入侵完成"
"HASH_8E9D7B5F": " - 困难"
"HASH_6EA95E5F": "通常我只会撞断脚趾。你那边情况如何？"
"HASH_C5A28860": "裂隙"
"UNL_DESC_SPRINTING_SHIELD": "超级冲刺期间冲刺护盾持续存在。"
"HASH_891CEB60": "北市中心已揭晓！"
"HASH_FEE46260": "冲击波 - 充能 4"
"HASH_C5313460": "从选项菜单打开显示设置"
"HASH_64638B60": "机甲武器"
"HASH_A8D42361": "跳跃 - 高度"
"HASH_8C37DF61": "从先前保存的游戏列表中读取"
"HASH_3BB18161": "击倒[format][color:kill]副总统[/format]"
"UNL_DESC_JUMP_1": "按住 {SHOULDER_CAMERA_IMG} 在空中悬停，然后按 {ATTACK_PRIMARY_IMG} 以超高速砸向地面。"
"HASH_40E59862": "增益 - 充能"
"UNL_DESC_SPRINT_BUILDUP": "超级冲刺更快达到最高速度！"
"HASH_822A4C63": "服装 - 钢铁圣徒"
"HASH_F20CF363": "外星压制手雷可暂时禁用你的超能力。"
"HASH_8F308F63": "{ATTACK_PRIMARY_IMG} 开炮 \n{ATTACK_SECONDARY_IMG} 发射火箭 \n{SPRINT_IMG} 冲刺 \n{MELEE_NUT_SHOT_IMG} 近战猛击 "
"HASH_07171F63": "赢得全部「载具大混乱」银牌，即可解锁怪兽卡车。"
"HASH_262A2063": "%%"
"HASH_B8C79164": "同伴 - 铁骨"
"HASH_37BAE764": "大幅提升医疗补给被吸向你的范围。"
"HASH_76282164": "市中心已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_1E958764": "{SPRINT_IMG} 冲刺"
"m22_2_portal_destroyed": "传送门已被摧毁！"
"HASH_B3516964": "在时间耗尽前，用右侧栏提供的黑客节点将数据访问电路从左到右连通。\n{ANALOG_LS_IMG} 移动选择\n{ANALOG_RS_IMG} 滚动黑客节点\n{MENU_SELECT_IMG} 放置黑客节点"
"HASH_92ACA564": "你当然可以用老办法把敌人烧了。但真正重要的是那份亲手了结的快感。"
"HASH_2EB9C565": "将敌人举到空中并锁进静滞力场。就像瓮中捉鳖！\n\n双击 {SUPER_QUICK_STOMP_IMG} 在元素间快速切换。或在力量菜单中切换元素。"
"HASH_71D9FE65": "逃离[format][color:location]模拟世界[/format]"
"HASH_0080D765": "有时候你就是想亲自动手。亲手解决几个外星人，行不行？"
"HASH_79BA9D66": "铬合金封锁现已在你的传送门车库中提供。"
"HASH_83F1AF66": "现在你才能真正体会那个壳里有多冷清孤独。CID 战衣现已在你的传送门衣橱中提供。"
"HASH_A1203966": "消灭[format][color:kill]所有人[/format]"
"HASH_0136C666": "吸血鬼"
"HASH_2B563F66": "摧毁外星载具"
"UNL_WEP_DISINTEGRATOR": "武器 - 分解器"
"HASH_40DF3967": "通过收集散布在模拟世界各处的音频日志，了解同伴们的过去。\n\n访问飞船休息室中的电脑，收听已收集的条目。"
"HASH_78EE4E67": "切换力量"
"HASH_511DEA67": "前往[format][color:location]闪点[/format]"
"HASH_9607AE68": "射击[format][color:kill]齐尼亚克的脸[/format]"
"HASH_F6924B69": "奇点枪弹药升级"
"HASH_FACFEB69": "践踏 - 充能 4"
"HASH_E35E4369": "召唤你的座驾"
"HASH_DECF3A69": "呼叫 DJ 老兵之子"
"HASH_5B51A269": "呼叫本·金"
"UNL_DESC_HOMIE_VETERAN_CHILD": "DJ老手已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。"
"HASH_03AA126A": "收集[format][color:purple]文字冒险碎片[/format]以探究齐尼亚克的起源。"
"HASH_520BE86A": "冰冻碎裂"
"UNL_SUPPRESS_DURATION_3": "压制 - 能量恢复 3"
"HASH_787FB66B": "船员 - C.I.D."
"UNL_DESC_SHIELD_REDUCED_MANA_2": "护盾仅消耗 50%% 体力。"
"UNL_DESC_JUMP_SPEED": "蓄力超级跳跃飞得更远更快。"
"HASH_3A6EBD6B": "火焰"
"HASH_CAC53D6B": "呼叫马罗"
"HASH_D24F876B": "双击 {SUPER_QUICK_TELEKINESIS_IMG}\n快速切换[format][color:power_tele]念力[/format]元素\n\n从所有已获得的[format][color:power_tele]念力[/format]元素中快速选择。"
"HASH_A13D016C": "激活践踏"
"HASH_271BD96C": "[format][color:power_pound]践踏敌人[/format]"
"HASH_CC0CF46D": "船员 - 强尼·盖特"
"HASH_15723D6D": "{ATTACK_SECONDARY_IMG} 用[format][color:power_tele]念力[/format]攻击球体使其破裂，释放其中的数据簇。"
"HASH_6BEAE46D": "机甲战衣大混乱"
"HASH_43BA856E": "铬合金虚空现已在你的传送门车库中提供。"
"HASH_041BA26E": "适度降低驾驶机甲战衣时的悬浮消耗。"
"HASH_2D28DD6E": "移除所有限制器，让机甲战衣的武器发挥全部潜力。"
"HASH_37AC686E": "{ATTACK_SECONDARY_IMG} 发射[format][color:power_buff]增益[/format] \n火焰增益将火焰之力注入你的武器。\n\n立即启用[format][color:power_buff]增益[/format]，然后射击目标用火焰击杀他们。"
"HASH_2CAE306E": "[format][color:power_pound]践踏[/format]后射击[format][color:power_pound]典狱长[/format]"
"HASH_E0BC326E": "退出模拟世界"
"HASH_FA2F406E": "抓起一个敌人。扔出一个敌人。简单、有效，而且啊，真是令人满足。"
"HASH_236A656E": "「烈焰」金牌"
"HASH_DF09B86E": "完成其他一项挑战"
"UNL_HOMIE_ALL_NOTORIETY": "通缉清零 - 全部"
"UNL_DESC_WARDEN_BEATDOWN_1": "终结典狱长现在略微容易。"
"HASH_DC1B0E6F": "呼叫罗迪·派珀"
"HASH_2139086F": "「极速裂隙」金牌"
"UNL_SHIELD_REDUCED_MANA_1": "护盾 - 充能"
"HASH_6F9A0570": "激活闪电念力"
"HASH_08941D70": "在主菜单中从最近保存的游戏继续"
"HASH_55B6CF70": "合作任务 - 忙碌"
"HASH_A4844170": "消灭[format][color:kill]老兵之子[/format]"
"HASH_4F701470": "软糯连击"
"HASH_3FF91070": "你能打通这个游戏里的游戏吗？那可是游戏套游戏套游戏……"
"UNL_WEP_LIGHT_SWORD": "武器 - 能量剑"
"HASH_B9A1C371": "生命 - 行人伤亡"
"HASH_D82E4971": "过载[format][color:kill]导管[/format]"
"HASH_2EED4671": "前往[format][color:location]教堂[/format]"
"UNL_DESC_SPRINTING_3": "超级冲刺时受到的伤害降低。"
"HASH_6EF9C272": "前往[format][color:location]传送门位置[/format]"
"HASH_C8081B72": "使模拟世界失稳"
"HASH_4F1F0572": "发生连接错误"
"HASH_80440672": "「载具大混乱」银牌"
"HASH_CEF56073": "充气射线升级"
"HASH_DF6DA973": "武器 - 回响贝斯枪"
"HASH_3DAE2C73": "启用单次指令的语音识别"
"HASH_3675ED73": "赢得所有超级斗技俱乐部金牌以解锁增益能力的\"消极攻击\"。"
"HASH_5DBE3573": "黑洞就是爱吸。看看你能吸住多少外星人。"
"HASH_9A761274": "用充气射线来一场非自燃式的燃烧吧！你懂这感觉吗？在传送门武器库装备它。"
"HASH_892FB874": "副总统基思·大卫现已登船。去找他学习如何控制模拟世界。"
"HASH_6305B474": "冲刺"
"HASH_F6653E74": "{ATTACK_SECONDARY_IMG} 火焰冲击波\n\n使用火焰[format][color:power_blast]冲击波[/format]超能力元素击杀目标。"
"HASH_37CF5474": "偷窃[format][color:use]汽车[/format]"
"HASH_031A8574": "马特·米勒与阿莎"
"HASH_69012374": "集结并出发"
"HASH_6F047E74": "浮空连击"
"HASH_6FDC7C74": "赢得全部「平台裂隙」银牌，即可跳得更远更快。"
"HASH_66D69074": "「念力裂隙」金牌"
"HASH_0F93FC74": "让那些机器人渣发出脆响。布雷器还是激光迷你枪——你更中意哪种口味？"
"HASH_BADA2B74": "自信"
"HASH_50D44475": "黄金武器战衣"
"UNL_DESC_WEP_SHRINK_RAY": "用微缩射线枪把敌人缩小到可被踩扁的尺寸！\n\n在传送门武器库装备它。"
"HASH_10E4F875": "在你和你的子弹周围制造真空，汲取附近敌人的生命力并据为己有！\n\n双击 {SUPER_QUICK_SHIELD_IMG} 在增益元素间快速切换。或在力量菜单中切换元素。"
"HASH_28872875": "冲击波不再消耗能量。"
"HASH_47034175": "CPU"
"HASH_8DF71075": "正在进入圣徒控制的街区"
"HASH_A70F9D76": "在主菜单中开始战役"
"HASH_F9CF4F76": "死亡标签"
"UNL_TELEKINESIS_4": "念力 - 载具伤害"
"HASH_E7E51377": "肩部猛撞[format][color:kill]门[/format]"
"HASH_64771F78": "船员 - 本·金"
"HASH_6C053478": "增益能量充能速度更快。"
"HASH_73905D78": "拯救[format][color:location]林[/format]"
"HASH_570E2878": "与副总统交谈"
"UNL_HOMIE_SHARP": "同伴 - 威廉·夏普"
"UNL_AIR_DASH_3": "跳跃 - 空中冲刺 3"
"HASH_5ED36A79": "收听过齐尼亚克电台"
"HASH_08AD2079": "挑战勋章_金牌_烈焰_5"
"UNL_STOMP_1": "践踏 - 距离"
"HASH_E395FD7A": "冲刺 - 无限冲刺"
"UNL_DESC_HADOUKEN_1": "核爆恢复速度提升 25%%"
"HASH_8D5CE37A": "点按 {JUMP_CLIMB_IMG} 小跳\n按住 {JUMP_CLIMB_IMG} 蓄力超级跳跃"
"HASH_8015CB7A": "恭喜！\n你已击败齐尼亚克并接管了辛族帝国！\n\n钢埠模拟世界仍可供你完成活动、支线任务与挑战。\n出去把它们全部搞定吧！"
"HASH_D303977A": "进入[format][color:location]友军火力[/format]"
"HASH_B6BC777B": "延长增益的持续时间。"
"HASH_B21B5C7B": "极速裂隙"
"HASH_E812257B": "已收集同伴"
"UNL_VEHICLE_GENKI_DLC_CARS": "载具 - 源木"
"UNL_DFA_AIRCRAFT": "天降杀戮 - 飞行器"
"HASH_2CACA17C": "践踏不再消耗能量。"
"HASH_4075247C": "破解中"
"UNL_WEP_PLASMA_CANNON": "武器 - 暴君"
"HASH_DB50FF7D": "冲刺 - 速度 3"
"HASH_FABB2C7D": "完成[format][color:location]训练[/format]"
"HASH_E650C57E": "忠诚任务"
"HASH_8EE3827E": "岩石元素会在敌人被震飞时造成伤害！\n\n你的同伴可以帮你找到更多践踏元素！"
"HASH_0566437E": "找到[format][color:location]本·金[/format]"
"Unlocked": "已解锁"
"HASH_2333637E": "烧吧，宝贝，烧吧"
"HASH_D92E397F": "已揭晓 - 南市中心"
"HASH_74B87C7F": "超级同伴 - 本·金"
"UNL_DESC_RELOAD_COOLDOWN_1": "点按 {PICKUP_RELOAD_IMG} 让外星武器冷却得稍快。"
"HASH_4CC5477F": "训练你的同伴在挨枪子时毫不退缩。"
"HASH_9105157F": "选择这支队伍"
"HASH_FA7CBE7F": "消灭[format][color:kill]坦尼娅[/format]"
"HASH_0156D780": "在你的HUB\"手机\"菜单中可以找到马特。他（虽然不太情愿）会在战斗中帮助圣徒。"
"HASH_CA25D080": "双击 {SUPER_QUICK_FREEZE_IMG}\n快速切换[format][color:power_blast]冲击波[/format]元素\n\n从所有已获得的[format][color:power_blast]冲击波[/format]元素中快速选择。"
"HASH_32CE2780": "穿上[format][color:use]动力装甲[/format]"
"UNL_SHIELD_2": "护盾 - 带电"
"UNL_DESC_SAINTS_VEHICLES": "你现已在传送门车库中获得圣徒的标准载具。"
"HASH_0F65DF81": "大幅延长可驾驶机甲战衣的时间。这一趟你或许该带点零食。"
"HASH_08AFD981": "缩小"
"HASH_5649D281": "返回[format][color:location]马特[/format]处"
"HASH_FC4D9A82": "载具 - 怪兽卡车"
"HASH_2E84A682": "弹跳步枪的子弹现在能弹回目标身上。这里是不是有回声？"
"UNL_DESC_WARDEN_SHIELD_1": "齐尼亚克、典狱长和专家的护盾在被超能力击中后，失效时间略微延长。"
"UNL_DESC_TELEKINESIS_HOLD_COST": "@@TK_FORCE^^用念力举着物体时不消耗能量。@@TK_LIGHTNING^^用念力举着物体时仅消耗一半能量。@@TK_LIFE_STEAL^^用念力举着物体时仅消耗一半能量。"
"HASH_A6230682": "最大化冲击波的作用范围。把整片交叉路口都炸个通透！"
"UNL_DESC_AIR_DASH_2": "每次超级跳跃可冲刺两次。"
"HASH_4910AD83": "它当然不是真的在喷火，但我很确定你射的那些家伙已经不在乎这个了。"
"UNL_DESC_SUPER_SPRINT": "你现在能用超级冲刺跑得比汽车还快！"
"HASH_A01AAD83": "返回游戏"
"HASH_19F61A83": "摧毁[format][color:kill]UFO[/format]"
"HASH_F21AD183": "皮尔斯是你的左膀右臂。他技术娴熟、随机应变，随时准备为保圣徒地位做任何必要之事。"
"HASH_85659B83": "攀登高塔"
"UNL_DESC_WEP_DISINTEGRATOR": "用分解器一劳永逸地清除模拟体！\n在传送门武器库装备它。"
"HASH_267AA384": "开始新战役时使用硬核难度"
"HASH_5A1A8D84": "传送门击杀"
"HASH_18F95384": "地面践踏眩晕"
"HASH_D0FB5884": "已收集音频日志"
"HASH_EC8B8C85": "念力 - 充能 4"
"UNL_DESC_VEHICLE_GENKI_DLC_CARS": "你现已在传送门车库中获得源木的「投脑车」「愤怒老虎」「性感小猫」和「忧伤熊猫」。"
"HASH_83648985": "关闭发电机"
"HASH_66EE6C85": "开始病毒注入"
"HASH_D4C9D485": "恐惧"
"HASH_1F9BBA86": "践踏元素 - 重力"
"HASH_3AEAB886": "赛博枪手现已在你的传送门车库中提供。"
"UNL_DESC_MANA_RECOVERY_2": "超能力能量恢复速度提升 25%%"
"HASH_725C0F86": "将玩家带回，或继续游戏"
"HASH_6F429786": "生命宝珠"
"UNL_JUMP_REDUCED_MANA_1": "滑翔 - 效率"
"HASH_104FA587": "数据簇"
"HASH_A49B7987": "冲击波簇"
"HASH_43585B87": " - 中等"
"HASH_A8D41C87": "典狱长击杀"
"HASH_181D5B88": "行人死亡时现在会掉落医疗补给。"
"HASH_69B02388": "超级践踏"
"HASH_3BE08488": "按住 {ATTACK_SECONDARY_IMG} [format][color:yellow]核爆[/format] \n核爆会消灭所有敌人，但会消耗你一段时间的能量。\n\n用[format][color:yellow]核爆[/format]击杀目标。"
"HASH_57E26288": "冻结[format][color:power_blast]冲击波 UFO[/format]"
"UNL_HOMIE_A_TEAM": "同伴 - 盟友"
"UNL_DESC_TELEKINESIS_REDUCED_MANA_3": "念力能量充能极快。"
"UNL_DESC_SPRINT_REDUCED_MANA_2": "超级冲刺消耗体力大幅减少。"
"HASH_7EC65789": "摧毁[format][color:kill]路障[/format]"
"HASH_4FFBB889": "消灭[format][color:kill]最终守卫[/format]"
"HASH_7D69AA8A": "机甲武器"
"M22_3_FAIL_MATT_DIED": "马特阵亡！"
"HASH_B48C408A": "C.I.D.？金吉说它代表「控制与接口装置」。只要它在试图保护外星人时被炸成碎片就行。"
"HASH_CE3BDF8B": "践踏 - 持续时间"
"UNL_DESC_SUPER_STOMP": "你现在可以一脚跺向地面，用超级践踏把附近的一切震飞！\n\n使用 {SUPER_QUICK_STOMP_IMG} 快速切换到践踏。"
"HASH_CFA8A08B": "念力裂隙"
"HASH_C0DA518B": "[format][color:use]进入[/format]模拟世界"
"UNL_WARDEN_BEATDOWN_1": "典狱长 - 终结技"
"HASH_6C0D598C": "超级同伴 - 金吉"
"HASH_291E418C": "同伴 - 本·金"
"HASH_EB87908C": "天降杀戮 - 范围"
"HASH_8949B58C": "冻结"
"HASH_F65C758C": "激活念力"
"HASH_C087F38C": "在暂停菜单中读取先前保存的游戏"
"HASH_6F37A28C": "收集[format][color:purple]数据簇[/format]以解锁强化的超能力。\n访问主菜单中的力量菜单购买它们。"
"HASH_1C5CA88C": "有一条永恒不变的真理你永远可以信赖：东西总会爆炸。"
"HASH_1C0AA28D": "机甲战衣 - 超频 3"
"HASH_BD01AD8D": "你现在可以用能量为身体和武器充能！\n\n使用 {SUPER_QUICK_SHIELD_IMG} 快速切换到增益。"
"HASH_CB9CAD8D": "呼叫猛禽内德"
"HASH_8F264B8D": "超级冲刺距离"
"HASH_C020E98E": "生命 - 补给价值"
"HASH_F51F4D8E": "禁用语音识别"
"HASH_7F13888E": "{PARTNER_NAME} 正在开启一项你已完成过的任务。"
"HASH_6700718E": "挑战勋章_金牌_烈焰_5_描述"
"HASH_14A3A98F": "!!武器战衣"
"UNL_DESC_TELEKINESIS_1": "念力可以抓起汽车！"
"UNL_DESC_HADOUKEN_REDUCED_MANA_2": "核爆仅消耗 50%% 能量"
"HASH_0D30BC8F": "传送门 - 南市中心"
"HASH_C7D8EB8F": "冲击波 - 持续时间"
"HASH_E91C1B8F": "开始新的存档游戏"
"HASH_C215C48F": "践踏簇"
"HASH_6E0C178F": "源木教授的 M.O.M."
"HASH_74334290": "超级同伴 - 俏皮肖恩蒂"
"HASH_DF88A690": "可以使用你的HUB\"手机\"菜单将阿莎呼叫到模拟世界中。她会在战斗中帮助圣徒。"
"HASH_F046F390": "增益 - 范围效果"
"HASH_B7B5E390": "切换冲击波元素"
"HASH_4D434B90": "用火[format][color:power_blast]冲击波消灭敌人[/format]"
"HASH_EB25C390": "禁用发电机"
"HASH_0B7ED590": "皮尔斯死了！"
"UNL_DESC_DFA_RANGE_1": "提升天降杀戮的攻击范围。"
"HASH_A028E191": "摧毁门"
"HASH_09D46291": "簇"
"UNL_SPRINT_REDUCED_MANA_1": "冲刺 - 效率"
"UNL_MANA_RECOVERY_4": "超能能量 - 更快恢复 4"
"UNL_DESC_WEP_ANAL_PROBE": "用整顿者以老派方式获取情报！\n在传送门武器库装备它。"
"HASH_4D32D392": "基思·大卫"
"HASH_902FFE92": "找到[format][color:location]马特[/format]"
"HASH_86A9A892": "消灭[format][color:kill]警察[/format]"
"UNL_DESC_HOMIE_CYRUS": "赛勒斯·坦普尔已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。"
"HASH_D69B9893": "{ATTACK_SECONDARY_IMG} [format][color:power_pound]超级践踏[/format] \n制造巨大冲击波，重创附近目标。\n\n立即使用[format][color:power_pound]超级践踏[/format]击杀目标。"
"HASH_A65BCF93": "玩家 1"
"HASH_CD743E93": "活动层级完成"
"HASH_9FEB1493": "目标已被绑架"
"HASH_D9069594": "机甲战衣 - 持续时间 3"
"HASH_A9460494": "消灭[format][color:kill]齐尼亚克[/format]"
"HASH_2FE46894": "找到[format][color:location]马特[/format]"
"HASH_BBB7D194": "用念力扔人"
"HASH_E39CA794": "「保险欺诈」金牌"
"HASH_34223F95": "适度提升所有医疗补给的价值。"
"HASH_AACD5495": "访问传送门武器库时获得更多免费弹药。"
"HASH_CBB22995": "{JUMP_CLIMB_IMG} 跳跃 \n腾空时：\n按住 {SHOULDER_CAMERA_IMG} 瞄准攻击\n{SUPERJUMP_DEATH_FROM_ABOVE_IMG} 发起攻击 \n\n从更高处攻击以提升伤害。"
"HASH_21633695": "肖恩蒂热衷于享乐，却对圣徒忠贞不渝直至最后。她既能引人注目，也能融入任何场合。"
"HASH_3A3A0D95": "选择 {0}"
"HASH_4C9D1B95": "弧线连击"
"UNL_DESC_STOMP_1": "提升践踏的范围与眩晕时间。"
"HASH_ABE96C96": "激活闪电增益"
"HASH_F8E7EC97": "武器 - 弹跳步枪回弹"
"HASH_A5A73A97": "机甲战衣 - 悬浮消耗 2"
"HASH_54943C97": "超级冲刺现在可在水面进行。入水时按住 {SPRINT_IMG} 即可在水面冲刺！"
"HASH_4C99C697": "从暂停菜单打开选项菜单"
"HASH_B3CBB397": "队伍：%s\n接受这支队伍的选择吗？"
"HASH_55A39697": "玩法"
"HASH_D4F85297": "杀戮机器人击杀"
"HASH_64F89D97": "它们源源不断地涌来……至少直到你炸掉它们的传送门，把它们送回老家。"
"UNL_SPRINTING_1": "冲刺 - 龙卷风"
"HASH_B9BC2A98": "@@STOMP_ROCK^^提升被震飞目标受到的伤害。@@STOMP_GRAVITY^^单个目标承受的伤害会分摊给所有处于静滞状态的目标。@@STOMP_SHRINK^^被缩小的目标承受更高伤害。"
"HASH_A9E39F98": "超级践踏"
"HASH_59CF2C98": "与本·金交谈"
"HASH_6740A998": "外星人被超级踢飞数"
