# TODO: Translate to Simplified Chinese
# Source: subtitle_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 603

"HASH_BC417DC0": "这不是关于希望，或者信仰，甚至不是关于赢。"
"HASH_8D7B4EE9": "聊得好。"
"HASH_39A04F29": "你说得对，他确实不像。"
"HASH_F38A0269": "我们在斯蒂尔波特不用那种语言。"
"HASH_A9E370E9": "你当帮派老大那会儿更有趣。"
"HASH_F3C8DDA9": "欢迎来到试验场，根子粉丝们！今晚的赛事是第三街圣徒的头目和他的头号枪手对决死亡与沮丧的大厅——根子碗竞技场！他们会生还吗？会倒在你最爱的教授手下吗？敬请期待！屠杀现在开始！"
"HASH_1FB50CA9": "在这架飞机上，香蒂和我失去了最好的朋友。约翰尼·盖特帮忙创立了圣徒，香蒂从加入起就一直仰慕他。他牺牲自己救了我们。现在我要我们的朋友回来。"
"HASH_BDC7FBAA": "好出场。"
"HASH_B58466EA": "军情六处坑了我们。"
"HASH_2F06A32A": "保持警惕，X先生可能藏在任何地方。"
"HASH_C0A999EA": "我们有计划吗？"
"HASH_D85A10EA": "天哪，我们做了什么？"
"HASH_00A9202A": "有道理。那我会怎样？"
"HASH_2EDB5B6A": "她大概是的。"
"HASH_748274AA": "老大，趴下！"
"HASH_D624752A": "我比这里所有人都聪明。"
"HASH_08CE18EA": "作为圣徒的门面，皮尔斯·华盛顿一直很适应公众的目光。有人可能因此觉得他变软了，但不管要做什么，他一直对帮派忠心耿耿。"
"HASH_345898AA": "欢迎来到心灵！压制！谋杀！规则很简单：每个得分区域包含各种漂浮的圆环。圆环的颜色表示你需要将哪种东西投进去才能得分。载具走蓝色，人走绿色，我们的根子教授本人走粉色。在时间限制内每个环都得分即可获胜。祝你好运！"
"HASH_1F3F006B": "齐尼亚克痴迷于地球文化，他特意回去收藏了他最喜欢的人类。"
"HASH_3B0B136B": "伙计们，别误会……但我已经在过去生活了好多年了。我准备好了面对未来。"
"HASH_2454F4AB": "看来你的名不副实。"
"HASH_737ECC6B": "或者说他死了，谁知道呢！"
"HASH_7EECC72B": "拜托！我就不能找点补偿吗？他走丢了而已，多大点事。"
"HASH_C6427A6B": "呃，完——"
"HASH_332F5F6B": "如果军情六处需要什么，他们会通过正常渠道发来，不会飞越大洋过来。"
"HASH_560145AB": "不，你知道。你是通讯总监，解决这个问题。"
"HASH_979A626B": "好了，你们两个进去——嘿！"
"HASH_65616F6C": "金吉说得对，那些东西在地球上就灭绝了。"
"HASH_A855EC2C": "两人都有领导经验。两人在高压下都保持冷静。两人都热爱简·奥斯汀。"
"HASH_6A49902C": "阿莎，我——"
"HASH_F8D25DAC": "总统的话被断章取义了。"
"HASH_906E4C2C": "我得承认这比预期的低了一点。"
"HASH_B0E9B4AC": "你疏远了部分美国人。"
"HASH_B156D6EC": "我们得走了！"
"HASH_7BA8F22D": "我没想到你知道。"
"HASH_B6C063AD": "是啊，嗯……在斯蒂尔波特你本可以杀了我但你放我走了。几个拳头我可以原谅。"
"HASH_B9C80BED": "我觉得你严重低估了一个超级特工的头脑有多危险。"
"HASH_814C742D": "但更重要的一点是：如果地球没有被摧毁，实用主义就会压过绝望，圣徒们就永远不会与历史上最危险的人重聚："
"HASH_E8B452ED": "如果接管模拟世界的一小部分就让你找到了我，那接管整个该死的模拟世界一定能做点什么好事。"
"HASH_8C7AF8AD": "保护总统！"
"HASH_6CD3E66E": "人类已经灭亡了，我的朋友。是你跟进的时候了。"
"HASH_3731E26E": "你是说他在入侵多年前就绑架了你，因为他认为你一个人就能阻止他。"
"HASH_B83D1AAE": "抱歉，还有他妈的半个斯蒂尔波特。团队加油。"
"HASH_4471B5EE": "什么意思？"
"HASH_C52AAE2E": "你想开派对？"
"HASH_1E87D42E": "齐尼亚克喜欢废物利用。"
"HASH_6A7BCF2E": "但跟往常一样，我又跑题了……像所有好故事一样，第二幕从一个行动号召和制造机器人开始。"
"HASH_C7F9392E": "你认识区号217的人吗？"
"HASH_6F8C796E": "需要化粪车的时候怎么一辆都没有。"
"HASH_CE2B1DAF": "根据我们的经验，我们是已知宇宙中最先进的文明。"
"HASH_5517F62F": "而且我信任你。国家信任你。看看那把我们带到了什么境地。"
"HASH_29D8B36F": "金吉，我需要那个机器人启动运行。"
"HASH_D7C334EF": "奥列格死了。维奥拉死了。地球没了。所以你能不能别当他妈的混蛋，说一句\"谢谢你给了你们永远不会有希望。\""
"HASH_60FA522F": "当这个角色由一个反社会者来扮演的时候就是了。"
"HASH_ADE5986F": "是啊……"
"HASH_2943A72F": "那说不通。"
"HASH_DA2E446F": "我一直试图解释这一点，但总统不听。"
"HASH_DF24846F": "你忍不住，对吧。"
"HASH_C3F0B0B0": "齐尼亚克告诉我一个朋友他可以恢复地球，他在撒谎吗？"
"HASH_417C0F30": "……各位朋友，这就是我第一次遇见圣徒的经过。"
"HASH_F3F01570": "不好笑。"
"HASH_5A9EF6B0": "善良的你有点混蛋。"
"HASH_6F91E8F0": "那不是重点。"
"HASH_0DA39730": "多点乐趣，少点安乐死。"
"HASH_D4F48231": "金吉，其实没那么糟……"
"HASH_0DB79DB1": "这他妈都是什么？"
"HASH_C62CC831": "什么？"
"HASH_DD124731": "邪恶的我有点混蛋。"
"HASH_3BD5B871": "你的邪恶双胞胎。"
"HASH_5056D2F1": "伙计们，也许我们应该——"
"HASH_D29D0EF1": "香蒂。这对她来说是人生转折点，只有这能解释。"
"HASH_DF0F05B1": "我，香蒂和——我的天……约翰尼还活着。"
"HASH_6352DA71": "……他大概正在齐尼亚克的船上享受探索的乐趣。"
"HASH_4BBF58F1": "没问题。"
"HASH_F96457B1": "我是香蒂。"
"HASH_1FBCBD31": "对不起，我忘了检查电池，因为我忙着协调一场国际暗杀行动！"
"HASH_A9CB6FF2": "这关乎意志。"
"HASH_CA695372": "为了旧时光再来一次？"
"HASH_63860A32": "但我们还没到这趟飞机之旅最精彩的部分……"
"HASH_6D0A03B2": "谢了？"
"HASH_D9E19A32": "你们好，人类们……"
"HASH_04F590B2": "所以你承认你有问题。"
"HASH_0DC8C532": "我的技术给我争取了10分钟窗口。如果我们行动快，只需要对付步行的守卫。"
"HASH_8CBA78F3": "别逗我了，阁下。"
"HASH_57093EF3": "永远如此。这样你知道我说要拧下你该死的脑袋时不是在撒谎。"
"HASH_E48B0133": "不重要了。"
"HASH_C6242B33": "我以前是个废人。"
"HASH_73D576F3": "变得奇怪了。"
"HASH_7E477DB3": "\"哎呀金吉，谢谢你救了我的命。\" 谢谢老大，我很高兴被感激。\"老大？我现在是总统了。\" 你什么时候变成这么个混蛋的？\"惊喜吧金吉，我一直是个混蛋。\""
"HASH_E6942C33": "人民困惑了。圣徒是嗜血的杀戮机器、执意于毁灭吗？"
"HASH_E723C8B4": "你他妈在逗我吧。"
"HASH_A755C474": "当改变历史的兴奋感消退，圣徒们想起了辛杰的话……"
"HASH_CB683BB4": "等等，你要再进去？你插在电脑上可杀不了齐尼亚克。"
"HASH_EB8A5C74": "就这样，第三街圣徒崛起了。"
"HASH_C3466475": "金吉，你没事！"
"HASH_E8FEF435": "精彩。"
"HASH_0C065AF5": "我以为我们是来杀邪恶克隆人的，不是来选餐具的。"
"HASH_542134F5": "总统即将进入本·金的大脑。"
"HASH_8142CF35": "你现在出奇地冷静。"
"HASH_0E1B1875": "你错了。"
"HASH_AB650A35": "行……拿去。"
"HASH_0AE87AF5": "不！"
"HASH_0924E735": "他们说家里人没人信他们。"
"HASH_C29A9935": "他们到20点了。"
"HASH_129B8BB6": "嘿，你拿到了。"
"HASH_CBD89436": "碎爱尔兰人酒吧都在哪？"
"HASH_54402476": "这里？！"
"HASH_DD063DF6": "你刚揍了个半死的那个家伙正在冒一切风险救你的朋友，你知道为什么吗？因为我们已经救不了我们的了。"
"HASH_C2674A36": "这下要变得刺激了……"
"HASH_1B7D4EB6": "你抽烟？"
"HASH_A7209176": "我不需要你的帮助。"
"HASH_841A4C36": "我觉得叛国罪只有在有星球审判你的情况下才算数。"
"HASH_8DD05176": "我疏远的是疯子。"
"HASH_861D2337": "别太兴奋了，提伯尔特最后死了。"
"HASH_359F1CF7": "尽力了。"
"HASH_16F07AF7": "为什么我感觉这是严重的轻描淡写……"
"HASH_98761777": "我不喜欢我们坐在这里无所事事，不该去接马特吗？那孩子可能有麻烦了。"
"HASH_57FD4077": "然后找到齐尼亚克。"
"HASH_F50A4FB7": "金吉，你能用这东西把我放回模拟世界吗？"
"HASH_AF536077": "一点点。"
"HASH_2BDED077": "麦克风坏了？你他妈在逗我吗？"
"HASH_C13338B7": "而那里，朋友们，就是我们旅程开始的地方。"
"HASH_00BDE777": "举世皆知，偶尔会出现无法解释的情况。"
"HASH_5FA2A738": "\"赢家通吃\"，经典。"
"HASH_ACF6ECF8": "\"赢家通吃\"，经典。"
"HASH_B82EB6B8": "没人呼叫罗迪帮忙……"
"HASH_EDB39B78": "齐恩人来了！"
"HASH_623009B8": "谢了马特。"
"HASH_6FA202F8": "听着，如果你担心我脑死亡，我觉得这是退出过——"
"HASH_1584AE78": "你们多少人在这听着？"
"HASH_A2A55AF8": ""
"HASH_AF3751B8": "是啊，我觉得我应该能——"
"HASH_B7C3B3B8": "我确实欣赏你的精神，亲爱的。我是齐尼亚克，很高兴见到你。愿意和我一起兜个风吗？"
"HASH_9C778179": "找到看起来最异常的东西就行，那大概是她。"
"HASH_C5E66FF9": "所以怎样，你要把你的信念寄托在齐尼亚克身上？放弃自由意志去统治什么狗屁白日梦？"
"HASH_7BA29D39": "该死！"
"HASH_6BB090B9": "你像约翰尼·盖特，但头发更好。"
"HASH_70591AB9": "对了，忘了告诉你，地球被炸了。"
"HASH_0536CEF9": "那不是你的错。"
"HASH_E6230079": "别毁了这一切，基思。"
"HASH_925A7EF9": "你，当然。你需要帮忙设置DVR。"
"HASH_AA37B7B9": "哦别装惊讶了。我告诉过你这会发生。"
"HASH_BF515EF9": "你什么时候开始认真对待金吉了？"
"HASH_40006439": "不知道里面有多少人，但外围大约有八个人在巡逻……我发信号我们就——哦糟了。"
"HASH_DBDF76B9": "嘿，能不能回到这是个套的那部分？"
"HASH_380B733A": "但我们需要记住我们为什么这么做。而今天赌注更大了。"
"HASH_19062E3A": "我没迟到简报吧？"
"HASH_761D197A": "你来不来？"
"HASH_7CCB84FA": "我只是觉得你太夸大了。"
"HASH_EA669B3A": "有点。"
"HASH_0C83777A": "那就让我把话说清楚……"
"HASH_A1E9153B": "计划是什么？"
"HASH_892BCF7B": "是啊。"
"HASH_175657BB": "我现在知道了。"
"HASH_657F05BB": "怎么了，你对我脸做了什么？"
"HASH_02FFBA3B": "帝国建设？抱歉，谁他妈当上了美国总统。"
"HASH_9D001ABB": "是啊，你现在很无聊，以前多有意思。"
"HASH_70AFE13B": "我可以识别结构弱点，找到他们关押朋友的位置……"
"HASH_E2156A3B": "我选对了竞选搭档……"
"HASH_40B36BBB": "金吉，不！"
"HASH_243D43FB": "哦，她跟克格勃关系铁，我好多了。"
"HASH_D777D73B": "马特·米勒，自封的黑客之神，在斯蒂尔波特为辛迪加负责所有网络恐怖活动。现在，他是阿莎在军情六处的得力助手。我只希望我们能像她那样信任他。"
"HASH_67861CBC": "我喜欢。"
"HASH_A284767C": "基思……求你了。"
"HASH_A158D23C": "也许。但数百亿生命在赌……如果他说的是真话，一命换大局又如何。"
"HASH_BEB61F3C": "金吉……"
"HASH_18E3E67C": "那你他妈的爱死我了，你这坨屎。"
"HASH_7C2DFC3C": "哦哦哦，你说话凶的时候我好喜欢。"
"HASH_A3100C3C": "你他妈在说什么？"
"HASH_C902B8FC": "无所谓了，你们像是一个人。"
"HASH_5B38DBFC": "外面情况怎么样？"
"HASH_7E234C7C": "我用电脑能杀很多人。"
"HASH_247A63BC": "让我来操纵。我带我们离开这。"
"HASH_87605E7C": "别担心，亲爱的。含蓄不是我们的风格！"
"HASH_5C2D967C": "你需要在平台间跳跃。通过把红色平台变成蓝色，通向这个模拟世界的电力连接将保持打开。你落在中心附近，连接就越强。"
"HASH_FE647ABD": "但有一件事我们可以做，就是复仇。"
"HASH_14F2723D": "好演讲。你出卖人类那部分在哪？"
"HASH_FCAC483D": "是？"
"HASH_37371DBD": "我在跟那个机器人说话。"
"HASH_96BA6D7D": "全没了。"
"HASH_CAEC7EFD": "无处可逃。"
"HASH_3A73953D": "我们有一个国家要治理……\"有趣\"不在方程式里。"
"HASH_535A85FD": "你会结婚吗？"
"HASH_DC7D0EFD": "到了。"
"HASH_A48806BD": "好戏开场。"
"HASH_FCA8CCBD": "这个简单的选择让圣徒脱胎换骨，从堕落的街头帮派变成了受人爱戴的流行文化偶像。"
"HASH_E09D52FD": "该死的丫头，这是我的任务，我的决定。码头有一批卡车在卸货。我们先去那里开打，引出齐尼亚克的人。"
"HASH_2006EF7D": "赛勒斯·坦普尔。那个政府打手让我头疼太久了。好像现实中还不够糟，更糟糕的虚拟版还入侵了模拟世界。我们去塞拉角摧毁他的基地，一劳永逸地了结他。"
"HASH_5012CB7E": "听说过？贱人，这可是我写的。"
"HASH_38B74FBE": "所以我在飞机上做我的事……"
"HASH_8ABD527E": "算了，没什么。"
"HASH_ADDF993E": "你说这头衔好像它是个脏词。"
"HASH_0DD18A3E": "最后一次机会。"
"HASH_3B7286FE": "怎么了，你有更好的？"
"HASH_B636133E": "准备好离开这里了吗？"
"HASH_98A9713E": "你这个糟糕的人。"
"HASH_6D29D7FE": "一个诚实的人。从历史上看，你将近一半的时间在嘲笑他。"
"HASH_744FEC3E": "老大选你当副总统时我很震惊，但结果你做得不错。"
"HASH_DD976ABE": "玫瑰不叫玫瑰……"
"HASH_FBB0113E": "什么*哔*……"
"HASH_4813A87E": "阿莎是好人。奥列格从克格勃时代就认识她。"
"HASH_EEFAEBFE": "齐恩人在用C.I.D.让一个倒下的热点恢复上线。一旦你从他们那里拿到一个C.I.D.，把它带到安全位置擦除旧程序，让AI把它的性格上传到新壳里。"
"HASH_16EA0CFF": "阿莎……我以为你更了解我。"
"HASH_350E4BBF": "我的朋友们，你们每个人都犯有反齐恩帝国罪，但今天是你们的幸运日……今天你们将参加一项新的工作释放计划……"
"HASH_F5295E3F": "那些东西有多少个？"
"HASH_DD8B9A3F": "我想我弄明白这怎么运作了。沿着路径跑收集能量球，它们会增强你的新速度。每次到达检查点你就能在程序中多待一会儿，直到抵达终点。不过你大概想避开路上的防火墙。祝你好运！"
