# TODO: Translate to Simplified Chinese
# Source: dlc2_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 602

"HASH_8AC9CA00": "嗯，没打算去。"
"HASH_4AF5825E": "除非爪子吃了很多培根，否则不是。"
"HASH_065179DE": "情人节"
"HASH_AE51A6DE": "变成他的特殊\"士兵\""
"HASH_E623791E": "娃娃和火车的日子早已一去不返。爪子让他的精灵重建了生产玩具的机器，现在它们只生产战争武器。一支精灵军队对他来说不够，他要更多、更大、更凶残的士兵。他要让全世界的孩子倒向他这边。"
"HASH_B02CE6DE": "没过多久，精灵抵抗——以及整个圣诞节——就土崩瓦解了。爪子把玛丽锁在了一块偏远浮冰上，占领了北极。但他无法使用它——因为它依赖给予的力量，即使它是一件大规模杀伤性武器。但这不重要，因为掌权的是爪子。工坊上空的天变暗了，叛徒闪亮变成了监工。世界唯一的希望是："
"cm_ubdy_uglyxmas": "圣诞快乐"
"HASH_1739269F": "会崩掉你的牙。"
"HASH_F5472D1F": "定制你的棒球棍，把节日欢乐打进敌人身体里。"
"HASH_5963E41F": "拿取  [format][color:power_tele]礼物[/format]"
"HASH_C4A5C1DF": "复活 [format][color:revive]圣诞老人[/format]"
"HASH_13749FDF": "C.I.D."
"HASH_64364D1F": "我用那个游戏节目的奖金把房子全款买下来了，所以我想，如果有什么地方还在，那就是我家。我打了辆出租车回家了。"
"HASH_9FB31FDF": "那个监工闪亮"
"HASH_ABBD66DF": "爪子的部队袭击了我们"
"HASH_5E3DC01F": "在斯蒂尔波特竞技场集结所有人"
"HASH_05E12CDF": "是的。"
"HASH_53EEB31F": "圣诞节到了，爪子的清算也随之而来。乖的孩子得到了武器。不乖的被有意识的胡桃夹子绑架变成了邪恶的姜饼人。全球的爸妈们试图从孩子手中拿走枪支、刀具和榴弹发射器，但迎来的是崩溃、撒泼打滚，以及偶尔的不雅手势。"
"HASH_FF38485F": "他们哪有那福气。"
"HASH_A937D79F": "如果说圣诞老人被齐尼亚克囚禁有一丝好处的话，那就是这个快乐的老精灵不必看到他最好的朋友在节日最黑暗的时刻背叛他。圣诞老人会崩溃的。"
"cm_hat_santa01": "圣诞老人帽"
"HASH_FEF22820": "其实，你应该放弃。"
"HASH_9B13A6E0": "巨型骨头"
"HASH_0231F260": "充满动漫风情的服装、发型和武器已解锁，在衣柜和武器柜中等你！"
"HASH_060A91A0": "终结"
"HASH_5BD85B60": "在这段时间里我们见证了圣徒如何崛起掌权，见证了圣徒如何复仇，甚至见证了圣徒如何让人类和迅猛龙团结在一起。"
"HASH_00CC9120": "获取 [format][color:use]绯红牛仔[/format]"
"HASH_E5790D60": "我们找了，但什么也没剩下。"
"HASH_1FA069E0": "他成功了。圣诞节沦陷了。北极燃烧了。随着节日的欢乐被抽干，世界的精神如同披上了丧服。但那是另一个故事了。"
"cm_suit_santa01": "圣诞老人套装"
"HASH_3E006660": "……一个圣徒得到了一把枪"
"HASH_4853A2E1": "爪子可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。"
"HASH_FC7BFD61": "我不屈服于同辈压力"
"HASH_FC623C21": "人多力量大对吧？要彻底消灭爪子，我们必须确保闪亮和他的人被引开。皮尔斯想出了计划。（我知道，我也很惊讶。）阿莎和本负责执行。金吉假装受伤吸引守卫注意。本从背后偷袭，阿莎抢走了巨型精灵的武器。"
"HASH_AA6DA3E1": "银条，老天保佑他小小的精灵心，可不是世界上最隐蔽的精灵。他从工坊到华盛顿特区的路上全程被跟踪了。一个奉叛徒闪亮之命的密探，把我们的计划报告给了爪子。机库门一开，一整队雪橇——每辆都伴随着机械驯鹿的尖啸声——从天而降。"
"HASH_1ACAD1A1": "那不太清楚"
"HASH_EF4A7761": "一旦他们遇到银条"
"HASH_06BB58A1": "一开始没人知道。圣诞精神如此强大，北极的一切照常运转，好像什么都没发生。当然，精灵和圣诞夫人知道圣诞老人不在了，但他们也知道世界决不能知道。"
"HASH_B4EE30E2": "香蒂？"
"HASH_2309CAE2": "前往 [format][color:location]礼物分拣机[/format]"
"HASH_9F273EA2": "返回 [format][color:location]汽车影院[/format]"
"HASH_9BD27AA2": "捍卫你的尊严"
"HASH_29A26662": "用超能力的巨型精灵传播节日欢乐。"
"HASH_6DC5E362": "基思·大卫"
"HASH_07FFBD22": "水果蛋糕"
"HASH_6FE4CCA2": "1. 原型计算机处理器，每秒可执行万亿次指令（政府某个秘密实验室里有一台）\n2. 神经接口，让我能把笔记本直连大脑（也在一个秘密政府实验室里，好像是另一个实验室）"
"cm_hair_animegirl": "超可爱"
"HASH_88EB7B23": "你现在可以在传送门车库使用此载具"
"HASH_60C21C63": "老大家"
"HASH_9542BAA3": "恐龙占领了地球！"
"HASH_989205A3": "于是精灵们开始制造武器和致命玩具。一件件塞进爪子的口袋。审判的时刻临近，工坊里的气氛令人绝望。没有人敢站出来反对监工闪亮或他的主子，邪恶的爪子。"
"HASH_AA13A223": "毁掉节日！"
"HASH_972B4664": "你手指不累吗？"
"HASH_E4242DE4": "不！不过我想也许还有《圣徒风云5》。"
"HASH_AB565164": "阿莎"
"HASH_85F34C24": "不，我没抽灯泡。"
"HASH_5ED6F7A4": "跟银条睡过"
"HASH_D3FCD3E4": "抱歉，克拉伦斯。这次不行。"
"HASH_9F582864": "跨年夜"
"HASH_7F2A28A4": "圣诞节不在乎你是否相信它。圣诞节相信你。"
"HASH_2925B764": "你知道大奔、舞者、欢腾和泼妇吗？它们最先死了。爪子和他的邪恶军队把它们的头插在长矛上在工坊游街示众。不久之后，据我所知，爪子造了他的机械造物：机械驯鹿。"
"HASH_8E307725": "你的牙医因为你都在看新游艇了。"
"HASH_4AFDEC65": "伙伴 - 圣诞老人"
"HASH_912C79E5": "香蒂死了"
"HASH_8A7DCE65": "肖恩蒂"
"HASH_FD3F1CA5": "听，我知道我对皮尔斯很苛刻，但在约翰尼之后，我最想见到的人就是——抱歉，我说不下去了。不可能板着脸说这话。"
"HASH_06BA4E65": "爪子的监视之眼"
"HASH_32B43765": "我们发现空军一号没油了"
"HASH_C73491A5": "喷农药！"
"HASH_9CE87D65": "说远了。总之，我们有了队伍，你知道什么？感觉很好。我，金吉，老大，约翰尼。精干利落。哦，还有银条。精干利落而且很矮。我是说，真的很矮。他只到我的膝盖。我在他面前都不敢穿裙子——抱歉，又说远了。我们有了人手。有了一些魔力粉末。有了一个目标：消灭爪子。具体怎么做？嗯……"
"HASH_CAE7E2A5": "爸爸妈妈为什么讨厌圣诞老人？为什么要把他的礼物拿走？没有答案，父母们只能妥协。但这只是爪子计划的第一阶段。第二阶段在以下日期执行："
"HASH_663119E5": "结果，圣诞夫人并非简单地被关在浮冰上的监狱里。她被爪子和他的人强迫制造——嗯，唯一的形容词是\"畸形怪物。\""
"HASH_303E8625": "对北极的进攻迅速而残暴。精灵们进行了英勇的抵抗，但没有了圣诞老人给他们节日的加成，他们也知道自己最终赢不了。雪上加霜的是，圣诞老人最信任的精灵，那个在他不在时接管送礼物职责的人，被爪子拉拢了。我说的当然是……"
"HASH_6F06D7A5": "薄荷清新！"
"HASH_A51D24E6": "你就是喜欢那声音吧？"
"HASH_6D5AFB66": "载具 - 欢乐康普顿"
"HASH_F95873A6": "复活 [format][color:revive]圣诞老人[/format]"
"HASH_6409C1E6": "他一定在开玩笑"
"HASH_1D494B66": "3：圣诞危机"
"HASH_D6124F66": "\"嘿，我们喝点蛋酒吧，怎么样？\" 典型的皮尔斯。\"或者至少来点蛋奶酒味的圣徒饮料！\" 于是我们喝了。我们聊着、笑着、讲着故事，外面开始下雪了。我们围着树唱圣诞颂歌直到深夜。那天晚上，所有人都走后，我缩在床上，听到屋顶上有脚步声。"
"HASH_24DE3A66": "老大家"
"HASH_1BDA1126": "那必须做但不能是第一步。干掉闪亮只会把爪子引过来。我们必须先做别的事。"
"HASH_1B8F22E6": "闪亮丢了一只眼"
"HASH_EE0F8426": "不是真的"
"HASH_194A0527": "你没有别的事做吗？"
"HASH_1262DFA7": "未来香蒂可以从HUB \"手机\"菜单中召唤到模拟世界中。她会帮助圣徒战斗。"
"HASH_53504F27": "前往 [format][color:location]仓库[/format]"
"HASH_02C12067": "爪子找到了齐尼亚克的时间机器，藏在他办公室后面。我从来没有这么高兴看到一台机器。（金吉会不同意。）但机器坏了。一半的零件不见了。用被摧毁的机械鲁道夫的零件（其中一些用来修了我的眼睛）加上一点精灵的智慧，金吉和马特把机器修好了。但它只够送一个人回去。"
"HASH_17845A67": "3. 基思想要什么他肯定也赚到了，就给他吧。\n4. 本想要的大概是我们大多数人觉得无聊的东西，但如果能让他笑就给他吧。\n5. 金吉想要什么我确信最终会造福大家，所以应该让她得到。\n6. 盖特想要什么就给他。相信我，这样最省事。"
"HASH_2651EA27": "圣诞老人，\n\n为了阻止这里的辛族以及太阳系以外可能还存在的一切辛族，我需要以下物品：\n\n- 所有辛族飞船型号和战斗站位的战术布局\n- 上述飞船或站位的所有区域访问码和物理密钥\n- 辛族帝国当前和过去的所有战斗策略完整记录"
"HASH_093F7568": "石器时代包"
"HASH_74005EE8": "击杀 [format][color:kill]爪子[/format]"
"HASH_B60E47E8": "服装 - 圣诞毛衣"
"HASH_FE16BCE8": "坎卜斯！"
"HASH_8A473EE8": "亲爱的圣诞老人，\n\n我知道现在人类日子不好过，所以我觉得寄这封信很重要。它提醒我们即使面对如此逆境，这个时节仍给所有人带来共同的欢乐和幸福。"
"HASH_D577D069": "也许你确实喜欢拐杖糖。太喜欢了。"
"HASH_94E22AE9": "圣诞老人手套"
"HASH_B1EBE4E9": "伙伴 - 巨型精灵"
"HASH_682BD969": "喝啊啊啊！"
"HASH_D8A23EE9": "返回 [format][color:location]爪子[/format]"
"HASH_ECAC0C69": "[format][color:location]送达[/format] 礼物"
"HASH_BAD7C629": "登上 [format][color:location]雪橇[/format]"
"HASH_6D23BFE9": "6：节日大行动"
"HASH_A678BBE9": "然后他就在那里：约翰尼。脸上挂着那个傻乎乎的笑容。而且不只是他。金吉、阿莎、马特、本、皮尔斯和老大都在。他们没有忘记。事实上，他们都知道我最终必须回来的那个地方。他们用拥抱、击掌和一圈又一圈的\"圣诞快乐\"欢迎我回家。"
"HASH_67F4DAE9": "潜入爪子的办公室"
"HASH_3BE651E9": "叛逃精灵"
"HASH_FE5A83AA": "二型糖尿病发病率在上升哦。"
"HASH_975DBF6A": "开始淘气与乖巧"
"HASH_708DFB6A": "不，接近警报没响。这次不一样……"
"HASH_D1A7CFEA": "攻击 [format][color:kill]护盾[/format]"
"HASH_B4A52B6A": "送达 [format][color:location]香蒂的礼物[/format]"
"HASH_B1B35C6A": "他一定在开玩笑"
"HASH_D01A206A": "爪子"
"HASH_FA173AEA": "金吉"
"HASH_8D55E82A": "不，说真的，我愿意跟着他们下地狱，但跟他们一起住？不。不可能。"
"HASH_E6CF106A": "对着星星许愿"
"HASH_D2C1696A": "我们赢了"
"HASH_EC8289EA": "我记得老大原话是\"嘿，香蒂，那是你小侄子吗？\" 所以，不。"
"HASH_BA8D162A": "没人知道，爪子在圣诞早晨送给年轻人的那些\"玩具\"——刺刀、火焰喷射器和地雷发射器——发出了一种只有孩子能听到的高频噪音，触发后会把他们变成无脑僵尸。按下主雪橇上的按钮，爪子激活了他的军队。孩子们拿起武器，劫持了父母。"
"HASH_165BED6A": "更糟。那些被爪子评为\"淘气\"的可怜人，不只是收不到礼物或挨鞭子。不，爪子为他们准备了更糟糕的东西。"
"HASH_D3539BAA": "苹果酒男孩精灵民兵"
"HASH_405472AA": "乌龟？这算什么精灵名？小精灵也许还行，但精灵？"
"HASH_3D4202EB": "你现在可以在传送门车库使用此载具"
"HASH_6D52B56B": "所以圣诞老人是坏的？"
"HASH_944ED96B": "我们做到了。爪子被打败了。圣诞老人获救了。老大甚至领悟了圣诞节的真正含义。但我不能留下来。我必须回到我的时代。但在离开之前，我参加了世界上最壮观的蒙太奇。之后，我跟所有人告别，走进了辛族时间机器。我设定好唯一能去的日期，按下了按钮。一道闪光，我从过去消失，回到了现在。"
"HASH_F599B8AB": "作为我的真人约会节目《我想和香蒂睡》的忠实粉丝，银条一心想找到我——既是为了签名也是为了拯救世界。"
"HASH_0F40DC2B": "长达数月的圣诞宣传只会对爪子的邪恶行动有利。反圣诞广告只会适得其反。"
"HASH_594F43EB": "他叫银条。这只孤身一人的精灵成功脱离了队伍，逃过了闪亮和爪子的耳目。银条去寻求帮助，必要时甚至逆转时间，以拯救节日。他确实找到了帮手。但不是在全世界的名字都被列入淘气名单之前。"
"HASH_996207AC": "信件已收集"
"HASH_9BE82F6C": "你每年不都兴高采烈地摆暗夜之刃耶稣降生场景吗？"
"HASH_B749842C": "用圣诞老人的雪橇给乖孩子送礼物，给淘气的孩子送煤炭。"
"HASH_6E1808AC": "第三街奇迹"
"HASH_C110CA6C": "送达  [format][color:location]礼物[/format]"
"HASH_3CE037AC": "打破 [format][color:kill]冰[/format]"
"HASH_19E2AEAD": "你真那么想要那个成就吗？"
"HASH_E2D15EED": "你解锁了一个新的淘气与乖巧活动实例。\n查看地图获取位置。"
"HASH_1687036D": "保护 [format][color:defend]C.I.D.[/format]"
"HASH_94A37DAD": "打开 [format][color:use]投影仪[/format]"
"HASH_1CC7952D": "和圣诞夫人一起装饰大厅！"
"HASH_B0C709AD": "门开了！"
"HASH_5D353B2D": "说真的，水果蛋糕没那么难吃。"
"HASH_D3849A2D": "北极"
"HASH_6D38FEED": "亲爱的圣诞老人，\n\n如果你有空来飞船上我们的圣诞树下放些礼物，那我真的很想要以下几样东西。"
"HASH_32CFFD6E": "你直接咬穿大概还快点。"
"HASH_B51AFC6E": "伙伴 - 姜饼人"
"HASH_F58E686E": "到此为止"
"HASH_04699EEE": "和C.I.D.一起感受节日气氛。"
"HASH_D2B46EEE": "他会告诉你谁淘气谁乖。"
"HASH_8A9B92EE": "8：未来"
"HASH_8C08C8AE": "令人意外的是，我们很少见到克劳兹。有传闻说他正忙着某个更大的计划，某个终极的"大师阶段"，但没人知道那到底是什么。"
"HASH_DA07576E": "令人惊讶的是，我们很少见到爪子。有传言说他忙着策划什么更大的计划，某个终极\"主阶段\"，但没人知道具体是什么。"
"HASH_52BF50AE": "不久之后，一切就结束了。空军一号迫降了，我们全都被俘，圣诞节永远毁了。地球落入了邪恶版圣诞老人和他那支扭曲圣诞图标大军之手。一切希望都破灭了。我们别无选择只能屈服于爪子的意志。世界归他了。至少他这么以为。"
"HASH_0F95A0EE": "我只是觉得让年轻的自己体验一次美好的节日挺好的。毕竟，我在模拟世界里找到她时对她挺刻薄的，但我已经完全意识到她仍然是我需要接受的一部分。而且我知道那时候如果能收到不是来自加油站或后巷灯泡的礼物，对我来说意味着很多。"
"HASH_9292EEAE": "我想就这些了。如果得不到全部我也完全没问题，所以找不到圣徒饮料别担心。\n\n但第4项必须有。说真的，那太不靠谱了。\n\n皮尔斯·华盛顿"
"HASH_8E98DCAF": "继续按 {ACTION_IMG}"
"HASH_3E87E62F": "圣诞季"
"HASH_7DA4B3EF": "圣徒如何拯救圣诞节"
"HASH_F331E2EF": "清理 [format][color:kill]庭院[/format]"
"HASH_9513F9EF": "闪亮倒下后，我们冲进了爪子的据点。看到我们来了，流水线上的工人们受到了鼓舞。他们拿起武器加入了我们。圣诞工坊之战漫长而血腥。战斗中某刻，我拿到了一把绯红牛仔——精灵武器库中最强的武器。我们就在爪子办公室门外时，一头鼻子发光的机械驯鹿朝我冲来。"
"HASH_575390AF": "消灭机械驯鹿"
"HASH_C31C662F": "*叹* 是的。似乎在总统任期某时，皮尔斯出了个高招——给空军一号装一个\"空中喷洒装置\"。据老大说，那是皮尔斯\"把全世界涂成紫色\"计划的一部分。各位，这位就是我们的通讯总监。"
"HASH_6FCA9D6F": "玛丽忙于监督行动的所有其他方面。她最不想做的就是还要去送礼物。而且她对驯鹿皮屑过敏。"
"HASH_D21A1470": "变态。"
"HASH_EBC42670": "穿上 [format][color:use]礼物[/format]"
"HASH_F029E0B0": "清理 [format][color:kill]工坊[/format]"
"HASH_7C34B430": "巨型精灵"
"HASH_6A4E7BF0": "2：爪子的崛起"
"HASH_A1157FF0": "我知道那不是黑帮小子的名牌球鞋声，也不是外星种族的蹼足声，也不是机械驯鹿的金属碾轧声，而是蹄声嗒嗒和圣尼克闪亮的靴子。明天早上，我会醒来看到圣诞老人给我送了什么礼物。不管是什么，我已经得到了唯一想要的礼物：最好的圣诞节。"
"HASH_6CDD21B0": "开局不错但不。我们必须先做别的事。"
"HASH_EFF1B830": "没有圣诞的世界"
"HASH_6E4D35B1": "不，说真的，这要讲一阵。"
"HASH_DD7DA971": "载具 - 大奔"
"HASH_25635FB1": "不，齐尼亚克把圣诞老人困了几十年了，慢慢地侵蚀他的精神。如果我们不尽快解救他就太晚了，他永远不会再是快乐的老圣尼克了。"
"HASH_AA0035F1": "看来有人从没上过乖孩子名单。"
"HASH_9266D131": "终结 [format][color:use]爪子[/format]"
"HASH_75C610F1": "马特认为应该是阿莎。本建议金吉。但皮尔斯说应该是我去。\"香蒂失去的最多，\"他说。嗯。也许我对皮尔斯一直太苛刻了，我想。\"而且，如果她回不来，我们还保留了所有重要的人。\" 也许没有。"
"HASH_6964D271": "联合国"
"HASH_60836AF1": "7. 阿莎想要什么我确信她觉得很重要，但记得也给她加点好玩的。也许这样她能放松一点。\n8. 马特想要什么就让他有吧。别告诉我就行，我大概会开心点。\n9. C.I.D.想要什么……我大概先检查一下是否安全。他品味怪怪的。\n10. 至于我，一匹小马。这是标准的第一个该要的礼物吧？"
"HASH_E02C76F2": "然——后——"
"HASH_E6377772": "举办节日派对"
"HASH_CE8574B2": "某处有一只巨大的无骨鸡在找这个。"
"HASH_57A72032": "动漫包"
"HASH_92D1D372": "老大，你到底帮不帮？"
"HASH_C4118C72": "摇铃"
"HASH_93231D72": "虽然不是最史诗级的选项，但没错，博物馆节假日关门了，我出不去了。除非我用机械臂砸碎玻璃。我砸了。外面的世界美极了。每栋建筑正面都闪烁着五颜六色的灯光。孩子和大人一样在街角堆雪人。店面里传来颂歌和赞美诗飘到街上。圣诞节——还有其他节日——都存活了下来。"
"HASH_F2F47CB2": "嘿，我知道我一个人能搞定但有帮手总不是坏事。我第一个找的是约翰尼。首先，我不想身后只有一个精灵。金吉是第二个。然后她坚持要叫基思·大卫，但他最后在一个片场演自己的传记，没人有他号码。"
"HASH_A4FBE372": "银条，那个挫败了爪子势力逃出工坊的精灵，及时赶到文明世界，告诉了一小群普通人爪子、闪亮和其余党羽的阴谋。从北极向南徒步可不容易，但银条知道他必须传递消息。他必须让地球人知道即将发生什么。他比任何事都清楚，最适合告诉的人是："
"HASH_405FC7F2": "一起看肥皂剧的"
"HASH_082D1832": "没错！没人！"
"HASH_5E2287F2": "雪人不得携带武器。只会……惹麻烦。"
"HASH_F93747B3": "如果是蓝莓味的你也会舔吗？"
"HASH_1DC570B3": "伙伴 - 爪子"
"HASH_7A48F273": "圣诞老人呢？"
"HASH_FD7AFEF3": "本·金"
"HASH_4DD17F33": "老大"
"HASH_8A382C33": "不。可。能。"
"HASH_EBEF4DF3": "是的，但是……"
"HASH_BDE0D233": "2013年跨年夜。一个将遗臭万年的日子。一支遮天蔽日的雪橇舰队从地球北端如乌云般降临。没人知道它要来。没人做好了准备。"
"HASH_11362973": "清洗机械驯鹿马厩是工坊里为数不多的愉快活儿之一，因为这些机器被设计成将谷物状的能源转化为味道隐约像巧克力曲奇的奶油。至少我听说是这样。"
"HASH_38CC2934": "你现在可以在传送门车库使用此载具"
"HASH_59C3C3F4": "圣诞节嘛，总有时间发生奇迹。"
"HASH_1AC2D3F4": "马特·米勒"
"HASH_F68E0474": "她在做姜饼人。不是用糖和面粉做的普通姜饼人。这些是饼干士兵，一心想征服世界，被对战争无法满足的饥渴驱使。但姜饼人实验失败了。它们缺少一种特殊配料：人脑。"
"HASH_18E3FC34": "3. 关于外星科技存在的研究资料，让我对比辛族科技（查查51区，那是所有51区外星研究在公众太好奇后被转移到的秘密政府基地）\n4. 政府秘密计划中的纳米技术规格……"
"HASH_47F40DF5": "伙伴 - 未来香蒂"
"HASH_C34A94F5": "相信我。你不会。想。被列入。淘气名单。"
"HASH_41C9F4F5": "肖恩蒂阵亡！"
"HASH_8094EB75": "用它打足够多的人"
"HASH_EF953535": "嗯，是，也许吧，听着，总之……"
"HASH_1E0395F5": "致名唤圣诞老人者，\n\n如果我得到的消息正确，你愿意接受信徒寄来的礼物请求信。作为一个相信此等概念的人，我寄这份清单给你以备即将到来的节日季。"
"cf_suit_cavew": "史前美人"
"HASH_89F518B6": "你能行！"
"HASH_1B0F06F6": "圣诞老人，我……"
"HASH_287D2FF6": "爪子。来自我那个时代、你们未来的军阀。等我们知道他时已经太晚了，他太强大了。我们唯一的机会就是把我送回来警告你们。"
"HASH_FD0B91F6": "拜托，别这么刻薄嘛！"
"HASH_4FCFBCF6": "送达 [format][color:power_tele]你的礼物[/format]"
"HASH_6E8118F6": "前往 [format][color:location]商店[/format]"
"HASH_143D1836": "去找 [format][color:location]投影仪[/format]"
"HASH_637E40B6": "老大家"
"HASH_927E3DF6": "呃，不。"
"HASH_C471A236": "爪子挟持了世界。银条终于带着他那袋魔力粉末找到了我（虽然有点诡异）。人手（至少重要的部分）已齐。我们知道想让被爪子扭曲礼物洗脑的人回到我们这边——银条保证魔力粉末能做到。但当然有问题。问题是："
"HASH_68A75976": "他自称爪子。我们当时不知道这个黑暗怪物是从圣诞老人的大脑中撕出来的。圣尼克的劫持者，一个叫齐尼亚克的外星霸主，正在一片一片地瓦解圣诞老人的精神。齐尼亚克把格林格身上所有美好的东西揉皱、吐唾沫、浸入邪恶。结果就是爪子，圣诞老人的黑暗影子。齐尼亚克把爪子送到了北极："
"HASH_1F6B3E37": "圣诞老人可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。"
"HASH_A481D9F7": "我只想说清楚……你不能靠杀人上乖孩子名单。"
"HASH_5B203E37": "拿取 [format][color:power_tele]圣诞夫人的礼物[/format]"
"HASH_8B650CB7": "其他守卫赶来时，我发动了工人。等闪亮和他的人赶到时，我们已经拿下了矿场。巨型精灵倒在我们脚下——工人站在我们一边。我们准备好进入第二阶段："
"HASH_DD6A9377": "他们朝我们开火了。我们在机库里找掩护，打光了所有弹药。我不知道战斗持续了多久，但仿佛过了好几个小时。姜饼人、胡桃夹子、高得离谱的精灵和机械驯鹿包围了我们。敌人很强但我们意志坚定。硝烟散去后，结果很明显："
"HASH_0443E1F7": "乖巧的小男孩和小女孩？"
"HASH_F1C34737": "反圣诞广告"
"HASH_304D98F7": "闪亮"
"HASH_99DFB537": "坎卜斯！"
"HASH_71BC6837": "什么？不可能！圣诞老人不会死。他是*精灵*啊。"
"HASH_45C8CDF8": "你知道拐杖糖天然不含脂肪吗？"
"HASH_F161F1B8": "伙计们，这是我听过最蠢的事。"
"HASH_F649B738": "镇压 [format][color:kill]叛乱[/format]"
"HASH_C511CBB8": "淘气"
"HASH_858CF238": "别装饰大厅了，跟爪子一起砸烂大厅！"
"HASH_6AAAC7B8": "终结"
"HASH_FB0FF838": "我们的工作，日复一日，就是从土里采集金属。我们只有几把微型锤子和顶针大小的桶。为什么闪亮和他的手下不做人类尺寸的工具，我不明白。大概只是他们恶毒的又一佐证。我们当然起义过很多次，但每次都被挫败，因为："
"HASH_AD0067F8": "这么说吧，我摔到地上时少了一条胳膊。那个混蛋。我失血很快，意识在消退。最后我看到的是约翰尼跳上闪亮的雪橇——以及当那个精灵把还握着火箭筒的我的胳膊对准盖特的脸时他发出的惨叫。"
"HASH_25B86038": "一群古怪少年"
"HASH_01D69CB8": "小时候，圣诞节是我一年中最喜欢的日子。我家人总是忙于工作和学业，但一到12月25日，一切以家庭为重。只有我们，一些音乐，地上的雪，和一棵顶到天花板的树。那是魔法。"
"HASH_78929078": "我希望你给我年轻的自己一个最好的圣诞节。\n\n我知道，连我自己都没想到会这么说，但事情是这样的：我家人离开后我再也没过过好圣诞节，你比谁都清楚，圣诞老人。我不是嗑药嗑得太厉害，就是忙着跟不在乎我的烂男友在一起。"
"HASH_E595DE38": "3. 一整套高端录音设备。你知道的，前置放大器、麦克风、复古Studer A-180盘式录音机、键盘等等。你以为外星科技会有好设备，但这辛族的东西太烂了。\n4. 如果有人要一个有手有脚的等身圣徒饮料罐，别给他们！他们就是想趁我睡觉时放在我床上吓我。"
"HASH_6B82C779": "舔拐杖糖"
"HASH_F99FEC39": "再坚持一会。"
"HASH_BC6373B9": "查明谁淘气谁乖"
"HASH_68D4D0B9": "载具 - 一号雪橇"
"HASH_00F186B9": "不是因为它能阻止我成为暴君神，而是因为向陌生人传递快乐、与家人朋友创造回忆的感觉很好。"
"HASH_6126E779": "你拯救了节日，为此我感谢你。但证明改过自新不是一件好事就够了。"
"HASH_19F8D0B9": "你看，事情是这样的。根本没有乖孩子名单。"
"HASH_E214C979": "没错。我要找那个混蛋算账，为我的胳膊，为约翰尼，也因为他投靠爪子、帮助引发这一切。工人们拿起微型工具，从巨型精灵手中抢了枪。阿莎和本清理了其他人，我像只豹子一样扑到那个混蛋闪亮身上。我毫不留情地把他打了个稀烂。最后一拳，我把拳头穿过他那张巨型精灵脸，一直打进下面的地里。"
"HASH_2054A039": "干掉闪亮"
"HASH_B41B56B9": "没人能找到圣徒，除非圣徒想被找到。除了那些被人找到的时候。"
"HASH_18CDADF9": "恐怕坎卜斯和圣诞老人几个世纪前就不说话了。没人知道细节，但圣诞夫人赌是因为他们半年度的扑克牌局。显然，尼克玩德州扑克输不起。"
"HASH_329B4B3A": "开始根基假日特别篇"
"HASH_5CA9A73A": "这是一个摩登石器时代的趣味包，穴居人服装、武器和载具现已开放。"
"HASH_48A4993A": "用圣诞枪击败 [format][color:kill]爪子[/format]"
"HASH_767F2F7A": "淘气"
"HASH_E39895BA": "展现你的节日精神和可疑的时尚品味。你可以在衣柜里找到。"
"HASH_6EE59E3B": "不过我相信你会没事的。"
"HASH_E47D36BB": "巨型精灵可以从HUB \"手机\"菜单中召唤到模拟世界中。他们会帮助圣徒战斗。"
"HASH_7C0CDAFB": "拿取绯红牛仔"
"HASH_C7C0393B": "我的机械臂变成了开锁器！"
"HASH_2A320BBB": "成年人被塞进巨大、包装花哨的盒子里，扔进大袋子运到工坊。胡桃夹子开始摧毁留下的一切，砸烂汽车和自行车，放火烧屋。世界在燃烧，市民被俘，爪子开始下一阶段计划。但爪子没料到："
"HASH_A483AABB": "圣诞老人保险箱的密码"
"HASH_895DB33C": "记得汉塞尔和格蕾特的故事吗？"
"HASH_E08C2E3C": "姜饼人可以从HUB \"手机\"菜单中召唤到模拟世界中。他们会帮助圣徒战斗。"
"HASH_2075EC7C": "呃，有点意思，但不了。"
"HASH_2929AD3C": "前往 [format][color:location]马厩[/format] 或 舔 [format][color:use]门[/format]"
"HASH_EEA2E07C": "追击 [format][color:location]闪亮[/format]"
"HASH_7796417C": "终结爪子"
"HASH_51FF4CBC": "圣诞帽C.I.D."
"HASH_8722BCBC": "圣诞老人"
"HASH_8D100A7C": "阿莎"
"HASH_FA52D8BC": "但当我走到他门前，他没开门。我又敲了。没人应。直到我砸开了他的门（这只机械臂还挺厉害的），才发现他不在。没留言。什么都没有。我感到悲伤和一点孤独，决定去："
"HASH_91C820FC": "齐尼亚克的时间机器"
"HASH_A5C659FC": "是个平局"
"HASH_9B85B97C": "他们愿意帮忙——只要计划里有\"打坏人\"，老大就要参加——但绝不信什么圣诞魔力、精灵之类的东西。我愿意相信他们改了主意："
"HASH_CD8A26BC": "作为蛇的长期粉丝，爪子不想跟那个人有任何关系。"
"HASH_615CDDFC": "圣诞早晨，没有上乖孩子名单的人被疯狂的胡桃夹子抓走，送到工坊。他们将成为爪子伟大实验的对象。他需要那些淘气的人来："
"HASH_A454AB3C": "飞行驯鹿"
