# TODO: Translate to Simplified Chinese
# Source: voice_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 16797

"HASH_B9F9F000": "也许待会儿吧，行吗？"
"HASH_3E9424D9": "金吉，我们需要找个地方躲一躲，想个计划。"
"HASH_F7F310D9": "这车怎么不变道？"
"HASH_6E0684D9": "耶！"
"HASH_51BDF8D9": "好了，C.I.D.，我们怎么夺取这些中继器，阻止齐尼亚克搞乱模拟。"
"HASH_A6908CD9": "别让恐惧拦住你。"
"HASH_C4DB64D9": "看看谁来了！我最爱的想当间谍的跟屁虫和她好闺蜜。"
"HASH_676E94D9": "这本来不关我事，但既然你把我拉进来了，我觉得你们俩都能从对方身上学到些什么。自己体会吧。"
"HASH_CFF6C8D9": "该死，那混蛋还没死！"
"HASH_F99EACD9": "你别在我身上爆炸啊……"
"HASH_A8FE0CD9": "嘿，真是把我惊得够呛……"
"HASH_A46F14D9": "帮自己一个忙，自己。从这层楼滚出去。"
"HASH_5D3EE0D9": "看来有人砸了你的玩意儿，齐尼亚克。"
"HASH_355B64D9": "做梦。"
"HASH_C18408D9": "我怎么把这堆东西弄到地球？"
"HASH_98019CD9": "连个身体都没有，你怎么帮我？"
"HASH_4D2618D9": "真的？怎么个说法？"
"HASH_755684DA": "是只有我这么想，还是斯提尔沃特的日子确实简单得多？"
"HASH_243D24DA": "金，你懂我的。我是总统。你是我的幕僚长，对吧？"
"HASH_42E464DA": "盖特，在我开门的时候你对付这些家伙。"
"HASH_D74F70DA": "我真希望这是真正的你——"
"HASH_C38AA8DA": "逮到你了！"
"HASH_9BE8E4DA": "你要是敢叫我一声「老莎蒂」，我就毙了你。"
"HASH_2D906CDA": "现在我能回去跟着那个你不肯告诉我任何事的神秘家伙了吗？"
"HASH_5288D8DA": "齐尼亚克，这不是骄傲……这是愤怒。"
"HASH_7F630CDA": "别担心，金吉，交给我。"
"HASH_BAB07CDA": "是啊，新鲜空气真叫人兴奋，接下来干嘛？"
"HASH_277408DA": "好。那是什么让你改主意了？"
"HASH_845A50DA": "但你不是唯一一个被你的死害惨的人，约翰尼。"
"HASH_8A08C8DA": "有道理。"
"HASH_7CF190DA": "操。我需要点火箭筒。"
"HASH_6DF3C4DA": "听着，你不拿你的「天赋」来显摆，我也不提你看起来有多蠢。成交？"
"HASH_673070DA": "马特……"
"HASH_F7BD80DA": "哇，马特，放松。是我！"
"HASH_2F3068DA": "因为我不想他们炸了我的窝，懂？"
"HASH_9DDA1CDA": "什么目标？"
"HASH_7125A8DB": "哦，天！竞技场里可热闹起来了！"
"HASH_D9C7ECDB": "布莱恩？尼尔？阿努普？"
"HASH_391504DB": "要说这是个难生存的世界吧，那是在骗人。呃，除非像当年的我一样是网络世界的神。把我丢到最新技术面前，就没有我做不成的事。连联邦调查局都拦不住我，相信我他们试过了。金吉·肯辛顿差点追上我，但往她的档案里添几笔，塞几张照片，连她都够不着我的乐趣。大概这就是我被招募进辛迪加的原因。"
"HASH_3837C8DB": "这些是什么，齐恩皮纳塔？"
"HASH_6D75F0DB": "现在轮到赛勒斯·坦普了。"
"HASH_74518CDB": "这就能解释能量读数了。虽然看起来只有两三个在真正生成力场。其余应该都是随便就能拆掉的假目标。"
"HASH_5C91FCDB": "你说什么？"
"HASH_99C230DB": "喂，刚怎么回事？"
"HASH_70F228DB": "不。"
"HASH_EA01D4DB": "你说得对。金吉，这东西有收音机吗？"
"HASH_61A294DB": "一点点。"
"HASH_5DCCC8DB": "要是我穿着那玩意，我会求求你朝我脑袋开枪。"
"HASH_1CB8E0DB": "我不知道。"
"HASH_8C0AACDB": "妈的，当然干过。"
"HASH_7D567CDB": "区域已清空。"
"HASH_D8A180DB": "要是每个游戏都这样就好了。"
"HASH_E69440DC": "能描述一下我和约翰尼该找什么吗？"
"HASH_DBEEF4DC": "正在连接服务器……"
"HASH_BBA47CDC": "对。还有那个。"
"HASH_043DC4DC": "你在逗我？看看你周围！我们被一群兽人围着。"
"HASH_D436E0DC": "呃……他们？"
"HASH_2DA740DC": "妈的！"
"HASH_87BE34DC": "我在想办法救大家的命，马特。"
"HASH_90F1E0DC": "好点了吗？"
"HASH_0938D4DC": "莎蒂，那些是炸弹。"
"HASH_24F5A0DC": "拜托，姑娘，那地方有韵味。"
"HASH_C57B38DC": "金和我随时待命，你想怎么都行。操，就跟当年一样。"
"HASH_6CE208DC": "我想过，要是能的话，我们可以找乌托尔重建它。加更多防御、更多武器、几个地下喷气机库……"
"HASH_C0FEA4DC": "好吧，火焰般的天空加下雨，肯定没好事……"
"HASH_DB6734DC": "我又幻听了？"
"HASH_25F38CDC": "那你说「热点」指的是……？"
"HASH_4DF8E4DC": "为什么不呢？"
"HASH_C73894DC": "我就知道这是白跑一趟。来吧，你答应过现在去找老兵之子的。"
"HASH_14ED2CDD": "她还有呼吸。"
"HASH_8C8204DD": "我们都同意刚才那事很操蛋，对吧？"
"HASH_CFB1DCDD": "那当然，金吉。我就是在这儿学会这行手艺的——第一课就是睁大眼、管住嘴。"
"HASH_B8013CDD": "是啊，我知道。我之前就来过这里，记得吗？"
"HASH_141B28DD": "第二个搞定了。"
"HASH_B508BCDD": "嗷！妈的！"
"HASH_A1B9E0DD": "这个噩梦境除了打灯和打蠢守卫还有别的吗？"
"HASH_05DE5CDD": "没问题，亲爱的！"
"HASH_AC058CDD": "真希望我追的人都能乖乖坐那等我去杀。"
"HASH_611A0CDD": "喂，你要是怕圣徒之流，这些年干嘛替它出头？"
"HASH_03EED0DD": "我护着VIP进楼的时候，掩护我。"
"HASH_682348DE": "等等。超能力？在这儿？简直就像模拟一直在为这一刻训练我……"
"HASH_AA7B3CDE": "这可不妙……"
"HASH_93D5F8DE": "你说得对。最好等护盾发生器自己关掉。"
"HASH_526EDCDE": "我喜欢漂亮的东西。"
"HASH_045148DE": "嘿，我只是——"
"HASH_AE7868DE": "好了，我们到了。现在呢？结束了吗？"
"HASH_51BF84DE": "有了掩盖程序，靠制造混乱扰乱系统就能给它争取时间。"
"HASH_9B735CDE": "该死……！"
"HASH_A8DA1CDE": "放马过来。"
"HASH_F5D52CDE": "删除"
"HASH_050C1CDE": "操！这位仁兄进场可真够生猛的。"
"HASH_0F9EECDE": "到底为了什么？"
"HASH_229004DE": "我看了很多候选人，但，你知道，当基思·大卫说想加入你的队伍时，你没法拒绝。"
"HASH_D10830DE": "邪恶的我用公司资源时跟戴恩·沃格尔一样不讲究。"
"HASH_B4BEF4DE": "我需要找到看起来重要的东西……"
"HASH_CAAFACDF": "金吉，我把坦克开回仓库后会怎样？"
"HASH_1FD1C8DF": "等等，是因为那个混蛋？"
"HASH_665054DF": "他要广播塔干什么？"
"HASH_2E3D0CDF": "嘿，哇，搞什么——？"
"HASH_DC3ABCDF": "遵命。"
"HASH_075338DF": "齐尼亚克炸了地球，他还有资格生气？"
"HASH_B2ADECDF": "你们还不明白吗？老板正在牺牲自己救我们大家！这是我们最后的机会……说再见的机会……"
"HASH_091E78DF": "下一步呢？我们要炸个储藏室？"
"HASH_4BBDD8DF": "嘿，老板，我真的很需要你帮我对付齐尼亚克，他把我关进那该死的私人炼狱。我告诉你怎么办，你去齐尼亚克的计划里搅屎。明白？"
"HASH_DBEC30DF": "燃烧子弹？我靠。"
"HASH_88F398DF": "奥列格是我人生中遇到的最好的事之一，可此刻却像最糟的事。我在这儿想办法把大家从囚禁和精神折磨里救出来，脑子里却全是他。他是唯一一个真正听懂我说话的人。我从没想过会遇到一个智商几乎与我匹敌、还让我觉得自己并没有一直错过什么的人。现在，我错过了。我想他了……"
"HASH_87D6D0DF": "行。我去弄辆车。"
"HASH_B4FFF0DF": "等等，我看看能不能绕过它。"
"HASH_0A6EF4DF": "你不会让这事过去的，对吧？"
"HASH_6ED09CDF": "嘿，马特，把我的能力打开。"
"HASH_AF056CDF": "删除"
"HASH_467280E0": "哦，别抱怨了。你又没像我这样被困在二维地狱里那么久。至少你还帮忙管了一阵子国家。"
"HASH_F4FDA8E0": "好。那么……给他吧。"
"HASH_7E2BA4E0": "别得寸进尺。"
"HASH_A8AB18E0": "等等，我没听错吧？"
"HASH_F0EE08E0": "哦，别闹了！"
"HASH_0E0CC0E0": "马特，我很想让约翰尼尝尝钢城港的滋味。你能行行好，给我们安排点「凶杀欢乐时光」吗？"
"HASH_FF30F4E0": "你死定了，俊一！"
"HASH_71DFB4E0": "嘿！那个街头帮派居然成了国家元首！"
"HASH_B0F88CE0": "那就别抱怨了。"
"HASH_DAB9ACE0": "这些齐恩人和他们该死的护盾。这玩意儿烂得也太离谱了。"
"HASH_BF8C60E0": "搞什么？！"
"HASH_BED7E8E0": "嗯，那可真方便。"
"HASH_697388E0": "它里面有更多能量簇。用意念拿起来，砸开它。"
"HASH_5D8520E0": "我就知道！舞步在我体内流淌！你听到了吗，金？"
"HASH_7DFCF0E0": "这枪法真是绝了！"
"HASH_FDF3B8E0": "金吉在现实世界也给我找了具身体，我真高兴。这个舒服多了。"
"HASH_7D14B4E0": "我干掉了三个中继器。就这样了吧？"
"HASH_B91260E0": "呃。它是这么运送的吗？"
"HASH_06F85CE0": "随便..."
"HASH_A84A48E1": "这欢迎仪式真够劲的，是吧，约翰尼？"
"HASH_413F90E1": "这欢迎仪式真够劲的，是吧，约翰尼？"
"HASH_A9A4DCE1": "不把那装置拆开看看它怎么运转，我是不会知道的。"
"HASH_0B45C0E1": "齐尼亚克到底为什么迷源鬼迷成这样？他俩干脆生个孩子得了。"
"HASH_DF8C70E1": "这流程里还有说脏话的环节？"
"HASH_206E98E1": "嘿。我是美国总统。"
"HASH_D6415CE1": "好，我们得清掉这些守卫。"
"HASH_4D0BC8E1": "哦，这样啊。但夜刃还在打吸血鬼？还有塞浦路斯骑士团？"
"HASH_DDFF3CE1": "我们在这儿会被淹没的。"
"HASH_9BA634E1": "那些机器人是怎么挤进那该死的门的？"
"HASH_F25A24E1": "跪拜齐尼亚克！"
"HASH_3BC780E1": "那不可能，塔尼娅。你看，今晚我不但向世界展示了舞蹈的真正魔力，现在还要看着你死。"
"HASH_DC7A14E1": "没问题，华盛顿先生。"
"HASH_3E4674E1": "哦那个马特。真是个活宝。我不介意再杀他一次。嘿，只要你一失败，我就能动手！"
"HASH_BB89C8E1": "有那么一秒，金吉，你都快成乐观主义者了。"
"HASH_B75584E1": "天哪我恨这些晨星杂种。"
"HASH_C914FCE1": "哎哟哟。你终于没把这整件事搞砸。我想我该恭喜你——在我往你脑袋里打颗子弹之前。"
"HASH_DDBFA8E1": "这些家伙不肯松手！"
"HASH_03F630E1": "那是*叹气*一部五十年代的喜剧。"
"HASH_973834E1": "金吉？金吉？"
"HASH_0C7074E2": "搞什么？！"
"HASH_3B8108E2": "我以为这岛是荒无人烟的，不是吗？"
"HASH_5062D4E2": "哇，头脑发晕。我在哪——"
"HASH_ECD8F0E2": "我的那间会有张小沙发、一个梳妆台，还有保险柜……"
"HASH_1EDAE0E2": "我就是吐槽吐槽，马特。别当真。"
"HASH_CE1AB4E2": "好久没偷自己的车了。"
"HASH_722720E2": "非要说出来是吧……"
"HASH_8AE0B0E2": "马埃罗……"
"HASH_D145D0E2": "金吉，你们是在朝这艘船开火吗？"
"HASH_310D08E2": "我们再试一次。然后就去帮老——呃，莎蒂。"
"HASH_8D46F0E2": "金吉……我是……？"
"HASH_422B08E2": "闭嘴！"
"HASH_4E98E8E2": "晚点解释。先用超能力。"
"HASH_774108E2": "金吉？我的能力怎么了？"
"HASH_4D395CE2": "把数据发给C.I.D.。我们从那边接手。"
"HASH_9CDC40E2": "看来那事对我还有点影响。"
"HASH_3DA0E4E2": "我到第二个了。"
"HASH_08AA54E2": "是啊，那确实是我。"
"HASH_B63DD8E3": "删除"
"HASH_5E46C8E3": "我知道你的意思是我绝对肯定免疫。"
"HASH_60C820E3": "嘛——"
"HASH_22F668E3": "现在去哪儿？"
"HASH_F27F58E3": "我听金吉说这些模拟都基于人们各自的噩梦。我的噩梦他妈的显而易见，但我很好奇你的会是什么。"
"HASH_F9FF40E3": "沃伦·威廉姆斯带走了阿伊莎！我们得赶到副王帮总部把她救回来！"
"HASH_CEC5BCE3": "道晚安吧。"
"HASH_45CE0CE3": "把我留在这赤身裸体，身上盖满谁他妈知道什么东西"
"HASH_3165D0E3": "呃，金吉？"
"HASH_43BA7CE3": "去他妈的莎士比亚。要么简·奥斯汀，要么滚蛋。"
"HASH_F38C9CE3": "莎蒂一到，确保区域清空好让她降落。"
"HASH_F57A2CE3": "我想我唯一能做的……就是准备。"
"HASH_AB1C18E3": "这叫纯魔法，马特。纯。魔。法。"
"HASH_E8EDA4E3": "怎么了，金吉？"
"HASH_154394E3": "所以呢？"
"HASH_FF139CE3": "搞定！去看看莎蒂。"
"HASH_B512C8E3": "操，现在齐恩人从天而降了！嘿！那算他妈的作弊。"
"HASH_23DA10E3": "我自己也快没时间了！"
"HASH_14C4E4E3": "我懂你的意思了。"
"HASH_DF52ECE3": "尽量快点行吗？"
"HASH_D4C71CE3": "我发现附近有个充电站。走！"
"HASH_05A1A8E3": "不，亲爱的。"
"HASH_EBF1B8E3": "永远不要停。"
"HASH_793C74E4": "动力装甲。是的，我知道。"
"HASH_45AF1CE4": "啊——"
"HASH_9FE188E4": "现在把这个该死的护盾打掉。"
"HASH_1D62ACE4": "那个该死的平台在哪……"
"HASH_AC6964E4": "金吉！"
"HASH_EA6864E4": "这是飞船？什么鬼？"
"HASH_3CE470E4": "还没，金吉。"
"HASH_BB3308E4": "超能力，是吧？我以前也梦想过当英雄，你知道吗。"
"HASH_B03A48E4": "你就从中得出这结论？你的主角戏份？"
"HASH_F8F2D4E4": "别让他们抢走C.I.D.！"
"HASH_2104D0E4": "马特，我刚想到个绝妙主意……"
"HASH_80B1E4E4": "这是夜刃里的吧？那堆同人垃圾？"
"HASH_499FD8E4": "诸位先生，你们好。我想你们在找我吧？"
"HASH_BA71F0E4": "什么？那怎么不直接搞一整座岛？"
"HASH_2F20C8E5": "金吉在现实世界给我找了具身体。我觉得欠她个人情，想让她被救出来。请务必把她安全带回来。那样我对她的亏欠就两清了。"
"HASH_F1ED5CE5": "金吉，我需要点好消息。"
"HASH_80C564E5": "我们快接近最后一个能量电池了。"
"HASH_EA545CE5": "就这些？"
"HASH_FC60E4E5": "你跟我一起吗？"
"HASH_6EDF38E5": "嘿，我们走到这一步了，不是吗？"
"HASH_4F3808E5": "赛勒斯彻底疯了。"
"HASH_7C25A4E5": "希望你没生过孩子，不然就是「乔治，跟朋友去车流里玩吧。」"
"HASH_9F8918E5": "但后来我意识到阿莎没有帮手根本做不到。"
"HASH_70DAD4E5": "天哪，你和金吉都是满嘴技术黑话……"
"HASH_2BF7D4E5": "是啊，它们看着是精神了点，但这还是那个老破窝。"
"HASH_6E1DBCE5": "用什么？"
"HASH_45788CE5": "我要你把我扔到空中。"
"HASH_9EDF5CE5": "啊操。"
"HASH_3FE7A8E6": "看起来他要去——"
"HASH_B8C944E6": "那我们能不能把它改名叫欢乐镇？"
"HASH_2A4BA0E6": "那我的两位大聪明有什么建议？"
"HASH_0C10DCE6": "哦，你不喜欢那样，是吧？"
"HASH_DACAC8E6": "要做到这一点，我们需要杀掉你的小朋友。"
"HASH_4031F0E6": "他一定在里面，金吉……"
"HASH_122614E6": "这是一艘血淋淋的星际飞船？"
"HASH_88EEA8E6": "明白了。你马上就能看到……"
"HASH_3BB124E6": "上吧……"
"HASH_3C6E94E6": "我……"
"HASH_9E1780E6": "这会很难受……"
"HASH_D85C70E6": "不用能力你就穿不过它的护盾。"
"HASH_3EF64CE6": "你在开玩笑吗？莎蒂，这意味着我先炸一堆东西，然后我们开走整辆坦克！"
"HASH_FBB5B0E6": "提升我的舞技？本，宝贝，我不需要什么提升。跳舞……就是我的生命。好吧，要是有更多时间的话就是了。我是天生的舞者。"
"HASH_6D30C4E6": "为了自由女神！"
"HASH_D1ACB4E6": "爬起来继续走。"
"HASH_0E5208E6": "基思！基思，住手！"
"HASH_921DF0E6": "我开玩笑的！"
"HASH_EF1318E6": "你别给我炸了……"
"HASH_7A487CE6": "在前往大反派途中遇袭。干得漂亮，马特。冲突升级得真好。"
"HASH_C601B8E6": "我在这儿！过来找我！"
"HASH_F45988E6": "金吉，成功了！"
"HASH_92EBC4E7": "老天，光看到老兵之子还不够受的……"
"HASH_7507E8E7": "那附近有保险丝盒之类的东西吗？"
"HASH_992A60E7": "嘿，阿莎看来很有好胜心啊。还是她对谁都这么阴阳怪气？"
"HASH_E0E998E7": "钥匙怎么样了——"
"HASH_0A8E68E7": "那这船是不会炸了？"
"HASH_4C34B0E7": "等等。我们来救你了。"
"HASH_8113A8E7": "小心别把C.I.D.都弄坏了。我不知道还有没有机会再弄一台。"
"HASH_62C248E7": "请各位乘客坐稳扶好，享受本次飞行。"
"HASH_EF5D68E7": "不太是。"
"HASH_6423ACE7": "那，有没有办法也把这个AI在现实世界弄具身体？"
"HASH_B68C9CE7": "他们关门了，亲爱的。"
"HASH_AA3D78E7": "从侧翼包抄！"
"HASH_321F2CE7": "快跑，马特！"
"HASH_E454DCE7": "我发誓你最好在路上，金吉。"
"HASH_D69FF8E7": "别找了——他不值得。现在上路吧。"
"HASH_61DE1CE7": "好，少一桩心事。"
"HASH_1C3294E7": "那些混蛋又设了个路障。"
"HASH_8B67E4E7": "马特，你刚说什么来着？"
"HASH_0599D0E7": "你会习惯她的，约翰尼。"
"HASH_889C94E7": "那我们没事了？"
"HASH_C5DDCCE7": "你不用回家，但你不能留在这儿！"
"HASH_C5A45CE7": "喂，兄弟，这有关系吗？快朝他发射火箭！"
"HASH_861FA0E7": "金吉？金吉，你在哪？"
"HASH_ABB200E8": "这感觉太爽了！"
"HASH_973590E8": "该死的八十年代……"
"HASH_A45244E8": "删除"
"HASH_B2FADCE8": "小心那堆篝火！"
"HASH_D4DFE0E8": "撑住，救援车来了。"
"HASH_FD31C0E8": "上吧。"
"HASH_24CD90E8": "全体士兵高度戒备。被掳者以屡次发动必败的越狱闻名。允许见格杀勿论。"
"HASH_F36C1CE8": "我会把你们的尸体摞起来，爬回地球！"
"HASH_FB5A5CE8": "删除"
"HASH_14C674E8": "圣徒们是怎么撑这么久的？"
"HASH_FC891CE8": "该撑多久就撑多久！只要保住它就行。"
"HASH_692E24E8": "看起来那一下把他干掉了。"
"HASH_7517ACE8": "他刚把塔米炸了……"
"HASH_4B91CCE8": "那就解锁啊。"
"HASH_F44B44E8": "金吉，莎蒂怎么了？"
"HASH_D16780E8": "就快了。"
"HASH_F50D04E8": "不不不不不不！别放到太空里！"
"HASH_013ED4E8": "来了。"
"HASH_2EA6C4E9": "操，兄弟！左边！"
"HASH_D70238E9": "必须的。"
"HASH_5256D0E9": "我不知道，我觉得还一个样。"
"HASH_E5A15CE9": "真是个——和善的家伙。"
"HASH_06EE68E9": "我靠..."
"HASH_66005CE9": "希望你在路上，金吉。"
"HASH_9DFCB4E9": "不会有事的。"
"HASH_895654E9": "哦，我给他准备了特别的。"
"HASH_5F3208E9": "你们好，圣徒们，很高兴你们赶来了。"
"HASH_8C160CE9": "一了百了吧。准备好了吗？"
"HASH_8D4CDCE9": "HUB在哪？"
"HASH_154670E9": "那么……关于那辆坦克……"
"HASH_977DD0E9": "到底在哪……"
"HASH_DAF2C8E9": "又来更多齐恩人！"
"HASH_F1A684E9": "大显身手的时候到了。"
"HASH_DEA8D4EA": "这个模拟里还存在着更多元素类型的各种能力。前提是你能找到或写出那些代码。"
"HASH_D20EA4EA": "我进入状态了，本！"
"HASH_760074EA": "阿莎，关于马特……"
"HASH_458F20EA": "妈的，当然干过。"
"HASH_5786B4EA": "不说谎。还是不太接受邪恶的我居然是你的地狱。"
"HASH_408CB4EA": "这可不妙……"
"HASH_9FB7A4EA": "再开一扇传送门，对吧？"
"HASH_E245ACEA": "又来……"
"HASH_715588EA": "呃，我觉得自己像个公交站里的马桶。"
"HASH_DA53F8EA": "搞什么？"
"HASH_16B348EA": "好极了。请让约翰尼到那儿见我。"
"HASH_72C588EA": "金吉在哪，基思？"
"HASH_DFADDCEA": "马特，退后……"
"HASH_3B6EA4EA": "嗯。什么东西闻起来好香！"
"HASH_44FD70EA": "搞什么？！"
"HASH_E64100EA": "到底怎么回事？"
"HASH_5B8B98EA": "看来他们出坦克了。"
"HASH_3572F0EB": "我是来帮你的，基思！"
"HASH_021128EB": "快……爆掉啊！"
"HASH_FFE37CEB": "去哪，金吉？"
"HASH_B68D58EB": "你喜欢。你懂。"
"HASH_308F84EB": "没问题，哥们。"
"HASH_3E1DA0EB": "嘘！他会听到你。"
"HASH_21CBB4EB": "我以为这是派对。来跳舞吧！"
"HASH_AFA050EB": "这些都是你脑子里的，阿莎。他是从你那里得到的。"
"HASH_DFE078EB": "是国际巨星，我说的是。"
"HASH_B86BACEB": "祝你们好运，二位。钥匙我们拿走了！"
"HASH_AA65B8EB": "这会不会是破纪录的表现？"
"HASH_BD03A4EB": "还要很久吗，C.I.D.？"
"HASH_849698EB": "真的？"
"HASH_E79460EB": "别闹了！"
"HASH_CA5354EB": "我没在人群里看到塔尼娅……她的损失。"
"HASH_41C0ACEB": "好。去 Friendly Fire 吧。"
"HASH_7EDF04EB": "五十五分钟？！亲爱的，我五分钟内就要！"
"HASH_6EA3CCEB": "我有超能力了。上吧。"
"HASH_3A0284EB": "占山为王！你得占据目标区域并守住，直到计时器走满。丢了就得从头再来。"
"HASH_7A5FD0EB": "那还剩百分之一……"
"HASH_DB5880EB": "好……现在往右！"
"HASH_04ED50EB": "上去——！"
"HASH_5F8138EC": "机甲原本的设计能用，但有点平庸。真希望我有办法让它真正特别起来。"
"HASH_E9289CEC": "莎蒂们！"
"HASH_513268EC": "你在开玩笑吧。"
"HASH_6661CCEC": "抱歉，现在没空干那个。"
"HASH_C38D40EC": "嘿。我们干掉那混蛋。"
"HASH_9D93CCEC": "认出那地方了？"
"HASH_240D2CEC": "*叹气* 你自找的……"
"HASH_861680EC": "所以反派给我们留了个陷阱？干得漂亮，马特。期望落空得真妙。"
"HASH_120C44EC": "你不硬塞给我的时候，是的。"
"HASH_BE7DACEC": "阿莎，我太尊重你了才不跟你扯淡——"
"HASH_E9CD00EC": "稳住。"
"HASH_F62784EC": "那，夜刃，是吧。还能告诉我点别的吗？有没有女朋友之类的？"
"HASH_674C34EC": "啊，真见鬼……"
"HASH_B8229CEC": "全球有数百万人正在消失。死亡人数无法估量。各国政府的反应却姗姗来迟。我们怎么就毫无准备？"
"HASH_3A8DD4EC": "所以你已经失败一千次了。终于决定找帮手了。你找谁？我的另一半？那个反社会者一辈子从没在乎过任何人。"
"HASH_2134BCEC": "我们的选手选对了。"
"HASH_958BFCEC": "不是吧！"
"HASH_C7A8C8ED": "那你为什么不自己干？"
"HASH_2B86F8ED": "那好吧……"
"HASH_82B8A0ED": "还有，我倒想知道，这些杀人机器人是哪来的？"
"HASH_A71DE4ED": "我不明白……"
"HASH_B87908ED": "搞什么鬼？！"
"HASH_31B0B4ED": "你够忙的了，金吉。搞这些网络玩意，我想你用得着帮手。"
"HASH_059B20ED": "我猜她不太习惯在当团队王牌这事上有竞争。"
"HASH_61E19CED": "还有多远，金吉？"
"HASH_407E68ED": "呃……平时不都是我开车吗？"
"HASH_619040ED": "你确实不是那种看半杯水满的人……"
"HASH_22A970ED": "齐尼亚克到底为什么迷源鬼迷成这样？他俩干脆生个孩子得了。"
"HASH_EEFA80ED": "我想你说得对。"
"HASH_A0C2E0ED": "别沾血在身上，她有肝炎！"
"HASH_B5C3F4ED": "删除"
"HASH_BAF804ED": "也许我能从模拟的代码里找到托尼和塔尼娅的程序，强制把它们刷出来。"
"HASH_72B268ED": "嗯……你这么说的话……抱歉？我去帮你搞定接管街区的事……"
"HASH_50A90CED": "赶紧修。"
"HASH_28F880ED": "我是你的头号粉丝！"
"HASH_34C590ED": "所以你跟过去的你谈过了？"
"HASH_55DA20ED": "让我想起烟花。"
"HASH_E79794ED": "秘密房间？那丫头在搞什么名堂？"
"HASH_77FB98EE": "删除"
"HASH_B51F94EE": "还要多久，C.I.D.？"
"HASH_980A54EE": "唔，确实还有另一个金吉，但我——等等！"
"HASH_C28E10EE": "那是谁？"
"HASH_BF5D48EE": "我得回去……不回去我就永远扇不了C.I.D.了……"
"HASH_246764EE": "你最好快点过来，金吉。"
"HASH_264C84EE": "好。我们到了。然后呢？"
"HASH_80B958EE": "大红色圆柱体，嗯……"
"HASH_DBDB00EE": "莎蒂，你呢？"
"HASH_B5ACE4EE": "你想跳舞？那就跟我跳。"
"HASH_0E6FE0EE": "是是是是是。嘿金吉，这玩意有无线电吗？"
"HASH_1FA3B0EE": "哦，绝对不行……"
"HASH_E19B28EE": "既平衡了励志演说，又拿捏了邪教头子的毛骨悚然感，真有你的，阿莎。"
"HASH_217918EE": "终于他妈的了。"
"HASH_A781F0EE": "删除"
"HASH_DEB8F0EF": "试试。"
"HASH_EF04A4EF": "明白，老大。"
"HASH_1314BCEF": "该死。"
"HASH_B833D8EF": "干杯。"
"HASH_067A24EF": "随时奉陪。"
"HASH_030CE0EF": "它确实有自己……的风格。"
"HASH_49F8F4EF": "该死的——"
"HASH_3E74DCEF": "你不会想知道的。但我们得多搞点枪。"
"HASH_8EFE20EF": "基思，基思，基思……去他妈的癌症。"
"HASH_740CCCEF": "谁在哪？"
"HASH_24E558EF": "嘿，我们走到这一步了，不是吗？"
"HASH_F399C0EF": "金吉，你得过来……"
"HASH_8A3A74EF": "明白。上传需要多久？"
"HASH_F641F0EF": "别得寸进尺。"
"HASH_2EE008EF": "老大，见到你太高兴了！"
"HASH_244B28EF": "源鬼碗的记者？你就找不到更有分量的人让我们保护？"
"HASH_24AF98EF": "呜！"
"HASH_CFFADCEF": "容我反驳。"
"HASH_7747C4F0": "天哪这计划太妙了！等我凑齐所有部件，这玩意就是阻止齐尼亚克的关键。所以我才叫它「钥匙」。呃，另一个原因是它干起来像电脑开锁器。还是病毒投放系统。哦，还能造成巨大的电力尖峰。好吧，「钥匙」可能有点勉强。"
"HASH_45CBCCF0": "哦，有什么事吗？"
"HASH_203F14F0": "我觉得那意思就是行。"
"HASH_2F2B9CF0": "大喇叭在说什么有头绪吗？"
"HASH_3F3EF4F0": "一打？！"
"HASH_91F950F0": "我干掉了三个中继器。就这样了吧？"
"HASH_81FA08F0": "这他妈都是些什么？"
"HASH_B9FB4CF0": "金吉，我们得走了。出什么——"
"HASH_445764F0": "三个了。下载怎么样了？"
"HASH_D3CBBCF0": "这场比赛怎么和模拟有关？"
"HASH_D3C568F0": "莎蒂，跟着金吉。盖特，你跟我来。"
"HASH_1B8468F0": "哇，她真的很享受这个。"
"HASH_7E9E78F0": "举起剑来，兄弟们！塞浦路斯骑士团在追我们！"
"HASH_DD568CF0": "这让我想起从前……"
"HASH_FBC35CF0": "那我们为什么来核电站？"
"HASH_C527D4F1": "就希望你下次我有事需要帮忙的时候还记得这回的事。"
"HASH_8D16F8F1": "你慢慢玩吧。我走通风管道。"
"HASH_9B1F20F1": "犯这种错，谁都会上火的。"
"HASH_85EF78F1": "哈！开玩笑？别人看到的是空白，我看到的却是机遇。"
"HASH_0E1098F1": "我们留下，金吉。"
"HASH_35B2B0F1": "该死？你说该死是什么意思？"
"HASH_0628F8F1": "哎呀，你真的错过好东西了，亲爱的。"
"HASH_456CF4F1": "我觉得那不是个请求，马特。"
"HASH_C9CA1CF1": "哦，金吉，我早晚把你变成乐观主义者。"
"HASH_D6D0D8F1": "天哪，多美好的一天！"
"HASH_43E9A4F1": "就这点本事！"
"HASH_FB68F4F1": "我懂，金吉。听着，一切都会好起来的。"
"HASH_BDC7B8F1": "想熔化我的雕像，是吧……"
"HASH_046C80F1": "不行。"
"HASH_CFDDBCF1": "哎呀！"
"HASH_A4E424F1": "你不走我也不走。"
