# TODO: Translate to Simplified Chinese
# Source: static_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 760

"HASH_95863700": "升级根据地"
"HASH_12A74763": "立即给予你现金。"
"HASH_91293D63": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"HASH_0CAE67E4": "醉酒路人"
"HASH_070A7D64": "显示设置"
"HASH_DF199A64": "选项"
"HASH_79290164": "附加内容"
"HASH_3975E7E5": "力量 {0}%%%%"
"HASH_AE266B65": "脏污"
"HASH_9655ECE5": "湿润"
"HASH_C4559AE5": "死者全都上了天堂。"
"HASH_7FFADD65": "电子手册"
"HASH_8D532BE6": "关卡"
"HASH_4ACA7FE6": "船坞"
"HASH_8C417966": "全部超能力升级"
"HASH_8854E166": "读取"
"HASH_8D1488E6": "下一个"
"STAT_BIG_AIR_LONGEST_JUMP": "大腾空：最长跳跃"
"HASH_9C1009E7": "驴"
"HASH_A4638E67": "愤怒"
"HASH_2409D767": "碰瓷索赔"
"HASH_8F2847E7": "选择"
"STAT_MISSION_SUCCESS_RATE": "任务成功率"
"STAT_MAYHEM_DAMAGE_DONE": "大破坏：造成伤害"
"HASH_D205D0E8": "运动风"
"HASH_CB046869": "切换至 爆炸爆破"
"HASH_395DED6B": "病毒注入"
"HASH_34CE0CEC": "后轴"
"HASH_A9B0486C": "腿部纹身"
"HASH_12AF5C6C": "立即生成典狱长"
"HASH_13420F6C": "切换角色模型"
"HASH_3E003B6D": "等级需求 {0}"
"HASH_026216ED": "手腕"
"HASH_66FFE16D": "滑溜"
"HASH_1264FA6D": "局域网"
"HASH_05A1B26D": "接线员请勿挂线"
"HASH_A5DA766D": "读取游戏"
"HASH_E4F559ED": "背后"
"HASH_FF6F95EE": "单人游戏"
"HASH_EEF8D2EE": "退出"
"HASH_2A71726F": "病毒注入"
"HASH_6CBA046F": "脏污"
"HASH_0312DDEF": "我需要后援"
"HASH_20BBF76F": "切换至 冰冻增益"
"HASH_6A79A9EF": "方案"
"HASH_0798EEEF": "显示地图"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "嘲讽平民总数"
"STAT_ACTIVITY_CASH_EARNED": "活动赚取现金"
"HASH_9C686EF0": "为你的套装输入名称"
"HASH_15C35870": "蝴蝶"
"HASH_D77925F0": "关"
"HASH_5965D9F0": "我需要唐尼"
"HASH_A0938170": "切换至 闪电增益"
"HASH_91055B70": "切换至 火焰增益"
"STAT_ARRESTS": "被捕次数"
"HASH_69FA0D71": "可用 [image:ui_icon_cluster] {0}"
"HASH_AED5D2F1": "禁用元素超能力。"
"HASH_DA234AF1": "我需要盖特"
"HASH_3FE8D271": "读取"
"STAT_DEATHS": "死亡次数"
"HASH_CA92EB72": "印象刺青"
"HASH_27F53AF2": "蜥蜴"
"HASH_848F2F72": "我们修好了那个故障。"
"HASH_1FA4EC72": "审讯"
"HASH_700D4DF2": "显示选项"
"HASH_12AE3673": "维修"
"HASH_A5B7CD73": "真的要退出吗？\n（未保存的进度将会丢失。）"
"HASH_3B48A1F3": "把这辆载具送进你的车库。"
"HASH_96A887F3": "显示中枢"
"HASH_6F2F8B74": "切换到衣橱"
"HASH_71AF9D74": "淋浴"
"HASH_746FE2F4": "升级"
"HASH_F07E37F4": "地图"
"HASH_C1115BF5": "轮毂 #{0}"
"HASH_086DDE75": "没人爱我"
"HASH_DAB068F5": "修复花费 {GAME_CASH}{0}"
"HASH_0C1844F5": "顺时针"
"HASH_2095CEF5": "给予外星 UFO"
"HASH_F00EE8F5": "切换至 念力"
"HASH_395B8175": "退出"
"HASH_611DCEF6": "费用 [image:ui_icon_cluster] {0}"
"HASH_63609576": "病毒注入"
"HASH_4399FFF6": "响尾蛇"
"HASH_1B2743F6": "穿上装扮"
"HASH_175CD877": "病毒注入"
"Crib_SaintsHQ": "圣徒藏身处"
"HASH_77E78B77": "皇家"
"HASH_B46D9EF7": "清除通缉度"
"HASH_F92C18F7": "无限冲刺"
"STAT_STREAKING_TOTAL_TIME": "天体总时长"
"STAT_FAVORITE_TRANSPORTATION": "最常用的交通方式"
"HASH_B20C0B78": "病毒注入"
"HASH_10794BF8": "现金不足"
"HASH_94D37F78": "揉捏"
"HASH_1E158F78": "解锁天降死神超能力。"
"HASH_663AA5F8": "解锁超级践踏能力。"
"HASH_2BA25178": "切换至 冰冻爆破"
"HASH_8868A578": "单人战役"
"HASH_3FD751F8": "简单"
"HASH_F9C1A6F8": "现金"
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "被嘲讽外星人总数"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "称赞他人总数"
"HASH_64C687F9": "选择建筑"
"HASH_2A3759F9": "经验值 +{0}"
"HASH_24E956F9": "锈针纹身"
"HASH_E964A6F9": "疯狂"
"HASH_73A9AEF9": "自由模式"
"HASH_474594F9": "大雨"
"HASH_131300F9": "邪恶之车"
"STATS_NONE": "无"
"HASH_7304657A": "第三街圣徒"
"HASH_28AC92FA": "滚动列表"
"STAT_PEOPLE_RUN_OVER": "碾过的行人"
"HASH_446634FB": "免费"
"HASH_1B94197B": "消瘦 {0}%%%%"
"HASH_1F6E7B7B": "不可用"
"HASH_7F36807B": "取回"
"HASH_2AEF3DFB": "手势"
"HASH_DB52C47B": "复仇"
"STAT_COOP_MISSIONS_COMPLETED": "双人合作：任务完成数"
"HASH_E82DF37C": "收集界面"
"HASH_944872FC": "无"
"HASH_BF1DA57C": "假装一下"
"HASH_533048FC": "忍者"
"HASH_308A59FC": "邪恶之车 2"
"HASH_640871FC": "制作人员"
"STATS_DISTANCE_METERS": "%0.2fm"
"HASH_CC4EFA7D": "病毒注入"
"HASH_485BD47D": "你没有任何武器。"
"HASH_8D0863FD": "臭烘烘"
"HASH_66BEFFFD": "切换至 爆炸念力"
"HASH_2748A37E": "前轴"
"HASH_5F03C9FE": "购买武器"
"HASH_4B89D17E": "改装载具"
"HASH_958D56FE": "皮革与蕾丝"
"HASH_D49E5D7E": "取消"
"HASH_1CD829FE": "武器"
"HASH_367D857E": "给予外星悬浮车"
"HASH_0EECD9FF": "确定要花费 {GAME_CASH}{0} 购买这套轮毂吗？"
"HASH_1CC38DFF": "病毒注入"
"HASH_938A85FF": "此时无法切换属性。"
"HASH_BF3E017F": "潜水"
"HASH_4AA2AEFF": "晴空"
"HASH_AA9A0F7F": "难度"
